spatial_sha,time,app,project,backend,freq,mappirlog,runpirlog,genpsimlog,gentracelog,runpsimlog,psimsh,runproutelog,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,genpir,genpir_err,runpir_time,runpir_err,notFit,MC,DAG,PMU,PCU,row,col,p2p,asic,scheduled,fifo_depth,mappir_err,mappir_time,genpsim_err,gentrace_err,psimcycle,lbw,sbw,psim_deadlock,algo,pattern,slink,vlink,prtime,vcLimit,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,gentst_err,maketst_err,runp2p_cycle,runtst_err,runtst_pass,runp2p_deadlock,succeeded
0f58988d,2019-05-03 19:06:22,BlackScholes_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_0/log/mappir.log,../gen/Tst_pirTest/BlackScholes_0/log/runpir.log,../gen/Tst_pirTest/BlackScholes_0/log/genpsim.log,../gen/Tst_pirTest/BlackScholes_0/log/gentrace.log,../gen/Tst_pirTest/BlackScholes_0/log/runpsim.log,../gen/Tst_pirTest/BlackScholes_0/log/runpsim.sh,../gen/Tst_pirTest/BlackScholes_0/log/runproute.log,../gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_0/log/,../gen/Tst_pirTest/BlackScholes_0/log/gentst.log,../gen/Tst_pirTest/BlackScholes_0/log/maketst.log,../gen/Tst_pirTest/BlackScholes_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,"src/Context1943.h:42:68: error: ‘FltDiv’ was not declared in this scope
",,,,False,False
0f58988d,2019-05-03 19:06:22,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/mappir.log,../gen/Tst_pirTest/BlackScholes_1/log/runpir.log,../gen/Tst_pirTest/BlackScholes_1/log/genpsim.log,../gen/Tst_pirTest/BlackScholes_1/log/gentrace.log,../gen/Tst_pirTest/BlackScholes_1/log/runpsim.log,../gen/Tst_pirTest/BlackScholes_1/log/runpsim.sh,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,"src/Context1908.h:97:60: error: ‘FltDiv’ was not declared in this scope
",,,,False,False
0f58988d,2019-05-03 19:06:22,DotProduct_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_0/log/mappir.log,../gen/Tst_pirTest/DotProduct_0/log/runpir.log,../gen/Tst_pirTest/DotProduct_0/log/genpsim.log,../gen/Tst_pirTest/DotProduct_0/log/gentrace.log,../gen/Tst_pirTest/DotProduct_0/log/runpsim.log,../gen/Tst_pirTest/DotProduct_0/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_0/log/runproute.log,../gen/Tst_pirTest/DotProduct_0/log/runproute.sh,../gen/Tst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_0/log/,../gen/Tst_pirTest/DotProduct_0/log/gentst.log,../gen/Tst_pirTest/DotProduct_0/log/maketst.log,../gen/Tst_pirTest/DotProduct_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] Multiple accesses to the same memory in the same basic block will deadlock on plasticine.
",,,,,False,False
0f58988d,2019-05-03 19:06:22,DotProduct_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_1/log/mappir.log,../gen/Tst_pirTest/DotProduct_1/log/runpir.log,../gen/Tst_pirTest/DotProduct_1/log/genpsim.log,../gen/Tst_pirTest/DotProduct_1/log/gentrace.log,../gen/Tst_pirTest/DotProduct_1/log/runpsim.log,../gen/Tst_pirTest/DotProduct_1/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_1/log/runproute.log,../gen/Tst_pirTest/DotProduct_1/log/runproute.sh,../gen/Tst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_1/log/,../gen/Tst_pirTest/DotProduct_1/log/gentst.log,../gen/Tst_pirTest/DotProduct_1/log/maketst.log,../gen/Tst_pirTest/DotProduct_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] Multiple accesses to the same memory in the same basic block will deadlock on plasticine.
",,,,,False,False
0f58988d,2019-05-03 19:06:22,DotProduct_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_2/log/mappir.log,../gen/Tst_pirTest/DotProduct_2/log/runpir.log,../gen/Tst_pirTest/DotProduct_2/log/genpsim.log,../gen/Tst_pirTest/DotProduct_2/log/gentrace.log,../gen/Tst_pirTest/DotProduct_2/log/runpsim.log,../gen/Tst_pirTest/DotProduct_2/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_2/log/runproute.log,../gen/Tst_pirTest/DotProduct_2/log/runproute.sh,../gen/Tst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_2/log/,../gen/Tst_pirTest/DotProduct_2/log/gentst.log,../gen/Tst_pirTest/DotProduct_2/log/maketst.log,../gen/Tst_pirTest/DotProduct_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] Multiple accesses to the same memory in the same basic block will deadlock on plasticine.
",,,,,False,False
0f58988d,2019-05-03 19:06:22,DotProduct_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_3/log/mappir.log,../gen/Tst_pirTest/DotProduct_3/log/runpir.log,../gen/Tst_pirTest/DotProduct_3/log/genpsim.log,../gen/Tst_pirTest/DotProduct_3/log/gentrace.log,../gen/Tst_pirTest/DotProduct_3/log/runpsim.log,../gen/Tst_pirTest/DotProduct_3/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_3/log/runproute.log,../gen/Tst_pirTest/DotProduct_3/log/runproute.sh,../gen/Tst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_3/log/,../gen/Tst_pirTest/DotProduct_3/log/gentst.log,../gen/Tst_pirTest/DotProduct_3/log/maketst.log,../gen/Tst_pirTest/DotProduct_3/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] Multiple accesses to the same memory in the same basic block will deadlock on plasticine.
",,,,,False,False
0f58988d,2019-05-03 19:06:22,GDA_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_0/log/mappir.log,../gen/Tst_pirTest/GDA_0/log/runpir.log,../gen/Tst_pirTest/GDA_0/log/genpsim.log,../gen/Tst_pirTest/GDA_0/log/gentrace.log,../gen/Tst_pirTest/GDA_0/log/runpsim.log,../gen/Tst_pirTest/GDA_0/log/runpsim.sh,../gen/Tst_pirTest/GDA_0/log/runproute.log,../gen/Tst_pirTest/GDA_0/log/runproute.sh,../gen/Tst_pirTest/GDA_0/plastisim/summary.csv,../gen/Tst_pirTest/GDA_0/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_0/log/,../gen/Tst_pirTest/GDA_0/log/gentst.log,../gen/Tst_pirTest/GDA_0/log/maketst.log,../gen/Tst_pirTest/GDA_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] Multiple accesses to the same memory in the same basic block will deadlock on plasticine.
",,,,,False,False
0f58988d,2019-05-03 19:06:22,GDA_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_1/log/mappir.log,../gen/Tst_pirTest/GDA_1/log/runpir.log,../gen/Tst_pirTest/GDA_1/log/genpsim.log,../gen/Tst_pirTest/GDA_1/log/gentrace.log,../gen/Tst_pirTest/GDA_1/log/runpsim.log,../gen/Tst_pirTest/GDA_1/log/runpsim.sh,../gen/Tst_pirTest/GDA_1/log/runproute.log,../gen/Tst_pirTest/GDA_1/log/runproute.sh,../gen/Tst_pirTest/GDA_1/plastisim/summary.csv,../gen/Tst_pirTest/GDA_1/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_1/log/,../gen/Tst_pirTest/GDA_1/log/gentst.log,../gen/Tst_pirTest/GDA_1/log/maketst.log,../gen/Tst_pirTest/GDA_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] Multiple accesses to the same memory in the same basic block will deadlock on plasticine.
",,,,,False,False
0f58988d,2019-05-03 19:06:22,GDA_14,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_14/log/mappir.log,../gen/Tst_pirTest/GDA_14/log/runpir.log,../gen/Tst_pirTest/GDA_14/log/genpsim.log,../gen/Tst_pirTest/GDA_14/log/gentrace.log,../gen/Tst_pirTest/GDA_14/log/runpsim.log,../gen/Tst_pirTest/GDA_14/log/runpsim.sh,../gen/Tst_pirTest/GDA_14/log/runproute.log,../gen/Tst_pirTest/GDA_14/log/runproute.sh,../gen/Tst_pirTest/GDA_14/plastisim/summary.csv,../gen/Tst_pirTest/GDA_14/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_14/log/,../gen/Tst_pirTest/GDA_14/log/gentst.log,../gen/Tst_pirTest/GDA_14/log/maketst.log,../gen/Tst_pirTest/GDA_14/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] Multiple accesses to the same memory in the same basic block will deadlock on plasticine.
",,,,,False,False
0f58988d,2019-05-03 19:06:22,GDA_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_2/log/mappir.log,../gen/Tst_pirTest/GDA_2/log/runpir.log,../gen/Tst_pirTest/GDA_2/log/genpsim.log,../gen/Tst_pirTest/GDA_2/log/gentrace.log,../gen/Tst_pirTest/GDA_2/log/runpsim.log,../gen/Tst_pirTest/GDA_2/log/runpsim.sh,../gen/Tst_pirTest/GDA_2/log/runproute.log,../gen/Tst_pirTest/GDA_2/log/runproute.sh,../gen/Tst_pirTest/GDA_2/plastisim/summary.csv,../gen/Tst_pirTest/GDA_2/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_2/log/,../gen/Tst_pirTest/GDA_2/log/gentst.log,../gen/Tst_pirTest/GDA_2/log/maketst.log,../gen/Tst_pirTest/GDA_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] Multiple accesses to the same memory in the same basic block will deadlock on plasticine.
",,,,,False,False
