spatial_sha,time,app,project,backend,freq,mappirlog,runpirlog,genpsimlog,gentracelog,runpsimlog,psimsh,runproutelog,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,genpir,genpir_err,runpir_time,runpir_err,notFit,MC,DAG,PMU,PCU,row,col,p2p,asic,scheduled,fifo_depth,mappir_err,mappir_time,genpsim_err,gentrace_err,psimcycle,lbw,sbw,psim_deadlock,algo,pattern,slink,vlink,prtime,vcLimit,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,gentst_err,gentst_time,maketst_err,runp2p_cycle,runtst_err,runtst_pass,runp2p_deadlock,runp2p_complete,tst_dram_power,tst_rbw,tst_wbw,succeeded
d0d7f8d0,2019-06-05 00:35:30,BlackScholes_0,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/BlackScholes_0/log/mappir.log,../gen/MDTst_pirTest/BlackScholes_0/log/runpir.log,../gen/MDTst_pirTest/BlackScholes_0/log/genpsim.log,../gen/MDTst_pirTest/BlackScholes_0/log/gentrace.log,../gen/MDTst_pirTest/BlackScholes_0/log/runpsim.log,../gen/MDTst_pirTest/BlackScholes_0/log/runpsim.sh,../gen/MDTst_pirTest/BlackScholes_0/log/runproute.log,../gen/MDTst_pirTest/BlackScholes_0/log/runproute.sh,../gen/MDTst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/MDTst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/MDTst_pirTest/BlackScholes_0/log/,../gen/MDTst_pirTest/BlackScholes_0/log/gentst.log,../gen/MDTst_pirTest/BlackScholes_0/log/maketst.log,../gen/MDTst_pirTest/BlackScholes_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,23.813318688,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,BlackScholes_1,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/BlackScholes_1/log/mappir.log,../gen/MDTst_pirTest/BlackScholes_1/log/runpir.log,../gen/MDTst_pirTest/BlackScholes_1/log/genpsim.log,../gen/MDTst_pirTest/BlackScholes_1/log/gentrace.log,../gen/MDTst_pirTest/BlackScholes_1/log/runpsim.log,../gen/MDTst_pirTest/BlackScholes_1/log/runpsim.sh,../gen/MDTst_pirTest/BlackScholes_1/log/runproute.log,../gen/MDTst_pirTest/BlackScholes_1/log/runproute.sh,../gen/MDTst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/MDTst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/MDTst_pirTest/BlackScholes_1/log/,../gen/MDTst_pirTest/BlackScholes_1/log/gentst.log,../gen/MDTst_pirTest/BlackScholes_1/log/maketst.log,../gen/MDTst_pirTest/BlackScholes_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,24.708742238,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,BroadcastTest,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/BroadcastTest/log/mappir.log,../gen/MDTst_pirTest/BroadcastTest/log/runpir.log,../gen/MDTst_pirTest/BroadcastTest/log/genpsim.log,../gen/MDTst_pirTest/BroadcastTest/log/gentrace.log,../gen/MDTst_pirTest/BroadcastTest/log/runpsim.log,../gen/MDTst_pirTest/BroadcastTest/log/runpsim.sh,../gen/MDTst_pirTest/BroadcastTest/log/runproute.log,../gen/MDTst_pirTest/BroadcastTest/log/runproute.sh,../gen/MDTst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/MDTst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/MDTst_pirTest/BroadcastTest/log/,../gen/MDTst_pirTest/BroadcastTest/log/gentst.log,../gen/MDTst_pirTest/BroadcastTest/log/maketst.log,../gen/MDTst_pirTest/BroadcastTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,12.564578857,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,DotProduct_0,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/DotProduct_0/log/mappir.log,../gen/MDTst_pirTest/DotProduct_0/log/runpir.log,../gen/MDTst_pirTest/DotProduct_0/log/genpsim.log,../gen/MDTst_pirTest/DotProduct_0/log/gentrace.log,../gen/MDTst_pirTest/DotProduct_0/log/runpsim.log,../gen/MDTst_pirTest/DotProduct_0/log/runpsim.sh,../gen/MDTst_pirTest/DotProduct_0/log/runproute.log,../gen/MDTst_pirTest/DotProduct_0/log/runproute.sh,../gen/MDTst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/MDTst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/MDTst_pirTest/DotProduct_0/log/,../gen/MDTst_pirTest/DotProduct_0/log/gentst.log,../gen/MDTst_pirTest/DotProduct_0/log/maketst.log,../gen/MDTst_pirTest/DotProduct_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,9.375815803,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,DotProduct_1,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/DotProduct_1/log/mappir.log,../gen/MDTst_pirTest/DotProduct_1/log/runpir.log,../gen/MDTst_pirTest/DotProduct_1/log/genpsim.log,../gen/MDTst_pirTest/DotProduct_1/log/gentrace.log,../gen/MDTst_pirTest/DotProduct_1/log/runpsim.log,../gen/MDTst_pirTest/DotProduct_1/log/runpsim.sh,../gen/MDTst_pirTest/DotProduct_1/log/runproute.log,../gen/MDTst_pirTest/DotProduct_1/log/runproute.sh,../gen/MDTst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/MDTst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/MDTst_pirTest/DotProduct_1/log/,../gen/MDTst_pirTest/DotProduct_1/log/gentst.log,../gen/MDTst_pirTest/DotProduct_1/log/maketst.log,../gen/MDTst_pirTest/DotProduct_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,9.27538806,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,DotProduct_2,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/DotProduct_2/log/mappir.log,../gen/MDTst_pirTest/DotProduct_2/log/runpir.log,../gen/MDTst_pirTest/DotProduct_2/log/genpsim.log,../gen/MDTst_pirTest/DotProduct_2/log/gentrace.log,../gen/MDTst_pirTest/DotProduct_2/log/runpsim.log,../gen/MDTst_pirTest/DotProduct_2/log/runpsim.sh,../gen/MDTst_pirTest/DotProduct_2/log/runproute.log,../gen/MDTst_pirTest/DotProduct_2/log/runproute.sh,../gen/MDTst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/MDTst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/MDTst_pirTest/DotProduct_2/log/,../gen/MDTst_pirTest/DotProduct_2/log/gentst.log,../gen/MDTst_pirTest/DotProduct_2/log/maketst.log,../gen/MDTst_pirTest/DotProduct_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,11.500151875,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,DotProduct_3,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/DotProduct_3/log/mappir.log,../gen/MDTst_pirTest/DotProduct_3/log/runpir.log,../gen/MDTst_pirTest/DotProduct_3/log/genpsim.log,../gen/MDTst_pirTest/DotProduct_3/log/gentrace.log,../gen/MDTst_pirTest/DotProduct_3/log/runpsim.log,../gen/MDTst_pirTest/DotProduct_3/log/runpsim.sh,../gen/MDTst_pirTest/DotProduct_3/log/runproute.log,../gen/MDTst_pirTest/DotProduct_3/log/runproute.sh,../gen/MDTst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/MDTst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/MDTst_pirTest/DotProduct_3/log/,../gen/MDTst_pirTest/DotProduct_3/log/gentst.log,../gen/MDTst_pirTest/DotProduct_3/log/maketst.log,../gen/MDTst_pirTest/DotProduct_3/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,13.322747926,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,GDA_0,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/GDA_0/log/mappir.log,../gen/MDTst_pirTest/GDA_0/log/runpir.log,../gen/MDTst_pirTest/GDA_0/log/genpsim.log,../gen/MDTst_pirTest/GDA_0/log/gentrace.log,../gen/MDTst_pirTest/GDA_0/log/runpsim.log,../gen/MDTst_pirTest/GDA_0/log/runpsim.sh,../gen/MDTst_pirTest/GDA_0/log/runproute.log,../gen/MDTst_pirTest/GDA_0/log/runproute.sh,../gen/MDTst_pirTest/GDA_0/plastisim/summary.csv,../gen/MDTst_pirTest/GDA_0/pir/AccelMain.scala,../gen/MDTst_pirTest/GDA_0/log/,../gen/MDTst_pirTest/GDA_0/log/gentst.log,../gen/MDTst_pirTest/GDA_0/log/maketst.log,../gen/MDTst_pirTest/GDA_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,24.245304693,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,GDA_1,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/GDA_1/log/mappir.log,../gen/MDTst_pirTest/GDA_1/log/runpir.log,../gen/MDTst_pirTest/GDA_1/log/genpsim.log,../gen/MDTst_pirTest/GDA_1/log/gentrace.log,../gen/MDTst_pirTest/GDA_1/log/runpsim.log,../gen/MDTst_pirTest/GDA_1/log/runpsim.sh,../gen/MDTst_pirTest/GDA_1/log/runproute.log,../gen/MDTst_pirTest/GDA_1/log/runproute.sh,../gen/MDTst_pirTest/GDA_1/plastisim/summary.csv,../gen/MDTst_pirTest/GDA_1/pir/AccelMain.scala,../gen/MDTst_pirTest/GDA_1/log/,../gen/MDTst_pirTest/GDA_1/log/gentst.log,../gen/MDTst_pirTest/GDA_1/log/maketst.log,../gen/MDTst_pirTest/GDA_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,24.631593811,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
d0d7f8d0,2019-06-05 00:35:30,GDA_14,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/GDA_14/log/mappir.log,../gen/MDTst_pirTest/GDA_14/log/runpir.log,../gen/MDTst_pirTest/GDA_14/log/genpsim.log,../gen/MDTst_pirTest/GDA_14/log/gentrace.log,../gen/MDTst_pirTest/GDA_14/log/runpsim.log,../gen/MDTst_pirTest/GDA_14/log/runpsim.sh,../gen/MDTst_pirTest/GDA_14/log/runproute.log,../gen/MDTst_pirTest/GDA_14/log/runproute.sh,../gen/MDTst_pirTest/GDA_14/plastisim/summary.csv,../gen/MDTst_pirTest/GDA_14/pir/AccelMain.scala,../gen/MDTst_pirTest/GDA_14/log/,../gen/MDTst_pirTest/GDA_14/log/gentst.log,../gen/MDTst_pirTest/GDA_14/log/maketst.log,../gen/MDTst_pirTest/GDA_14/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,51.856052803,"src/DUT.h:1:1: error: ‘DRAMController’ does not name a type
",,,,False,False,,,,False
