sha,time,app,project,backend,freq,mappirlog,runpirlog,genpsimlog,gentracelog,runpsimlog,psimsh,runproutelog,proutesh,prouteSummary,AccelMain,logpath,gentstlog,maketstlog,runtstlog,genpir,genpir_err,runpir_time,runpir_err,notFit,MC,DAG,PMU,PCU,row,col,p2p,asic,scheduled,fifo_depth,mappir_err,mappir_time,genpsim_err,gentrace_err,psimcycle,lbw,sbw,psim_deadlock,algo,pattern,slink,vlink,prtime,vcLimit,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,gentst_err,gentst_time,maketst_err,tstcycle,runtst_err,runtst_pass,tst_deadlock,tst_complete,tst_dram_power,tst_rbw,tst_wbw,succeeded
4317f313,2019-06-05 23:26:22,BlackScholes_0,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/BlackScholes_0/log/mappir.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runpir.log,../gen/MDHTst_pirTest/BlackScholes_0/log/genpsim.log,../gen/MDHTst_pirTest/BlackScholes_0/log/gentrace.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runpsim.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runpsim.sh,../gen/MDHTst_pirTest/BlackScholes_0/log/runproute.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runproute.sh,../gen/MDHTst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/MDHTst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/MDHTst_pirTest/BlackScholes_0/log/,../gen/MDHTst_pirTest/BlackScholes_0/log/gentst.log,../gen/MDHTst_pirTest/BlackScholes_0/log/maketst.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] Not enough resource of type PCUParam1660112352. Required 35. Possesed 32
",22.674596951,,,,,False,False,,,,False
4317f313,2019-06-05 23:26:22,BlackScholes_1,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/BlackScholes_1/log/mappir.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runpir.log,../gen/MDHTst_pirTest/BlackScholes_1/log/genpsim.log,../gen/MDHTst_pirTest/BlackScholes_1/log/gentrace.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runpsim.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runpsim.sh,../gen/MDHTst_pirTest/BlackScholes_1/log/runproute.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runproute.sh,../gen/MDHTst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/MDHTst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/MDHTst_pirTest/BlackScholes_1/log/,../gen/MDHTst_pirTest/BlackScholes_1/log/gentst.log,../gen/MDHTst_pirTest/BlackScholes_1/log/maketst.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] Not enough resource of type PCUParam1655852567. Required 35. Possesed 32
",21.778815243,,,,,False,False,,,,False
4317f313,2019-06-05 23:26:22,BroadcastTest,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/BroadcastTest/log/mappir.log,../gen/MDHTst_pirTest/BroadcastTest/log/runpir.log,../gen/MDHTst_pirTest/BroadcastTest/log/genpsim.log,../gen/MDHTst_pirTest/BroadcastTest/log/gentrace.log,../gen/MDHTst_pirTest/BroadcastTest/log/runpsim.log,../gen/MDHTst_pirTest/BroadcastTest/log/runpsim.sh,../gen/MDHTst_pirTest/BroadcastTest/log/runproute.log,../gen/MDHTst_pirTest/BroadcastTest/log/runproute.sh,../gen/MDHTst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/MDHTst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/MDHTst_pirTest/BroadcastTest/log/,../gen/MDHTst_pirTest/BroadcastTest/log/gentst.log,../gen/MDHTst_pirTest/BroadcastTest/log/maketst.log,../gen/MDHTst_pirTest/BroadcastTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,12.182378851,,,,,False,False,,,,False
4317f313,2019-06-05 23:26:22,DotProduct_0,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/DotProduct_0/log/mappir.log,../gen/MDHTst_pirTest/DotProduct_0/log/runpir.log,../gen/MDHTst_pirTest/DotProduct_0/log/genpsim.log,../gen/MDHTst_pirTest/DotProduct_0/log/gentrace.log,../gen/MDHTst_pirTest/DotProduct_0/log/runpsim.log,../gen/MDHTst_pirTest/DotProduct_0/log/runpsim.sh,../gen/MDHTst_pirTest/DotProduct_0/log/runproute.log,../gen/MDHTst_pirTest/DotProduct_0/log/runproute.sh,../gen/MDHTst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/MDHTst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/MDHTst_pirTest/DotProduct_0/log/,../gen/MDHTst_pirTest/DotProduct_0/log/gentst.log,../gen/MDHTst_pirTest/DotProduct_0/log/maketst.log,../gen/MDHTst_pirTest/DotProduct_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,10.215520895,,,,,False,False,,,,False
4317f313,2019-06-05 23:26:22,DotProduct_1,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/DotProduct_1/log/mappir.log,../gen/MDHTst_pirTest/DotProduct_1/log/runpir.log,../gen/MDHTst_pirTest/DotProduct_1/log/genpsim.log,../gen/MDHTst_pirTest/DotProduct_1/log/gentrace.log,../gen/MDHTst_pirTest/DotProduct_1/log/runpsim.log,../gen/MDHTst_pirTest/DotProduct_1/log/runpsim.sh,../gen/MDHTst_pirTest/DotProduct_1/log/runproute.log,../gen/MDHTst_pirTest/DotProduct_1/log/runproute.sh,../gen/MDHTst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/MDHTst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/MDHTst_pirTest/DotProduct_1/log/,../gen/MDHTst_pirTest/DotProduct_1/log/gentst.log,../gen/MDHTst_pirTest/DotProduct_1/log/maketst.log,../gen/MDHTst_pirTest/DotProduct_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,9.587217093,,,,,False,False,,,,False
4317f313,2019-06-05 23:26:22,DotProduct_2,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/DotProduct_2/log/mappir.log,../gen/MDHTst_pirTest/DotProduct_2/log/runpir.log,../gen/MDHTst_pirTest/DotProduct_2/log/genpsim.log,../gen/MDHTst_pirTest/DotProduct_2/log/gentrace.log,../gen/MDHTst_pirTest/DotProduct_2/log/runpsim.log,../gen/MDHTst_pirTest/DotProduct_2/log/runpsim.sh,../gen/MDHTst_pirTest/DotProduct_2/log/runproute.log,../gen/MDHTst_pirTest/DotProduct_2/log/runproute.sh,../gen/MDHTst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/MDHTst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/MDHTst_pirTest/DotProduct_2/log/,../gen/MDHTst_pirTest/DotProduct_2/log/gentst.log,../gen/MDHTst_pirTest/DotProduct_2/log/maketst.log,../gen/MDHTst_pirTest/DotProduct_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,13.182277973,,,,,False,False,,,,False
4317f313,2019-06-05 23:26:22,DotProduct_3,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/DotProduct_3/log/mappir.log,../gen/MDHTst_pirTest/DotProduct_3/log/runpir.log,../gen/MDHTst_pirTest/DotProduct_3/log/genpsim.log,../gen/MDHTst_pirTest/DotProduct_3/log/gentrace.log,../gen/MDHTst_pirTest/DotProduct_3/log/runpsim.log,../gen/MDHTst_pirTest/DotProduct_3/log/runpsim.sh,../gen/MDHTst_pirTest/DotProduct_3/log/runproute.log,../gen/MDHTst_pirTest/DotProduct_3/log/runproute.sh,../gen/MDHTst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/MDHTst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/MDHTst_pirTest/DotProduct_3/log/,../gen/MDHTst_pirTest/DotProduct_3/log/gentst.log,../gen/MDHTst_pirTest/DotProduct_3/log/maketst.log,../gen/MDHTst_pirTest/DotProduct_3/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,13.907596909,,,,,False,False,,,,False
4317f313,2019-06-05 23:26:22,GDA_0,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/GDA_0/log/mappir.log,../gen/MDHTst_pirTest/GDA_0/log/runpir.log,../gen/MDHTst_pirTest/GDA_0/log/genpsim.log,../gen/MDHTst_pirTest/GDA_0/log/gentrace.log,../gen/MDHTst_pirTest/GDA_0/log/runpsim.log,../gen/MDHTst_pirTest/GDA_0/log/runpsim.sh,../gen/MDHTst_pirTest/GDA_0/log/runproute.log,../gen/MDHTst_pirTest/GDA_0/log/runproute.sh,../gen/MDHTst_pirTest/GDA_0/plastisim/summary.csv,../gen/MDHTst_pirTest/GDA_0/pir/AccelMain.scala,../gen/MDHTst_pirTest/GDA_0/log/,../gen/MDHTst_pirTest/GDA_0/log/gentst.log,../gen/MDHTst_pirTest/GDA_0/log/maketst.log,../gen/MDHTst_pirTest/GDA_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,24.034497683,,,,,False,False,,,,False
4317f313,2019-06-05 23:26:22,GDA_1,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/GDA_1/log/mappir.log,../gen/MDHTst_pirTest/GDA_1/log/runpir.log,../gen/MDHTst_pirTest/GDA_1/log/genpsim.log,../gen/MDHTst_pirTest/GDA_1/log/gentrace.log,../gen/MDHTst_pirTest/GDA_1/log/runpsim.log,../gen/MDHTst_pirTest/GDA_1/log/runpsim.sh,../gen/MDHTst_pirTest/GDA_1/log/runproute.log,../gen/MDHTst_pirTest/GDA_1/log/runproute.sh,../gen/MDHTst_pirTest/GDA_1/plastisim/summary.csv,../gen/MDHTst_pirTest/GDA_1/pir/AccelMain.scala,../gen/MDHTst_pirTest/GDA_1/log/,../gen/MDHTst_pirTest/GDA_1/log/gentst.log,../gen/MDHTst_pirTest/GDA_1/log/maketst.log,../gen/MDHTst_pirTest/GDA_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,25.158178151,,,,,False,False,,,,False
4317f313,2019-06-05 23:26:22,GDA_14,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/GDA_14/log/mappir.log,../gen/MDHTst_pirTest/GDA_14/log/runpir.log,../gen/MDHTst_pirTest/GDA_14/log/genpsim.log,../gen/MDHTst_pirTest/GDA_14/log/gentrace.log,../gen/MDHTst_pirTest/GDA_14/log/runpsim.log,../gen/MDHTst_pirTest/GDA_14/log/runpsim.sh,../gen/MDHTst_pirTest/GDA_14/log/runproute.log,../gen/MDHTst_pirTest/GDA_14/log/runproute.sh,../gen/MDHTst_pirTest/GDA_14/plastisim/summary.csv,../gen/MDHTst_pirTest/GDA_14/pir/AccelMain.scala,../gen/MDHTst_pirTest/GDA_14/log/,../gen/MDHTst_pirTest/GDA_14/log/gentst.log,../gen/MDHTst_pirTest/GDA_14/log/maketst.log,../gen/MDHTst_pirTest/GDA_14/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,"[[31merror[0m] Not enough resource of type PMUParam536529618,PCUParam1432411347. Required 65. Possesed 64
",47.875313212,,,,,False,False,,,,False
