sha,time,app,project,backend,freq,mappirlog,runpirlog,genpsimlog,gentracelog,runpsimlog,psimsh,runproutelog,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,genpir,genpir_err,runpir_time,runpir_err,notFit,MC,DAG,PMU,PCU,row,col,p2p,asic,scheduled,fifo_depth,mappir_err,mappir_time,genpsim_err,gentrace_err,psimcycle,lbw,sbw,psim_deadlock,algo,pattern,slink,vlink,prtime,vcLimit,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,gentst_err,gentst_time,maketst_err,maketst_time,runp2p_cycle,runtst_err,runtst_pass,runp2p_deadlock,runp2p_complete,tst_dram_power,tst_rbw,tst_wbw,runtst_time,succeeded
ef1d7139,2019-06-08 18:44:28,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/mappir.log,../gen/Tst_pirTest/BlackScholes_1/log/runpir.log,../gen/Tst_pirTest/BlackScholes_1/log/genpsim.log,../gen/Tst_pirTest/BlackScholes_1/log/gentrace.log,../gen/Tst_pirTest/BlackScholes_1/log/runpsim.log,../gen/Tst_pirTest/BlackScholes_1/log/runpsim.sh,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,False
ef1d7139,2019-06-08 18:44:28,BroadcastTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BroadcastTest/log/mappir.log,../gen/Tst_pirTest/BroadcastTest/log/runpir.log,../gen/Tst_pirTest/BroadcastTest/log/genpsim.log,../gen/Tst_pirTest/BroadcastTest/log/gentrace.log,../gen/Tst_pirTest/BroadcastTest/log/runpsim.log,../gen/Tst_pirTest/BroadcastTest/log/runpsim.sh,../gen/Tst_pirTest/BroadcastTest/log/runproute.log,../gen/Tst_pirTest/BroadcastTest/log/runproute.sh,../gen/Tst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/Tst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/Tst_pirTest/BroadcastTest/log/,../gen/Tst_pirTest/BroadcastTest/log/gentst.log,../gen/Tst_pirTest/BroadcastTest/log/maketst.log,../gen/Tst_pirTest/BroadcastTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,False
ef1d7139,2019-06-08 18:44:28,DotProduct_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_0/log/mappir.log,../gen/Tst_pirTest/DotProduct_0/log/runpir.log,../gen/Tst_pirTest/DotProduct_0/log/genpsim.log,../gen/Tst_pirTest/DotProduct_0/log/gentrace.log,../gen/Tst_pirTest/DotProduct_0/log/runpsim.log,../gen/Tst_pirTest/DotProduct_0/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_0/log/runproute.log,../gen/Tst_pirTest/DotProduct_0/log/runproute.sh,../gen/Tst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_0/log/,../gen/Tst_pirTest/DotProduct_0/log/gentst.log,../gen/Tst_pirTest/DotProduct_0/log/maketst.log,../gen/Tst_pirTest/DotProduct_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,11.865469239,,0:15.24,,"Assertion fail:
",True,False,False,nan,nan,nan,0:00.24,False
ef1d7139,2019-06-08 18:44:28,DotProduct_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_1/log/mappir.log,../gen/Tst_pirTest/DotProduct_1/log/runpir.log,../gen/Tst_pirTest/DotProduct_1/log/genpsim.log,../gen/Tst_pirTest/DotProduct_1/log/gentrace.log,../gen/Tst_pirTest/DotProduct_1/log/runpsim.log,../gen/Tst_pirTest/DotProduct_1/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_1/log/runproute.log,../gen/Tst_pirTest/DotProduct_1/log/runproute.sh,../gen/Tst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_1/log/,../gen/Tst_pirTest/DotProduct_1/log/gentst.log,../gen/Tst_pirTest/DotProduct_1/log/maketst.log,../gen/Tst_pirTest/DotProduct_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,False
ef1d7139,2019-06-08 18:44:28,DotProduct_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_2/log/mappir.log,../gen/Tst_pirTest/DotProduct_2/log/runpir.log,../gen/Tst_pirTest/DotProduct_2/log/genpsim.log,../gen/Tst_pirTest/DotProduct_2/log/gentrace.log,../gen/Tst_pirTest/DotProduct_2/log/runpsim.log,../gen/Tst_pirTest/DotProduct_2/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_2/log/runproute.log,../gen/Tst_pirTest/DotProduct_2/log/runproute.sh,../gen/Tst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_2/log/,../gen/Tst_pirTest/DotProduct_2/log/gentst.log,../gen/Tst_pirTest/DotProduct_2/log/maketst.log,../gen/Tst_pirTest/DotProduct_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,14.263194711,,0:16.67,,"Assertion fail:
",True,False,False,nan,nan,nan,0:00.20,False
ef1d7139,2019-06-08 18:44:28,GDA_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_0/log/mappir.log,../gen/Tst_pirTest/GDA_0/log/runpir.log,../gen/Tst_pirTest/GDA_0/log/genpsim.log,../gen/Tst_pirTest/GDA_0/log/gentrace.log,../gen/Tst_pirTest/GDA_0/log/runpsim.log,../gen/Tst_pirTest/GDA_0/log/runpsim.sh,../gen/Tst_pirTest/GDA_0/log/runproute.log,../gen/Tst_pirTest/GDA_0/log/runproute.sh,../gen/Tst_pirTest/GDA_0/plastisim/summary.csv,../gen/Tst_pirTest/GDA_0/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_0/log/,../gen/Tst_pirTest/GDA_0/log/gentst.log,../gen/Tst_pirTest/GDA_0/log/maketst.log,../gen/Tst_pirTest/GDA_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,False
ef1d7139,2019-06-08 18:44:28,GDA_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_1/log/mappir.log,../gen/Tst_pirTest/GDA_1/log/runpir.log,../gen/Tst_pirTest/GDA_1/log/genpsim.log,../gen/Tst_pirTest/GDA_1/log/gentrace.log,../gen/Tst_pirTest/GDA_1/log/runpsim.log,../gen/Tst_pirTest/GDA_1/log/runpsim.sh,../gen/Tst_pirTest/GDA_1/log/runproute.log,../gen/Tst_pirTest/GDA_1/log/runproute.sh,../gen/Tst_pirTest/GDA_1/plastisim/summary.csv,../gen/Tst_pirTest/GDA_1/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_1/log/,../gen/Tst_pirTest/GDA_1/log/gentst.log,../gen/Tst_pirTest/GDA_1/log/maketst.log,../gen/Tst_pirTest/GDA_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,False
ef1d7139,2019-06-08 18:44:28,GDA_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_2/log/mappir.log,../gen/Tst_pirTest/GDA_2/log/runpir.log,../gen/Tst_pirTest/GDA_2/log/genpsim.log,../gen/Tst_pirTest/GDA_2/log/gentrace.log,../gen/Tst_pirTest/GDA_2/log/runpsim.log,../gen/Tst_pirTest/GDA_2/log/runpsim.sh,../gen/Tst_pirTest/GDA_2/log/runproute.log,../gen/Tst_pirTest/GDA_2/log/runproute.sh,../gen/Tst_pirTest/GDA_2/plastisim/summary.csv,../gen/Tst_pirTest/GDA_2/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_2/log/,../gen/Tst_pirTest/GDA_2/log/gentst.log,../gen/Tst_pirTest/GDA_2/log/maketst.log,../gen/Tst_pirTest/GDA_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,False
ef1d7139,2019-06-08 18:44:28,GDA_4,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_4/log/mappir.log,../gen/Tst_pirTest/GDA_4/log/runpir.log,../gen/Tst_pirTest/GDA_4/log/genpsim.log,../gen/Tst_pirTest/GDA_4/log/gentrace.log,../gen/Tst_pirTest/GDA_4/log/runpsim.log,../gen/Tst_pirTest/GDA_4/log/runpsim.sh,../gen/Tst_pirTest/GDA_4/log/runproute.log,../gen/Tst_pirTest/GDA_4/log/runproute.sh,../gen/Tst_pirTest/GDA_4/plastisim/summary.csv,../gen/Tst_pirTest/GDA_4/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_4/log/,../gen/Tst_pirTest/GDA_4/log/gentst.log,../gen/Tst_pirTest/GDA_4/log/maketst.log,../gen/Tst_pirTest/GDA_4/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,False
ef1d7139,2019-06-08 18:44:28,GDA_5,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_5/log/mappir.log,../gen/Tst_pirTest/GDA_5/log/runpir.log,../gen/Tst_pirTest/GDA_5/log/genpsim.log,../gen/Tst_pirTest/GDA_5/log/gentrace.log,../gen/Tst_pirTest/GDA_5/log/runpsim.log,../gen/Tst_pirTest/GDA_5/log/runpsim.sh,../gen/Tst_pirTest/GDA_5/log/runproute.log,../gen/Tst_pirTest/GDA_5/log/runproute.sh,../gen/Tst_pirTest/GDA_5/plastisim/summary.csv,../gen/Tst_pirTest/GDA_5/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_5/log/,../gen/Tst_pirTest/GDA_5/log/gentst.log,../gen/Tst_pirTest/GDA_5/log/maketst.log,../gen/Tst_pirTest/GDA_5/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,30.26218482,"Makefile:23: recipe for target 'tungsten' failed
",0:37.53,,,,False,False,,,,,False
