spatial_sha,time,app,project,backend,freq,mappirlog,runpirlog,genpsimlog,gentracelog,runpsimlog,psimsh,runproutelog,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runhybrid,genpir,genpir_err,runpir_time,runpir_err,notFit,MC,DAG,PMU,PCU,row,col,p2p,asic,scheduled,fifo_depth,mappir_err,mappir_time,genpsim_err,gentrace_err,psimcycle,lbw,sbw,psim_deadlock,algo,pattern,slink,vlink,prtime,vcLimit,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,gentst_err,gentst_time,maketst_err,maketst_time,runhybrid_cycle,runtst_err,runtst_pass,runhybrid_deadlock,runhybrid_complete,tst_dram_power,tst_rbw,tst_wbw,runtst_time,succeeded
84aff1bc,2019-06-10 21:35:03,BlackScholes_0,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/BlackScholes_0/log/mappir.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runpir.log,../gen/MDHTst_pirTest/BlackScholes_0/log/genpsim.log,../gen/MDHTst_pirTest/BlackScholes_0/log/gentrace.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runpsim.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runpsim.sh,../gen/MDHTst_pirTest/BlackScholes_0/log/runproute.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runproute.sh,../gen/MDHTst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/MDHTst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/MDHTst_pirTest/BlackScholes_0/log/,../gen/MDHTst_pirTest/BlackScholes_0/log/gentst.log,../gen/MDHTst_pirTest/BlackScholes_0/log/maketst.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,25.779115054,,1:21.62,,,,False,False,,,,,False
84aff1bc,2019-06-10 21:35:03,BlackScholes_1,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/BlackScholes_1/log/mappir.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runpir.log,../gen/MDHTst_pirTest/BlackScholes_1/log/genpsim.log,../gen/MDHTst_pirTest/BlackScholes_1/log/gentrace.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runpsim.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runpsim.sh,../gen/MDHTst_pirTest/BlackScholes_1/log/runproute.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runproute.sh,../gen/MDHTst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/MDHTst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/MDHTst_pirTest/BlackScholes_1/log/,../gen/MDHTst_pirTest/BlackScholes_1/log/gentst.log,../gen/MDHTst_pirTest/BlackScholes_1/log/maketst.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,25.293474232,,1:19.95,,,,False,False,,,,,False
84aff1bc,2019-06-10 21:35:03,BreakTest,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/BreakTest/log/mappir.log,../gen/MDHTst_pirTest/BreakTest/log/runpir.log,../gen/MDHTst_pirTest/BreakTest/log/genpsim.log,../gen/MDHTst_pirTest/BreakTest/log/gentrace.log,../gen/MDHTst_pirTest/BreakTest/log/runpsim.log,../gen/MDHTst_pirTest/BreakTest/log/runpsim.sh,../gen/MDHTst_pirTest/BreakTest/log/runproute.log,../gen/MDHTst_pirTest/BreakTest/log/runproute.sh,../gen/MDHTst_pirTest/BreakTest/plastisim/summary.csv,../gen/MDHTst_pirTest/BreakTest/pir/AccelMain.scala,../gen/MDHTst_pirTest/BreakTest/log/,../gen/MDHTst_pirTest/BreakTest/log/gentst.log,../gen/MDHTst_pirTest/BreakTest/log/maketst.log,../gen/MDHTst_pirTest/BreakTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,5.683314155,,0:20.20,,,,False,False,,,,,False
84aff1bc,2019-06-10 21:35:03,BroadcastTest,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/BroadcastTest/log/mappir.log,../gen/MDHTst_pirTest/BroadcastTest/log/runpir.log,../gen/MDHTst_pirTest/BroadcastTest/log/genpsim.log,../gen/MDHTst_pirTest/BroadcastTest/log/gentrace.log,../gen/MDHTst_pirTest/BroadcastTest/log/runpsim.log,../gen/MDHTst_pirTest/BroadcastTest/log/runpsim.sh,../gen/MDHTst_pirTest/BroadcastTest/log/runproute.log,../gen/MDHTst_pirTest/BroadcastTest/log/runproute.sh,../gen/MDHTst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/MDHTst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/MDHTst_pirTest/BroadcastTest/log/,../gen/MDHTst_pirTest/BroadcastTest/log/gentst.log,../gen/MDHTst_pirTest/BroadcastTest/log/maketst.log,../gen/MDHTst_pirTest/BroadcastTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,13.074891714,,0:33.55,,,,False,False,,,,,False
84aff1bc,2019-06-10 21:35:03,DotProduct_0,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/DotProduct_0/log/mappir.log,../gen/MDHTst_pirTest/DotProduct_0/log/runpir.log,../gen/MDHTst_pirTest/DotProduct_0/log/genpsim.log,../gen/MDHTst_pirTest/DotProduct_0/log/gentrace.log,../gen/MDHTst_pirTest/DotProduct_0/log/runpsim.log,../gen/MDHTst_pirTest/DotProduct_0/log/runpsim.sh,../gen/MDHTst_pirTest/DotProduct_0/log/runproute.log,../gen/MDHTst_pirTest/DotProduct_0/log/runproute.sh,../gen/MDHTst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/MDHTst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/MDHTst_pirTest/DotProduct_0/log/,../gen/MDHTst_pirTest/DotProduct_0/log/gentst.log,../gen/MDHTst_pirTest/DotProduct_0/log/maketst.log,../gen/MDHTst_pirTest/DotProduct_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,10.668085638,,0:26.61,,,,False,False,,,,,False
84aff1bc,2019-06-10 21:35:03,DotProduct_1,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/DotProduct_1/log/mappir.log,../gen/MDHTst_pirTest/DotProduct_1/log/runpir.log,../gen/MDHTst_pirTest/DotProduct_1/log/genpsim.log,../gen/MDHTst_pirTest/DotProduct_1/log/gentrace.log,../gen/MDHTst_pirTest/DotProduct_1/log/runpsim.log,../gen/MDHTst_pirTest/DotProduct_1/log/runpsim.sh,../gen/MDHTst_pirTest/DotProduct_1/log/runproute.log,../gen/MDHTst_pirTest/DotProduct_1/log/runproute.sh,../gen/MDHTst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/MDHTst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/MDHTst_pirTest/DotProduct_1/log/,../gen/MDHTst_pirTest/DotProduct_1/log/gentst.log,../gen/MDHTst_pirTest/DotProduct_1/log/maketst.log,../gen/MDHTst_pirTest/DotProduct_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,10.544946571,,0:24.92,,,,False,False,,,,,False
84aff1bc,2019-06-10 21:35:03,DotProduct_2,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/DotProduct_2/log/mappir.log,../gen/MDHTst_pirTest/DotProduct_2/log/runpir.log,../gen/MDHTst_pirTest/DotProduct_2/log/genpsim.log,../gen/MDHTst_pirTest/DotProduct_2/log/gentrace.log,../gen/MDHTst_pirTest/DotProduct_2/log/runpsim.log,../gen/MDHTst_pirTest/DotProduct_2/log/runpsim.sh,../gen/MDHTst_pirTest/DotProduct_2/log/runproute.log,../gen/MDHTst_pirTest/DotProduct_2/log/runproute.sh,../gen/MDHTst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/MDHTst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/MDHTst_pirTest/DotProduct_2/log/,../gen/MDHTst_pirTest/DotProduct_2/log/gentst.log,../gen/MDHTst_pirTest/DotProduct_2/log/maketst.log,../gen/MDHTst_pirTest/DotProduct_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,13.60605784,,0:28.29,,,,False,False,,,,,False
84aff1bc,2019-06-10 21:35:03,DotProduct_3,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/DotProduct_3/log/mappir.log,../gen/MDHTst_pirTest/DotProduct_3/log/runpir.log,../gen/MDHTst_pirTest/DotProduct_3/log/genpsim.log,../gen/MDHTst_pirTest/DotProduct_3/log/gentrace.log,../gen/MDHTst_pirTest/DotProduct_3/log/runpsim.log,../gen/MDHTst_pirTest/DotProduct_3/log/runpsim.sh,../gen/MDHTst_pirTest/DotProduct_3/log/runproute.log,../gen/MDHTst_pirTest/DotProduct_3/log/runproute.sh,../gen/MDHTst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/MDHTst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/MDHTst_pirTest/DotProduct_3/log/,../gen/MDHTst_pirTest/DotProduct_3/log/gentst.log,../gen/MDHTst_pirTest/DotProduct_3/log/maketst.log,../gen/MDHTst_pirTest/DotProduct_3/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,14.426318355,,0:32.38,,,,False,False,,,,,False
84aff1bc,2019-06-10 21:35:03,GDA_0,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/GDA_0/log/mappir.log,../gen/MDHTst_pirTest/GDA_0/log/runpir.log,../gen/MDHTst_pirTest/GDA_0/log/genpsim.log,../gen/MDHTst_pirTest/GDA_0/log/gentrace.log,../gen/MDHTst_pirTest/GDA_0/log/runpsim.log,../gen/MDHTst_pirTest/GDA_0/log/runpsim.sh,../gen/MDHTst_pirTest/GDA_0/log/runproute.log,../gen/MDHTst_pirTest/GDA_0/log/runproute.sh,../gen/MDHTst_pirTest/GDA_0/plastisim/summary.csv,../gen/MDHTst_pirTest/GDA_0/pir/AccelMain.scala,../gen/MDHTst_pirTest/GDA_0/log/,../gen/MDHTst_pirTest/GDA_0/log/gentst.log,../gen/MDHTst_pirTest/GDA_0/log/maketst.log,../gen/MDHTst_pirTest/GDA_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,25.155711534,,0:51.48,,,,False,False,,,,,False
84aff1bc,2019-06-10 21:35:03,GDA_1,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/GDA_1/log/mappir.log,../gen/MDHTst_pirTest/GDA_1/log/runpir.log,../gen/MDHTst_pirTest/GDA_1/log/genpsim.log,../gen/MDHTst_pirTest/GDA_1/log/gentrace.log,../gen/MDHTst_pirTest/GDA_1/log/runpsim.log,../gen/MDHTst_pirTest/GDA_1/log/runpsim.sh,../gen/MDHTst_pirTest/GDA_1/log/runproute.log,../gen/MDHTst_pirTest/GDA_1/log/runproute.sh,../gen/MDHTst_pirTest/GDA_1/plastisim/summary.csv,../gen/MDHTst_pirTest/GDA_1/pir/AccelMain.scala,../gen/MDHTst_pirTest/GDA_1/log/,../gen/MDHTst_pirTest/GDA_1/log/gentst.log,../gen/MDHTst_pirTest/GDA_1/log/maketst.log,../gen/MDHTst_pirTest/GDA_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,23.029776332,,0:38.03,,,,False,False,,,,,False
84aff1bc,2019-06-10 21:35:03,GDA_14,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/GDA_14/log/mappir.log,../gen/MDHTst_pirTest/GDA_14/log/runpir.log,../gen/MDHTst_pirTest/GDA_14/log/genpsim.log,../gen/MDHTst_pirTest/GDA_14/log/gentrace.log,../gen/MDHTst_pirTest/GDA_14/log/runpsim.log,../gen/MDHTst_pirTest/GDA_14/log/runpsim.sh,../gen/MDHTst_pirTest/GDA_14/log/runproute.log,../gen/MDHTst_pirTest/GDA_14/log/runproute.sh,../gen/MDHTst_pirTest/GDA_14/plastisim/summary.csv,../gen/MDHTst_pirTest/GDA_14/pir/AccelMain.scala,../gen/MDHTst_pirTest/GDA_14/log/,../gen/MDHTst_pirTest/GDA_14/log/gentst.log,../gen/MDHTst_pirTest/GDA_14/log/maketst.log,../gen/MDHTst_pirTest/GDA_14/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,57.344357745,,1:14.06,,,,False,False,,,,,False
