sha,time,app,project,backend,freq,mappirlog,runpirlog,genpsimlog,gentracelog,runpsimlog,psimsh,runproutelog,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,genpir,genpir_err,runpir_time,runpir_err,notFit,MC,DAG,PMU,PCU,row,col,p2p,asic,scheduled,fifo_depth,mappir_err,mappir_time,genpsim_err,gentrace_err,psimcycle,lbw,sbw,psim_deadlock,algo,pattern,slink,vlink,prtime,vcLimit,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,gentst_err,gentst_time,maketst_err,maketst_time,runp2p_cycle,runtst_err,runtst_pass,runp2p_deadlock,runp2p_complete,tst_dram_power,tst_rbw,tst_wbw,runtst_time,succeeded
84aff1bc,2019-06-10 21:35:03,BlackScholes_0,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/BlackScholes_0/log/mappir.log,../gen/MDTst_pirTest/BlackScholes_0/log/runpir.log,../gen/MDTst_pirTest/BlackScholes_0/log/genpsim.log,../gen/MDTst_pirTest/BlackScholes_0/log/gentrace.log,../gen/MDTst_pirTest/BlackScholes_0/log/runpsim.log,../gen/MDTst_pirTest/BlackScholes_0/log/runpsim.sh,../gen/MDTst_pirTest/BlackScholes_0/log/runproute.log,../gen/MDTst_pirTest/BlackScholes_0/log/runproute.sh,../gen/MDTst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/MDTst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/MDTst_pirTest/BlackScholes_0/log/,../gen/MDTst_pirTest/BlackScholes_0/log/gentst.log,../gen/MDTst_pirTest/BlackScholes_0/log/maketst.log,../gen/MDTst_pirTest/BlackScholes_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,23.295393458,,1:15.00,2512,,True,False,True,0.0,9.783,1.631,0:00.47,True
84aff1bc,2019-06-10 21:35:03,BlackScholes_1,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/BlackScholes_1/log/mappir.log,../gen/MDTst_pirTest/BlackScholes_1/log/runpir.log,../gen/MDTst_pirTest/BlackScholes_1/log/genpsim.log,../gen/MDTst_pirTest/BlackScholes_1/log/gentrace.log,../gen/MDTst_pirTest/BlackScholes_1/log/runpsim.log,../gen/MDTst_pirTest/BlackScholes_1/log/runpsim.sh,../gen/MDTst_pirTest/BlackScholes_1/log/runproute.log,../gen/MDTst_pirTest/BlackScholes_1/log/runproute.sh,../gen/MDTst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/MDTst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/MDTst_pirTest/BlackScholes_1/log/,../gen/MDTst_pirTest/BlackScholes_1/log/gentst.log,../gen/MDTst_pirTest/BlackScholes_1/log/maketst.log,../gen/MDTst_pirTest/BlackScholes_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,22.839501922,,1:04.06,22726,,True,False,True,0.0,1.081,0.18,0:03.46,True
84aff1bc,2019-06-10 21:35:03,BreakTest,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/BreakTest/log/mappir.log,../gen/MDTst_pirTest/BreakTest/log/runpir.log,../gen/MDTst_pirTest/BreakTest/log/genpsim.log,../gen/MDTst_pirTest/BreakTest/log/gentrace.log,../gen/MDTst_pirTest/BreakTest/log/runpsim.log,../gen/MDTst_pirTest/BreakTest/log/runpsim.sh,../gen/MDTst_pirTest/BreakTest/log/runproute.log,../gen/MDTst_pirTest/BreakTest/log/runproute.sh,../gen/MDTst_pirTest/BreakTest/plastisim/summary.csv,../gen/MDTst_pirTest/BreakTest/pir/AccelMain.scala,../gen/MDTst_pirTest/BreakTest/log/,../gen/MDTst_pirTest/BreakTest/log/gentst.log,../gen/MDTst_pirTest/BreakTest/log/maketst.log,../gen/MDTst_pirTest/BreakTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,3.838035393,,0:06.18,,,,False,False,,,,,False
84aff1bc,2019-06-10 21:35:03,BroadcastTest,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/BroadcastTest/log/mappir.log,../gen/MDTst_pirTest/BroadcastTest/log/runpir.log,../gen/MDTst_pirTest/BroadcastTest/log/genpsim.log,../gen/MDTst_pirTest/BroadcastTest/log/gentrace.log,../gen/MDTst_pirTest/BroadcastTest/log/runpsim.log,../gen/MDTst_pirTest/BroadcastTest/log/runpsim.sh,../gen/MDTst_pirTest/BroadcastTest/log/runproute.log,../gen/MDTst_pirTest/BroadcastTest/log/runproute.sh,../gen/MDTst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/MDTst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/MDTst_pirTest/BroadcastTest/log/,../gen/MDTst_pirTest/BroadcastTest/log/gentst.log,../gen/MDTst_pirTest/BroadcastTest/log/maketst.log,../gen/MDTst_pirTest/BroadcastTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,11.180591519,,0:19.45,530,,True,False,True,0.0,0.242,7.728,0:00.03,True
84aff1bc,2019-06-10 21:35:03,DotProduct_0,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/DotProduct_0/log/mappir.log,../gen/MDTst_pirTest/DotProduct_0/log/runpir.log,../gen/MDTst_pirTest/DotProduct_0/log/genpsim.log,../gen/MDTst_pirTest/DotProduct_0/log/gentrace.log,../gen/MDTst_pirTest/DotProduct_0/log/runpsim.log,../gen/MDTst_pirTest/DotProduct_0/log/runpsim.sh,../gen/MDTst_pirTest/DotProduct_0/log/runproute.log,../gen/MDTst_pirTest/DotProduct_0/log/runproute.sh,../gen/MDTst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/MDTst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/MDTst_pirTest/DotProduct_0/log/,../gen/MDTst_pirTest/DotProduct_0/log/gentst.log,../gen/MDTst_pirTest/DotProduct_0/log/maketst.log,../gen/MDTst_pirTest/DotProduct_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,9.045403721,,0:13.27,312,,True,False,True,0.0,26.256,0.0,0:00.02,True
84aff1bc,2019-06-10 21:35:03,DotProduct_1,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/DotProduct_1/log/mappir.log,../gen/MDTst_pirTest/DotProduct_1/log/runpir.log,../gen/MDTst_pirTest/DotProduct_1/log/genpsim.log,../gen/MDTst_pirTest/DotProduct_1/log/gentrace.log,../gen/MDTst_pirTest/DotProduct_1/log/runpsim.log,../gen/MDTst_pirTest/DotProduct_1/log/runpsim.sh,../gen/MDTst_pirTest/DotProduct_1/log/runproute.log,../gen/MDTst_pirTest/DotProduct_1/log/runproute.sh,../gen/MDTst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/MDTst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/MDTst_pirTest/DotProduct_1/log/,../gen/MDTst_pirTest/DotProduct_1/log/gentst.log,../gen/MDTst_pirTest/DotProduct_1/log/maketst.log,../gen/MDTst_pirTest/DotProduct_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,8.984641848,,0:12.11,1143,,True,False,True,0.0,7.167,0.0,0:00.03,True
84aff1bc,2019-06-10 21:35:03,DotProduct_2,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/DotProduct_2/log/mappir.log,../gen/MDTst_pirTest/DotProduct_2/log/runpir.log,../gen/MDTst_pirTest/DotProduct_2/log/genpsim.log,../gen/MDTst_pirTest/DotProduct_2/log/gentrace.log,../gen/MDTst_pirTest/DotProduct_2/log/runpsim.log,../gen/MDTst_pirTest/DotProduct_2/log/runpsim.sh,../gen/MDTst_pirTest/DotProduct_2/log/runproute.log,../gen/MDTst_pirTest/DotProduct_2/log/runproute.sh,../gen/MDTst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/MDTst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/MDTst_pirTest/DotProduct_2/log/,../gen/MDTst_pirTest/DotProduct_2/log/gentst.log,../gen/MDTst_pirTest/DotProduct_2/log/maketst.log,../gen/MDTst_pirTest/DotProduct_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,12.623275129,,0:16.56,631,,True,False,True,0.0,12.983,0.0,0:00.05,True
84aff1bc,2019-06-10 21:35:03,DotProduct_3,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/DotProduct_3/log/mappir.log,../gen/MDTst_pirTest/DotProduct_3/log/runpir.log,../gen/MDTst_pirTest/DotProduct_3/log/genpsim.log,../gen/MDTst_pirTest/DotProduct_3/log/gentrace.log,../gen/MDTst_pirTest/DotProduct_3/log/runpsim.log,../gen/MDTst_pirTest/DotProduct_3/log/runpsim.sh,../gen/MDTst_pirTest/DotProduct_3/log/runproute.log,../gen/MDTst_pirTest/DotProduct_3/log/runproute.sh,../gen/MDTst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/MDTst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/MDTst_pirTest/DotProduct_3/log/,../gen/MDTst_pirTest/DotProduct_3/log/gentst.log,../gen/MDTst_pirTest/DotProduct_3/log/maketst.log,../gen/MDTst_pirTest/DotProduct_3/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,12.667934303,,0:18.57,245,,True,False,True,0.0,33.437,0.0,0:00.03,True
84aff1bc,2019-06-10 21:35:03,GDA_0,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/GDA_0/log/mappir.log,../gen/MDTst_pirTest/GDA_0/log/runpir.log,../gen/MDTst_pirTest/GDA_0/log/genpsim.log,../gen/MDTst_pirTest/GDA_0/log/gentrace.log,../gen/MDTst_pirTest/GDA_0/log/runpsim.log,../gen/MDTst_pirTest/GDA_0/log/runpsim.sh,../gen/MDTst_pirTest/GDA_0/log/runproute.log,../gen/MDTst_pirTest/GDA_0/log/runproute.sh,../gen/MDTst_pirTest/GDA_0/plastisim/summary.csv,../gen/MDTst_pirTest/GDA_0/pir/AccelMain.scala,../gen/MDTst_pirTest/GDA_0/log/,../gen/MDTst_pirTest/GDA_0/log/gentst.log,../gen/MDTst_pirTest/GDA_0/log/maketst.log,../gen/MDTst_pirTest/GDA_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,22.785907023,,0:38.59,1078963,,True,False,True,1.724,0.491,0.061,2:23.58,True
84aff1bc,2019-06-10 21:35:03,GDA_1,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/GDA_1/log/mappir.log,../gen/MDTst_pirTest/GDA_1/log/runpir.log,../gen/MDTst_pirTest/GDA_1/log/genpsim.log,../gen/MDTst_pirTest/GDA_1/log/gentrace.log,../gen/MDTst_pirTest/GDA_1/log/runpsim.log,../gen/MDTst_pirTest/GDA_1/log/runpsim.sh,../gen/MDTst_pirTest/GDA_1/log/runproute.log,../gen/MDTst_pirTest/GDA_1/log/runproute.sh,../gen/MDTst_pirTest/GDA_1/plastisim/summary.csv,../gen/MDTst_pirTest/GDA_1/pir/AccelMain.scala,../gen/MDTst_pirTest/GDA_1/log/,../gen/MDTst_pirTest/GDA_1/log/gentst.log,../gen/MDTst_pirTest/GDA_1/log/maketst.log,../gen/MDTst_pirTest/GDA_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,23.75406185,,0:34.91,6016,,True,False,True,0.0,1.447,0.681,0:00.79,True
