sha,time,app,project,backend,freq,mappirlog,runpirlog,genpsimlog,gentracelog,runpsimlog,psimsh,runproutelog,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runhybrid,genpir,genpir_err,runpir_time,runpir_err,notFit,MC,DAG,PMU,PCU,row,col,p2p,asic,scheduled,fifo_depth,mappir_err,mappir_time,genpsim_err,gentrace_err,psimcycle,lbw,sbw,psim_deadlock,algo,pattern,slink,vlink,prtime,vcLimit,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,gentst_err,gentst_time,maketst_err,maketst_time,runhybrid_cycle,runtst_err,runtst_pass,runhybrid_deadlock,runhybrid_complete,tst_dram_power,tst_rbw,tst_wbw,runtst_time,succeeded
e834b9fc,2019-06-11 12:18:51,BlackScholes_0,pirTest,HTst,1000000000.0,../gen/HTst_pirTest/BlackScholes_0/log/mappir.log,../gen/HTst_pirTest/BlackScholes_0/log/runpir.log,../gen/HTst_pirTest/BlackScholes_0/log/genpsim.log,../gen/HTst_pirTest/BlackScholes_0/log/gentrace.log,../gen/HTst_pirTest/BlackScholes_0/log/runpsim.log,../gen/HTst_pirTest/BlackScholes_0/log/runpsim.sh,../gen/HTst_pirTest/BlackScholes_0/log/runproute.log,../gen/HTst_pirTest/BlackScholes_0/log/runproute.sh,../gen/HTst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/HTst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/HTst_pirTest/BlackScholes_0/log/,../gen/HTst_pirTest/BlackScholes_0/log/gentst.log,../gen/HTst_pirTest/BlackScholes_0/log/maketst.log,../gen/HTst_pirTest/BlackScholes_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,0,9,25280,505,15.31,1,7480,0.0156,0.0156,0.0156,15,100.00,0.0000,,140.144865256,,1:16.17,6246,,True,False,True,0.0,3.935,0.656,0:41.77,True
e834b9fc,2019-06-11 12:18:51,BlackScholes_1,pirTest,HTst,1000000000.0,../gen/HTst_pirTest/BlackScholes_1/log/mappir.log,../gen/HTst_pirTest/BlackScholes_1/log/runpir.log,../gen/HTst_pirTest/BlackScholes_1/log/genpsim.log,../gen/HTst_pirTest/BlackScholes_1/log/gentrace.log,../gen/HTst_pirTest/BlackScholes_1/log/runpsim.log,../gen/HTst_pirTest/BlackScholes_1/log/runpsim.sh,../gen/HTst_pirTest/BlackScholes_1/log/runproute.log,../gen/HTst_pirTest/BlackScholes_1/log/runproute.sh,../gen/HTst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/HTst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/HTst_pirTest/BlackScholes_1/log/,../gen/HTst_pirTest/BlackScholes_1/log/gentst.log,../gen/HTst_pirTest/BlackScholes_1/log/maketst.log,../gen/HTst_pirTest/BlackScholes_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,0,12693,0,726623,511.60,1,131320,1.0000,1.0000,1.0000,23,100.00,0.0000,,150.192603796,,0:56.23,,,,False,False,,,,0:01.36,False
e834b9fc,2019-06-11 12:18:51,BreakTest,pirTest,HTst,1000000000.0,../gen/HTst_pirTest/BreakTest/log/mappir.log,../gen/HTst_pirTest/BreakTest/log/runpir.log,../gen/HTst_pirTest/BreakTest/log/genpsim.log,../gen/HTst_pirTest/BreakTest/log/gentrace.log,../gen/HTst_pirTest/BreakTest/log/runpsim.log,../gen/HTst_pirTest/BreakTest/log/runpsim.sh,../gen/HTst_pirTest/BreakTest/log/runproute.log,../gen/HTst_pirTest/BreakTest/log/runproute.sh,../gen/HTst_pirTest/BreakTest/plastisim/summary.csv,../gen/HTst_pirTest/BreakTest/pir/AccelMain.scala,../gen/HTst_pirTest/BreakTest/log/,../gen/HTst_pirTest/BreakTest/log/gentst.log,../gen/HTst_pirTest/BreakTest/log/maketst.log,../gen/HTst_pirTest/BreakTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,0,0,0,1000000,0.50,0,1000000,0.0000,0.0000,0.0000,1,-nan,0.0000,,11.212767013,,0:17.35,,,,False,False,,,,,False
e834b9fc,2019-06-11 12:18:51,BroadcastTest,pirTest,HTst,1000000000.0,../gen/HTst_pirTest/BroadcastTest/log/mappir.log,../gen/HTst_pirTest/BroadcastTest/log/runpir.log,../gen/HTst_pirTest/BroadcastTest/log/genpsim.log,../gen/HTst_pirTest/BroadcastTest/log/gentrace.log,../gen/HTst_pirTest/BroadcastTest/log/runpsim.log,../gen/HTst_pirTest/BroadcastTest/log/runpsim.sh,../gen/HTst_pirTest/BroadcastTest/log/runproute.log,../gen/HTst_pirTest/BroadcastTest/log/runproute.sh,../gen/HTst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/HTst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/HTst_pirTest/BroadcastTest/log/,../gen/HTst_pirTest/BroadcastTest/log/gentst.log,../gen/HTst_pirTest/BroadcastTest/log/maketst.log,../gen/HTst_pirTest/BroadcastTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,0,0,2964,983,4.00,0,1705,0.0000,0.0000,0.0000,8,-nan,0.0000,,34.873356203,,0:33.29,1107,,True,False,True,0.0,0.116,3.7,0:03.89,True
e834b9fc,2019-06-11 12:18:51,DotProduct_0,pirTest,HTst,1000000000.0,../gen/HTst_pirTest/DotProduct_0/log/mappir.log,../gen/HTst_pirTest/DotProduct_0/log/runpir.log,../gen/HTst_pirTest/DotProduct_0/log/genpsim.log,../gen/HTst_pirTest/DotProduct_0/log/gentrace.log,../gen/HTst_pirTest/DotProduct_0/log/runpsim.log,../gen/HTst_pirTest/DotProduct_0/log/runpsim.sh,../gen/HTst_pirTest/DotProduct_0/log/runproute.log,../gen/HTst_pirTest/DotProduct_0/log/runproute.sh,../gen/HTst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/HTst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/HTst_pirTest/DotProduct_0/log/,../gen/HTst_pirTest/DotProduct_0/log/gentst.log,../gen/HTst_pirTest/DotProduct_0/log/maketst.log,../gen/HTst_pirTest/DotProduct_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,0,0,704,85,4.00,0,419,0.0000,0.0000,0.0000,8,-nan,0.0000,,25.239644851,,0:28.59,469,,True,False,True,0.0,17.467,0.0,0:01.95,True
e834b9fc,2019-06-11 12:18:51,DotProduct_1,pirTest,HTst,1000000000.0,../gen/HTst_pirTest/DotProduct_1/log/mappir.log,../gen/HTst_pirTest/DotProduct_1/log/runpir.log,../gen/HTst_pirTest/DotProduct_1/log/genpsim.log,../gen/HTst_pirTest/DotProduct_1/log/gentrace.log,../gen/HTst_pirTest/DotProduct_1/log/runpsim.log,../gen/HTst_pirTest/DotProduct_1/log/runpsim.sh,../gen/HTst_pirTest/DotProduct_1/log/runproute.log,../gen/HTst_pirTest/DotProduct_1/log/runproute.sh,../gen/HTst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/HTst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/HTst_pirTest/DotProduct_1/log/,../gen/HTst_pirTest/DotProduct_1/log/gentst.log,../gen/HTst_pirTest/DotProduct_1/log/maketst.log,../gen/HTst_pirTest/DotProduct_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,0,0,0,13395,4.00,0,4259,0.0000,0.0000,0.0000,8,-nan,0.0000,,28.408154797,,0:27.97,2981,,True,False,True,0.0,2.748,0.0,0:11.51,True
e834b9fc,2019-06-11 12:18:51,DotProduct_2,pirTest,HTst,1000000000.0,../gen/HTst_pirTest/DotProduct_2/log/mappir.log,../gen/HTst_pirTest/DotProduct_2/log/runpir.log,../gen/HTst_pirTest/DotProduct_2/log/genpsim.log,../gen/HTst_pirTest/DotProduct_2/log/gentrace.log,../gen/HTst_pirTest/DotProduct_2/log/runpsim.log,../gen/HTst_pirTest/DotProduct_2/log/runpsim.sh,../gen/HTst_pirTest/DotProduct_2/log/runproute.log,../gen/HTst_pirTest/DotProduct_2/log/runproute.sh,../gen/HTst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/HTst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/HTst_pirTest/DotProduct_2/log/,../gen/HTst_pirTest/DotProduct_2/log/gentst.log,../gen/HTst_pirTest/DotProduct_2/log/maketst.log,../gen/HTst_pirTest/DotProduct_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,0,0,0,9376,4.50,0,4261,0.0000,0.0000,0.0000,9,-nan,0.0000,,35.963609529,,0:31.75,1638,,True,False,True,0.0,5.001,0.0,0:07.64,True
e834b9fc,2019-06-11 12:18:51,DotProduct_3,pirTest,HTst,1000000000.0,../gen/HTst_pirTest/DotProduct_3/log/mappir.log,../gen/HTst_pirTest/DotProduct_3/log/runpir.log,../gen/HTst_pirTest/DotProduct_3/log/genpsim.log,../gen/HTst_pirTest/DotProduct_3/log/gentrace.log,../gen/HTst_pirTest/DotProduct_3/log/runpsim.log,../gen/HTst_pirTest/DotProduct_3/log/runpsim.sh,../gen/HTst_pirTest/DotProduct_3/log/runproute.log,../gen/HTst_pirTest/DotProduct_3/log/runproute.sh,../gen/HTst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/HTst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/HTst_pirTest/DotProduct_3/log/,../gen/HTst_pirTest/DotProduct_3/log/gentst.log,../gen/HTst_pirTest/DotProduct_3/log/maketst.log,../gen/HTst_pirTest/DotProduct_3/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,0,0,704,160,4.50,0,421,0.0000,0.0000,0.0000,9,-nan,0.0000,,36.272274144,,0:34.39,393,,True,False,True,0.0,20.845,0.0,0:01.66,True
e834b9fc,2019-06-11 12:18:51,GDA_0,pirTest,HTst,1000000000.0,../gen/HTst_pirTest/GDA_0/log/mappir.log,../gen/HTst_pirTest/GDA_0/log/runpir.log,../gen/HTst_pirTest/GDA_0/log/genpsim.log,../gen/HTst_pirTest/GDA_0/log/gentrace.log,../gen/HTst_pirTest/GDA_0/log/runpsim.log,../gen/HTst_pirTest/GDA_0/log/runpsim.sh,../gen/HTst_pirTest/GDA_0/log/runproute.log,../gen/HTst_pirTest/GDA_0/log/runproute.sh,../gen/HTst_pirTest/GDA_0/plastisim/summary.csv,../gen/HTst_pirTest/GDA_0/pir/AccelMain.scala,../gen/HTst_pirTest/GDA_0/log/,../gen/HTst_pirTest/GDA_0/log/gentst.log,../gen/HTst_pirTest/GDA_0/log/maketst.log,../gen/HTst_pirTest/GDA_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,0,0,12795464,3115,4.50,0,7419362,0.0000,0.0000,0.0000,9,-nan,0.0000,,54.193917029,,0:54.87,,,,False,False,,,,,False
e834b9fc,2019-06-11 12:18:51,GDA_1,pirTest,HTst,1000000000.0,../gen/HTst_pirTest/GDA_1/log/mappir.log,../gen/HTst_pirTest/GDA_1/log/runpir.log,../gen/HTst_pirTest/GDA_1/log/genpsim.log,../gen/HTst_pirTest/GDA_1/log/gentrace.log,../gen/HTst_pirTest/GDA_1/log/runpsim.log,../gen/HTst_pirTest/GDA_1/log/runpsim.sh,../gen/HTst_pirTest/GDA_1/log/runproute.log,../gen/HTst_pirTest/GDA_1/log/runproute.sh,../gen/HTst_pirTest/GDA_1/plastisim/summary.csv,../gen/HTst_pirTest/GDA_1/pir/AccelMain.scala,../gen/HTst_pirTest/GDA_1/log/,../gen/HTst_pirTest/GDA_1/log/gentst.log,../gen/HTst_pirTest/GDA_1/log/maketst.log,../gen/HTst_pirTest/GDA_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,0,0,48602,301,4.50,0,30518,0.0000,0.0000,0.0000,9,-nan,0.0000,,52.142414288,,0:51.39,14682,,True,False,True,0.0,0.593,0.279,1:07.64,True
e834b9fc,2019-06-11 12:18:51,GDA_14,pirTest,HTst,1000000000.0,../gen/HTst_pirTest/GDA_14/log/mappir.log,../gen/HTst_pirTest/GDA_14/log/runpir.log,../gen/HTst_pirTest/GDA_14/log/genpsim.log,../gen/HTst_pirTest/GDA_14/log/gentrace.log,../gen/HTst_pirTest/GDA_14/log/runpsim.log,../gen/HTst_pirTest/GDA_14/log/runpsim.sh,../gen/HTst_pirTest/GDA_14/log/runproute.log,../gen/HTst_pirTest/GDA_14/log/runproute.sh,../gen/HTst_pirTest/GDA_14/plastisim/summary.csv,../gen/HTst_pirTest/GDA_14/pir/AccelMain.scala,../gen/HTst_pirTest/GDA_14/log/,../gen/HTst_pirTest/GDA_14/log/gentst.log,../gen/HTst_pirTest/GDA_14/log/maketst.log,../gen/HTst_pirTest/GDA_14/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,0,0,53028372,4248245,5.00,0,20620770,0.0000,0.0000,0.0000,10,-nan,0.0000,,127.362670806,,1:40.19,,,,False,False,,,,,False
