spatial_sha,time,app,project,backend,freq,mappirlog,runpirlog,genpsimlog,gentracelog,runpsimlog,psimsh,runproutelog,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,genpir,genpir_err,runpir_time,runpir_err,notFit,MC,DAG,PMU,PCU,row,col,p2p,asic,scheduled,fifo_depth,mappir_err,mappir_time,genpsim_err,gentrace_err,psimcycle,lbw,sbw,psim_deadlock,algo,pattern,slink,vlink,prtime,vcLimit,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,gentst_err,gentst_time,maketst_err,maketst_time,runp2p_cycle,runtst_err,runtst_pass,runp2p_deadlock,runp2p_complete,tst_dram_power,tst_rbw,tst_wbw,runtst_time,succeeded
3cde5311,2019-06-11 12:18:51,BlackScholes_0,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/BlackScholes_0/log/mappir.log,../gen/MDTst_pirTest/BlackScholes_0/log/runpir.log,../gen/MDTst_pirTest/BlackScholes_0/log/genpsim.log,../gen/MDTst_pirTest/BlackScholes_0/log/gentrace.log,../gen/MDTst_pirTest/BlackScholes_0/log/runpsim.log,../gen/MDTst_pirTest/BlackScholes_0/log/runpsim.sh,../gen/MDTst_pirTest/BlackScholes_0/log/runproute.log,../gen/MDTst_pirTest/BlackScholes_0/log/runproute.sh,../gen/MDTst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/MDTst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/MDTst_pirTest/BlackScholes_0/log/,../gen/MDTst_pirTest/BlackScholes_0/log/gentst.log,../gen/MDTst_pirTest/BlackScholes_0/log/maketst.log,../gen/MDTst_pirTest/BlackScholes_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,22.100016158,,1:10.09,2160,,True,False,True,0.0,11.378,1.896,0:00.46,True
3cde5311,2019-06-11 12:18:51,BlackScholes_1,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/BlackScholes_1/log/mappir.log,../gen/MDTst_pirTest/BlackScholes_1/log/runpir.log,../gen/MDTst_pirTest/BlackScholes_1/log/genpsim.log,../gen/MDTst_pirTest/BlackScholes_1/log/gentrace.log,../gen/MDTst_pirTest/BlackScholes_1/log/runpsim.log,../gen/MDTst_pirTest/BlackScholes_1/log/runpsim.sh,../gen/MDTst_pirTest/BlackScholes_1/log/runproute.log,../gen/MDTst_pirTest/BlackScholes_1/log/runproute.sh,../gen/MDTst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/MDTst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/MDTst_pirTest/BlackScholes_1/log/,../gen/MDTst_pirTest/BlackScholes_1/log/gentst.log,../gen/MDTst_pirTest/BlackScholes_1/log/maketst.log,../gen/MDTst_pirTest/BlackScholes_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,24.68636688,,1:02.89,37911,,True,False,True,0.0,0.648,0.108,0:05.89,True
3cde5311,2019-06-11 12:18:51,BreakTest,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/BreakTest/log/mappir.log,../gen/MDTst_pirTest/BreakTest/log/runpir.log,../gen/MDTst_pirTest/BreakTest/log/genpsim.log,../gen/MDTst_pirTest/BreakTest/log/gentrace.log,../gen/MDTst_pirTest/BreakTest/log/runpsim.log,../gen/MDTst_pirTest/BreakTest/log/runpsim.sh,../gen/MDTst_pirTest/BreakTest/log/runproute.log,../gen/MDTst_pirTest/BreakTest/log/runproute.sh,../gen/MDTst_pirTest/BreakTest/plastisim/summary.csv,../gen/MDTst_pirTest/BreakTest/pir/AccelMain.scala,../gen/MDTst_pirTest/BreakTest/log/,../gen/MDTst_pirTest/BreakTest/log/gentst.log,../gen/MDTst_pirTest/BreakTest/log/maketst.log,../gen/MDTst_pirTest/BreakTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,4.526314166,,0:07.83,,,,False,False,,,,,False
3cde5311,2019-06-11 12:18:51,BroadcastTest,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/BroadcastTest/log/mappir.log,../gen/MDTst_pirTest/BroadcastTest/log/runpir.log,../gen/MDTst_pirTest/BroadcastTest/log/genpsim.log,../gen/MDTst_pirTest/BroadcastTest/log/gentrace.log,../gen/MDTst_pirTest/BroadcastTest/log/runpsim.log,../gen/MDTst_pirTest/BroadcastTest/log/runpsim.sh,../gen/MDTst_pirTest/BroadcastTest/log/runproute.log,../gen/MDTst_pirTest/BroadcastTest/log/runproute.sh,../gen/MDTst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/MDTst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/MDTst_pirTest/BroadcastTest/log/,../gen/MDTst_pirTest/BroadcastTest/log/gentst.log,../gen/MDTst_pirTest/BroadcastTest/log/maketst.log,../gen/MDTst_pirTest/BroadcastTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,10.821066539,,0:17.87,530,,True,False,True,0.0,0.242,7.728,0:00.04,True
3cde5311,2019-06-11 12:18:51,DotProduct_0,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/DotProduct_0/log/mappir.log,../gen/MDTst_pirTest/DotProduct_0/log/runpir.log,../gen/MDTst_pirTest/DotProduct_0/log/genpsim.log,../gen/MDTst_pirTest/DotProduct_0/log/gentrace.log,../gen/MDTst_pirTest/DotProduct_0/log/runpsim.log,../gen/MDTst_pirTest/DotProduct_0/log/runpsim.sh,../gen/MDTst_pirTest/DotProduct_0/log/runproute.log,../gen/MDTst_pirTest/DotProduct_0/log/runproute.sh,../gen/MDTst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/MDTst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/MDTst_pirTest/DotProduct_0/log/,../gen/MDTst_pirTest/DotProduct_0/log/gentst.log,../gen/MDTst_pirTest/DotProduct_0/log/maketst.log,../gen/MDTst_pirTest/DotProduct_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,10.009608799,,0:13.95,312,,True,False,True,0.0,26.256,0.0,0:00.02,True
3cde5311,2019-06-11 12:18:51,DotProduct_1,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/DotProduct_1/log/mappir.log,../gen/MDTst_pirTest/DotProduct_1/log/runpir.log,../gen/MDTst_pirTest/DotProduct_1/log/genpsim.log,../gen/MDTst_pirTest/DotProduct_1/log/gentrace.log,../gen/MDTst_pirTest/DotProduct_1/log/runpsim.log,../gen/MDTst_pirTest/DotProduct_1/log/runpsim.sh,../gen/MDTst_pirTest/DotProduct_1/log/runproute.log,../gen/MDTst_pirTest/DotProduct_1/log/runproute.sh,../gen/MDTst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/MDTst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/MDTst_pirTest/DotProduct_1/log/,../gen/MDTst_pirTest/DotProduct_1/log/gentst.log,../gen/MDTst_pirTest/DotProduct_1/log/maketst.log,../gen/MDTst_pirTest/DotProduct_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,8.262160782,,0:11.48,1143,,True,False,True,0.0,7.167,0.0,0:00.06,True
3cde5311,2019-06-11 12:18:51,DotProduct_2,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/DotProduct_2/log/mappir.log,../gen/MDTst_pirTest/DotProduct_2/log/runpir.log,../gen/MDTst_pirTest/DotProduct_2/log/genpsim.log,../gen/MDTst_pirTest/DotProduct_2/log/gentrace.log,../gen/MDTst_pirTest/DotProduct_2/log/runpsim.log,../gen/MDTst_pirTest/DotProduct_2/log/runpsim.sh,../gen/MDTst_pirTest/DotProduct_2/log/runproute.log,../gen/MDTst_pirTest/DotProduct_2/log/runproute.sh,../gen/MDTst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/MDTst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/MDTst_pirTest/DotProduct_2/log/,../gen/MDTst_pirTest/DotProduct_2/log/gentst.log,../gen/MDTst_pirTest/DotProduct_2/log/maketst.log,../gen/MDTst_pirTest/DotProduct_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,13.171898116,,0:13.66,631,,True,False,True,0.0,12.983,0.0,0:00.03,True
3cde5311,2019-06-11 12:18:51,DotProduct_3,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/DotProduct_3/log/mappir.log,../gen/MDTst_pirTest/DotProduct_3/log/runpir.log,../gen/MDTst_pirTest/DotProduct_3/log/genpsim.log,../gen/MDTst_pirTest/DotProduct_3/log/gentrace.log,../gen/MDTst_pirTest/DotProduct_3/log/runpsim.log,../gen/MDTst_pirTest/DotProduct_3/log/runpsim.sh,../gen/MDTst_pirTest/DotProduct_3/log/runproute.log,../gen/MDTst_pirTest/DotProduct_3/log/runproute.sh,../gen/MDTst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/MDTst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/MDTst_pirTest/DotProduct_3/log/,../gen/MDTst_pirTest/DotProduct_3/log/gentst.log,../gen/MDTst_pirTest/DotProduct_3/log/maketst.log,../gen/MDTst_pirTest/DotProduct_3/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,13.239148658,,0:18.33,245,,True,False,True,0.0,33.437,0.0,0:00.02,True
3cde5311,2019-06-11 12:18:51,GDA_0,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/GDA_0/log/mappir.log,../gen/MDTst_pirTest/GDA_0/log/runpir.log,../gen/MDTst_pirTest/GDA_0/log/genpsim.log,../gen/MDTst_pirTest/GDA_0/log/gentrace.log,../gen/MDTst_pirTest/GDA_0/log/runpsim.log,../gen/MDTst_pirTest/GDA_0/log/runpsim.sh,../gen/MDTst_pirTest/GDA_0/log/runproute.log,../gen/MDTst_pirTest/GDA_0/log/runproute.sh,../gen/MDTst_pirTest/GDA_0/plastisim/summary.csv,../gen/MDTst_pirTest/GDA_0/pir/AccelMain.scala,../gen/MDTst_pirTest/GDA_0/log/,../gen/MDTst_pirTest/GDA_0/log/gentst.log,../gen/MDTst_pirTest/GDA_0/log/maketst.log,../gen/MDTst_pirTest/GDA_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,24.691665649,,0:35.45,1078963,,True,False,True,1.724,0.491,0.061,2:20.56,True
3cde5311,2019-06-11 12:18:51,GDA_1,pirTest,MDTst,1000000000.0,../gen/MDTst_pirTest/GDA_1/log/mappir.log,../gen/MDTst_pirTest/GDA_1/log/runpir.log,../gen/MDTst_pirTest/GDA_1/log/genpsim.log,../gen/MDTst_pirTest/GDA_1/log/gentrace.log,../gen/MDTst_pirTest/GDA_1/log/runpsim.log,../gen/MDTst_pirTest/GDA_1/log/runpsim.sh,../gen/MDTst_pirTest/GDA_1/log/runproute.log,../gen/MDTst_pirTest/GDA_1/log/runproute.sh,../gen/MDTst_pirTest/GDA_1/plastisim/summary.csv,../gen/MDTst_pirTest/GDA_1/pir/AccelMain.scala,../gen/MDTst_pirTest/GDA_1/log/,../gen/MDTst_pirTest/GDA_1/log/gentst.log,../gen/MDTst_pirTest/GDA_1/log/maketst.log,../gen/MDTst_pirTest/GDA_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,26.138506321,,0:36.85,6016,,True,False,True,0.0,1.447,0.681,0:00.85,True
