sha,time,app,project,backend,freq,mappirlog,runpirlog,genpsimlog,gentracelog,runpsimlog,psimsh,runproutelog,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,genpir,genpir_err,runpir_time,runpir_err,notFit,MC,DAG,PMU,PCU,row,col,p2p,asic,scheduled,fifo_depth,mappir_err,mappir_time,genpsim_err,gentrace_err,psimcycle,lbw,sbw,psim_deadlock,algo,pattern,slink,vlink,prtime,vcLimit,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,gentst_err,gentst_time,maketst_err,maketst_time,runp2p_cycle,runtst_err,runtst_pass,runp2p_deadlock,runp2p_complete,tst_dram_power,tst_rbw,tst_wbw,runtst_time,succeeded
ebdcde81,2019-06-21 00:21:21,BlackScholes_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_0/log/mappir.log,../gen/Tst_pirTest/BlackScholes_0/log/runpir.log,../gen/Tst_pirTest/BlackScholes_0/log/genpsim.log,../gen/Tst_pirTest/BlackScholes_0/log/gentrace.log,../gen/Tst_pirTest/BlackScholes_0/log/runpsim.log,../gen/Tst_pirTest/BlackScholes_0/log/runpsim.sh,../gen/Tst_pirTest/BlackScholes_0/log/runproute.log,../gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_0/log/,../gen/Tst_pirTest/BlackScholes_0/log/gentst.log,../gen/Tst_pirTest/BlackScholes_0/log/maketst.log,../gen/Tst_pirTest/BlackScholes_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,24.875788486,,1:22.78,1786,,True,False,True,0.0,13.76,2.293,0:00.87,True
ebdcde81,2019-06-21 00:21:21,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/mappir.log,../gen/Tst_pirTest/BlackScholes_1/log/runpir.log,../gen/Tst_pirTest/BlackScholes_1/log/genpsim.log,../gen/Tst_pirTest/BlackScholes_1/log/gentrace.log,../gen/Tst_pirTest/BlackScholes_1/log/runpsim.log,../gen/Tst_pirTest/BlackScholes_1/log/runpsim.sh,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,24.158672413,,1:11.95,16926,,True,False,True,0.0,1.452,0.242,0:06.72,True
ebdcde81,2019-06-21 00:21:21,BreakTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest/log/mappir.log,../gen/Tst_pirTest/BreakTest/log/runpir.log,../gen/Tst_pirTest/BreakTest/log/genpsim.log,../gen/Tst_pirTest/BreakTest/log/gentrace.log,../gen/Tst_pirTest/BreakTest/log/runpsim.log,../gen/Tst_pirTest/BreakTest/log/runpsim.sh,../gen/Tst_pirTest/BreakTest/log/runproute.log,../gen/Tst_pirTest/BreakTest/log/runproute.sh,../gen/Tst_pirTest/BreakTest/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest/log/,../gen/Tst_pirTest/BreakTest/log/gentst.log,../gen/Tst_pirTest/BreakTest/log/maketst.log,../gen/Tst_pirTest/BreakTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,4.077582122,,0:22.10,,,,False,False,,,,,False
ebdcde81,2019-06-21 00:21:21,BroadcastTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BroadcastTest/log/mappir.log,../gen/Tst_pirTest/BroadcastTest/log/runpir.log,../gen/Tst_pirTest/BroadcastTest/log/genpsim.log,../gen/Tst_pirTest/BroadcastTest/log/gentrace.log,../gen/Tst_pirTest/BroadcastTest/log/runpsim.log,../gen/Tst_pirTest/BroadcastTest/log/runpsim.sh,../gen/Tst_pirTest/BroadcastTest/log/runproute.log,../gen/Tst_pirTest/BroadcastTest/log/runproute.sh,../gen/Tst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/Tst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/Tst_pirTest/BroadcastTest/log/,../gen/Tst_pirTest/BroadcastTest/log/gentst.log,../gen/Tst_pirTest/BroadcastTest/log/maketst.log,../gen/Tst_pirTest/BroadcastTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,11.431332024,,0:34.18,430,,True,False,True,0.0,0.298,9.526,0:00.10,True
ebdcde81,2019-06-21 00:21:21,DotProduct_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_0/log/mappir.log,../gen/Tst_pirTest/DotProduct_0/log/runpir.log,../gen/Tst_pirTest/DotProduct_0/log/genpsim.log,../gen/Tst_pirTest/DotProduct_0/log/gentrace.log,../gen/Tst_pirTest/DotProduct_0/log/runpsim.log,../gen/Tst_pirTest/DotProduct_0/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_0/log/runproute.log,../gen/Tst_pirTest/DotProduct_0/log/runproute.sh,../gen/Tst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_0/log/,../gen/Tst_pirTest/DotProduct_0/log/gentst.log,../gen/Tst_pirTest/DotProduct_0/log/maketst.log,../gen/Tst_pirTest/DotProduct_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,9.505128596,,0:29.33,312,,True,False,True,0.0,26.256,0.0,0:00.07,True
ebdcde81,2019-06-21 00:21:21,DotProduct_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_1/log/mappir.log,../gen/Tst_pirTest/DotProduct_1/log/runpir.log,../gen/Tst_pirTest/DotProduct_1/log/genpsim.log,../gen/Tst_pirTest/DotProduct_1/log/gentrace.log,../gen/Tst_pirTest/DotProduct_1/log/runpsim.log,../gen/Tst_pirTest/DotProduct_1/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_1/log/runproute.log,../gen/Tst_pirTest/DotProduct_1/log/runproute.sh,../gen/Tst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_1/log/,../gen/Tst_pirTest/DotProduct_1/log/gentst.log,../gen/Tst_pirTest/DotProduct_1/log/maketst.log,../gen/Tst_pirTest/DotProduct_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,9.958433813,,0:29.37,1143,,True,False,True,0.0,7.167,0.0,0:00.16,True
ebdcde81,2019-06-21 00:21:21,DotProduct_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_2/log/mappir.log,../gen/Tst_pirTest/DotProduct_2/log/runpir.log,../gen/Tst_pirTest/DotProduct_2/log/genpsim.log,../gen/Tst_pirTest/DotProduct_2/log/gentrace.log,../gen/Tst_pirTest/DotProduct_2/log/runpsim.log,../gen/Tst_pirTest/DotProduct_2/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_2/log/runproute.log,../gen/Tst_pirTest/DotProduct_2/log/runproute.sh,../gen/Tst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_2/log/,../gen/Tst_pirTest/DotProduct_2/log/gentst.log,../gen/Tst_pirTest/DotProduct_2/log/maketst.log,../gen/Tst_pirTest/DotProduct_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,13.762586089,,0:34.09,631,,True,False,True,0.0,12.983,0.0,0:00.15,True
ebdcde81,2019-06-21 00:21:21,DotProduct_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_3/log/mappir.log,../gen/Tst_pirTest/DotProduct_3/log/runpir.log,../gen/Tst_pirTest/DotProduct_3/log/genpsim.log,../gen/Tst_pirTest/DotProduct_3/log/gentrace.log,../gen/Tst_pirTest/DotProduct_3/log/runpsim.log,../gen/Tst_pirTest/DotProduct_3/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_3/log/runproute.log,../gen/Tst_pirTest/DotProduct_3/log/runproute.sh,../gen/Tst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_3/log/,../gen/Tst_pirTest/DotProduct_3/log/gentst.log,../gen/Tst_pirTest/DotProduct_3/log/maketst.log,../gen/Tst_pirTest/DotProduct_3/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,13.30960926,,0:34.65,245,,True,False,True,0.0,33.437,0.0,0:00.07,True
ebdcde81,2019-06-21 00:21:21,GDA_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_0/log/mappir.log,../gen/Tst_pirTest/GDA_0/log/runpir.log,../gen/Tst_pirTest/GDA_0/log/genpsim.log,../gen/Tst_pirTest/GDA_0/log/gentrace.log,../gen/Tst_pirTest/GDA_0/log/runpsim.log,../gen/Tst_pirTest/GDA_0/log/runpsim.sh,../gen/Tst_pirTest/GDA_0/log/runproute.log,../gen/Tst_pirTest/GDA_0/log/runproute.sh,../gen/Tst_pirTest/GDA_0/plastisim/summary.csv,../gen/Tst_pirTest/GDA_0/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_0/log/,../gen/Tst_pirTest/GDA_0/log/gentst.log,../gen/Tst_pirTest/GDA_0/log/maketst.log,../gen/Tst_pirTest/GDA_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,24.286667953,,0:51.38,1078963,,True,False,True,1.725,0.491,0.061,4:27.64,True
ebdcde81,2019-06-21 00:21:21,GDA_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_1/log/mappir.log,../gen/Tst_pirTest/GDA_1/log/runpir.log,../gen/Tst_pirTest/GDA_1/log/genpsim.log,../gen/Tst_pirTest/GDA_1/log/gentrace.log,../gen/Tst_pirTest/GDA_1/log/runpsim.log,../gen/Tst_pirTest/GDA_1/log/runpsim.sh,../gen/Tst_pirTest/GDA_1/log/runproute.log,../gen/Tst_pirTest/GDA_1/log/runproute.sh,../gen/Tst_pirTest/GDA_1/plastisim/summary.csv,../gen/Tst_pirTest/GDA_1/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_1/log/,../gen/Tst_pirTest/GDA_1/log/gentst.log,../gen/Tst_pirTest/GDA_1/log/maketst.log,../gen/Tst_pirTest/GDA_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,24.644436684,,0:51.45,6016,,True,False,True,0.0,1.447,0.681,0:01.73,True
