sha,time,app,project,backend,freq,mappirlog,runpirlog,genpsimlog,gentracelog,runpsimlog,psimsh,runproutelog,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,genpir,genpir_err,runpir_time,runpir_err,notFit,MC,DAG,PMU,PCU,row,col,p2p,asic,scheduled,fifo_depth,mappir_err,mappir_time,genpsim_err,gentrace_err,psimcycle,lbw,sbw,psim_deadlock,algo,pattern,slink,vlink,prtime,vcLimit,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,gentst_err,gentst_time,maketst_err,maketst_time,runp2p_cycle,runtst_err,runtst_pass,runp2p_deadlock,runp2p_complete,tst_dram_power,tst_rbw,tst_wbw,runtst_time,succeeded
a758b5b6,2019-06-21 02:17:33,BlackScholes_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_0/log/mappir.log,../gen/Tst_pirTest/BlackScholes_0/log/runpir.log,../gen/Tst_pirTest/BlackScholes_0/log/genpsim.log,../gen/Tst_pirTest/BlackScholes_0/log/gentrace.log,../gen/Tst_pirTest/BlackScholes_0/log/runpsim.log,../gen/Tst_pirTest/BlackScholes_0/log/runpsim.sh,../gen/Tst_pirTest/BlackScholes_0/log/runproute.log,../gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_0/log/,../gen/Tst_pirTest/BlackScholes_0/log/gentst.log,../gen/Tst_pirTest/BlackScholes_0/log/maketst.log,../gen/Tst_pirTest/BlackScholes_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,24.545818377,"/local/ssd/home/yaqiz/spatial/pir/tungsten/idealnetwork.h:32:36: error: use of ‘this’ in a constant expression
",0:07.53,,,,False,False,,,,,False
a758b5b6,2019-06-21 02:17:33,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/mappir.log,../gen/Tst_pirTest/BlackScholes_1/log/runpir.log,../gen/Tst_pirTest/BlackScholes_1/log/genpsim.log,../gen/Tst_pirTest/BlackScholes_1/log/gentrace.log,../gen/Tst_pirTest/BlackScholes_1/log/runpsim.log,../gen/Tst_pirTest/BlackScholes_1/log/runpsim.sh,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,22.815816118,"/local/ssd/home/yaqiz/spatial/pir/tungsten/idealnetwork.h:32:36: error: use of ‘this’ in a constant expression
",0:07.18,,,,False,False,,,,,False
a758b5b6,2019-06-21 02:17:33,BreakTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest/log/mappir.log,../gen/Tst_pirTest/BreakTest/log/runpir.log,../gen/Tst_pirTest/BreakTest/log/genpsim.log,../gen/Tst_pirTest/BreakTest/log/gentrace.log,../gen/Tst_pirTest/BreakTest/log/runpsim.log,../gen/Tst_pirTest/BreakTest/log/runpsim.sh,../gen/Tst_pirTest/BreakTest/log/runproute.log,../gen/Tst_pirTest/BreakTest/log/runproute.sh,../gen/Tst_pirTest/BreakTest/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest/log/,../gen/Tst_pirTest/BreakTest/log/gentst.log,../gen/Tst_pirTest/BreakTest/log/maketst.log,../gen/Tst_pirTest/BreakTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,4.250920558,"/local/ssd/home/yaqiz/spatial/pir/tungsten/idealnetwork.h:32:36: error: use of ‘this’ in a constant expression
",0:05.83,,,,False,False,,,,,False
a758b5b6,2019-06-21 02:17:33,BroadcastTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BroadcastTest/log/mappir.log,../gen/Tst_pirTest/BroadcastTest/log/runpir.log,../gen/Tst_pirTest/BroadcastTest/log/genpsim.log,../gen/Tst_pirTest/BroadcastTest/log/gentrace.log,../gen/Tst_pirTest/BroadcastTest/log/runpsim.log,../gen/Tst_pirTest/BroadcastTest/log/runpsim.sh,../gen/Tst_pirTest/BroadcastTest/log/runproute.log,../gen/Tst_pirTest/BroadcastTest/log/runproute.sh,../gen/Tst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/Tst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/Tst_pirTest/BroadcastTest/log/,../gen/Tst_pirTest/BroadcastTest/log/gentst.log,../gen/Tst_pirTest/BroadcastTest/log/maketst.log,../gen/Tst_pirTest/BroadcastTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,11.749193575,"/local/ssd/home/yaqiz/spatial/pir/tungsten/idealnetwork.h:32:36: error: use of ‘this’ in a constant expression
",0:07.25,,,,False,False,,,,,False
a758b5b6,2019-06-21 02:17:33,DotProduct_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_0/log/mappir.log,../gen/Tst_pirTest/DotProduct_0/log/runpir.log,../gen/Tst_pirTest/DotProduct_0/log/genpsim.log,../gen/Tst_pirTest/DotProduct_0/log/gentrace.log,../gen/Tst_pirTest/DotProduct_0/log/runpsim.log,../gen/Tst_pirTest/DotProduct_0/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_0/log/runproute.log,../gen/Tst_pirTest/DotProduct_0/log/runproute.sh,../gen/Tst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_0/log/,../gen/Tst_pirTest/DotProduct_0/log/gentst.log,../gen/Tst_pirTest/DotProduct_0/log/maketst.log,../gen/Tst_pirTest/DotProduct_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,9.099333798,"/local/ssd/home/yaqiz/spatial/pir/tungsten/idealnetwork.h:32:36: error: use of ‘this’ in a constant expression
",0:06.32,,,,False,False,,,,,False
a758b5b6,2019-06-21 02:17:33,DotProduct_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_1/log/mappir.log,../gen/Tst_pirTest/DotProduct_1/log/runpir.log,../gen/Tst_pirTest/DotProduct_1/log/genpsim.log,../gen/Tst_pirTest/DotProduct_1/log/gentrace.log,../gen/Tst_pirTest/DotProduct_1/log/runpsim.log,../gen/Tst_pirTest/DotProduct_1/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_1/log/runproute.log,../gen/Tst_pirTest/DotProduct_1/log/runproute.sh,../gen/Tst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_1/log/,../gen/Tst_pirTest/DotProduct_1/log/gentst.log,../gen/Tst_pirTest/DotProduct_1/log/maketst.log,../gen/Tst_pirTest/DotProduct_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,8.634559743,"/local/ssd/home/yaqiz/spatial/pir/tungsten/idealnetwork.h:32:36: error: use of ‘this’ in a constant expression
",0:06.53,,,,False,False,,,,,False
a758b5b6,2019-06-21 02:17:33,DotProduct_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_2/log/mappir.log,../gen/Tst_pirTest/DotProduct_2/log/runpir.log,../gen/Tst_pirTest/DotProduct_2/log/genpsim.log,../gen/Tst_pirTest/DotProduct_2/log/gentrace.log,../gen/Tst_pirTest/DotProduct_2/log/runpsim.log,../gen/Tst_pirTest/DotProduct_2/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_2/log/runproute.log,../gen/Tst_pirTest/DotProduct_2/log/runproute.sh,../gen/Tst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_2/log/,../gen/Tst_pirTest/DotProduct_2/log/gentst.log,../gen/Tst_pirTest/DotProduct_2/log/maketst.log,../gen/Tst_pirTest/DotProduct_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,12.490615543,"/local/ssd/home/yaqiz/spatial/pir/tungsten/idealnetwork.h:32:36: error: use of ‘this’ in a constant expression
",0:06.97,,,,False,False,,,,,False
a758b5b6,2019-06-21 02:17:33,DotProduct_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_3/log/mappir.log,../gen/Tst_pirTest/DotProduct_3/log/runpir.log,../gen/Tst_pirTest/DotProduct_3/log/genpsim.log,../gen/Tst_pirTest/DotProduct_3/log/gentrace.log,../gen/Tst_pirTest/DotProduct_3/log/runpsim.log,../gen/Tst_pirTest/DotProduct_3/log/runpsim.sh,../gen/Tst_pirTest/DotProduct_3/log/runproute.log,../gen/Tst_pirTest/DotProduct_3/log/runproute.sh,../gen/Tst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_3/log/,../gen/Tst_pirTest/DotProduct_3/log/gentst.log,../gen/Tst_pirTest/DotProduct_3/log/maketst.log,../gen/Tst_pirTest/DotProduct_3/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,13.428950752,"/local/ssd/home/yaqiz/spatial/pir/tungsten/idealnetwork.h:32:36: error: use of ‘this’ in a constant expression
",0:07.05,,,,False,False,,,,,False
a758b5b6,2019-06-21 02:17:33,GDA_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_0/log/mappir.log,../gen/Tst_pirTest/GDA_0/log/runpir.log,../gen/Tst_pirTest/GDA_0/log/genpsim.log,../gen/Tst_pirTest/GDA_0/log/gentrace.log,../gen/Tst_pirTest/GDA_0/log/runpsim.log,../gen/Tst_pirTest/GDA_0/log/runpsim.sh,../gen/Tst_pirTest/GDA_0/log/runproute.log,../gen/Tst_pirTest/GDA_0/log/runproute.sh,../gen/Tst_pirTest/GDA_0/plastisim/summary.csv,../gen/Tst_pirTest/GDA_0/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_0/log/,../gen/Tst_pirTest/GDA_0/log/gentst.log,../gen/Tst_pirTest/GDA_0/log/maketst.log,../gen/Tst_pirTest/GDA_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,25.972682406,"/local/ssd/home/yaqiz/spatial/pir/tungsten/idealnetwork.h:32:36: error: use of ‘this’ in a constant expression
",0:07.37,,,,False,False,,,,,False
a758b5b6,2019-06-21 02:17:33,GDA_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_1/log/mappir.log,../gen/Tst_pirTest/GDA_1/log/runpir.log,../gen/Tst_pirTest/GDA_1/log/genpsim.log,../gen/Tst_pirTest/GDA_1/log/gentrace.log,../gen/Tst_pirTest/GDA_1/log/runpsim.log,../gen/Tst_pirTest/GDA_1/log/runpsim.sh,../gen/Tst_pirTest/GDA_1/log/runproute.log,../gen/Tst_pirTest/GDA_1/log/runproute.sh,../gen/Tst_pirTest/GDA_1/plastisim/summary.csv,../gen/Tst_pirTest/GDA_1/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_1/log/,../gen/Tst_pirTest/GDA_1/log/gentst.log,../gen/Tst_pirTest/GDA_1/log/maketst.log,../gen/Tst_pirTest/GDA_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,23.660114827,"/local/ssd/home/yaqiz/spatial/pir/tungsten/idealnetwork.h:32:36: error: use of ‘this’ in a constant expression
",0:07.37,,,,False,False,,,,,False
