sha,time,app,project,backend,freq,mappirlog,runpirlog,genpsimlog,gentracelog,runpsimlog,psimsh,runproutelog,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runhybrid,genpir,genpir_err,runpir_time,runpir_err,notFit,MC,DAG,PMU,PCU,row,col,p2p,asic,scheduled,fifo_depth,mappir_err,mappir_time,genpsim_err,gentrace_err,psimcycle,lbw,sbw,psim_deadlock,algo,pattern,slink,vlink,prtime,vcLimit,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,gentst_err,gentst_time,maketst_err,maketst_time,runhybrid_cycle,runtst_err,runtst_pass,runhybrid_deadlock,runhybrid_complete,tst_dram_power,tst_rbw,tst_wbw,runtst_time,succeeded
9cb66b73,2019-06-27 13:32:13,BlackScholes_0,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/BlackScholes_0/log/mappir.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runpir.log,../gen/MDHTst_pirTest/BlackScholes_0/log/genpsim.log,../gen/MDHTst_pirTest/BlackScholes_0/log/gentrace.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runpsim.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runpsim.sh,../gen/MDHTst_pirTest/BlackScholes_0/log/runproute.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runproute.sh,../gen/MDHTst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/MDHTst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/MDHTst_pirTest/BlackScholes_0/log/,../gen/MDHTst_pirTest/BlackScholes_0/log/gentst.log,../gen/MDHTst_pirTest/BlackScholes_0/log/maketst.log,../gen/MDHTst_pirTest/BlackScholes_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,route_min_directed_valient,checkerboard,4,2,-1,4,0,0,28160,224,7.00,0,7864,0.0000,0.0000,0.0000,14,-nan,0.0000,,26.985429822,,1:39.79,7464,,True,False,True,0.0,3.293,0.549,0:52.61,True
9cb66b73,2019-06-27 13:32:13,BlackScholes_1,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/BlackScholes_1/log/mappir.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runpir.log,../gen/MDHTst_pirTest/BlackScholes_1/log/genpsim.log,../gen/MDHTst_pirTest/BlackScholes_1/log/gentrace.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runpsim.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runpsim.sh,../gen/MDHTst_pirTest/BlackScholes_1/log/runproute.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runproute.sh,../gen/MDHTst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/MDHTst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/MDHTst_pirTest/BlackScholes_1/log/,../gen/MDHTst_pirTest/BlackScholes_1/log/gentst.log,../gen/MDHTst_pirTest/BlackScholes_1/log/maketst.log,../gen/MDHTst_pirTest/BlackScholes_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,route_min_directed_valient,checkerboard,4,2,-1,4,0,0,0,315671,5.50,0,118008,0.0000,0.0000,0.0000,11,-nan,0.0000,,26.961918907,,1:26.40,61147,,True,False,True,0.0,0.402,0.067,2:41.94,True
9cb66b73,2019-06-27 13:32:13,BreakTest,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/BreakTest/log/mappir.log,../gen/MDHTst_pirTest/BreakTest/log/runpir.log,../gen/MDHTst_pirTest/BreakTest/log/genpsim.log,../gen/MDHTst_pirTest/BreakTest/log/gentrace.log,../gen/MDHTst_pirTest/BreakTest/log/runpsim.log,../gen/MDHTst_pirTest/BreakTest/log/runpsim.sh,../gen/MDHTst_pirTest/BreakTest/log/runproute.log,../gen/MDHTst_pirTest/BreakTest/log/runproute.sh,../gen/MDHTst_pirTest/BreakTest/plastisim/summary.csv,../gen/MDHTst_pirTest/BreakTest/pir/AccelMain.scala,../gen/MDHTst_pirTest/BreakTest/log/,../gen/MDHTst_pirTest/BreakTest/log/gentst.log,../gen/MDHTst_pirTest/BreakTest/log/maketst.log,../gen/MDHTst_pirTest/BreakTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,route_min_directed_valient,checkerboard,4,2,-1,4,0,0,0,1000000,0.50,0,1000000,0.0000,0.0000,0.0000,1,-nan,0.0000,,6.229467813,,0:21.91,,,,False,False,,,,,False
9cb66b73,2019-06-27 13:32:13,BroadcastTest,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/BroadcastTest/log/mappir.log,../gen/MDHTst_pirTest/BroadcastTest/log/runpir.log,../gen/MDHTst_pirTest/BroadcastTest/log/genpsim.log,../gen/MDHTst_pirTest/BroadcastTest/log/gentrace.log,../gen/MDHTst_pirTest/BroadcastTest/log/runpsim.log,../gen/MDHTst_pirTest/BroadcastTest/log/runpsim.sh,../gen/MDHTst_pirTest/BroadcastTest/log/runproute.log,../gen/MDHTst_pirTest/BroadcastTest/log/runproute.sh,../gen/MDHTst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/MDHTst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/MDHTst_pirTest/BroadcastTest/log/,../gen/MDHTst_pirTest/BroadcastTest/log/gentst.log,../gen/MDHTst_pirTest/BroadcastTest/log/maketst.log,../gen/MDHTst_pirTest/BroadcastTest/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,route_min_directed_valient,checkerboard,4,2,-1,4,0,0,2708,1239,4.00,0,1705,0.0000,0.0000,0.0000,8,-nan,0.0000,,12.989430387,,0:28.10,1113,,True,False,True,0.0,0.115,3.68,0:01.92,True
9cb66b73,2019-06-27 13:32:13,DotProduct_0,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/DotProduct_0/log/mappir.log,../gen/MDHTst_pirTest/DotProduct_0/log/runpir.log,../gen/MDHTst_pirTest/DotProduct_0/log/genpsim.log,../gen/MDHTst_pirTest/DotProduct_0/log/gentrace.log,../gen/MDHTst_pirTest/DotProduct_0/log/runpsim.log,../gen/MDHTst_pirTest/DotProduct_0/log/runpsim.sh,../gen/MDHTst_pirTest/DotProduct_0/log/runproute.log,../gen/MDHTst_pirTest/DotProduct_0/log/runproute.sh,../gen/MDHTst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/MDHTst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/MDHTst_pirTest/DotProduct_0/log/,../gen/MDHTst_pirTest/DotProduct_0/log/gentst.log,../gen/MDHTst_pirTest/DotProduct_0/log/maketst.log,../gen/MDHTst_pirTest/DotProduct_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,route_min_directed_valient,checkerboard,4,2,-1,4,0,0,704,85,4.00,0,419,0.0000,0.0000,0.0000,8,-nan,0.0000,,10.605563052,,0:27.95,469,,True,False,True,0.0,17.467,0.0,0:01.91,True
9cb66b73,2019-06-27 13:32:13,DotProduct_1,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/DotProduct_1/log/mappir.log,../gen/MDHTst_pirTest/DotProduct_1/log/runpir.log,../gen/MDHTst_pirTest/DotProduct_1/log/genpsim.log,../gen/MDHTst_pirTest/DotProduct_1/log/gentrace.log,../gen/MDHTst_pirTest/DotProduct_1/log/runpsim.log,../gen/MDHTst_pirTest/DotProduct_1/log/runpsim.sh,../gen/MDHTst_pirTest/DotProduct_1/log/runproute.log,../gen/MDHTst_pirTest/DotProduct_1/log/runproute.sh,../gen/MDHTst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/MDHTst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/MDHTst_pirTest/DotProduct_1/log/,../gen/MDHTst_pirTest/DotProduct_1/log/gentst.log,../gen/MDHTst_pirTest/DotProduct_1/log/maketst.log,../gen/MDHTst_pirTest/DotProduct_1/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,route_min_directed_valient,checkerboard,4,2,-1,4,0,0,0,11349,4.00,0,4259,0.0000,0.0000,0.0000,8,-nan,0.0000,,10.955462734,,0:27.58,3268,,True,False,True,0.0,2.507,0.0,0:13.90,True
9cb66b73,2019-06-27 13:32:13,DotProduct_2,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/DotProduct_2/log/mappir.log,../gen/MDHTst_pirTest/DotProduct_2/log/runpir.log,../gen/MDHTst_pirTest/DotProduct_2/log/genpsim.log,../gen/MDHTst_pirTest/DotProduct_2/log/gentrace.log,../gen/MDHTst_pirTest/DotProduct_2/log/runpsim.log,../gen/MDHTst_pirTest/DotProduct_2/log/runpsim.sh,../gen/MDHTst_pirTest/DotProduct_2/log/runproute.log,../gen/MDHTst_pirTest/DotProduct_2/log/runproute.sh,../gen/MDHTst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/MDHTst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/MDHTst_pirTest/DotProduct_2/log/,../gen/MDHTst_pirTest/DotProduct_2/log/gentst.log,../gen/MDHTst_pirTest/DotProduct_2/log/maketst.log,../gen/MDHTst_pirTest/DotProduct_2/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,route_min_directed_valient,checkerboard,4,2,-1,4,0,0,0,13921,4.50,0,4261,0.0000,0.0000,0.0000,9,-nan,0.0000,,14.914799944,,0:33.69,1781,,True,False,True,0.0,4.6,0.0,0:05.62,True
9cb66b73,2019-06-27 13:32:13,DotProduct_3,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/DotProduct_3/log/mappir.log,../gen/MDHTst_pirTest/DotProduct_3/log/runpir.log,../gen/MDHTst_pirTest/DotProduct_3/log/genpsim.log,../gen/MDHTst_pirTest/DotProduct_3/log/gentrace.log,../gen/MDHTst_pirTest/DotProduct_3/log/runpsim.log,../gen/MDHTst_pirTest/DotProduct_3/log/runpsim.sh,../gen/MDHTst_pirTest/DotProduct_3/log/runproute.log,../gen/MDHTst_pirTest/DotProduct_3/log/runproute.sh,../gen/MDHTst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/MDHTst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/MDHTst_pirTest/DotProduct_3/log/,../gen/MDHTst_pirTest/DotProduct_3/log/gentst.log,../gen/MDHTst_pirTest/DotProduct_3/log/maketst.log,../gen/MDHTst_pirTest/DotProduct_3/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,route_min_directed_valient,checkerboard,4,2,-1,4,0,0,704,160,4.50,0,421,0.0000,0.0000,0.0000,9,-nan,0.0000,,14.871581704,,0:28.48,393,,True,False,True,0.0,20.845,0.0,0:01.91,True
9cb66b73,2019-06-27 13:32:13,DotProduct_4,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/DotProduct_4/log/mappir.log,../gen/MDHTst_pirTest/DotProduct_4/log/runpir.log,../gen/MDHTst_pirTest/DotProduct_4/log/genpsim.log,../gen/MDHTst_pirTest/DotProduct_4/log/gentrace.log,../gen/MDHTst_pirTest/DotProduct_4/log/runpsim.log,../gen/MDHTst_pirTest/DotProduct_4/log/runpsim.sh,../gen/MDHTst_pirTest/DotProduct_4/log/runproute.log,../gen/MDHTst_pirTest/DotProduct_4/log/runproute.sh,../gen/MDHTst_pirTest/DotProduct_4/plastisim/summary.csv,../gen/MDHTst_pirTest/DotProduct_4/pir/AccelMain.scala,../gen/MDHTst_pirTest/DotProduct_4/log/,../gen/MDHTst_pirTest/DotProduct_4/log/gentst.log,../gen/MDHTst_pirTest/DotProduct_4/log/maketst.log,../gen/MDHTst_pirTest/DotProduct_4/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,route_min_directed_valient,checkerboard,4,2,-1,4,0,37,1680,668,227.33,2,457,0.2500,0.5000,0.1250,17,75.00,0.1250,,61.256752281,,1:47.06,,"Command terminated by signal 11
",,False,False,,,,0:01.06,False
9cb66b73,2019-06-27 13:32:13,GDA_0,pirTest,MDHTst,1000000000.0,../gen/MDHTst_pirTest/GDA_0/log/mappir.log,../gen/MDHTst_pirTest/GDA_0/log/runpir.log,../gen/MDHTst_pirTest/GDA_0/log/genpsim.log,../gen/MDHTst_pirTest/GDA_0/log/gentrace.log,../gen/MDHTst_pirTest/GDA_0/log/runpsim.log,../gen/MDHTst_pirTest/GDA_0/log/runpsim.sh,../gen/MDHTst_pirTest/GDA_0/log/runproute.log,../gen/MDHTst_pirTest/GDA_0/log/runproute.sh,../gen/MDHTst_pirTest/GDA_0/plastisim/summary.csv,../gen/MDHTst_pirTest/GDA_0/pir/AccelMain.scala,../gen/MDHTst_pirTest/GDA_0/log/,../gen/MDHTst_pirTest/GDA_0/log/gentst.log,../gen/MDHTst_pirTest/GDA_0/log/maketst.log,../gen/MDHTst_pirTest/GDA_0/log/runtst.log,True,,,,,,,,,,,False,False,False,100,,,,,,,,False,route_min_directed_valient,checkerboard,4,2,-1,4,0,0,17975904,1963,4.50,0,7419362,0.0000,0.0000,0.0000,9,-nan,0.0000,,22.128236257,,0:42.22,,,,False,False,,,,,False
