sha,time,app,project,backend,freq,runproute,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,runhybrid,genpir,genpir_err,gentst_err,gentst_time,gentst_notFit,gentst_MC,gentst_DAG,gentst_PMU,gentst_PCU,gentst_row,gentst_col,proutesh_algo,proutesh_pattern,proutesh_slink,proutesh_vlink,proutesh_prtime,proutesh_vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,succeeded
752d3aaa,2019-06-30 22:15:24,BlackScholes_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_0/log/runproute.log,../gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_0/log/,../gen/Tst_pirTest/BlackScholes_0/log/gentst.log,../gen/Tst_pirTest/BlackScholes_0/log/maketst.log,../gen/Tst_pirTest/BlackScholes_0/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_0/log/runhybrid.log,True,,,24.74723732,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,15:28.41,0,0,21568,205,6.50,0,7800,0.0000,0.0000,0.0000,13,-nan,0.0000,,0:00.03,2835,,True,False,True,0.0,8.669,1.445,0:21.66,5675,,True,False,True,0.0,4.331,0.722,0:07.94,True
752d3aaa,2019-06-30 22:15:24,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_1/log/runhybrid.log,True,,,26.783568176,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,,0,0,0,406845,6.00,0,131320,0.0000,0.0000,0.0000,12,-nan,0.0000,,0:00.02,31868,,True,False,True,0.0,0.771,0.129,3:41.66,42688,,True,False,True,0.0,0.576,0.096,1:30.65,True
752d3aaa,2019-06-30 22:15:24,BreakTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest/log/runproute.log,../gen/Tst_pirTest/BreakTest/log/runproute.sh,../gen/Tst_pirTest/BreakTest/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest/log/,../gen/Tst_pirTest/BreakTest/log/gentst.log,../gen/Tst_pirTest/BreakTest/log/maketst.log,../gen/Tst_pirTest/BreakTest/log/runp2p.log,../gen/Tst_pirTest/BreakTest/log/runhybrid.log,True,,,6.247536071,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,,0,0,0,0,0.00,0,1000000,0.0000,0.0000,0.0000,0,-nan,0.0000,,0:00.03,,,,False,False,,,,,,,,False,False,,,,,False
752d3aaa,2019-06-30 22:15:24,BroadcastTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BroadcastTest/log/runproute.log,../gen/Tst_pirTest/BroadcastTest/log/runproute.sh,../gen/Tst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/Tst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/Tst_pirTest/BroadcastTest/log/,../gen/Tst_pirTest/BroadcastTest/log/gentst.log,../gen/Tst_pirTest/BroadcastTest/log/maketst.log,../gen/Tst_pirTest/BroadcastTest/log/runp2p.log,../gen/Tst_pirTest/BroadcastTest/log/runhybrid.log,True,,,14.225471313,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,4:08.26,0,0,2252,1080,4.50,0,1705,0.0000,0.0000,0.0000,9,-nan,0.0000,,0:00.02,530,,True,False,True,0.0,0.242,7.728,0:03.28,1121,,True,False,True,0.0,0.114,3.654,0:02.52,True
752d3aaa,2019-06-30 22:15:24,DotProduct_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_0/log/runproute.log,../gen/Tst_pirTest/DotProduct_0/log/runproute.sh,../gen/Tst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_0/log/,../gen/Tst_pirTest/DotProduct_0/log/gentst.log,../gen/Tst_pirTest/DotProduct_0/log/maketst.log,../gen/Tst_pirTest/DotProduct_0/log/runp2p.log,../gen/Tst_pirTest/DotProduct_0/log/runhybrid.log,True,,,11.539621109,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,3:01.29,0,0,704,82,4.00,0,419,0.0000,0.0000,0.0000,8,-nan,0.0000,,0:00.02,312,,True,False,True,0.0,26.256,0.0,0:02.46,451,,True,False,True,0.0,18.164,0.0,0:00.70,True
752d3aaa,2019-06-30 22:15:24,DotProduct_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_1/log/runproute.log,../gen/Tst_pirTest/DotProduct_1/log/runproute.sh,../gen/Tst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_1/log/,../gen/Tst_pirTest/DotProduct_1/log/gentst.log,../gen/Tst_pirTest/DotProduct_1/log/maketst.log,../gen/Tst_pirTest/DotProduct_1/log/runp2p.log,../gen/Tst_pirTest/DotProduct_1/log/runhybrid.log,True,,,11.420458488,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,,0,0,0,7252,4.00,0,4259,0.0000,0.0000,0.0000,8,-nan,0.0000,,0:00.01,1143,,True,False,True,0.0,7.167,0.0,0:06.15,3242,,True,False,True,0.0,2.527,0.0,0:15.42,True
752d3aaa,2019-06-30 22:15:24,DotProduct_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_2/log/runproute.log,../gen/Tst_pirTest/DotProduct_2/log/runproute.sh,../gen/Tst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_2/log/,../gen/Tst_pirTest/DotProduct_2/log/gentst.log,../gen/Tst_pirTest/DotProduct_2/log/maketst.log,../gen/Tst_pirTest/DotProduct_2/log/runp2p.log,../gen/Tst_pirTest/DotProduct_2/log/runhybrid.log,True,,,14.778419174,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,,0,0,0,15522,4.50,0,4261,0.0000,0.0000,0.0000,9,-nan,0.0000,,0:00.02,631,,True,False,True,0.0,12.983,0.0,0:02.11,1770,,True,False,True,0.0,4.628,0.0,0:05.62,True
752d3aaa,2019-06-30 22:15:24,DotProduct_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_3/log/runproute.log,../gen/Tst_pirTest/DotProduct_3/log/runproute.sh,../gen/Tst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_3/log/,../gen/Tst_pirTest/DotProduct_3/log/gentst.log,../gen/Tst_pirTest/DotProduct_3/log/maketst.log,../gen/Tst_pirTest/DotProduct_3/log/runp2p.log,../gen/Tst_pirTest/DotProduct_3/log/runhybrid.log,True,,,15.722053466,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,4:03.45,0,0,800,100,4.50,0,421,0.0000,0.0000,0.0000,9,-nan,0.0000,,0:00.02,245,,True,False,True,0.0,33.437,0.0,0:02.09,409,,True,False,True,0.0,20.029,0.0,0:01.37,True
752d3aaa,2019-06-30 22:15:24,DotProduct_4,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_4/log/runproute.log,../gen/Tst_pirTest/DotProduct_4/log/runproute.sh,../gen/Tst_pirTest/DotProduct_4/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_4/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_4/log/,../gen/Tst_pirTest/DotProduct_4/log/gentst.log,../gen/Tst_pirTest/DotProduct_4/log/maketst.log,../gen/Tst_pirTest/DotProduct_4/log/runp2p.log,../gen/Tst_pirTest/DotProduct_4/log/runhybrid.log,True,,,58.494159871,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,15:03.61,0,34,824,368,226.33,2,441,0.2500,0.5000,0.1250,15,50.00,0.1250,,0:00.02,254,,True,False,True,0.0,32.252,0.0,0:02.59,459,,True,False,True,0.0,17.847,0.0,0:01.11,True
752d3aaa,2019-06-30 22:15:24,GDA_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_0/log/runproute.log,../gen/Tst_pirTest/GDA_0/log/runproute.sh,../gen/Tst_pirTest/GDA_0/plastisim/summary.csv,../gen/Tst_pirTest/GDA_0/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_0/log/,../gen/Tst_pirTest/GDA_0/log/gentst.log,../gen/Tst_pirTest/GDA_0/log/maketst.log,../gen/Tst_pirTest/GDA_0/log/runp2p.log,../gen/Tst_pirTest/GDA_0/log/runhybrid.log,True,,,23.186563324,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,7:11.73,0,0,20024474,2862,5.00,0,7419362,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:00.02,1078970,,True,False,True,1.724,0.491,0.061,31:32.08,,,,False,False,,,,,False
