sha,time,app,project,backend,freq,runproute,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,runhybrid,genpir,genpir_err,gentst_err,gentst_time,gentst_notFit,gentst_MC,gentst_DAG,gentst_PMU,gentst_PCU,gentst_row,gentst_col,proutesh_algo,proutesh_pattern,proutesh_slink,proutesh_vlink,proutesh_prtime,proutesh_vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,succeeded
10b44cf,2019-07-03 18:51:22,BlackScholes_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_0/log/runproute.log,../gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_0/log/,../gen/Tst_pirTest/BlackScholes_0/log/gentst.log,../gen/Tst_pirTest/BlackScholes_0/log/maketst.log,../gen/Tst_pirTest/BlackScholes_0/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_0/log/runhybrid.log,True,,,21.496418297,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,7:33.56,0,0,2268,20480,6.00,0,8120,0.0000,0.0000,0.0000,12,-nan,0.0000,,1:09.74,3051,,True,False,True,0.0,8.055,1.343,0:01.50,8046,,True,False,True,0.0,3.054,0.509,0:58.32,True
10b44cf,2019-07-03 18:51:22,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_1/log/runhybrid.log,True,,,19.55797304,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,8:31.77,0,0,348518,0,7.50,0,121080,0.0000,0.0000,0.0000,15,-nan,0.0000,,1:11.17,42523,,True,False,True,0.0,0.578,0.096,0:12.73,80664,,True,False,True,0.0,0.305,0.051,7:11.75,True
10b44cf,2019-07-03 18:51:22,BreakTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest/log/runproute.log,../gen/Tst_pirTest/BreakTest/log/runproute.sh,../gen/Tst_pirTest/BreakTest/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest/log/,../gen/Tst_pirTest/BreakTest/log/gentst.log,../gen/Tst_pirTest/BreakTest/log/maketst.log,../gen/Tst_pirTest/BreakTest/log/runp2p.log,../gen/Tst_pirTest/BreakTest/log/runhybrid.log,True,,,6.231770545,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,0:30.14,0,0,6000000,0,1.00,0,4000000,0.0000,0.0000,0.0000,2,-nan,0.0000,,0:19.86,98,,True,False,True,0.0,0.0,0.0,0:00.11,124,,True,False,True,0.0,0.0,0.0,0:00.92,True
10b44cf,2019-07-03 18:51:22,BroadcastTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BroadcastTest/log/runproute.log,../gen/Tst_pirTest/BroadcastTest/log/runproute.sh,../gen/Tst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/Tst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/Tst_pirTest/BroadcastTest/log/,../gen/Tst_pirTest/BroadcastTest/log/gentst.log,../gen/Tst_pirTest/BroadcastTest/log/maketst.log,../gen/Tst_pirTest/BroadcastTest/log/runp2p.log,../gen/Tst_pirTest/BroadcastTest/log/runhybrid.log,True,,,13.151510595,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,1:50.93,0,0,1336,2140,4.50,0,1705,0.0000,0.0000,0.0000,9,-nan,0.0000,,0:33.74,530,,True,False,True,0.0,0.242,7.728,0:00.14,961,,True,False,True,0.0,0.133,4.262,0:05.36,True
10b44cf,2019-07-03 18:51:22,DotProduct_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_0/log/runproute.log,../gen/Tst_pirTest/DotProduct_0/log/runproute.sh,../gen/Tst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_0/log/,../gen/Tst_pirTest/DotProduct_0/log/gentst.log,../gen/Tst_pirTest/DotProduct_0/log/maketst.log,../gen/Tst_pirTest/DotProduct_0/log/runp2p.log,../gen/Tst_pirTest/DotProduct_0/log/runhybrid.log,True,,,9.846699995,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,1:19.78,0,0,144,320,4.00,0,419,0.0000,0.0000,0.0000,8,-nan,0.0000,,0:29.70,308,,True,False,True,0.0,26.597,0.0,0:00.16,438,,True,False,True,0.0,18.703,0.0,0:01.59,True
10b44cf,2019-07-03 18:51:22,DotProduct_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_1/log/runproute.log,../gen/Tst_pirTest/DotProduct_1/log/runproute.sh,../gen/Tst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_1/log/,../gen/Tst_pirTest/DotProduct_1/log/gentst.log,../gen/Tst_pirTest/DotProduct_1/log/maketst.log,../gen/Tst_pirTest/DotProduct_1/log/runp2p.log,../gen/Tst_pirTest/DotProduct_1/log/runhybrid.log,True,,,9.534950918,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,1:20.53,0,0,5264,0,4.00,0,4259,0.0000,0.0000,0.0000,8,-nan,0.0000,,0:23.93,1143,,True,False,True,0.0,7.167,0.0,0:00.15,3234,,True,False,True,0.0,2.533,0.0,0:18.44,True
10b44cf,2019-07-03 18:51:22,DotProduct_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_2/log/runproute.log,../gen/Tst_pirTest/DotProduct_2/log/runproute.sh,../gen/Tst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_2/log/,../gen/Tst_pirTest/DotProduct_2/log/gentst.log,../gen/Tst_pirTest/DotProduct_2/log/maketst.log,../gen/Tst_pirTest/DotProduct_2/log/runp2p.log,../gen/Tst_pirTest/DotProduct_2/log/runhybrid.log,True,,,15.136714616,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,2:01.12,0,0,13954,0,4.50,0,4261,0.0000,0.0000,0.0000,9,-nan,0.0000,,0:40.39,636,,True,False,True,0.0,12.881,0.0,0:00.22,1770,,True,False,True,0.0,4.628,0.0,0:04.27,True
10b44cf,2019-07-03 18:51:22,DotProduct_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_3/log/runproute.log,../gen/Tst_pirTest/DotProduct_3/log/runproute.sh,../gen/Tst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_3/log/,../gen/Tst_pirTest/DotProduct_3/log/gentst.log,../gen/Tst_pirTest/DotProduct_3/log/maketst.log,../gen/Tst_pirTest/DotProduct_3/log/runp2p.log,../gen/Tst_pirTest/DotProduct_3/log/runhybrid.log,True,,,12.282441042,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,1:57.46,0,0,226,928,4.50,0,421,0.0000,0.0000,0.0000,9,-nan,0.0000,,0:33.17,246,,True,False,True,0.0,33.301,0.0,0:00.16,410,,True,False,True,0.0,19.98,0.0,0:02.35,True
10b44cf,2019-07-03 18:51:22,DotProduct_4,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_4/log/runproute.log,../gen/Tst_pirTest/DotProduct_4/log/runproute.sh,../gen/Tst_pirTest/DotProduct_4/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_4/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_4/log/,../gen/Tst_pirTest/DotProduct_4/log/gentst.log,../gen/Tst_pirTest/DotProduct_4/log/maketst.log,../gen/Tst_pirTest/DotProduct_4/log/runp2p.log,../gen/Tst_pirTest/DotProduct_4/log/runhybrid.log,True,,,47.258562153,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,8:00.27,72,0,328,1176,351.41,3,441,0.3750,0.8750,0.1250,15,42.86,0.1250,,0:58.03,255,,True,False,True,0.0,32.125,0.0,0:00.32,486,,True,False,True,0.0,16.856,0.0,0:03.72,True
10b44cf,2019-07-03 18:51:22,DotProduct_5,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_5/log/runproute.log,../gen/Tst_pirTest/DotProduct_5/log/runproute.sh,../gen/Tst_pirTest/DotProduct_5/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_5/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_5/log/,../gen/Tst_pirTest/DotProduct_5/log/gentst.log,../gen/Tst_pirTest/DotProduct_5/log/maketst.log,../gen/Tst_pirTest/DotProduct_5/log/runp2p.log,../gen/Tst_pirTest/DotProduct_5/log/runhybrid.log,True,,,17.869359018,,,,,,15,15,route_min_directed_valient,checkerboard,4,3,-1,4,,2:36.25,0,0,188,858,5.00,0,436,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:36.72,251,,True,False,True,0.0,33.657,0.0,0:00.13,398,,True,False,True,0.0,21.226,0.0,0:02.88,True
