sha,time,app,project,backend,freq,runproute,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,runhybrid,genpir,genpir_err,gentst_err,gentst_time,gentst_notFit,gentst_MC,gentst_DAG,gentst_PMU,gentst_PCU,gentst_row,gentst_col,proutesh_algo,proutesh_pattern,proutesh_slink,proutesh_vlink,proutesh_prtime,proutesh_vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,succeeded
6349ca76,2019-07-09 17:14:21,BankEnable_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BankEnable_0/log/runproute.log,../gen/Tst_pirTest/BankEnable_0/log/runproute.sh,../gen/Tst_pirTest/BankEnable_0/plastisim/summary.csv,../gen/Tst_pirTest/BankEnable_0/pir/AccelMain.scala,../gen/Tst_pirTest/BankEnable_0/log/,../gen/Tst_pirTest/BankEnable_0/log/gentst.log,../gen/Tst_pirTest/BankEnable_0/log/maketst.log,../gen/Tst_pirTest/BankEnable_0/log/runp2p.log,../gen/Tst_pirTest/BankEnable_0/log/runhybrid.log,True,,,8.089254124,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,1:44.66,0,0,82,164,4.50,0,105,0.0000,0.0000,0.0000,9,-nan,0.0000,,0:30.34,126,,True,False,True,0.0,0.0,1.016,0:00.26,312,,True,False,True,0.0,0.0,0.41,0:04.40,True
6349ca76,2019-07-09 17:14:21,BlackScholes_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_0/log/runproute.log,../gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_0/log/,../gen/Tst_pirTest/BlackScholes_0/log/gentst.log,../gen/Tst_pirTest/BlackScholes_0/log/maketst.log,../gen/Tst_pirTest/BlackScholes_0/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_0/log/runhybrid.log,True,,,20.426974276,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,7:58.91,0,0,1592,19264,6.50,0,7928,0.0000,0.0000,0.0000,13,-nan,0.0000,,1:11.68,2512,,True,False,True,0.0,9.783,1.631,0:00.98,6574,,True,False,True,0.0,3.738,0.623,1:09.54,True
6349ca76,2019-07-09 17:14:21,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_1/log/runhybrid.log,True,,,23.616738965,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,8:25.50,0,0,337050,0,6.50,0,122104,0.0000,0.0000,0.0000,13,-nan,0.0000,,1:24.01,40998,,True,False,True,0.0,0.599,0.1,0:10.47,113869,,True,False,True,0.0,0.216,0.036,18:12.19,True
6349ca76,2019-07-09 17:14:21,BreakTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest/log/runproute.log,../gen/Tst_pirTest/BreakTest/log/runproute.sh,../gen/Tst_pirTest/BreakTest/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest/log/,../gen/Tst_pirTest/BreakTest/log/gentst.log,../gen/Tst_pirTest/BreakTest/log/maketst.log,../gen/Tst_pirTest/BreakTest/log/runp2p.log,../gen/Tst_pirTest/BreakTest/log/runhybrid.log,True,,"[[31merror[0m] 39-SanityCheck throw java.lang.AssertionError: assertion failed: Streaming ctx Context38 has control block ControlBlock109
",6.738798647,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,False,False,,,,,False
6349ca76,2019-07-09 17:14:21,BroadcastTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BroadcastTest/log/runproute.log,../gen/Tst_pirTest/BroadcastTest/log/runproute.sh,../gen/Tst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/Tst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/Tst_pirTest/BroadcastTest/log/,../gen/Tst_pirTest/BroadcastTest/log/gentst.log,../gen/Tst_pirTest/BroadcastTest/log/maketst.log,../gen/Tst_pirTest/BroadcastTest/log/runp2p.log,../gen/Tst_pirTest/BroadcastTest/log/runhybrid.log,True,,,13.234021569,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,2:28.11,0,0,1085,2404,5.00,0,1705,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:37.37,530,,True,False,True,0.0,0.242,7.728,0:00.35,1184,,True,False,True,0.0,0.108,3.459,0:16.72,True
6349ca76,2019-07-09 17:14:21,DotProduct_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_0/log/runproute.log,../gen/Tst_pirTest/DotProduct_0/log/runproute.sh,../gen/Tst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_0/log/,../gen/Tst_pirTest/DotProduct_0/log/gentst.log,../gen/Tst_pirTest/DotProduct_0/log/maketst.log,../gen/Tst_pirTest/DotProduct_0/log/runp2p.log,../gen/Tst_pirTest/DotProduct_0/log/runhybrid.log,True,,,9.244390711,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,1:57.71,0,0,213,448,5.00,0,419,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:31.51,312,,True,False,True,0.0,26.256,0.0,0:00.32,465,,True,False,True,0.0,17.617,0.0,0:05.96,True
6349ca76,2019-07-09 17:14:21,DotProduct_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_1/log/runproute.log,../gen/Tst_pirTest/DotProduct_1/log/runproute.sh,../gen/Tst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_1/log/,../gen/Tst_pirTest/DotProduct_1/log/gentst.log,../gen/Tst_pirTest/DotProduct_1/log/maketst.log,../gen/Tst_pirTest/DotProduct_1/log/runp2p.log,../gen/Tst_pirTest/DotProduct_1/log/runhybrid.log,True,,,11.889009317,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,1:57.06,0,0,7319,0,5.00,0,4259,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:27.17,1143,,True,False,True,0.0,7.167,0.0,0:00.27,3254,,True,False,True,0.0,2.518,0.0,0:42.98,True
6349ca76,2019-07-09 17:14:21,DotProduct_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_2/log/runproute.log,../gen/Tst_pirTest/DotProduct_2/log/runproute.sh,../gen/Tst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_2/log/,../gen/Tst_pirTest/DotProduct_2/log/gentst.log,../gen/Tst_pirTest/DotProduct_2/log/maketst.log,../gen/Tst_pirTest/DotProduct_2/log/runp2p.log,../gen/Tst_pirTest/DotProduct_2/log/runhybrid.log,True,,,12.783995075,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,2:43.58,0,0,14506,0,5.50,0,4261,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:32.58,631,,True,False,True,0.0,12.983,0.0,0:00.33,1780,,True,False,True,0.0,4.602,0.0,0:21.49,True
6349ca76,2019-07-09 17:14:21,DotProduct_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_3/log/runproute.log,../gen/Tst_pirTest/DotProduct_3/log/runproute.sh,../gen/Tst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_3/log/,../gen/Tst_pirTest/DotProduct_3/log/gentst.log,../gen/Tst_pirTest/DotProduct_3/log/maketst.log,../gen/Tst_pirTest/DotProduct_3/log/runp2p.log,../gen/Tst_pirTest/DotProduct_3/log/runhybrid.log,True,,,12.862309295,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,2:26.35,0,0,168,1280,5.50,0,421,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:30.93,245,,True,False,True,0.0,33.437,0.0,0:00.28,413,,True,False,True,0.0,19.835,0.0,0:06.56,True
6349ca76,2019-07-09 17:14:21,DotProduct_4,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_4/log/runproute.log,../gen/Tst_pirTest/DotProduct_4/log/runproute.sh,../gen/Tst_pirTest/DotProduct_4/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_4/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_4/log/,../gen/Tst_pirTest/DotProduct_4/log/gentst.log,../gen/Tst_pirTest/DotProduct_4/log/maketst.log,../gen/Tst_pirTest/DotProduct_4/log/runp2p.log,../gen/Tst_pirTest/DotProduct_4/log/runhybrid.log,True,,,52.393135616,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,9:14.63,81,0,425,976,352.43,3,441,0.3750,0.8750,0.1250,17,42.86,0.1250,,1:26.42,254,,True,False,True,0.0,32.252,0.0,0:00.40,515,,True,False,True,0.0,15.907,0.0,0:05.93,True
6349ca76,2019-07-09 17:14:21,DotProduct_5,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_5/log/runproute.log,../gen/Tst_pirTest/DotProduct_5/log/runproute.sh,../gen/Tst_pirTest/DotProduct_5/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_5/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_5/log/,../gen/Tst_pirTest/DotProduct_5/log/gentst.log,../gen/Tst_pirTest/DotProduct_5/log/maketst.log,../gen/Tst_pirTest/DotProduct_5/log/runp2p.log,../gen/Tst_pirTest/DotProduct_5/log/runhybrid.log,True,,,20.663404414,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,3:22.22,0,0,269,682,6.00,0,436,0.0000,0.0000,0.0000,12,-nan,0.0000,,0:45.18,276,,True,False,True,0.0,30.609,0.0,0:00.28,449,,True,False,True,0.0,18.815,0.0,0:07.34,True
6349ca76,2019-07-09 17:14:21,GDA_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_0/log/runproute.log,../gen/Tst_pirTest/GDA_0/log/runproute.sh,../gen/Tst_pirTest/GDA_0/plastisim/summary.csv,../gen/Tst_pirTest/GDA_0/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_0/log/,../gen/Tst_pirTest/GDA_0/log/gentst.log,../gen/Tst_pirTest/GDA_0/log/maketst.log,../gen/Tst_pirTest/GDA_0/log/runp2p.log,../gen/Tst_pirTest/GDA_0/log/runhybrid.log,True,,,25.751753118,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,3:16.76,0,0,1975,13818064,5.50,0,7419362,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:53.76,1078963,,True,False,True,1.724,0.491,0.061,3:38.31,2787904,,True,False,True,1.583,0.19,0.024,2:40:35,True
6349ca76,2019-07-09 17:14:21,GDA_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_1/log/runproute.log,../gen/Tst_pirTest/GDA_1/log/runproute.sh,../gen/Tst_pirTest/GDA_1/plastisim/summary.csv,../gen/Tst_pirTest/GDA_1/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_1/log/,../gen/Tst_pirTest/GDA_1/log/gentst.log,../gen/Tst_pirTest/GDA_1/log/maketst.log,../gen/Tst_pirTest/GDA_1/log/runp2p.log,../gen/Tst_pirTest/GDA_1/log/runhybrid.log,True,,,24.054220081,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,3:39.61,0,0,343,56732,5.50,0,30518,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:51.53,6016,,True,False,True,0.0,1.447,0.681,0:01.41,14807,,True,False,True,0.0,0.588,0.277,3:10.64,True
6349ca76,2019-07-09 17:14:21,GDA_14,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_14/log/runproute.log,../gen/Tst_pirTest/GDA_14/log/runproute.sh,../gen/Tst_pirTest/GDA_14/plastisim/summary.csv,../gen/Tst_pirTest/GDA_14/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_14/log/,../gen/Tst_pirTest/GDA_14/log/gentst.log,../gen/Tst_pirTest/GDA_14/log/maketst.log,../gen/Tst_pirTest/GDA_14/log/runp2p.log,../gen/Tst_pirTest/GDA_14/log/runhybrid.log,True,,,62.774565464,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,5:16.60,0,0,6343944,44634432,6.00,0,21145058,0.0000,0.0000,0.0000,12,-nan,0.0000,,1:42.89,998828,,True,False,True,1.682,0.53,0.066,7:05.10,1730403,,True,False,True,1.651,0.306,0.038,2:04:32,True
6349ca76,2019-07-09 17:14:21,GDA_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_2/log/runproute.log,../gen/Tst_pirTest/GDA_2/log/runproute.sh,../gen/Tst_pirTest/GDA_2/plastisim/summary.csv,../gen/Tst_pirTest/GDA_2/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_2/log/,../gen/Tst_pirTest/GDA_2/log/gentst.log,../gen/Tst_pirTest/GDA_2/log/maketst.log,../gen/Tst_pirTest/GDA_2/log/runp2p.log,../gen/Tst_pirTest/GDA_2/log/runhybrid.log,True,,,41.658969572,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,4:27.59,0,0,959,32800,6.00,0,25974,0.0000,0.0000,0.0000,12,-nan,0.0000,,1:10.05,3313,,True,False,True,0.0,2.627,1.236,0:01.39,8164,,True,False,True,0.0,1.066,0.502,1:44.26,True
