sha,time,app,project,backend,freq,runproute,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,runhybrid,genpir,genpir_err,gentst_err,gentst_time,gentst_notFit,gentst_MC,gentst_DAG,gentst_PMU,gentst_PCU,gentst_row,gentst_col,proutesh_algo,proutesh_pattern,proutesh_slink,proutesh_vlink,proutesh_prtime,proutesh_vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,succeeded
6723e87,2019-07-10 23:25:02,BankEnable_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BankEnable_0/log/runproute.log,../gen/Tst_pirTest/BankEnable_0/log/runproute.sh,../gen/Tst_pirTest/BankEnable_0/plastisim/summary.csv,../gen/Tst_pirTest/BankEnable_0/pir/AccelMain.scala,../gen/Tst_pirTest/BankEnable_0/log/,../gen/Tst_pirTest/BankEnable_0/log/gentst.log,../gen/Tst_pirTest/BankEnable_0/log/maketst.log,../gen/Tst_pirTest/BankEnable_0/log/runp2p.log,../gen/Tst_pirTest/BankEnable_0/log/runhybrid.log,True,,,7.932641387,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,1:37.44,0,0,82,164,4.50,0,105,0.0000,0.0000,0.0000,9,-nan,0.0000,,0:28.09,126,,True,False,True,0.0,0.0,1.016,0:00.19,312,,True,False,True,0.0,0.0,0.41,0:02.04,True
6723e87,2019-07-10 23:25:02,BlackScholes_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_0/log/runproute.log,../gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_0/log/,../gen/Tst_pirTest/BlackScholes_0/log/gentst.log,../gen/Tst_pirTest/BlackScholes_0/log/maketst.log,../gen/Tst_pirTest/BlackScholes_0/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_0/log/runhybrid.log,True,,,17.458783924,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,10:34.42,0,0,1976,19200,6.50,0,8056,0.0000,0.0000,0.0000,13,-nan,0.0000,,1:05.36,1854,,True,False,True,0.0,13.256,2.209,0:01.00,3483,,True,False,True,0.0,7.056,1.176,0:39.72,True
6723e87,2019-07-10 23:25:02,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_1/log/runhybrid.log,True,,,10.909387598,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,10:50.36,0,0,361632,0,6.00,0,125176,0.0000,0.0000,0.0000,12,-nan,0.0000,,1:17.87,34828,,True,False,True,0.0,0.706,0.118,0:13.58,94887,,True,False,True,0.0,0.259,0.043,18:43.87,True
6723e87,2019-07-10 23:25:02,BreakTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest/log/runproute.log,../gen/Tst_pirTest/BreakTest/log/runproute.sh,../gen/Tst_pirTest/BreakTest/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest/log/,../gen/Tst_pirTest/BreakTest/log/gentst.log,../gen/Tst_pirTest/BreakTest/log/maketst.log,../gen/Tst_pirTest/BreakTest/log/runp2p.log,../gen/Tst_pirTest/BreakTest/log/runhybrid.log,True,,,4.487092487,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,0:37.71,0,0,3000000,0,0.50,0,3000000,0.0000,0.0000,0.0000,1,-nan,0.0000,,0:20.18,28,,True,False,True,0.0,0.0,0.0,0:00.13,65,,True,False,True,0.0,0.0,0.0,0:00.71,True
6723e87,2019-07-10 23:25:02,BroadcastTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BroadcastTest/log/runproute.log,../gen/Tst_pirTest/BroadcastTest/log/runproute.sh,../gen/Tst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/Tst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/Tst_pirTest/BroadcastTest/log/,../gen/Tst_pirTest/BroadcastTest/log/gentst.log,../gen/Tst_pirTest/BroadcastTest/log/maketst.log,../gen/Tst_pirTest/BroadcastTest/log/runp2p.log,../gen/Tst_pirTest/BroadcastTest/log/runhybrid.log,True,,,9.23888743,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,2:30.31,0,0,1085,2404,5.00,0,1705,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:33.44,530,,True,False,True,0.0,0.242,7.728,0:00.23,1187,,True,False,True,0.0,0.108,3.451,0:08.72,True
6723e87,2019-07-10 23:25:02,DotProduct_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_0/log/runproute.log,../gen/Tst_pirTest/DotProduct_0/log/runproute.sh,../gen/Tst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_0/log/,../gen/Tst_pirTest/DotProduct_0/log/gentst.log,../gen/Tst_pirTest/DotProduct_0/log/maketst.log,../gen/Tst_pirTest/DotProduct_0/log/runp2p.log,../gen/Tst_pirTest/DotProduct_0/log/runhybrid.log,True,,,5.130418776,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,2:09.89,0,0,213,448,5.00,0,419,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:32.14,308,,True,False,True,0.0,26.597,0.0,0:00.19,465,,True,False,True,0.0,17.617,0.0,0:05.08,True
6723e87,2019-07-10 23:25:02,DotProduct_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_1/log/runproute.log,../gen/Tst_pirTest/DotProduct_1/log/runproute.sh,../gen/Tst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_1/log/,../gen/Tst_pirTest/DotProduct_1/log/gentst.log,../gen/Tst_pirTest/DotProduct_1/log/maketst.log,../gen/Tst_pirTest/DotProduct_1/log/runp2p.log,../gen/Tst_pirTest/DotProduct_1/log/runhybrid.log,True,,,7.533383094,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,1:47.93,0,0,7319,0,5.00,0,4259,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:25.80,1143,,True,False,True,0.0,7.167,0.0,0:00.19,3252,,True,False,True,0.0,2.519,0.0,0:18.03,True
6723e87,2019-07-10 23:25:02,DotProduct_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_2/log/runproute.log,../gen/Tst_pirTest/DotProduct_2/log/runproute.sh,../gen/Tst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_2/log/,../gen/Tst_pirTest/DotProduct_2/log/gentst.log,../gen/Tst_pirTest/DotProduct_2/log/maketst.log,../gen/Tst_pirTest/DotProduct_2/log/runp2p.log,../gen/Tst_pirTest/DotProduct_2/log/runhybrid.log,True,,,21.538777768,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,2:36.42,0,0,17516,0,5.50,0,4261,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:37.43,636,,True,False,True,0.0,12.881,0.0,0:00.36,1780,,True,False,True,0.0,4.602,0.0,0:09.48,True
6723e87,2019-07-10 23:25:02,DotProduct_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_3/log/runproute.log,../gen/Tst_pirTest/DotProduct_3/log/runproute.sh,../gen/Tst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_3/log/,../gen/Tst_pirTest/DotProduct_3/log/gentst.log,../gen/Tst_pirTest/DotProduct_3/log/maketst.log,../gen/Tst_pirTest/DotProduct_3/log/runp2p.log,../gen/Tst_pirTest/DotProduct_3/log/runhybrid.log,True,,,6.70750978,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,2:52.05,0,0,168,1280,5.50,0,421,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:37.81,246,,True,False,True,0.0,33.301,0.0,0:00.20,412,,True,False,True,0.0,19.883,0.0,0:04.60,True
6723e87,2019-07-10 23:25:02,DotProduct_4,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_4/log/runproute.log,../gen/Tst_pirTest/DotProduct_4/log/runproute.sh,../gen/Tst_pirTest/DotProduct_4/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_4/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_4/log/,../gen/Tst_pirTest/DotProduct_4/log/gentst.log,../gen/Tst_pirTest/DotProduct_4/log/maketst.log,../gen/Tst_pirTest/DotProduct_4/log/runp2p.log,../gen/Tst_pirTest/DotProduct_4/log/runhybrid.log,True,,,25.470612177,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,11:56.81,88,0,398,992,353.44,3,457,0.3750,0.8750,0.1250,19,42.86,0.1250,,1:05.67,255,,True,False,True,0.0,32.125,0.0,0:00.23,528,,True,False,True,0.0,15.515,0.0,0:06.28,True
