spatial_sha,pir_sha,time,app,project,backend,freq,runproute,proutesh,prouteSummary,AccelMain,logpath,gentst,maketst,runp2p,runhybrid,genpir,genpir_err,gentst_err,gentst_time,gentst_notFit,gentst_MC,gentst_DAG,gentst_PMU,gentst_PCU,gentst_row,gentst_col,proutesh_algo,proutesh_pattern,proutesh_slink,proutesh_vlink,proutesh_prtime,proutesh_vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,succeeded
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,BankEnable_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BankEnable_0/log/runproute.log,../gen/Tst_pirTest/BankEnable_0/log/runproute.sh,../gen/Tst_pirTest/BankEnable_0/plastisim/summary.csv,../gen/Tst_pirTest/BankEnable_0/pir/AccelMain.scala,../gen/Tst_pirTest/BankEnable_0/log/,../gen/Tst_pirTest/BankEnable_0/log/gentst.log,../gen/Tst_pirTest/BankEnable_0/log/maketst.log,../gen/Tst_pirTest/BankEnable_0/log/runp2p.log,../gen/Tst_pirTest/BankEnable_0/log/runhybrid.log,True,,,6.760547794,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,1:31.85,0,0,82,164,4.50,0,105,0.0000,0.0000,0.0000,9,-nan,0.0000,,0:25.79,87,,True,False,True,,0.0,1.47126,0:00.31,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:00.71,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,BlackScholes_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_0/log/runproute.log,../gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_0/log/,../gen/Tst_pirTest/BlackScholes_0/log/gentst.log,../gen/Tst_pirTest/BlackScholes_0/log/maketst.log,../gen/Tst_pirTest/BlackScholes_0/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_0/log/runhybrid.log,True,,,23.150622142,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,8:19.52,0,0,1321,19904,6.50,0,8120,0.0000,0.0000,0.0000,13,-nan,0.0000,,1:12.53,2902,,True,False,True,,8.46864,1.41144,0:01.55,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:01.28,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_1/log/runhybrid.log,True,,,25.194741533,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,7:58.92,0,0,322711,0,6.50,0,121080,0.0000,0.0000,0.0000,13,-nan,0.0000,,1:04.92,42474,,True,False,True,,0.578613,0.0964355,0:17.47,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:00.87,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,BreakTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest/log/runproute.log,../gen/Tst_pirTest/BreakTest/log/runproute.sh,../gen/Tst_pirTest/BreakTest/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest/log/,../gen/Tst_pirTest/BreakTest/log/gentst.log,../gen/Tst_pirTest/BreakTest/log/maketst.log,../gen/Tst_pirTest/BreakTest/log/runp2p.log,../gen/Tst_pirTest/BreakTest/log/runhybrid.log,True,,,5.970584123,,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,0:23.53,17,"Assertion fail:
",True,False,False,,0.0,0.0,0:00.57,,,,False,False,,,,,False
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,BreakTest2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest2/log/runproute.log,../gen/Tst_pirTest/BreakTest2/log/runproute.sh,../gen/Tst_pirTest/BreakTest2/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest2/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest2/log/,../gen/Tst_pirTest/BreakTest2/log/gentst.log,../gen/Tst_pirTest/BreakTest2/log/maketst.log,../gen/Tst_pirTest/BreakTest2/log/runp2p.log,../gen/Tst_pirTest/BreakTest2/log/runhybrid.log,True,,,5.433974222,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,0:44.90,0,0,1000020,0,1.00,0,1000010,0.0000,0.0000,0.0000,2,-nan,0.0000,,0:24.33,23,,True,False,True,,0.0,0.0,0:00.28,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:00.63,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,BroadcastTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BroadcastTest/log/runproute.log,../gen/Tst_pirTest/BroadcastTest/log/runproute.sh,../gen/Tst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/Tst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/Tst_pirTest/BroadcastTest/log/,../gen/Tst_pirTest/BroadcastTest/log/gentst.log,../gen/Tst_pirTest/BroadcastTest/log/maketst.log,../gen/Tst_pirTest/BroadcastTest/log/runp2p.log,../gen/Tst_pirTest/BroadcastTest/log/runhybrid.log,True,,,14.783432673,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,2:22.15,0,0,1341,2148,5.00,0,1705,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:32.09,555,,True,False,True,,0.230631,7.38018,0:00.26,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:00.45,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,DotProduct_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_0/log/runproute.log,../gen/Tst_pirTest/DotProduct_0/log/runproute.sh,../gen/Tst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_0/log/,../gen/Tst_pirTest/DotProduct_0/log/gentst.log,../gen/Tst_pirTest/DotProduct_0/log/maketst.log,../gen/Tst_pirTest/DotProduct_0/log/runp2p.log,../gen/Tst_pirTest/DotProduct_0/log/runhybrid.log,True,,,9.495427239,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,1:51.25,0,0,213,448,5.00,0,419,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:26.51,303,,True,False,True,,27.0363,0.0,0:00.34,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:00.98,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,DotProduct_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_1/log/runproute.log,../gen/Tst_pirTest/DotProduct_1/log/runproute.sh,../gen/Tst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_1/log/,../gen/Tst_pirTest/DotProduct_1/log/gentst.log,../gen/Tst_pirTest/DotProduct_1/log/maketst.log,../gen/Tst_pirTest/DotProduct_1/log/runp2p.log,../gen/Tst_pirTest/DotProduct_1/log/runhybrid.log,True,,,8.885565793,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,1:49.09,0,0,7319,0,5.00,0,4259,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:26.53,1132,,True,False,True,,7.23675,0.0,0:00.34,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:01.11,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,DotProduct_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_2/log/runproute.log,../gen/Tst_pirTest/DotProduct_2/log/runproute.sh,../gen/Tst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_2/log/,../gen/Tst_pirTest/DotProduct_2/log/gentst.log,../gen/Tst_pirTest/DotProduct_2/log/maketst.log,../gen/Tst_pirTest/DotProduct_2/log/runp2p.log,../gen/Tst_pirTest/DotProduct_2/log/runhybrid.log,True,,,11.088031694,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,2:23.54,0,0,14506,0,5.50,0,4261,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:27.89,630,,True,False,True,,13.0032,0.0,0:00.32,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:01.82,True
93c7f3fb,9c1cdfea,2019-07-16 18:45:15,DotProduct_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_3/log/runproute.log,../gen/Tst_pirTest/DotProduct_3/log/runproute.sh,../gen/Tst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_3/log/,../gen/Tst_pirTest/DotProduct_3/log/gentst.log,../gen/Tst_pirTest/DotProduct_3/log/maketst.log,../gen/Tst_pirTest/DotProduct_3/log/runp2p.log,../gen/Tst_pirTest/DotProduct_3/log/runhybrid.log,True,,,12.973827932,,,,,,18,18,route_min_directed_valient,checkerboard,4,3,-1,4,,2:34.04,0,0,168,1280,5.50,0,421,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:35.88,241,,True,False,True,,33.9917,0.0,0:00.41,,"tungsten: /local/ssd/home/yaqiz/spatial/pir/tungsten/staticnetwork.h:298: void StaticNetworkD, L::Eval() [with int D = 4; int L = 4]: Assertion `!!credits[i] == readys[i]' failed.
",,False,False,,,,0:00.89,True
