spatial_sha,pir_sha,time,app,project,backend,freq,runproute,proutesh,prouteSummary,AccelMain,logpath,gentst,resreport,maketst,runp2p,runhybrid,genpir,genpir_err,gentst_err,gentst_time,notFit,row,col,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,algo,pattern,slink,vlink,prtime,vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,succeeded
1579e56,14c6398,2019-07-22 16:21:21,BankEnable_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BankEnable_0/log/runproute.log,../gen/Tst_pirTest/BankEnable_0/log/runproute.sh,../gen/Tst_pirTest/BankEnable_0/plastisim/summary.csv,../gen/Tst_pirTest/BankEnable_0/pir/AccelMain.scala,../gen/Tst_pirTest/BankEnable_0/log/,../gen/Tst_pirTest/BankEnable_0/log/gentst.log,../gen/Tst_pirTest/BankEnable_0/pir/out/resource.csv,../gen/Tst_pirTest/BankEnable_0/log/maketst.log,../gen/Tst_pirTest/BankEnable_0/log/runp2p.log,../gen/Tst_pirTest/BankEnable_0/log/runhybrid.log,True,,,7.165384916,,18,18,1,1,2,3,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,1:38.29,0,0,82,164,4.50,0,105,0.0000,0.0000,0.0000,9,-nan,0.0000,,0:26.15,87,,True,False,True,,0.0,1.47126,0:00.19,268,,True,False,True,,0.0,0.477612,0:01.83,True
1579e56,14c6398,2019-07-22 16:21:21,BlackScholes_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_0/log/runproute.log,../gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_0/log/,../gen/Tst_pirTest/BlackScholes_0/log/gentst.log,../gen/Tst_pirTest/BlackScholes_0/pir/out/resource.csv,../gen/Tst_pirTest/BlackScholes_0/log/maketst.log,../gen/Tst_pirTest/BlackScholes_0/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_0/log/runhybrid.log,True,,,17.779235503,,18,18,7,8,8,34,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,8:21.47,0,0,1817,18880,6.50,0,7992,0.0000,0.0000,0.0000,13,-nan,0.0000,,1:14.60,2956,,True,False,True,,8.31394,1.38566,0:01.68,5638,,True,False,True,,4.35899,0.726499,0:53.22,True
1579e56,14c6398,2019-07-22 16:21:21,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/pir/out/resource.csv,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_1/log/runhybrid.log,True,,,19.378760988,,18,18,7,9,7,35,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,9:44.14,0,0,404612,0,7.50,0,124152,0.0000,0.0000,0.0000,15,-nan,0.0000,,1:01.01,31742,,True,False,True,,0.774242,0.12904,0:12.92,57773,,True,False,True,,0.425389,0.0708982,10:29.33,True
1579e56,14c6398,2019-07-22 16:21:21,BreakTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest/log/runproute.log,../gen/Tst_pirTest/BreakTest/log/runproute.sh,../gen/Tst_pirTest/BreakTest/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest/log/,../gen/Tst_pirTest/BreakTest/log/gentst.log,../gen/Tst_pirTest/BreakTest/pir/out/resource.csv,../gen/Tst_pirTest/BreakTest/log/maketst.log,../gen/Tst_pirTest/BreakTest/log/runp2p.log,../gen/Tst_pirTest/BreakTest/log/runhybrid.log,True,,,6.074950461,,18,18,0,0,0,1,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,0:35.90,0,0,0,0,0.00,0,1000000,0.0000,0.0000,0.0000,0,-nan,0.0000,,0:27.30,87,,True,False,True,,0.0,0.0,0:00.35,95,,True,False,True,,0.0,0.0,0:01.17,True
1579e56,14c6398,2019-07-22 16:21:21,BreakTest2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest2/log/runproute.log,../gen/Tst_pirTest/BreakTest2/log/runproute.sh,../gen/Tst_pirTest/BreakTest2/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest2/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest2/log/,../gen/Tst_pirTest/BreakTest2/log/gentst.log,../gen/Tst_pirTest/BreakTest2/pir/out/resource.csv,../gen/Tst_pirTest/BreakTest2/log/maketst.log,../gen/Tst_pirTest/BreakTest2/log/runp2p.log,../gen/Tst_pirTest/BreakTest2/log/runhybrid.log,True,,,4.975677759,,18,18,0,0,0,2,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,0:37.01,0,0,20,0,1.00,0,1000010,0.0000,0.0000,0.0000,2,-nan,0.0000,,0:22.46,23,,True,False,True,,0.0,0.0,0:00.19,61,,True,False,True,,0.0,0.0,0:00.76,True
1579e56,14c6398,2019-07-22 16:21:21,BroadcastTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BroadcastTest/log/runproute.log,../gen/Tst_pirTest/BroadcastTest/log/runproute.sh,../gen/Tst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/Tst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/Tst_pirTest/BroadcastTest/log/,../gen/Tst_pirTest/BroadcastTest/log/gentst.log,../gen/Tst_pirTest/BroadcastTest/pir/out/resource.csv,../gen/Tst_pirTest/BroadcastTest/log/maketst.log,../gen/Tst_pirTest/BroadcastTest/log/runp2p.log,../gen/Tst_pirTest/BroadcastTest/log/runhybrid.log,True,,,9.779615491,,18,18,2,3,2,8,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,2:24.82,0,0,1341,2148,5.00,0,1705,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:30.05,555,,True,False,True,,0.230631,7.38018,0:00.21,1193,,True,False,True,,0.107293,3.43336,0:12.74,True
1579e56,14c6398,2019-07-22 16:21:21,DotProduct_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_0/log/runproute.log,../gen/Tst_pirTest/DotProduct_0/log/runproute.sh,../gen/Tst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_0/log/,../gen/Tst_pirTest/DotProduct_0/log/gentst.log,../gen/Tst_pirTest/DotProduct_0/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_0/log/maketst.log,../gen/Tst_pirTest/DotProduct_0/log/runp2p.log,../gen/Tst_pirTest/DotProduct_0/log/runhybrid.log,True,,,13.138284125,,18,18,2,2,2,2,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,1:57.57,0,0,213,448,5.00,0,419,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:34.37,307,,True,False,True,,26.684,0.0,0:00.24,461,,True,False,True,,17.7701,0.0,0:03.15,True
1579e56,14c6398,2019-07-22 16:21:21,DotProduct_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_1/log/runproute.log,../gen/Tst_pirTest/DotProduct_1/log/runproute.sh,../gen/Tst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_1/log/,../gen/Tst_pirTest/DotProduct_1/log/gentst.log,../gen/Tst_pirTest/DotProduct_1/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_1/log/maketst.log,../gen/Tst_pirTest/DotProduct_1/log/runp2p.log,../gen/Tst_pirTest/DotProduct_1/log/runhybrid.log,True,,,7.887390017,,18,18,2,2,2,2,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,1:44.12,0,0,7319,0,5.00,0,4259,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:26.04,1132,,True,False,True,,7.23675,0.0,0:00.20,2871,,True,False,True,,2.85336,0.0,0:27.20,True
1579e56,14c6398,2019-07-22 16:21:21,DotProduct_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_2/log/runproute.log,../gen/Tst_pirTest/DotProduct_2/log/runproute.sh,../gen/Tst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_2/log/,../gen/Tst_pirTest/DotProduct_2/log/gentst.log,../gen/Tst_pirTest/DotProduct_2/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_2/log/maketst.log,../gen/Tst_pirTest/DotProduct_2/log/runp2p.log,../gen/Tst_pirTest/DotProduct_2/log/runhybrid.log,True,,,8.926441599,,18,18,4,4,4,3,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,2:29.29,0,0,14506,0,5.50,0,4261,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:28.95,620,,True,False,True,,13.2129,0.0,0:00.21,1618,,True,False,True,,5.06304,0.0,0:08.61,True
1579e56,14c6398,2019-07-22 16:21:21,DotProduct_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_3/log/runproute.log,../gen/Tst_pirTest/DotProduct_3/log/runproute.sh,../gen/Tst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_3/log/,../gen/Tst_pirTest/DotProduct_3/log/gentst.log,../gen/Tst_pirTest/DotProduct_3/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_3/log/maketst.log,../gen/Tst_pirTest/DotProduct_3/log/runp2p.log,../gen/Tst_pirTest/DotProduct_3/log/runhybrid.log,True,,,16.80051106,,18,18,4,4,4,3,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,2:42.78,0,0,168,1280,5.50,0,421,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:43.84,240,,True,False,True,,34.1333,0.0,0:00.28,405,,True,False,True,,20.2272,0.0,0:03.69,True
