spatial_sha,pir_sha,time,app,project,backend,freq,runproute,proutesh,prouteSummary,AccelMain,logpath,gentst,resreport,maketst,runp2p,runhybrid,genpir,genpir_err,gentst_err,gentst_time,notFit,row,col,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,algo,pattern,slink,vlink,prtime,vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,runp2p_success,runhybrid_success,succeeded
1270cc40,4723e04d,2019-08-27 15:06:18,BankEnable_0,pirTest,Tst,1000000000.0,gen/Tst_pirTest/BankEnable_0/log/runproute.log,gen/Tst_pirTest/BankEnable_0/log/runproute.sh,gen/Tst_pirTest/BankEnable_0/plastisim/summary.csv,gen/Tst_pirTest/BankEnable_0/pir/AccelMain.scala,gen/Tst_pirTest/BankEnable_0/log/,gen/Tst_pirTest/BankEnable_0/log/gentst.log,gen/Tst_pirTest/BankEnable_0/pir/out/resource.csv,gen/Tst_pirTest/BankEnable_0/log/maketst.log,gen/Tst_pirTest/BankEnable_0/log/runp2p.log,gen/Tst_pirTest/BankEnable_0/log/runhybrid.log,True,,,7.654327171,,20,20,1,1,2,2,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:21.71,76,,True,False,True,,0.0,1.68421,0:00.28,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,BlackScholes_0,pirTest,Tst,1000000000.0,gen/Tst_pirTest/BlackScholes_0/log/runproute.log,gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,gen/Tst_pirTest/BlackScholes_0/log/,gen/Tst_pirTest/BlackScholes_0/log/gentst.log,gen/Tst_pirTest/BlackScholes_0/pir/out/resource.csv,gen/Tst_pirTest/BlackScholes_0/log/maketst.log,gen/Tst_pirTest/BlackScholes_0/log/runp2p.log,gen/Tst_pirTest/BlackScholes_0/log/runhybrid.log,True,,,24.58368526,,20,20,7,8,8,35,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,1:21.80,1221,,True,False,True,,20.1278,3.35463,0:00.90,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,BlackScholes_1,pirTest,Tst,1000000000.0,gen/Tst_pirTest/BlackScholes_1/log/runproute.log,gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,gen/Tst_pirTest/BlackScholes_1/log/,gen/Tst_pirTest/BlackScholes_1/log/gentst.log,gen/Tst_pirTest/BlackScholes_1/pir/out/resource.csv,gen/Tst_pirTest/BlackScholes_1/log/maketst.log,gen/Tst_pirTest/BlackScholes_1/log/runp2p.log,gen/Tst_pirTest/BlackScholes_1/log/runhybrid.log,True,,,24.641488534,,20,20,7,7,9,36,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,1:09.11,14469,,True,False,True,,1.69853,0.283088,0:04.47,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,BreakTest,pirTest,Tst,1000000000.0,gen/Tst_pirTest/BreakTest/log/runproute.log,gen/Tst_pirTest/BreakTest/log/runproute.sh,gen/Tst_pirTest/BreakTest/plastisim/summary.csv,gen/Tst_pirTest/BreakTest/pir/AccelMain.scala,gen/Tst_pirTest/BreakTest/log/,gen/Tst_pirTest/BreakTest/log/gentst.log,gen/Tst_pirTest/BreakTest/pir/out/resource.csv,gen/Tst_pirTest/BreakTest/log/maketst.log,gen/Tst_pirTest/BreakTest/log/runp2p.log,gen/Tst_pirTest/BreakTest/log/runhybrid.log,True,,,7.028240504,,20,20,0,0,1,0,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:23.32,87,,True,False,True,,0.0,0.0,0:00.33,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,BreakTest2,pirTest,Tst,1000000000.0,gen/Tst_pirTest/BreakTest2/log/runproute.log,gen/Tst_pirTest/BreakTest2/log/runproute.sh,gen/Tst_pirTest/BreakTest2/plastisim/summary.csv,gen/Tst_pirTest/BreakTest2/pir/AccelMain.scala,gen/Tst_pirTest/BreakTest2/log/,gen/Tst_pirTest/BreakTest2/log/gentst.log,gen/Tst_pirTest/BreakTest2/pir/out/resource.csv,gen/Tst_pirTest/BreakTest2/log/maketst.log,gen/Tst_pirTest/BreakTest2/log/runp2p.log,gen/Tst_pirTest/BreakTest2/log/runhybrid.log,True,,,7.430162836,,20,20,0,0,2,0,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:24.81,23,,True,False,True,,0.0,0.0,0:00.37,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,BroadcastTest,pirTest,Tst,1000000000.0,gen/Tst_pirTest/BroadcastTest/log/runproute.log,gen/Tst_pirTest/BroadcastTest/log/runproute.sh,gen/Tst_pirTest/BroadcastTest/plastisim/summary.csv,gen/Tst_pirTest/BroadcastTest/pir/AccelMain.scala,gen/Tst_pirTest/BroadcastTest/log/,gen/Tst_pirTest/BroadcastTest/log/gentst.log,gen/Tst_pirTest/BroadcastTest/pir/out/resource.csv,gen/Tst_pirTest/BroadcastTest/log/maketst.log,gen/Tst_pirTest/BroadcastTest/log/runp2p.log,gen/Tst_pirTest/BroadcastTest/log/runhybrid.log,True,,,15.396312659,,20,20,2,3,2,7,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:29.77,294,,True,False,True,,0.435374,13.932,0:00.30,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,DotProduct_0,pirTest,Tst,1000000000.0,gen/Tst_pirTest/DotProduct_0/log/runproute.log,gen/Tst_pirTest/DotProduct_0/log/runproute.sh,gen/Tst_pirTest/DotProduct_0/plastisim/summary.csv,gen/Tst_pirTest/DotProduct_0/pir/AccelMain.scala,gen/Tst_pirTest/DotProduct_0/log/,gen/Tst_pirTest/DotProduct_0/log/gentst.log,gen/Tst_pirTest/DotProduct_0/pir/out/resource.csv,gen/Tst_pirTest/DotProduct_0/log/maketst.log,gen/Tst_pirTest/DotProduct_0/log/runp2p.log,gen/Tst_pirTest/DotProduct_0/log/runhybrid.log,True,,,11.083154032,,20,20,2,2,2,2,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:27.26,296,,True,False,True,,27.6757,0.0,0:00.33,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,DotProduct_1,pirTest,Tst,1000000000.0,gen/Tst_pirTest/DotProduct_1/log/runproute.log,gen/Tst_pirTest/DotProduct_1/log/runproute.sh,gen/Tst_pirTest/DotProduct_1/plastisim/summary.csv,gen/Tst_pirTest/DotProduct_1/pir/AccelMain.scala,gen/Tst_pirTest/DotProduct_1/log/,gen/Tst_pirTest/DotProduct_1/log/gentst.log,gen/Tst_pirTest/DotProduct_1/pir/out/resource.csv,gen/Tst_pirTest/DotProduct_1/log/maketst.log,gen/Tst_pirTest/DotProduct_1/log/runp2p.log,gen/Tst_pirTest/DotProduct_1/log/runhybrid.log,True,,,11.929277512,,20,20,2,2,2,2,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:30.13,1131,,True,False,True,,7.24315,0.0,0:00.34,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,DotProduct_2,pirTest,Tst,1000000000.0,gen/Tst_pirTest/DotProduct_2/log/runproute.log,gen/Tst_pirTest/DotProduct_2/log/runproute.sh,gen/Tst_pirTest/DotProduct_2/plastisim/summary.csv,gen/Tst_pirTest/DotProduct_2/pir/AccelMain.scala,gen/Tst_pirTest/DotProduct_2/log/,gen/Tst_pirTest/DotProduct_2/log/gentst.log,gen/Tst_pirTest/DotProduct_2/pir/out/resource.csv,gen/Tst_pirTest/DotProduct_2/log/maketst.log,gen/Tst_pirTest/DotProduct_2/log/runp2p.log,gen/Tst_pirTest/DotProduct_2/log/runhybrid.log,True,,,15.055433668,,20,20,4,4,4,3,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:33.05,624,,True,False,True,,13.1282,0.0,0:00.32,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,DotProduct_3,pirTest,Tst,1000000000.0,gen/Tst_pirTest/DotProduct_3/log/runproute.log,gen/Tst_pirTest/DotProduct_3/log/runproute.sh,gen/Tst_pirTest/DotProduct_3/plastisim/summary.csv,gen/Tst_pirTest/DotProduct_3/pir/AccelMain.scala,gen/Tst_pirTest/DotProduct_3/log/,gen/Tst_pirTest/DotProduct_3/log/gentst.log,gen/Tst_pirTest/DotProduct_3/pir/out/resource.csv,gen/Tst_pirTest/DotProduct_3/log/maketst.log,gen/Tst_pirTest/DotProduct_3/log/runp2p.log,gen/Tst_pirTest/DotProduct_3/log/runhybrid.log,True,,,12.517129667,,20,20,4,4,4,3,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:34.08,234,,True,False,True,,35.0085,0.0,0:00.32,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,DotProduct_4,pirTest,Tst,1000000000.0,gen/Tst_pirTest/DotProduct_4/log/runproute.log,gen/Tst_pirTest/DotProduct_4/log/runproute.sh,gen/Tst_pirTest/DotProduct_4/plastisim/summary.csv,gen/Tst_pirTest/DotProduct_4/pir/AccelMain.scala,gen/Tst_pirTest/DotProduct_4/log/,gen/Tst_pirTest/DotProduct_4/log/gentst.log,gen/Tst_pirTest/DotProduct_4/pir/out/resource.csv,gen/Tst_pirTest/DotProduct_4/log/maketst.log,gen/Tst_pirTest/DotProduct_4/log/runp2p.log,gen/Tst_pirTest/DotProduct_4/log/runhybrid.log,True,,,33.01891866,,20,20,16,16,16,11,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:45.16,243,,True,False,True,,33.7119,0.0,0:00.32,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,DotProduct_5,pirTest,Tst,1000000000.0,gen/Tst_pirTest/DotProduct_5/log/runproute.log,gen/Tst_pirTest/DotProduct_5/log/runproute.sh,gen/Tst_pirTest/DotProduct_5/plastisim/summary.csv,gen/Tst_pirTest/DotProduct_5/pir/AccelMain.scala,gen/Tst_pirTest/DotProduct_5/log/,gen/Tst_pirTest/DotProduct_5/log/gentst.log,gen/Tst_pirTest/DotProduct_5/pir/out/resource.csv,gen/Tst_pirTest/DotProduct_5/log/maketst.log,gen/Tst_pirTest/DotProduct_5/log/runp2p.log,gen/Tst_pirTest/DotProduct_5/log/runhybrid.log,True,,,16.965570741,,20,20,6,6,6,4,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:38.13,239,,True,False,True,,35.3473,0.0,0:00.34,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,GDA_0,pirTest,Tst,1000000000.0,gen/Tst_pirTest/GDA_0/log/runproute.log,gen/Tst_pirTest/GDA_0/log/runproute.sh,gen/Tst_pirTest/GDA_0/plastisim/summary.csv,gen/Tst_pirTest/GDA_0/pir/AccelMain.scala,gen/Tst_pirTest/GDA_0/log/,gen/Tst_pirTest/GDA_0/log/gentst.log,gen/Tst_pirTest/GDA_0/pir/out/resource.csv,gen/Tst_pirTest/GDA_0/log/maketst.log,gen/Tst_pirTest/GDA_0/log/runp2p.log,gen/Tst_pirTest/GDA_0/log/runhybrid.log,True,,,22.891746889,,20,20,5,5,11,6,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:53.08,270520,,True,False,True,,0.492089,0.242259,0:37.50,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,GDA_1,pirTest,Tst,1000000000.0,gen/Tst_pirTest/GDA_1/log/runproute.log,gen/Tst_pirTest/GDA_1/log/runproute.sh,gen/Tst_pirTest/GDA_1/plastisim/summary.csv,gen/Tst_pirTest/GDA_1/pir/AccelMain.scala,gen/Tst_pirTest/GDA_1/log/,gen/Tst_pirTest/GDA_1/log/gentst.log,gen/Tst_pirTest/GDA_1/pir/out/resource.csv,gen/Tst_pirTest/GDA_1/log/maketst.log,gen/Tst_pirTest/GDA_1/log/runp2p.log,gen/Tst_pirTest/GDA_1/log/runhybrid.log,True,,,18.827836232,,20,20,5,5,11,6,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:55.33,5395,,True,False,True,,1.61335,0.759222,0:01.24,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,GDA_14,pirTest,Tst,1000000000.0,gen/Tst_pirTest/GDA_14/log/runproute.log,gen/Tst_pirTest/GDA_14/log/runproute.sh,gen/Tst_pirTest/GDA_14/plastisim/summary.csv,gen/Tst_pirTest/GDA_14/pir/AccelMain.scala,gen/Tst_pirTest/GDA_14/log/,gen/Tst_pirTest/GDA_14/log/gentst.log,gen/Tst_pirTest/GDA_14/pir/out/resource.csv,gen/Tst_pirTest/GDA_14/log/maketst.log,gen/Tst_pirTest/GDA_14/log/runp2p.log,gen/Tst_pirTest/GDA_14/log/runhybrid.log,True,,,44.79638269,,20,20,5,6,17,22,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,1:25.04,137265,,True,False,True,,0.969803,0.477441,0:55.40,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,GDA_2,pirTest,Tst,1000000000.0,gen/Tst_pirTest/GDA_2/log/runproute.log,gen/Tst_pirTest/GDA_2/log/runproute.sh,gen/Tst_pirTest/GDA_2/plastisim/summary.csv,gen/Tst_pirTest/GDA_2/pir/AccelMain.scala,gen/Tst_pirTest/GDA_2/log/,gen/Tst_pirTest/GDA_2/log/gentst.log,gen/Tst_pirTest/GDA_2/pir/out/resource.csv,gen/Tst_pirTest/GDA_2/log/maketst.log,gen/Tst_pirTest/GDA_2/log/runp2p.log,gen/Tst_pirTest/GDA_2/log/runhybrid.log,True,,,30.728901861,,20,20,5,6,15,12,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,1:04.84,2917,,True,False,True,,2.98389,1.40418,0:01.15,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,GDA_3,pirTest,Tst,1000000000.0,gen/Tst_pirTest/GDA_3/log/runproute.log,gen/Tst_pirTest/GDA_3/log/runproute.sh,gen/Tst_pirTest/GDA_3/plastisim/summary.csv,gen/Tst_pirTest/GDA_3/pir/AccelMain.scala,gen/Tst_pirTest/GDA_3/log/,gen/Tst_pirTest/GDA_3/log/gentst.log,gen/Tst_pirTest/GDA_3/pir/out/resource.csv,gen/Tst_pirTest/GDA_3/log/maketst.log,gen/Tst_pirTest/GDA_3/log/runp2p.log,gen/Tst_pirTest/GDA_3/log/runhybrid.log,True,,,28.252421722,,20,20,5,6,12,9,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,1:00.43,5362,,True,False,True,,1.62327,0.763894,0:01.23,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,GDA_4,pirTest,Tst,1000000000.0,gen/Tst_pirTest/GDA_4/log/runproute.log,gen/Tst_pirTest/GDA_4/log/runproute.sh,gen/Tst_pirTest/GDA_4/plastisim/summary.csv,gen/Tst_pirTest/GDA_4/pir/AccelMain.scala,gen/Tst_pirTest/GDA_4/log/,gen/Tst_pirTest/GDA_4/log/gentst.log,gen/Tst_pirTest/GDA_4/pir/out/resource.csv,gen/Tst_pirTest/GDA_4/log/maketst.log,gen/Tst_pirTest/GDA_4/log/runp2p.log,gen/Tst_pirTest/GDA_4/log/runhybrid.log,True,,,48.666236644,,20,20,5,6,17,22,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,1:25.40,2905,,True,False,True,,2.99621,1.40998,0:01.51,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,GDA_5,pirTest,Tst,1000000000.0,gen/Tst_pirTest/GDA_5/log/runproute.log,gen/Tst_pirTest/GDA_5/log/runproute.sh,gen/Tst_pirTest/GDA_5/plastisim/summary.csv,gen/Tst_pirTest/GDA_5/pir/AccelMain.scala,gen/Tst_pirTest/GDA_5/log/,gen/Tst_pirTest/GDA_5/log/gentst.log,gen/Tst_pirTest/GDA_5/pir/out/resource.csv,gen/Tst_pirTest/GDA_5/log/maketst.log,gen/Tst_pirTest/GDA_5/log/runp2p.log,gen/Tst_pirTest/GDA_5/log/runhybrid.log,True,,,24.108261364,,20,20,5,6,11,10,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:52.06,9666,,True,False,True,,0.900476,0.423753,0:01.97,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,GDA_6,pirTest,Tst,1000000000.0,gen/Tst_pirTest/GDA_6/log/runproute.log,gen/Tst_pirTest/GDA_6/log/runproute.sh,gen/Tst_pirTest/GDA_6/plastisim/summary.csv,gen/Tst_pirTest/GDA_6/pir/AccelMain.scala,gen/Tst_pirTest/GDA_6/log/,gen/Tst_pirTest/GDA_6/log/gentst.log,gen/Tst_pirTest/GDA_6/pir/out/resource.csv,gen/Tst_pirTest/GDA_6/log/maketst.log,gen/Tst_pirTest/GDA_6/log/runp2p.log,gen/Tst_pirTest/GDA_6/log/runhybrid.log,True,,,33.671822287,,20,20,5,6,14,18,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,1:13.25,269770,,True,False,True,,0.493457,0.242933,1:21.14,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,GEMM_0,pirTest,Tst,1000000000.0,gen/Tst_pirTest/GEMM_0/log/runproute.log,gen/Tst_pirTest/GEMM_0/log/runproute.sh,gen/Tst_pirTest/GEMM_0/plastisim/summary.csv,gen/Tst_pirTest/GEMM_0/pir/AccelMain.scala,gen/Tst_pirTest/GEMM_0/log/,gen/Tst_pirTest/GEMM_0/log/gentst.log,gen/Tst_pirTest/GEMM_0/pir/out/resource.csv,gen/Tst_pirTest/GEMM_0/log/maketst.log,gen/Tst_pirTest/GEMM_0/log/runp2p.log,gen/Tst_pirTest/GEMM_0/log/runhybrid.log,True,,,20.356555016,,20,20,3,6,5,4,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:38.88,132327,,True,False,True,,1.98103,0.495258,0:10.99,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,GEMM_1,pirTest,Tst,1000000000.0,gen/Tst_pirTest/GEMM_1/log/runproute.log,gen/Tst_pirTest/GEMM_1/log/runproute.sh,gen/Tst_pirTest/GEMM_1/plastisim/summary.csv,gen/Tst_pirTest/GEMM_1/pir/AccelMain.scala,gen/Tst_pirTest/GEMM_1/log/,gen/Tst_pirTest/GEMM_1/log/gentst.log,gen/Tst_pirTest/GEMM_1/pir/out/resource.csv,gen/Tst_pirTest/GEMM_1/log/maketst.log,gen/Tst_pirTest/GEMM_1/log/runp2p.log,gen/Tst_pirTest/GEMM_1/log/runhybrid.log,True,,,13.884458069,,20,20,3,3,5,5,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:25.48,265427,,True,False,True,,0.246908,0.061727,0:09.77,,,,False,False,,,,,True,False,True
1270cc40,4723e04d,2019-08-27 15:06:18,GEMM_10,pirTest,Tst,1000000000.0,gen/Tst_pirTest/GEMM_10/log/runproute.log,gen/Tst_pirTest/GEMM_10/log/runproute.sh,gen/Tst_pirTest/GEMM_10/plastisim/summary.csv,gen/Tst_pirTest/GEMM_10/pir/AccelMain.scala,gen/Tst_pirTest/GEMM_10/log/,gen/Tst_pirTest/GEMM_10/log/gentst.log,gen/Tst_pirTest/GEMM_10/pir/out/resource.csv,gen/Tst_pirTest/GEMM_10/log/maketst.log,gen/Tst_pirTest/GEMM_10/log/runp2p.log,gen/Tst_pirTest/GEMM_10/log/runhybrid.log,True,,,29.296114734,,20,20,4,4,7,17,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:42.10,9082,,True,False,True,,1.80401,0.451002,0:01.37,,,,False,False,,,,,True,False,True
