spatial_sha,pir_sha,time,app,project,backend,freq,runproute,proutesh,prouteSummary,AccelMain,logpath,gentst,resreport,maketst,runp2p,runhybrid,p2pstat,genpir,genpir_err,gentst_err,gentst_time,notFit,row,col,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,algo,pattern,slink,vlink,prtime,vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,OPS-All,OPS-FU,OPS-Fix,OPS-Flt,OPS-Other,OPS-Prog FU,runp2p_success,runhybrid_success,succeeded
d767cab,2dcd8c8,2019-09-28 21:03:08,BankEnable_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BankEnable_0/log/runproute.log,../gen/Tst_pirTest/BankEnable_0/log/runproute.sh,../gen/Tst_pirTest/BankEnable_0/plastisim/summary.csv,../gen/Tst_pirTest/BankEnable_0/pir/AccelMain.scala,../gen/Tst_pirTest/BankEnable_0/log/,../gen/Tst_pirTest/BankEnable_0/log/gentst.log,../gen/Tst_pirTest/BankEnable_0/pir/out/resource.csv,../gen/Tst_pirTest/BankEnable_0/log/maketst.log,../gen/Tst_pirTest/BankEnable_0/log/runp2p.log,../gen/Tst_pirTest/BankEnable_0/log/runhybrid.log,../gen/Tst_pirTest/BankEnable_0/log/p2pstat.log,True,,,10.940243539,,20,20,1,3,2,2,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:41.78,78,,True,False,True,,0.0,1.64103,0:00.66,,,,False,False,,,,,"704 OP, 9.03 GOPS","128 OP, 1.64 GOPS","128 OP, 1.64 GOPS",,"576 OP, 7.38 GOPS","128 OP, 1.64 GOPS",True,False,True
d767cab,2dcd8c8,2019-09-28 21:03:08,BlackScholes_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_0/log/runproute.log,../gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_0/log/,../gen/Tst_pirTest/BlackScholes_0/log/gentst.log,../gen/Tst_pirTest/BlackScholes_0/pir/out/resource.csv,../gen/Tst_pirTest/BlackScholes_0/log/maketst.log,../gen/Tst_pirTest/BlackScholes_0/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_0/log/runhybrid.log,../gen/Tst_pirTest/BlackScholes_0/log/p2pstat.log,True,,,31.257773758,,20,20,7,8,8,50,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,2:42.73,1078,,True,False,True,,22.7978,3.79963,0:00.94,,,,False,False,,,,,"189776 OP, 176.04 GOPS","169296 OP, 157.05 GOPS","15696 OP, 14.56 GOPS","159744 OP, 148.19 GOPS","14336 OP, 13.30 GOPS","169296 OP, 157.05 GOPS",True,False,True
d767cab,2dcd8c8,2019-09-28 21:03:08,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/pir/out/resource.csv,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_1/log/runhybrid.log,../gen/Tst_pirTest/BlackScholes_1/log/p2pstat.log,True,,,31.138201367,,20,20,7,9,7,55,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,2:36.17,13779,,True,False,True,,1.78358,0.297264,0:03.38,,,,False,False,,,,,"175440 OP, 12.73 GOPS","154960 OP, 11.25 GOPS","1360 OP, 0.10 GOPS","159744 OP, 11.59 GOPS","14336 OP, 1.04 GOPS","154960 OP, 11.25 GOPS",True,False,True
d767cab,2dcd8c8,2019-09-28 21:03:08,BreakTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest/log/runproute.log,../gen/Tst_pirTest/BreakTest/log/runproute.sh,../gen/Tst_pirTest/BreakTest/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest/log/,../gen/Tst_pirTest/BreakTest/log/gentst.log,../gen/Tst_pirTest/BreakTest/pir/out/resource.csv,../gen/Tst_pirTest/BreakTest/log/maketst.log,../gen/Tst_pirTest/BreakTest/log/runp2p.log,../gen/Tst_pirTest/BreakTest/log/runhybrid.log,../gen/Tst_pirTest/BreakTest/log/p2pstat.log,True,,,7.231547977,,20,20,0,0,1,0,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:25.05,87,,True,False,True,,0.0,0.0,0:00.44,,,,False,False,,,,,"12 OP, 0.14 GOPS","12 OP, 0.14 GOPS","12 OP, 0.14 GOPS",,,"12 OP, 0.14 GOPS",True,False,True
d767cab,2dcd8c8,2019-09-28 21:03:08,BreakTest2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest2/log/runproute.log,../gen/Tst_pirTest/BreakTest2/log/runproute.sh,../gen/Tst_pirTest/BreakTest2/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest2/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest2/log/,../gen/Tst_pirTest/BreakTest2/log/gentst.log,../gen/Tst_pirTest/BreakTest2/pir/out/resource.csv,../gen/Tst_pirTest/BreakTest2/log/maketst.log,../gen/Tst_pirTest/BreakTest2/log/runp2p.log,../gen/Tst_pirTest/BreakTest2/log/runhybrid.log,../gen/Tst_pirTest/BreakTest2/log/p2pstat.log,True,,,7.427562781,,20,20,0,0,2,0,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:26.86,23,,True,False,True,,0.0,0.0,0:00.60,,,,False,False,,,,,"10 OP, 0.43 GOPS","10 OP, 0.43 GOPS","10 OP, 0.43 GOPS",,,"10 OP, 0.43 GOPS",True,False,True
d767cab,2dcd8c8,2019-09-28 21:03:08,BroadcastTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BroadcastTest/log/runproute.log,../gen/Tst_pirTest/BroadcastTest/log/runproute.sh,../gen/Tst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/Tst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/Tst_pirTest/BroadcastTest/log/,../gen/Tst_pirTest/BroadcastTest/log/gentst.log,../gen/Tst_pirTest/BroadcastTest/pir/out/resource.csv,../gen/Tst_pirTest/BroadcastTest/log/maketst.log,../gen/Tst_pirTest/BroadcastTest/log/runp2p.log,../gen/Tst_pirTest/BroadcastTest/log/runhybrid.log,../gen/Tst_pirTest/BroadcastTest/log/p2pstat.log,True,,,17.499734865,,20,20,2,3,2,9,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:43.53,271,,True,False,True,,0.472325,15.1144,0:00.40,,,,False,False,,,,,"21760 OP, 80.30 GOPS","4736 OP, 17.48 GOPS","11904 OP, 43.93 GOPS",,"9856 OP, 36.37 GOPS","4736 OP, 17.48 GOPS",True,False,True
d767cab,2dcd8c8,2019-09-28 21:03:08,CountZero_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/CountZero_0/log/runproute.log,../gen/Tst_pirTest/CountZero_0/log/runproute.sh,../gen/Tst_pirTest/CountZero_0/plastisim/summary.csv,../gen/Tst_pirTest/CountZero_0/pir/AccelMain.scala,../gen/Tst_pirTest/CountZero_0/log/,../gen/Tst_pirTest/CountZero_0/log/gentst.log,../gen/Tst_pirTest/CountZero_0/pir/out/resource.csv,../gen/Tst_pirTest/CountZero_0/log/maketst.log,../gen/Tst_pirTest/CountZero_0/log/runp2p.log,../gen/Tst_pirTest/CountZero_0/log/runhybrid.log,../gen/Tst_pirTest/CountZero_0/log/p2pstat.log,True,,,10.889355315,,20,20,1,5,1,0,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:26.92,133,,True,False,True,,0.481203,1.44361,0:00.38,,,,False,False,,,,,"288 OP, 2.17 GOPS","144 OP, 1.08 GOPS","96 OP, 0.72 GOPS",,"192 OP, 1.44 GOPS","144 OP, 1.08 GOPS",True,False,True
d767cab,2dcd8c8,2019-09-28 21:03:08,DotProduct_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_0/log/runproute.log,../gen/Tst_pirTest/DotProduct_0/log/runproute.sh,../gen/Tst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_0/log/,../gen/Tst_pirTest/DotProduct_0/log/gentst.log,../gen/Tst_pirTest/DotProduct_0/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_0/log/maketst.log,../gen/Tst_pirTest/DotProduct_0/log/runp2p.log,../gen/Tst_pirTest/DotProduct_0/log/runhybrid.log,../gen/Tst_pirTest/DotProduct_0/log/p2pstat.log,True,,,13.591142884,,20,20,2,3,2,1,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:31.14,278,,True,False,True,,29.4676,0.0,0:00.46,,,,False,False,,,,,"6432 OP, 23.14 GOPS","4384 OP, 15.77 GOPS","4352 OP, 15.65 GOPS",,"2080 OP, 7.48 GOPS","4384 OP, 15.77 GOPS",True,False,True
d767cab,2dcd8c8,2019-09-28 21:03:08,DotProduct_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_1/log/runproute.log,../gen/Tst_pirTest/DotProduct_1/log/runproute.sh,../gen/Tst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_1/log/,../gen/Tst_pirTest/DotProduct_1/log/gentst.log,../gen/Tst_pirTest/DotProduct_1/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_1/log/maketst.log,../gen/Tst_pirTest/DotProduct_1/log/runp2p.log,../gen/Tst_pirTest/DotProduct_1/log/runhybrid.log,../gen/Tst_pirTest/DotProduct_1/log/p2pstat.log,True,,,10.678723543,,20,20,2,4,2,0,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:32.70,1113,,True,False,True,,7.36029,0.0,0:00.45,,,,False,False,,,,,"2336 OP, 2.10 GOPS","288 OP, 0.26 GOPS","256 OP, 0.23 GOPS",,"2080 OP, 1.87 GOPS","288 OP, 0.26 GOPS",True,False,True
d767cab,2dcd8c8,2019-09-28 21:03:08,DotProduct_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_2/log/runproute.log,../gen/Tst_pirTest/DotProduct_2/log/runproute.sh,../gen/Tst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_2/log/,../gen/Tst_pirTest/DotProduct_2/log/gentst.log,../gen/Tst_pirTest/DotProduct_2/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_2/log/maketst.log,../gen/Tst_pirTest/DotProduct_2/log/runp2p.log,../gen/Tst_pirTest/DotProduct_2/log/runhybrid.log,../gen/Tst_pirTest/DotProduct_2/log/p2pstat.log,True,,,16.183486067,,20,20,4,7,4,0,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:37.39,601,,True,False,True,,13.6306,0.0,0:00.61,,,,False,False,,,,,"2304 OP, 3.83 GOPS","256 OP, 0.43 GOPS","240 OP, 0.40 GOPS",,"2064 OP, 3.43 GOPS","256 OP, 0.43 GOPS",True,False,True
d767cab,2dcd8c8,2019-09-28 21:03:08,DotProduct_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_3/log/runproute.log,../gen/Tst_pirTest/DotProduct_3/log/runproute.sh,../gen/Tst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_3/log/,../gen/Tst_pirTest/DotProduct_3/log/gentst.log,../gen/Tst_pirTest/DotProduct_3/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_3/log/maketst.log,../gen/Tst_pirTest/DotProduct_3/log/runp2p.log,../gen/Tst_pirTest/DotProduct_3/log/runhybrid.log,../gen/Tst_pirTest/DotProduct_3/log/p2pstat.log,True,,,13.590411198,,20,20,4,5,4,2,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:31.63,167,,True,False,True,,49.0539,0.0,0:00.42,,,,False,False,,,,,"6400 OP, 38.32 GOPS","4352 OP, 26.06 GOPS","4336 OP, 25.96 GOPS",,"2064 OP, 12.36 GOPS","4352 OP, 26.06 GOPS",True,False,True
d767cab,2dcd8c8,2019-09-28 21:03:08,DotProduct_4,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_4/log/runproute.log,../gen/Tst_pirTest/DotProduct_4/log/runproute.sh,../gen/Tst_pirTest/DotProduct_4/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_4/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_4/log/,../gen/Tst_pirTest/DotProduct_4/log/gentst.log,../gen/Tst_pirTest/DotProduct_4/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_4/log/maketst.log,../gen/Tst_pirTest/DotProduct_4/log/runp2p.log,../gen/Tst_pirTest/DotProduct_4/log/runhybrid.log,../gen/Tst_pirTest/DotProduct_4/log/p2pstat.log,True,,,49.154152645,,20,20,16,17,16,10,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:46.97,174,,True,False,True,,47.0805,0.0,0:00.28,,,,False,False,,,,,"6376 OP, 36.64 GOPS","4328 OP, 24.87 GOPS","4324 OP, 24.85 GOPS",,"2052 OP, 11.79 GOPS","4328 OP, 24.87 GOPS",True,False,True
