spatial_sha,pir_sha,time,app,project,backend,freq,runproute,proutesh,prouteSummary,AccelMain,logpath,gentst,resreport,maketst,runp2p,runhybrid,p2pstat,genpir,genpir_err,gentst_err,gentst_time,notFit,row,col,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,algo,pattern,slink,vlink,prtime,vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,OPS-All,OPS-FU,OPS-Fix,OPS-Flt,OPS-Other,OPS-Prog FU,runp2p_success,runhybrid_success,succeeded
b3b333a,9b2a1eb,2019-10-02 01:24:47,BankEnable_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BankEnable_0/log/runproute.log,../gen/Tst_pirTest/BankEnable_0/log/runproute.sh,../gen/Tst_pirTest/BankEnable_0/plastisim/summary.csv,../gen/Tst_pirTest/BankEnable_0/pir/AccelMain.scala,../gen/Tst_pirTest/BankEnable_0/log/,../gen/Tst_pirTest/BankEnable_0/log/gentst.log,../gen/Tst_pirTest/BankEnable_0/pir/out/resource.csv,../gen/Tst_pirTest/BankEnable_0/log/maketst.log,../gen/Tst_pirTest/BankEnable_0/log/runp2p.log,../gen/Tst_pirTest/BankEnable_0/log/runhybrid.log,../gen/Tst_pirTest/BankEnable_0/log/p2pstat.log,True,,,12.879952886,,20,20,1,3,2,2,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:44.39,78,,True,False,True,,0.0,1.64103,0:00.78,,,,False,False,,,,,"704 OP, 9.03 GOPS","128 OP, 1.64 GOPS","128 OP, 1.64 GOPS",,"576 OP, 7.38 GOPS","128 OP, 1.64 GOPS",True,False,True
b3b333a,9b2a1eb,2019-10-02 01:24:47,BlackScholes_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_0/log/runproute.log,../gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_0/log/,../gen/Tst_pirTest/BlackScholes_0/log/gentst.log,../gen/Tst_pirTest/BlackScholes_0/pir/out/resource.csv,../gen/Tst_pirTest/BlackScholes_0/log/maketst.log,../gen/Tst_pirTest/BlackScholes_0/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_0/log/runhybrid.log,../gen/Tst_pirTest/BlackScholes_0/log/p2pstat.log,True,,,19.94628594,,20,20,7,8,8,50,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,1:24.83,1078,,True,False,True,,22.7978,3.79963,0:00.89,,,,False,False,,,,,"189776 OP, 176.04 GOPS","169296 OP, 157.05 GOPS","15696 OP, 14.56 GOPS","159744 OP, 148.19 GOPS","14336 OP, 13.30 GOPS","169296 OP, 157.05 GOPS",True,False,True
b3b333a,9b2a1eb,2019-10-02 01:24:47,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/pir/out/resource.csv,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_1/log/runhybrid.log,../gen/Tst_pirTest/BlackScholes_1/log/p2pstat.log,True,,,26.886112224,,20,20,7,9,7,54,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,2:14.82,13779,,True,False,True,,1.78358,0.297264,0:04.98,,,,False,False,,,,,"175440 OP, 12.73 GOPS","154960 OP, 11.25 GOPS","1360 OP, 0.10 GOPS","159744 OP, 11.59 GOPS","14336 OP, 1.04 GOPS","154960 OP, 11.25 GOPS",True,False,True
b3b333a,9b2a1eb,2019-10-02 01:24:47,BreakTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest/log/runproute.log,../gen/Tst_pirTest/BreakTest/log/runproute.sh,../gen/Tst_pirTest/BreakTest/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest/log/,../gen/Tst_pirTest/BreakTest/log/gentst.log,../gen/Tst_pirTest/BreakTest/pir/out/resource.csv,../gen/Tst_pirTest/BreakTest/log/maketst.log,../gen/Tst_pirTest/BreakTest/log/runp2p.log,../gen/Tst_pirTest/BreakTest/log/runhybrid.log,../gen/Tst_pirTest/BreakTest/log/p2pstat.log,True,,,7.405557587,,20,20,0,0,0,1,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:25.53,87,,True,False,True,,0.0,0.0,0:00.65,,,,False,False,,,,,"12 OP, 0.14 GOPS","12 OP, 0.14 GOPS","12 OP, 0.14 GOPS",,,"12 OP, 0.14 GOPS",True,False,True
b3b333a,9b2a1eb,2019-10-02 01:24:47,BreakTest2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest2/log/runproute.log,../gen/Tst_pirTest/BreakTest2/log/runproute.sh,../gen/Tst_pirTest/BreakTest2/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest2/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest2/log/,../gen/Tst_pirTest/BreakTest2/log/gentst.log,../gen/Tst_pirTest/BreakTest2/pir/out/resource.csv,../gen/Tst_pirTest/BreakTest2/log/maketst.log,../gen/Tst_pirTest/BreakTest2/log/runp2p.log,../gen/Tst_pirTest/BreakTest2/log/runhybrid.log,../gen/Tst_pirTest/BreakTest2/log/p2pstat.log,True,,,6.785655946,,20,20,0,0,0,2,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:26.13,23,,True,False,True,,0.0,0.0,0:00.77,,,,False,False,,,,,"10 OP, 0.43 GOPS","10 OP, 0.43 GOPS","10 OP, 0.43 GOPS",,,"10 OP, 0.43 GOPS",True,False,True
b3b333a,9b2a1eb,2019-10-02 01:24:47,BroadcastTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BroadcastTest/log/runproute.log,../gen/Tst_pirTest/BroadcastTest/log/runproute.sh,../gen/Tst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/Tst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/Tst_pirTest/BroadcastTest/log/,../gen/Tst_pirTest/BroadcastTest/log/gentst.log,../gen/Tst_pirTest/BroadcastTest/pir/out/resource.csv,../gen/Tst_pirTest/BroadcastTest/log/maketst.log,../gen/Tst_pirTest/BroadcastTest/log/runp2p.log,../gen/Tst_pirTest/BroadcastTest/log/runhybrid.log,../gen/Tst_pirTest/BroadcastTest/log/p2pstat.log,True,,,17.985960022,,20,20,2,3,2,9,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:43.36,271,,True,False,True,,0.472325,15.1144,0:00.83,,,,False,False,,,,,"21760 OP, 80.30 GOPS","4736 OP, 17.48 GOPS","11904 OP, 43.93 GOPS",,"9856 OP, 36.37 GOPS","4736 OP, 17.48 GOPS",True,False,True
b3b333a,9b2a1eb,2019-10-02 01:24:47,CountZero_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/CountZero_0/log/runproute.log,../gen/Tst_pirTest/CountZero_0/log/runproute.sh,../gen/Tst_pirTest/CountZero_0/plastisim/summary.csv,../gen/Tst_pirTest/CountZero_0/pir/AccelMain.scala,../gen/Tst_pirTest/CountZero_0/log/,../gen/Tst_pirTest/CountZero_0/log/gentst.log,../gen/Tst_pirTest/CountZero_0/pir/out/resource.csv,../gen/Tst_pirTest/CountZero_0/log/maketst.log,../gen/Tst_pirTest/CountZero_0/log/runp2p.log,../gen/Tst_pirTest/CountZero_0/log/runhybrid.log,../gen/Tst_pirTest/CountZero_0/log/p2pstat.log,True,,,13.516573649,,20,20,1,0,1,5,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:29.31,139,,True,False,True,,0.460432,1.38129,0:00.56,,,,False,False,,,,,"432 OP, 3.11 GOPS","288 OP, 2.07 GOPS","192 OP, 1.38 GOPS",,"240 OP, 1.73 GOPS","288 OP, 2.07 GOPS",True,False,True
b3b333a,9b2a1eb,2019-10-02 01:24:47,DRAMDoubleBuffer_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DRAMDoubleBuffer_0/log/runproute.log,../gen/Tst_pirTest/DRAMDoubleBuffer_0/log/runproute.sh,../gen/Tst_pirTest/DRAMDoubleBuffer_0/plastisim/summary.csv,../gen/Tst_pirTest/DRAMDoubleBuffer_0/pir/AccelMain.scala,../gen/Tst_pirTest/DRAMDoubleBuffer_0/log/,../gen/Tst_pirTest/DRAMDoubleBuffer_0/log/gentst.log,../gen/Tst_pirTest/DRAMDoubleBuffer_0/pir/out/resource.csv,../gen/Tst_pirTest/DRAMDoubleBuffer_0/log/maketst.log,../gen/Tst_pirTest/DRAMDoubleBuffer_0/log/runp2p.log,../gen/Tst_pirTest/DRAMDoubleBuffer_0/log/runhybrid.log,../gen/Tst_pirTest/DRAMDoubleBuffer_0/log/p2pstat.log,True,,,15.175255959,,20,20,4,0,0,13,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:41.16,230,,True,False,True,,1.11304,1.11304,0:00.75,,,,False,False,,,,,"140 OP, 0.61 GOPS","140 OP, 0.61 GOPS","72 OP, 0.31 GOPS",,"68 OP, 0.30 GOPS","140 OP, 0.61 GOPS",True,False,True
b3b333a,9b2a1eb,2019-10-02 01:24:47,DRAMDoubleBuffer_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DRAMDoubleBuffer_1/log/runproute.log,../gen/Tst_pirTest/DRAMDoubleBuffer_1/log/runproute.sh,../gen/Tst_pirTest/DRAMDoubleBuffer_1/plastisim/summary.csv,../gen/Tst_pirTest/DRAMDoubleBuffer_1/pir/AccelMain.scala,../gen/Tst_pirTest/DRAMDoubleBuffer_1/log/,../gen/Tst_pirTest/DRAMDoubleBuffer_1/log/gentst.log,../gen/Tst_pirTest/DRAMDoubleBuffer_1/pir/out/resource.csv,../gen/Tst_pirTest/DRAMDoubleBuffer_1/log/maketst.log,../gen/Tst_pirTest/DRAMDoubleBuffer_1/log/runp2p.log,../gen/Tst_pirTest/DRAMDoubleBuffer_1/log/runhybrid.log,../gen/Tst_pirTest/DRAMDoubleBuffer_1/log/p2pstat.log,True,,,12.921233925,,20,20,4,7,0,4,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:33.73,183,,True,False,True,,1.39891,1.39891,0:00.62,,,,False,False,,,,,"140 OP, 0.77 GOPS","140 OP, 0.77 GOPS","72 OP, 0.39 GOPS",,"68 OP, 0.37 GOPS","140 OP, 0.77 GOPS",True,False,True
b3b333a,9b2a1eb,2019-10-02 01:24:47,DRAMMergeSort_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DRAMMergeSort_0/log/runproute.log,../gen/Tst_pirTest/DRAMMergeSort_0/log/runproute.sh,../gen/Tst_pirTest/DRAMMergeSort_0/plastisim/summary.csv,../gen/Tst_pirTest/DRAMMergeSort_0/pir/AccelMain.scala,../gen/Tst_pirTest/DRAMMergeSort_0/log/,../gen/Tst_pirTest/DRAMMergeSort_0/log/gentst.log,../gen/Tst_pirTest/DRAMMergeSort_0/pir/out/resource.csv,../gen/Tst_pirTest/DRAMMergeSort_0/log/maketst.log,../gen/Tst_pirTest/DRAMMergeSort_0/log/runp2p.log,../gen/Tst_pirTest/DRAMMergeSort_0/log/runhybrid.log,../gen/Tst_pirTest/DRAMMergeSort_0/log/p2pstat.log,True,,,17.950198875,,20,20,4,11,8,1,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,"src/Top.h:677:80: error: no matching function for call to ‘MergePCUint, 16::MergePCU(const char [13], brace-enclosed initializer list, brace-enclosed initializer list, FIFOToken, 16*, NetworkInput*, NULL)’
",0:09.17,,,,False,False,,,,,,,,False,False,,,,,,,,,,,False,False,False
