spatial_sha,pir_sha,time,app,project,backend,freq,runproute,proutesh,prouteSummary,AccelMain,logpath,gentst,resreport,maketst,runp2p,runhybrid,p2pstat,genpir,genpir_err,gentst_err,gentst_time,notFit,row,col,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,algo,pattern,slink,vlink,prtime,vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,OPS-All,OPS-FU,OPS-Fix,OPS-Flt,OPS-Other,OPS-Prog FU,runp2p_success,runhybrid_success,succeeded
15f7476,89ab443,2019-10-05 17:03:57,BankEnable_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BankEnable_0/log/runproute.log,../gen/Tst_pirTest/BankEnable_0/log/runproute.sh,../gen/Tst_pirTest/BankEnable_0/plastisim/summary.csv,../gen/Tst_pirTest/BankEnable_0/pir/AccelMain.scala,../gen/Tst_pirTest/BankEnable_0/log/,../gen/Tst_pirTest/BankEnable_0/log/gentst.log,../gen/Tst_pirTest/BankEnable_0/pir/out/resource.csv,../gen/Tst_pirTest/BankEnable_0/log/maketst.log,../gen/Tst_pirTest/BankEnable_0/log/runp2p.log,../gen/Tst_pirTest/BankEnable_0/log/runhybrid.log,../gen/Tst_pirTest/BankEnable_0/log/p2pstat.log,True,,,12.353223906,,20,20,1,3,2,2,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:33.56,78,,True,False,True,,0.0,1.64103,0:00.83,,,,False,False,,,,,"704 OP, 9.03 GOPS","128 OP, 1.64 GOPS","128 OP, 1.64 GOPS",,"576 OP, 7.38 GOPS","128 OP, 1.64 GOPS",True,False,True
15f7476,89ab443,2019-10-05 17:03:57,BlackScholes_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_0/log/runproute.log,../gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_0/log/,../gen/Tst_pirTest/BlackScholes_0/log/gentst.log,../gen/Tst_pirTest/BlackScholes_0/pir/out/resource.csv,../gen/Tst_pirTest/BlackScholes_0/log/maketst.log,../gen/Tst_pirTest/BlackScholes_0/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_0/log/runhybrid.log,../gen/Tst_pirTest/BlackScholes_0/log/p2pstat.log,True,,,24.301146317,,20,20,7,8,8,34,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,1:37.21,808,,True,False,True,,30.4158,5.06931,0:01.11,,,,False,False,,,,,"189776 OP, 234.87 GOPS","169296 OP, 209.52 GOPS","15696 OP, 19.43 GOPS","159744 OP, 197.70 GOPS","14336 OP, 17.74 GOPS","169296 OP, 209.52 GOPS",True,False,True
15f7476,89ab443,2019-10-05 17:03:57,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/pir/out/resource.csv,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_1/log/runhybrid.log,../gen/Tst_pirTest/BlackScholes_1/log/p2pstat.log,True,,,26.526390371,,20,20,7,9,7,32,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,1:30.53,6640,,True,False,True,,3.7012,0.616867,0:02.59,,,,False,False,,,,,"175440 OP, 26.42 GOPS","154960 OP, 23.34 GOPS","1360 OP, 0.20 GOPS","159744 OP, 24.06 GOPS","14336 OP, 2.16 GOPS","154960 OP, 23.34 GOPS",True,False,True
15f7476,89ab443,2019-10-05 17:03:57,BreakTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest/log/runproute.log,../gen/Tst_pirTest/BreakTest/log/runproute.sh,../gen/Tst_pirTest/BreakTest/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest/log/,../gen/Tst_pirTest/BreakTest/log/gentst.log,../gen/Tst_pirTest/BreakTest/pir/out/resource.csv,../gen/Tst_pirTest/BreakTest/log/maketst.log,../gen/Tst_pirTest/BreakTest/log/runp2p.log,../gen/Tst_pirTest/BreakTest/log/runhybrid.log,../gen/Tst_pirTest/BreakTest/log/p2pstat.log,True,,,7.271618898,,20,20,0,0,0,1,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:29.46,87,,True,False,True,,0.0,0.0,0:00.77,,,,False,False,,,,,"12 OP, 0.14 GOPS","12 OP, 0.14 GOPS","12 OP, 0.14 GOPS",,,"12 OP, 0.14 GOPS",True,False,True
15f7476,89ab443,2019-10-05 17:03:57,BreakTest2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest2/log/runproute.log,../gen/Tst_pirTest/BreakTest2/log/runproute.sh,../gen/Tst_pirTest/BreakTest2/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest2/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest2/log/,../gen/Tst_pirTest/BreakTest2/log/gentst.log,../gen/Tst_pirTest/BreakTest2/pir/out/resource.csv,../gen/Tst_pirTest/BreakTest2/log/maketst.log,../gen/Tst_pirTest/BreakTest2/log/runp2p.log,../gen/Tst_pirTest/BreakTest2/log/runhybrid.log,../gen/Tst_pirTest/BreakTest2/log/p2pstat.log,True,,,9.185612864,,20,20,0,0,0,2,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:29.03,23,,True,False,True,,0.0,0.0,0:00.65,,,,False,False,,,,,"10 OP, 0.43 GOPS","10 OP, 0.43 GOPS","10 OP, 0.43 GOPS",,,"10 OP, 0.43 GOPS",True,False,True
15f7476,89ab443,2019-10-05 17:03:57,BroadcastTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BroadcastTest/log/runproute.log,../gen/Tst_pirTest/BroadcastTest/log/runproute.sh,../gen/Tst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/Tst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/Tst_pirTest/BroadcastTest/log/,../gen/Tst_pirTest/BroadcastTest/log/gentst.log,../gen/Tst_pirTest/BroadcastTest/pir/out/resource.csv,../gen/Tst_pirTest/BroadcastTest/log/maketst.log,../gen/Tst_pirTest/BroadcastTest/log/runp2p.log,../gen/Tst_pirTest/BroadcastTest/log/runhybrid.log,../gen/Tst_pirTest/BroadcastTest/log/p2pstat.log,True,,"[[31merror[0m] Failed passes: 19-DependencyDuplication
",6.436411819,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,False,False,,,,,,,,,,,False,False,False
15f7476,89ab443,2019-10-05 17:03:57,CountZero_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/CountZero_0/log/runproute.log,../gen/Tst_pirTest/CountZero_0/log/runproute.sh,../gen/Tst_pirTest/CountZero_0/plastisim/summary.csv,../gen/Tst_pirTest/CountZero_0/pir/AccelMain.scala,../gen/Tst_pirTest/CountZero_0/log/,../gen/Tst_pirTest/CountZero_0/log/gentst.log,../gen/Tst_pirTest/CountZero_0/pir/out/resource.csv,../gen/Tst_pirTest/CountZero_0/log/maketst.log,../gen/Tst_pirTest/CountZero_0/log/runp2p.log,../gen/Tst_pirTest/CountZero_0/log/runhybrid.log,../gen/Tst_pirTest/CountZero_0/log/p2pstat.log,True,,,14.293587142,,20,20,1,0,1,5,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:37.63,139,,True,False,True,,0.460432,1.38129,0:00.83,,,,False,False,,,,,"432 OP, 3.11 GOPS","288 OP, 2.07 GOPS","192 OP, 1.38 GOPS",,"240 OP, 1.73 GOPS","288 OP, 2.07 GOPS",True,False,True
15f7476,89ab443,2019-10-05 17:03:57,DRAMDoubleBuffer2_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DRAMDoubleBuffer2_0/log/runproute.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_0/log/runproute.sh,../gen/Tst_pirTest/DRAMDoubleBuffer2_0/plastisim/summary.csv,../gen/Tst_pirTest/DRAMDoubleBuffer2_0/pir/AccelMain.scala,../gen/Tst_pirTest/DRAMDoubleBuffer2_0/log/,../gen/Tst_pirTest/DRAMDoubleBuffer2_0/log/gentst.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_0/pir/out/resource.csv,../gen/Tst_pirTest/DRAMDoubleBuffer2_0/log/maketst.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_0/log/runp2p.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_0/log/runhybrid.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_0/log/p2pstat.log,True,,,14.247533478,,20,20,2,0,0,7,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:35.36,930,,True,False,True,,1.10108,1.10108,0:00.79,,,,False,False,,,,,"720 OP, 0.77 GOPS","656 OP, 0.71 GOPS","720 OP, 0.77 GOPS",,,"656 OP, 0.71 GOPS",True,False,True
15f7476,89ab443,2019-10-05 17:03:57,DRAMDoubleBuffer2_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DRAMDoubleBuffer2_1/log/runproute.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_1/log/runproute.sh,../gen/Tst_pirTest/DRAMDoubleBuffer2_1/plastisim/summary.csv,../gen/Tst_pirTest/DRAMDoubleBuffer2_1/pir/AccelMain.scala,../gen/Tst_pirTest/DRAMDoubleBuffer2_1/log/,../gen/Tst_pirTest/DRAMDoubleBuffer2_1/log/gentst.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_1/pir/out/resource.csv,../gen/Tst_pirTest/DRAMDoubleBuffer2_1/log/maketst.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_1/log/runp2p.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_1/log/runhybrid.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_1/log/p2pstat.log,True,,,14.637351636,,20,20,2,0,0,7,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:36.39,930,,True,False,True,,1.10108,1.10108,0:00.72,,,,False,False,,,,,"720 OP, 0.77 GOPS","656 OP, 0.71 GOPS","720 OP, 0.77 GOPS",,,"656 OP, 0.71 GOPS",True,False,True
15f7476,89ab443,2019-10-05 17:03:57,DRAMDoubleBuffer2_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DRAMDoubleBuffer2_2/log/runproute.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_2/log/runproute.sh,../gen/Tst_pirTest/DRAMDoubleBuffer2_2/plastisim/summary.csv,../gen/Tst_pirTest/DRAMDoubleBuffer2_2/pir/AccelMain.scala,../gen/Tst_pirTest/DRAMDoubleBuffer2_2/log/,../gen/Tst_pirTest/DRAMDoubleBuffer2_2/log/gentst.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_2/pir/out/resource.csv,../gen/Tst_pirTest/DRAMDoubleBuffer2_2/log/maketst.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_2/log/runp2p.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_2/log/runhybrid.log,../gen/Tst_pirTest/DRAMDoubleBuffer2_2/log/p2pstat.log,True,,,14.640724752,,20,20,4,0,0,14,40,40,200,200,,,,,,,,,,,,,,,,,,,,,,,0:34.59,470,,True,False,True,,2.17872,2.17872,0:00.79,,,,False,False,,,,,"720 OP, 1.53 GOPS","656 OP, 1.40 GOPS","720 OP, 1.53 GOPS",,,"656 OP, 1.40 GOPS",True,False,True
