app,project,backend,freq,spatial_sha,pir_sha,time,genpir,genpir_err,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,runp2p_cycle,runhybrid_cycle,runp2p_err,runhybrid_err,maketst_err,runproute_err,gentst_err,runp2p_pass,runhybrid_pass,runp2p_deadlock,runhybrid_deadlock,runp2p_complete,runhybrid_complete,runp2p_dram_power,runhybrid_dram_power,runp2p_rbw,runhybrid_rbw,runp2p_wbw,runhybrid_wbw,maketst_time,runp2p_time,runhybrid_time,runproute_time,gentst_time,OPS-All,OPS-FU,OPS-Fix,OPS-Flt,OPS-Other,OPS-Prog FU,notFit,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,row,col,pirArgs,algo,pattern,slink,vlink,prtime,vcLimit,runp2p_success,runhybrid_success,succeeded,simfreq
BankEnable_0,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,78,,,,,,,True,,False,False,True,False,,,0.0,,1.64103,,0:27.51,0:00.82,,,12.05275903,"704 OP, 9.03 GOPS","704 OP, 9.03 GOPS","128 OP, 1.64 GOPS",,"576 OP, 7.38 GOPS","128 OP, 1.64 GOPS",,1,3,2,2,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.1kHz
BlackScholes_0,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,571,,,,,,,True,,False,False,True,False,,,43.0403,,7.17338,,0:42.17,0:02.01,,,65.577991458,"197370 OP, 345.66 GOPS","174330 OP, 305.31 GOPS","1530 OP, 2.68 GOPS","179712 OP, 314.73 GOPS","16128 OP, 28.25 GOPS","174330 OP, 305.31 GOPS",,21,24,15,96,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.28kHz
BreakTest,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,87,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,0:22.96,0:00.89,,,6.511783604,"12 OP, 0.14 GOPS","12 OP, 0.14 GOPS","12 OP, 0.14 GOPS",,,"12 OP, 0.14 GOPS",,0,1,0,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.1kHz
BreakTest2,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,23,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,0:22.73,0:00.87,,,7.793316512,"10 OP, 0.43 GOPS","10 OP, 0.43 GOPS","10 OP, 0.43 GOPS",,,"10 OP, 0.43 GOPS",,0,2,0,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.03kHz
BroadcastTest,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,271,,,,,,,True,,False,False,True,False,,,0.472325,,15.1144,,0:28.79,0:01.02,,,19.366216733,"21760 OP, 80.30 GOPS","18688 OP, 68.96 GOPS","11904 OP, 43.93 GOPS",,"9856 OP, 36.37 GOPS","4736 OP, 17.48 GOPS",,2,3,2,9,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.27kHz
CountZero_0,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,139,,,,,,,True,,False,False,True,False,,,0.460432,,1.38129,,0:26.93,0:00.92,,,12.649379801,"432 OP, 3.11 GOPS","432 OP, 3.11 GOPS","192 OP, 1.38 GOPS",,"240 OP, 1.73 GOPS","288 OP, 2.07 GOPS",,1,5,1,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.15kHz
DRAMDoubleBuffer2_0,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,930,,,,,,,True,,False,False,True,False,,,1.10108,,1.10108,,0:27.91,0:01.11,,,12.29645513,"720 OP, 0.77 GOPS","688 OP, 0.74 GOPS","720 OP, 0.77 GOPS",,,"656 OP, 0.71 GOPS",,2,7,0,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.84kHz
DRAMDoubleBuffer2_1,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,930,,,,,,,True,,False,False,True,False,,,1.10108,,1.10108,,0:20.76,0:00.77,,,9.518248708,"720 OP, 0.77 GOPS","688 OP, 0.74 GOPS","720 OP, 0.77 GOPS",,,"656 OP, 0.71 GOPS",,2,7,0,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,1.21kHz
DRAMDoubleBuffer2_2,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,470,,,,,,,True,,False,False,True,False,,,2.17872,,2.17872,,0:26.83,0:01.09,,,17.194964608,"720 OP, 1.53 GOPS","688 OP, 1.46 GOPS","720 OP, 1.53 GOPS",,,"656 OP, 1.40 GOPS",,4,14,0,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.43kHz
DRAMDoubleBuffer2_3,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,470,,,,,,,True,,False,False,True,False,,,2.17872,,2.17872,,0:26.14,0:01.03,,,20.534111118,"1080 OP, 2.30 GOPS","1032 OP, 2.20 GOPS","1080 OP, 2.30 GOPS",,,"984 OP, 2.09 GOPS",,6,23,0,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.46kHz
DRAMDoubleBuffer2_4,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,350,,,,,,,True,,False,False,True,False,,,2.92571,,2.92571,,0:27.98,0:00.87,,,21.622502039,"1080 OP, 3.09 GOPS","1032 OP, 2.95 GOPS","1080 OP, 3.09 GOPS",,,"984 OP, 2.81 GOPS",,6,15,0,8,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.4kHz
DRAMDoubleBuffer_0,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,438,,,,,,,True,,False,False,True,False,,,2.3379,,2.3379,,0:25.10,0:01.03,,,16.98694968,"912 OP, 2.08 GOPS","912 OP, 2.08 GOPS","640 OP, 1.46 GOPS",,"272 OP, 0.62 GOPS","912 OP, 2.08 GOPS",,4,13,0,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.43kHz
DRAMDoubleBuffer_1,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,253,,,,,,,True,,False,False,True,False,,,4.04743,,4.04743,,0:25.39,0:00.85,,,15.523091201,"912 OP, 3.60 GOPS","912 OP, 3.60 GOPS","640 OP, 2.53 GOPS",,"272 OP, 1.08 GOPS","912 OP, 3.60 GOPS",,4,7,0,4,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.3kHz
DRAMDoubleBuffer_2,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,236,,,,,,,True,,False,False,True,False,,,4.33898,,4.33898,,0:27.16,0:00.99,,,23.881003938,"912 OP, 3.86 GOPS","912 OP, 3.86 GOPS","640 OP, 2.71 GOPS",,"272 OP, 1.15 GOPS","912 OP, 3.86 GOPS",,8,14,0,8,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.24kHz
DRAMDoubleBuffer_3,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,236,,,,,,,True,,False,False,True,False,,,4.33898,,4.33898,,0:25.30,0:00.82,,,35.817166435,"1368 OP, 5.80 GOPS","1368 OP, 5.80 GOPS","960 OP, 4.07 GOPS",,"408 OP, 1.73 GOPS","1368 OP, 5.80 GOPS",,12,21,0,16,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.29kHz
DRAMMergeSort_0,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,1009,,,,,,,,,False,False,True,False,,,28.4163,,28.4163,,0:26.71,0:00.99,,,18.576237886,"2037 OP, 2.02 GOPS","1847 OP, 1.83 GOPS","2030 OP, 2.01 GOPS",,"7 OP, 0.01 GOPS","1847 OP, 1.83 GOPS",,3,3,2,12,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,1.02kHz
DRAMMergeSort_1,pirTest,Tst,1000000000.0,ac15134a,a534f664,2019-10-16 01:45:55 -0700,True,,,,,,,,,,,,,,,1009,,,,,,,,,False,False,True,False,,,28.4163,,28.4163,,0:26.77,0:01.17,,,17.512671989,"2037 OP, 2.02 GOPS","1847 OP, 1.83 GOPS","2030 OP, 2.01 GOPS",,"7 OP, 0.01 GOPS","1847 OP, 1.83 GOPS",,3,3,2,12,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.86kHz
