app,project,backend,freq,spatial_sha,pir_sha,time,genpir,genpir_err,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,runp2p_cycle,runhybrid_cycle,runp2p_err,runhybrid_err,maketst_err,runproute_err,gentst_err,runp2p_pass,runhybrid_pass,runp2p_deadlock,runhybrid_deadlock,runp2p_complete,runhybrid_complete,runp2p_dram_power,runhybrid_dram_power,runp2p_rbw,runhybrid_rbw,runp2p_wbw,runhybrid_wbw,maketst_time,runp2p_time,runhybrid_time,runproute_time,gentst_time,OPS-All,OPS-FU,OPS-Fix,OPS-Flt,OPS-Other,OPS-Prog FU,notFit,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,row,col,pirArgs,algo,pattern,slink,vlink,prtime,vcLimit,runp2p_success,runhybrid_success,succeeded,simfreq
BankEnable_0,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,78,,,,,,,True,,False,False,True,False,,,0.0,,1.64103,,0:31.17,0:00.90,,,14.856512936,"704 OP, 9.03 GOPS","704 OP, 9.03 GOPS","128 OP, 1.64 GOPS",,"576 OP, 7.38 GOPS","128 OP, 1.64 GOPS",,1,3,2,2,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.09kHz
BlackScholes_0,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,105498,,,,,,,True,,False,False,True,False,,,29.8179,,4.96965,,1:51.43,0:36.31,,,36.520855927,"22424064 OP, 212.55 GOPS","19802624 OP, 187.71 GOPS","141824 OP, 1.34 GOPS","20447232 OP, 193.82 GOPS","1835008 OP, 17.39 GOPS","19802624 OP, 187.71 GOPS",,7,8,1,32,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --split-algo=bfs, --retime-local=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,2.91kHz
BlackScholes_1,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,73788,,,,,,,True,,False,False,True,False,,,42.632,,7.10533,,2:05.84,0:34.30,,,40.10671565,"22424064 OP, 303.90 GOPS","19802624 OP, 268.37 GOPS","141824 OP, 1.92 GOPS","20447232 OP, 277.11 GOPS","1835008 OP, 24.87 GOPS","19802624 OP, 268.37 GOPS",,7,8,1,36,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --split-algo=bfs, --retime-local=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,2.15kHz
BreakTest,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,87,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,0:23.94,0:00.98,,,7.560141599,"12 OP, 0.14 GOPS","12 OP, 0.14 GOPS","12 OP, 0.14 GOPS",,,"12 OP, 0.14 GOPS",,0,1,0,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.09kHz
BreakTest2,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,23,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,0:24.22,0:00.88,,,8.485573587,"10 OP, 0.43 GOPS","10 OP, 0.43 GOPS","10 OP, 0.43 GOPS",,,"10 OP, 0.43 GOPS",,0,2,0,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.03kHz
BroadcastTest,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,271,,,,,,,True,,False,False,True,False,,,0.472325,,15.1144,,0:36.24,0:00.99,,,24.591271846,"21760 OP, 80.30 GOPS","18688 OP, 68.96 GOPS","11904 OP, 43.93 GOPS",,"9856 OP, 36.37 GOPS","4736 OP, 17.48 GOPS",,2,3,2,9,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.27kHz
CountZero_0,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,139,,,,,,,True,,False,False,True,False,,,0.460432,,1.38129,,0:29.50,0:00.99,,,14.105134888,"432 OP, 3.11 GOPS","432 OP, 3.11 GOPS","192 OP, 1.38 GOPS",,"240 OP, 1.73 GOPS","288 OP, 2.07 GOPS",,1,5,1,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.14kHz
DRAMDoubleBuffer2_0,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,930,,,,,,,True,,False,False,True,False,,,1.10108,,1.10108,,0:29.29,0:00.98,,,14.433891449,"720 OP, 0.77 GOPS","688 OP, 0.74 GOPS","720 OP, 0.77 GOPS",,,"656 OP, 0.71 GOPS",,2,7,0,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.95kHz
DRAMDoubleBuffer2_1,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,930,,,,,,,True,,False,False,True,False,,,1.10108,,1.10108,,0:29.74,0:00.94,,,14.261681659,"720 OP, 0.77 GOPS","688 OP, 0.74 GOPS","720 OP, 0.77 GOPS",,,"656 OP, 0.71 GOPS",,2,7,0,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.99kHz
DRAMDoubleBuffer2_2,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,470,,,,,,,True,,False,False,True,False,,,2.17872,,2.17872,,0:31.59,0:00.89,,,21.233866762,"720 OP, 1.53 GOPS","688 OP, 1.46 GOPS","720 OP, 1.53 GOPS",,,"656 OP, 1.40 GOPS",,4,14,0,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.53kHz
DRAMDoubleBuffer2_3,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,490,,,,,,,True,,False,False,True,False,,,2.0898,,2.0898,,0:27.60,0:00.76,,,24.891918733,"1080 OP, 2.20 GOPS","1032 OP, 2.11 GOPS","1080 OP, 2.20 GOPS",,,"984 OP, 2.01 GOPS",,6,20,3,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.64kHz
DRAMDoubleBuffer2_4,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,370,,,,,,,True,,False,False,True,False,,,2.76757,,2.76757,,0:40.06,0:00.84,,,31.324820368,"1080 OP, 2.92 GOPS","1032 OP, 2.79 GOPS","1080 OP, 2.92 GOPS",,,"984 OP, 2.66 GOPS",,6,12,11,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.44kHz
DRAMDoubleBuffer_0,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,456,,,,,,,True,,False,False,True,False,,,2.24561,,2.24561,,0:35.97,0:00.96,,,23.781102755,"912 OP, 2.00 GOPS","912 OP, 2.00 GOPS","640 OP, 1.40 GOPS",,"272 OP, 0.60 GOPS","912 OP, 2.00 GOPS",,4,13,0,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.47kHz
DRAMDoubleBuffer_1,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,253,,,,,,,True,,False,False,True,False,,,4.04743,,4.04743,,0:32.70,0:00.96,,,21.413105238,"912 OP, 3.60 GOPS","912 OP, 3.60 GOPS","640 OP, 2.53 GOPS",,"272 OP, 1.08 GOPS","912 OP, 3.60 GOPS",,4,7,4,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.26kHz
DRAMDoubleBuffer_2,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,236,,,,,,,True,,False,False,True,False,,,4.33898,,4.33898,,0:47.93,0:01.07,,,36.685161581,"912 OP, 3.86 GOPS","912 OP, 3.86 GOPS","640 OP, 2.71 GOPS",,"272 OP, 1.15 GOPS","912 OP, 3.86 GOPS",,8,14,8,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.22kHz
DRAMDoubleBuffer_3,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,236,,,,,,,True,,False,False,True,False,,,4.33898,,4.33898,,1:18.69,0:01.07,,,60.718720947,"1368 OP, 5.80 GOPS","1368 OP, 5.80 GOPS","960 OP, 4.07 GOPS",,"408 OP, 1.73 GOPS","1368 OP, 5.80 GOPS",,12,9,28,0,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.22kHz
DRAMMergeSort_0,pirTest,Tst,1000000000.0,d656c361,78ed4440,2019-10-23 19:15:03 -0700,True,,,,,,,,,,,,,,,1033,,,,,,,,,False,False,True,False,,,27.7561,,27.7561,,0:47.55,0:00.91,,,25.073401964,"2037 OP, 1.97 GOPS","1847 OP, 1.79 GOPS","2030 OP, 1.97 GOPS",,"7 OP, 0.01 GOPS","1847 OP, 1.79 GOPS",,3,6,2,11,40,40,200,200,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,1.14kHz
