app,project,backend,freq,spatial_sha,pir_sha,time,genpir,genpir_err,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,runp2p_cycle,runhybrid_cycle,runp2p_err,runhybrid_err,maketst_err,runproute_err,gentst_err,runp2p_pass,runhybrid_pass,runp2p_deadlock,runhybrid_deadlock,runp2p_complete,runhybrid_complete,runp2p_dram_power,runhybrid_dram_power,runp2p_rbw,runhybrid_rbw,runp2p_wbw,runhybrid_wbw,maketst_time,runp2p_time,runhybrid_time,runproute_time,gentst_time,OPS-All,OPS-FU,OPS-Fix,OPS-Flt,OPS-Other,OPS-Prog FU,notFit,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,VMC,VDAG,VPMU,VPCU,row,col,pirArgs,algo,pattern,slink,vlink,prtime,vcLimit,runp2p_success,runhybrid_success,succeeded,simfreq
BankEnable_0,pirTest,Tst,1000000000.0,f6ef39ae,43d4659a,2019-11-06 23:09:01 -0800,True,,,,,,,,,,,,,,,78,,,,,,,True,,False,False,True,False,,,0.0,,1.64103,,0:49.11,0:00.58,,,14.716230614,"704 OP, 9.03 GOPS","704 OP, 9.03 GOPS","128 OP, 1.64 GOPS",,"576 OP, 7.38 GOPS","128 OP, 1.64 GOPS",,1,3,2,2,40,40,200,200,1,0,2,4,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.13kHz
BankRange_0,pirTest,Tst,1000000000.0,f6ef39ae,43d4659a,2019-11-06 23:09:01 -0800,True,,,,,,,,,,,,,,,134,,,,,,,,,False,False,True,False,,,0.0,,0.955224,,1:48.97,0:00.59,,,36.188283531,"7392 OP, 55.16 GOPS","6624 OP, 49.43 GOPS","3808 OP, 28.42 GOPS","128 OP, 0.96 GOPS","3456 OP, 25.79 GOPS","1888 OP, 14.09 GOPS",,1,10,6,15,40,40,200,200,1,0,6,25,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.23kHz
BlackScholes_0,pirTest,Tst,1000000000.0,f6ef39ae,43d4659a,2019-11-06 23:09:01 -0800,True,,,,,,,,,,,,,,,105498,,,,,,,True,,False,False,True,False,,,29.8179,,4.96965,,3:15.91,0:20.32,,,28.307604952,"22424064 OP, 212.55 GOPS","19802624 OP, 187.71 GOPS","141824 OP, 1.34 GOPS","20447232 OP, 193.82 GOPS","1835008 OP, 17.39 GOPS","19802624 OP, 187.71 GOPS",,7,8,1,32,40,40,200,200,7,0,,41,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --split-algo=bfs, --retime-local=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,5.19kHz
BlackScholes_1,pirTest,Tst,1000000000.0,f6ef39ae,43d4659a,2019-11-06 23:09:01 -0800,True,,,,,,,,,,,,,,,73805,,,,,,,True,,False,False,True,False,,,42.6222,,7.10369,,3:35.10,0:18.60,,,27.690251971,"22424064 OP, 303.83 GOPS","19802624 OP, 268.31 GOPS","141824 OP, 1.92 GOPS","20447232 OP, 277.04 GOPS","1835008 OP, 24.86 GOPS","19802624 OP, 268.31 GOPS",,7,8,1,36,40,40,200,200,7,0,,45,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --split-algo=bfs, --retime-local=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,3.97kHz
BreakTest,pirTest,Tst,1000000000.0,f6ef39ae,43d4659a,2019-11-06 23:09:01 -0800,True,,,,,,,,,,,,,,,87,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,0:34.69,0:00.57,,,8.943941575,"12 OP, 0.14 GOPS","12 OP, 0.14 GOPS","12 OP, 0.14 GOPS",,,"12 OP, 0.14 GOPS",,0,0,1,0,40,40,200,200,,0,,1,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.15kHz
BreakTest2,pirTest,Tst,1000000000.0,f6ef39ae,43d4659a,2019-11-06 23:09:01 -0800,True,,,,,,,,,,,,,,,23,,,,,,,True,,False,False,True,False,,,0.0,,0.0,,0:37.97,0:00.55,,,9.723150366,"10 OP, 0.43 GOPS","10 OP, 0.43 GOPS","10 OP, 0.43 GOPS",,,"10 OP, 0.43 GOPS",,0,0,2,0,40,40,200,200,,0,,2,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.04kHz
BroadcastTest,pirTest,Tst,1000000000.0,f6ef39ae,43d4659a,2019-11-06 23:09:01 -0800,True,,,,,,,,,,,,,,,271,,,,,,,True,,False,False,True,False,,,0.472325,,15.1144,,0:57.69,0:00.47,,,24.646739433,"21760 OP, 80.30 GOPS","18688 OP, 68.96 GOPS","11904 OP, 43.93 GOPS",,"9856 OP, 36.37 GOPS","4736 OP, 17.48 GOPS",,2,3,2,9,40,40,200,200,2,0,2,12,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.58kHz
CountZero_0,pirTest,Tst,1000000000.0,f6ef39ae,43d4659a,2019-11-06 23:09:01 -0800,True,,,,,,,,,,,,,,,139,,,,,,,True,,False,False,True,False,,,0.460432,,1.38129,,0:48.53,0:00.50,,,16.258744457,"432 OP, 3.11 GOPS","432 OP, 3.11 GOPS","192 OP, 1.38 GOPS",,"240 OP, 1.73 GOPS","288 OP, 2.07 GOPS",,1,0,1,5,40,40,200,200,1,0,1,5,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,0.28kHz
DRAMDoubleBuffer2_0,pirTest,Tst,1000000000.0,f6ef39ae,43d4659a,2019-11-06 23:09:01 -0800,True,,,,,,,,,,,,,,,930,,,,,,,True,,False,False,True,False,,,1.10108,,1.10108,,0:47.02,0:00.55,,,13.327919513,"720 OP, 0.77 GOPS","688 OP, 0.74 GOPS","720 OP, 0.77 GOPS",,,"656 OP, 0.71 GOPS",,2,0,7,0,40,40,200,200,2,0,,7,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,1.69kHz
DRAMDoubleBuffer2_1,pirTest,Tst,1000000000.0,f6ef39ae,43d4659a,2019-11-06 23:09:01 -0800,True,,,,,,,,,,,,,,,930,,,,,,,True,,False,False,True,False,,,1.10108,,1.10108,,0:48.78,0:00.61,,,13.568718407,"720 OP, 0.77 GOPS","688 OP, 0.74 GOPS","720 OP, 0.77 GOPS",,,"656 OP, 0.71 GOPS",,2,0,7,0,40,40,200,200,2,0,,7,20,20,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",,,,,,,True,False,True,1.52kHz
