VPCU-alloc,runhybrid_pass,notFit,VMC,MC_Total,OPS-FU,VMC-alloc,prtime,vcLimit,runhybrid_complete,VAFG-split,VPCU,maketst_time,vlink,runhybrid_rbw,pir_sha,pattern,runp2p_success,succeeded,app,genpir_err,OPS-Fix,OPS-Other,PMU,PCU,runhybrid_cycle,VAFG,VDAG,VAFG-alloc,DAG,runhybrid_success,row,VPMU-alloc,simfreq,VBB,runp2p_wbw,OPS-All,VPMU-split,gentst_time,VBB-alloc,VPCU-split,VDAG-alloc,runp2p_cycle,genpir,runp2p_err,runp2p_rbw,runp2p_complete,runp2p_dram_power,runhybrid_wbw,slink,runhybrid_dram_power,VBB-split,maketst_err,MC,PCU_Total,VDAG-split,time,runhybrid_deadlock,VPMU,mergeTime_ms,col,runproute_err,runp2p_time,runproute_time,runhybrid_time,PMU_Total,gentst_err,DAG_Total,VMC-split,pirArgs,maxActive,freq,OPS-Flt,algo,runp2p_pass,OPS-Prog FU,runp2p_deadlock,project,runhybrid_err,avgActive,spatial_sha,backend
4,,,1,40,"832 OP, 8.95 GOPS",1,,,False,1,5,0:38.83,,,d86e20f2,,True,True,BankEnable_0,,"128 OP, 1.38 GOPS","704 OP, 7.57 GOPS",2,2,,1,0,1,3,False,20,2,0.22kHz,,1.37634,"832 OP, 8.95 GOPS",2,12.766560444,,5,0,93,True,,0.0,True,,,,,,,1,200,0,2019-12-13 12:52:06 -0800,False,2,,20,,0:00.43,,,200,,40,1,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",34.40860215053763,1000000000.0,,,True,"128 OP, 1.38 GOPS",False,pirTest,,11.059907834101384,10f10351,Tst
13,,,1,40,"6688 OP, 45.19 GOPS",1,,,False,1,26,1:15.48,,,d86e20f2,,True,True,BankRange_0,,"3808 OP, 25.73 GOPS","3520 OP, 23.78 GOPS",6,16,,1,0,1,10,False,20,6,0.3kHz,,0.864865,"7456 OP, 50.38 GOPS",6,39.821620676,,26,0,148,True,,0.0,True,,,,,,,1,200,0,2019-12-13 12:52:06 -0800,False,6,,20,,0:00.50,,,200,,40,1,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",10.81081081081081,1000000000.0,"128 OP, 0.86 GOPS",,,"1888 OP, 12.76 GOPS",False,pirTest,,9.106933019976498,10f10351,Tst
10,,,7,40,"19802624 OP, 180.93 GOPS",7,,,False,1,42,2:48.23,,,d86e20f2,,True,True,BlackScholes_0,,"141824 OP, 1.30 GOPS","1835008 OP, 16.77 GOPS",1,33,,1,0,1,8,False,20,,6.03kHz,,4.79016,"22424064 OP, 204.88 GOPS",,27.065357432,,42,0,109451,True,,28.741,True,,,,,,,7,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:18.16,,,200,,40,7,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --split-algo=bfs, --retime-local=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",7.484627824323213,1000000000.0,"20447232 OP, 186.82 GOPS",,True,"19802624 OP, 180.93 GOPS",False,pirTest,,5.868670164565132,10f10351,Tst
10,,,7,40,"19802624 OP, 195.58 GOPS",7,,,False,1,48,3:08.08,,,d86e20f2,,True,True,BlackScholes_1,,"141824 OP, 1.40 GOPS","1835008 OP, 18.12 GOPS",1,39,,1,0,1,8,False,20,,4.41kHz,,5.178,"22424064 OP, 221.47 GOPS",,30.823251974,,48,0,101253,True,,31.068,True,,,,,,,7,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:22.97,,,200,,40,7,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --split-algo=bfs, --retime-local=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",8.090624475324187,1000000000.0,"20447232 OP, 201.94 GOPS",,True,"19802624 OP, 195.58 GOPS",False,pirTest,,6.553445330014913,10f10351,Tst
1,,,,40,"12 OP, 0.14 GOPS",,,,False,1,1,0:28.06,,,d86e20f2,,True,True,BreakTest,,"12 OP, 0.14 GOPS",,1,0,,1,0,1,0,False,20,,0.19kHz,,0.0,"12 OP, 0.14 GOPS",,7.071462529,,1,0,87,True,,0.0,True,,,,,,,0,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:00.47,,,200,,40,,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",13.793103448275861,1000000000.0,,,True,"12 OP, 0.14 GOPS",False,pirTest,,5.363984674329502,10f10351,Tst
2,,,,40,"10 OP, 0.43 GOPS",,,,False,1,2,0:29.30,,,d86e20f2,,True,True,BreakTest2,,"10 OP, 0.43 GOPS",,2,0,,1,0,1,0,False,20,,0.05kHz,,0.0,"10 OP, 0.43 GOPS",,8.493691565,,2,0,23,True,,0.0,True,,,,,,,0,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:00.45,,,200,,40,,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",43.47826086956522,1000000000.0,,,True,"10 OP, 0.43 GOPS",False,pirTest,,23.91304347826087,10f10351,Tst
6,,,2,40,"18752 OP, 67.45 GOPS",2,,,False,1,12,0:58.44,,,d86e20f2,,True,True,BroadcastTest,,"11904 OP, 42.82 GOPS","9920 OP, 35.68 GOPS",2,9,,1,0,1,3,False,20,2,0.52kHz,,14.7338,"21824 OP, 78.50 GOPS",2,22.231934464,,12,0,278,True,,0.460432,True,,,,,,,2,200,0,2019-12-13 12:52:06 -0800,False,2,,20,,0:00.53,,,200,,40,2,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",46.0431654676259,1000000000.0,,,True,"4736 OP, 17.04 GOPS",False,pirTest,,20.12753433616743,10f10351,Tst
4,,,1,40,"618 OP, 4.23 GOPS",1,,,False,1,5,0:36.53,,,d86e20f2,,True,True,CountZero_0,,"192 OP, 1.32 GOPS","426 OP, 2.92 GOPS",1,5,,1,0,1,0,False,20,1,0.26kHz,,1.31507,"618 OP, 4.23 GOPS",1,12.018747552,,5,0,146,True,,0.438356,True,,,,,,,1,200,0,2019-12-13 12:52:06 -0800,False,1,,20,,0:00.56,,,200,,40,1,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",32.87671232876713,1000000000.0,,,True,"288 OP, 1.97 GOPS",False,pirTest,,20.672478206724783,10f10351,Tst
7,,,2,40,"688 OP, 0.74 GOPS",2,,,False,1,7,0:42.00,,,d86e20f2,,True,True,DRAMDoubleBuffer2_0,,"720 OP, 0.77 GOPS",,7,0,,1,0,1,0,False,20,,1.9kHz,,1.10108,"720 OP, 0.77 GOPS",,11.442321033,,7,0,930,True,,1.10108,True,,,,,,,2,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:00.49,,,200,,40,2,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",27.526881720430108,1000000000.0,,,True,"656 OP, 0.71 GOPS",False,pirTest,,7.096774193548387,10f10351,Tst
7,,,2,40,"688 OP, 0.74 GOPS",2,,,False,1,7,0:41.04,,,d86e20f2,,True,True,DRAMDoubleBuffer2_1,,"720 OP, 0.77 GOPS",,7,0,,1,0,1,0,False,20,,1.75kHz,,1.10108,"720 OP, 0.77 GOPS",,12.617515669,,7,0,930,True,,1.10108,True,,,,,,,2,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:00.53,,,200,,40,2,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",27.526881720430108,1000000000.0,,,True,"656 OP, 0.71 GOPS",False,pirTest,,7.096774193548387,10f10351,Tst
14,,,4,40,"688 OP, 1.46 GOPS",4,,,False,1,14,0:48.17,,,d86e20f2,,True,True,DRAMDoubleBuffer2_2,,"720 OP, 1.53 GOPS",,14,0,,1,0,1,0,False,20,,1.0kHz,,2.17872,"720 OP, 1.53 GOPS",,15.605755707,,14,0,470,True,,2.17872,True,,,,,,,4,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:00.47,,,200,,40,4,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",27.23404255319149,1000000000.0,,,True,"656 OP, 1.40 GOPS",False,pirTest,,7.898936170212766,10f10351,Tst
23,,,6,40,"1032 OP, 2.11 GOPS",6,,,False,1,23,1:13.94,,,d86e20f2,,True,True,DRAMDoubleBuffer2_3,,"1080 OP, 2.20 GOPS",,3,0,,1,0,1,20,False,20,,0.96kHz,,2.0898,"1080 OP, 2.20 GOPS",,21.221560423,,23,0,490,True,,2.0898,True,,,,,,,6,200,0,2019-12-13 12:52:06 -0800,False,,,20,,0:00.51,,,200,,40,6,"--dot=true, --vdot=true, --tungsten-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/tungsten, --proute-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastiroute, --debug=true, --psim-home=/local/ssd/home/yaqiz/pldi20/spatial/pir/plastisim, --pir-home=/local/ssd/home/yaqiz/pldi20/spatial/pir, --stat=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --save=false, --dot=false, --debug=false",26.122448979591837,1000000000.0,,,True,"984 OP, 2.01 GOPS",False,pirTest,,9.355102040816327,10f10351,Tst
