gentst_err,VPMU,VAFG,pattern,pir_sha,VPCU,VPMU-alloc,VPCU-split,runhybrid_err,freq,runhybrid_wbw,runhybrid_rbw,algo,OPS-Fix,col,runp2p_dram_power,PCU,mergeTime_ms,spatial_sha,maketst_time,pirArgs,runhybrid_complete,OPS-All,slink,VBB-alloc,OPS-Flt,DAG_Total,VPMU-split,VAFG-split,maketst_err,PMU_Total,runproute_time,OPS-Prog FU,runp2p_wbw,OPS-FU,VPCU-alloc,DAG,runp2p_err,maxActive,runp2p_success,runhybrid_deadlock,runp2p_cycle,MC,PCU_Total,app,runhybrid_dram_power,prtime,genpir_err,runproute_err,genpir,runp2p_pass,succeeded,OPS-Other,project,VAFG-alloc,MC_Total,runhybrid_time,VBB-split,runp2p_deadlock,VMC,vcLimit,avgActive,runhybrid_pass,runp2p_time,runhybrid_success,VMC-split,row,gentst_time,VDAG-split,vlink,runhybrid_cycle,simfreq,runp2p_complete,runp2p_rbw,notFit,VDAG-alloc,backend,PMU,VDAG,time,VMC-alloc
,2,1,,170c1505,2,2,5,,1000000000.0,,,,,20,,1,2535.979073,7f5b887d,0:52.32,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,2,1,,200,,,1.37634,,4,0,,34.40860215053763,True,False,93,1,200,BankEnable_0,,,,,True,True,True,,pirTest,1,40,,,False,1,,11.059907834101384,,0:00.65,False,1,20,24.169672214,0,,,0.14kHz,True,0.0,,0,Tst,3,0,2020-01-09 18:14:56 -0800,1
,6,1,,170c1505,14,6,26,,1000000000.0,,,,,20,,4,20978.862793,7f5b887d,1:49.59,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,6,1,,200,,,0.0,,13,1,,5.015673981191223,False,False,319,1,200,BankRange_0,,,,,True,,False,,pirTest,1,40,,,True,1,,2.766798418972332,,0:00.73,False,1,20,81.754161148,0,,,0.44kHz,True,0.0,,0,Tst,15,0,2020-01-09 18:14:56 -0800,1
,,,,170c1505,,,42,,1000000000.0,,,,,20,,,,7f5b887d,,"--dot=true, --stat=true, --debug=true, --vdot=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,,,1,,,,,,,10,,,,False,False,,,,BlackScholes_0,,,,,True,,False,,pirTest,1,,,,False,,,,,,False,7,20,,0,,,,False,,,0,Tst,,,2020-01-09 18:14:56 -0800,7
,,1,,170c1505,1,,1,,1000000000.0,,,,,20,,0,756.886606,7f5b887d,0:30.89,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,0.0,,1,0,,13.793103448275861,True,False,87,0,200,BreakTest,,,,,True,True,True,,pirTest,1,40,,,False,,,5.363984674329502,,0:00.56,False,,20,9.126136321,0,,,0.16kHz,True,0.0,,0,Tst,1,0,2020-01-09 18:14:56 -0800,
,,1,,170c1505,1,,2,,1000000000.0,,,,,20,,0,829.573643,7f5b887d,0:34.65,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,0.0,,2,0,,47.61904761904762,True,False,21,0,200,BreakTest2,,,,,True,True,True,,pirTest,1,40,,,False,,,26.19047619047619,,0:00.43,False,,20,11.14094296,0,,,0.05kHz,True,0.0,,0,Tst,1,0,2020-01-09 18:14:56 -0800,
,,,,170c1505,,2,12,,1000000000.0,,,,,20,,,,7f5b887d,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,,2,1,,,,,,,6,,,,False,False,,,,BroadcastTest,,,,,True,,False,,pirTest,1,,,,False,,,,,,False,2,20,,0,,,,False,,,0,Tst,,,2020-01-09 18:14:56 -0800,2
,1,1,,170c1505,3,1,5,,1000000000.0,,,,,20,,1,1638.32864,7f5b887d,0:43.58,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,1,1,,200,,,1.31507,,4,1,,32.87671232876713,True,False,146,1,200,CountZero_0,,,,,True,True,True,,pirTest,1,40,,,False,1,,20.672478206724783,,0:00.59,False,1,20,20.081933867,0,,,0.25kHz,True,0.438356,,0,Tst,2,0,2020-01-09 18:14:56 -0800,1
,,1,,170c1505,4,,7,,1000000000.0,,,,,20,,1,1487.954675,7f5b887d,0:42.20,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,1.10108,,7,0,,27.526881720430108,True,False,930,2,200,DRAMDoubleBuffer2_0,,,,,True,True,True,,pirTest,1,40,,,False,2,,7.096774193548387,,0:00.43,False,2,20,17.789036041,0,,,2.16kHz,True,1.10108,,0,Tst,3,0,2020-01-09 18:14:56 -0800,2
,,1,,170c1505,4,,7,,1000000000.0,,,,,20,,1,1187.913599,7f5b887d,0:36.38,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,1.10108,,7,0,,27.526881720430108,True,False,930,2,200,DRAMDoubleBuffer2_1,,,,,True,True,True,,pirTest,1,40,,,False,2,,7.096774193548387,,0:00.42,False,2,20,15.029540249,0,,,2.21kHz,True,1.10108,,0,Tst,3,0,2020-01-09 18:14:56 -0800,2
,,1,,170c1505,6,,14,,1000000000.0,,,,,20,,1,6372.854963,7f5b887d,0:56.90,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,2.17872,,14,1,,27.23404255319149,True,False,470,4,200,DRAMDoubleBuffer2_2,,,,,True,True,True,,pirTest,1,40,,,False,4,,7.898936170212766,,0:00.62,False,4,20,33.91509558,0,,,0.76kHz,True,2.17872,,0,Tst,4,0,2020-01-09 18:14:56 -0800,4
