runhybrid_pass,runhybrid_complete,VAFG-split,runhybrid_err,runp2p_deadlock,VDAG-split,VMC-alloc,pir_sha,PCU_Total,maketst_time,project,VPMU,runp2p_complete,VPCU-alloc,gentst_err,MC_Total,VAFG,maketst_err,runp2p_time,VMC-split,VPMU-split,maxActive,runp2p_wbw,simfreq,runhybrid_deadlock,MC,runproute_time,avgActive,runhybrid_cycle,runhybrid_wbw,OPS-FU,backend,notFit,vcLimit,DAG,OPS-Flt,OPS-Fix,OPS-Other,PMU,VMC,runhybrid_time,runhybrid_dram_power,vlink,slink,spatial_sha,runp2p_err,runhybrid_rbw,row,VPMU-alloc,VPCU-split,VBB,genpir,runp2p_cycle,VPCU,runp2p_success,mergeTime_ms,app,freq,genpir_err,gentst_time,VDAG,succeeded,PCU,runproute_err,runhybrid_success,VBB-alloc,runp2p_dram_power,OPS-Prog FU,VBB-split,prtime,VAFG-alloc,runp2p_rbw,OPS-All,PMU_Total,time,DAG_Total,runp2p_pass,VDAG-alloc,pirArgs,algo,pattern,col
,False,1,,False,0,1,affd0f7a,200,0:41.52,pirTest,2,True,4,,40,1,,0:00.46,1,2,34.40860215053763,1.37634,0.2kHz,False,1,,11.059907834101384,,,,Tst,,,3,,,,2,1,,,,,db801ab9,,,20,2,5,,True,93,5,True,,BankEnable_0,1000000000.0,,11.661901728,0,True,2,,False,,,,,,1,0.0,,200,2020-01-10 14:39:46 -0800,40,True,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,20
,False,1,,False,0,1,affd0f7a,200,2:04.16,pirTest,6,True,13,,40,1,,0:00.59,1,6,10.81081081081081,0.864865,0.25kHz,False,1,,9.106933019976498,,,,Tst,,,10,,,,6,1,,,,,db801ab9,,,20,6,26,,True,148,26,True,,BankRange_0,1000000000.0,,44.750986617,0,True,16,,False,,,,,,1,0.0,,200,2020-01-10 14:39:46 -0800,40,,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,20
,False,1,,False,0,7,affd0f7a,200,3:28.61,pirTest,,True,10,,40,1,,0:21.55,7,,7.2197839000229145,4.62066,5.27kHz,False,7,,5.6247563556586355,,,,Tst,,,8,,,,1,7,,,,,db801ab9,,,20,,41,,True,113466,41,True,,BlackScholes_0,1000000000.0,,29.956756914,0,True,32,,False,,,,,,1,27.724,,200,2020-01-10 14:39:46 -0800,40,True,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --split-algo=bfs, --retime-local=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,20
,False,1,,False,0,7,affd0f7a,200,3:52.08,pirTest,,True,10,,40,1,,0:23.38,7,,8.424256758841253,5.39152,4.16kHz,False,7,,6.823689108727621,,,,Tst,,,8,,,,1,7,,,,,db801ab9,,,20,,48,,True,97243,48,True,,BlackScholes_1,1000000000.0,,34.653585582,0,True,39,,False,,,,,,1,32.3491,,200,2020-01-10 14:39:46 -0800,40,True,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --split-algo=bfs, --retime-local=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,20
,False,1,,False,0,,affd0f7a,200,0:37.33,pirTest,,True,1,,40,1,,0:00.56,,,13.793103448275861,0.0,0.16kHz,False,0,,5.363984674329502,,,,Tst,,,0,,,,1,,,,,,db801ab9,,,20,,1,,True,87,1,True,,BreakTest,1000000000.0,,9.561372596,0,True,0,,False,,,,,,1,0.0,,200,2020-01-10 14:39:46 -0800,40,True,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,20
,False,1,,False,0,,affd0f7a,200,0:38.38,pirTest,,True,2,,40,1,,0:00.59,,,43.47826086956522,0.0,0.04kHz,False,0,,23.91304347826087,,,,Tst,,,0,,,,2,,,,,,db801ab9,,,20,,2,,True,23,2,True,,BreakTest2,1000000000.0,,9.166718165,0,True,0,,False,,,,,,1,0.0,,200,2020-01-10 14:39:46 -0800,40,True,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,20
,False,1,,False,0,2,affd0f7a,200,1:06.65,pirTest,2,True,6,,40,1,,0:00.60,2,2,46.0431654676259,14.7338,0.46kHz,False,2,,20.12753433616743,,,,Tst,,,3,,,,2,2,,,,,db801ab9,,,20,2,12,,True,278,12,True,,BroadcastTest,1000000000.0,,22.303246544,0,True,9,,False,,,,,,1,0.460432,,200,2020-01-10 14:39:46 -0800,40,True,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,20
,False,1,,False,0,1,affd0f7a,200,0:48.18,pirTest,1,True,4,,40,1,,0:00.58,1,1,32.87671232876713,1.31507,0.25kHz,False,1,,20.672478206724783,,,,Tst,,,0,,,,1,1,,,,,db801ab9,,,20,1,5,,True,146,5,True,,CountZero_0,1000000000.0,,15.263280371,0,True,5,,False,,,,,,1,0.438356,,200,2020-01-10 14:39:46 -0800,40,True,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,20
,False,1,,True,0,2,affd0f7a,200,0:42.07,pirTest,,False,7,,40,1,,0:00.77,2,,32.0,0.64,1.04kHz,False,2,,6.25,,,,Tst,,,0,,,,7,2,,,,,db801ab9,"Assertion fail:
",,20,,7,,True,800,7,False,,DRAMDoubleBuffer2_0,1000000000.0,,13.353706021,0,False,0,,False,,,,,,1,0.64,,200,2020-01-10 14:39:46 -0800,40,True,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,20
,False,1,,True,0,2,affd0f7a,200,0:43.55,pirTest,,False,7,,40,1,,0:00.77,2,,32.0,0.64,1.04kHz,False,2,,6.25,,,,Tst,,,0,,,,7,2,,,,,db801ab9,"Assertion fail:
",,20,,7,,True,800,7,False,,DRAMDoubleBuffer2_1,1000000000.0,,13.054468825,0,False,0,,False,,,,,,1,0.64,,200,2020-01-10 14:39:46 -0800,40,True,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,20
