VPMU-split,runp2p_rbw,genpir,runp2p_complete,VBB-split,PCU,runhybrid_complete,vcLimit,runhybrid_deadlock,OPS-Prog FU,OPS-Other,VAFG-split,genpir_err,runp2p_wbw,DAG,app,VMC-alloc,VPCU-split,time,PCU_Total,pattern,OPS-FU,VPCU,OPS-Fix,runhybrid_err,runproute_err,runhybrid_cycle,runhybrid_pass,OPS-All,runp2p_cycle,VDAG,runp2p_time,col,runp2p_success,runp2p_pass,simfreq,PMU,maketst_time,pir_sha,runhybrid_time,MC,PMU_Total,VMC-split,runhybrid_dram_power,gentst_time,VMC,slink,DAG_Total,maxActive,freq,project,gentst_err,notFit,mergeTime_ms,VAFG,succeeded,runhybrid_rbw,algo,runhybrid_wbw,runp2p_err,MC_Total,OPS-Flt,runproute_time,prtime,maketst_err,runp2p_deadlock,vlink,spatial_sha,VBB-alloc,runp2p_dram_power,VPMU,pirArgs,VPCU-alloc,VAFG-alloc,VDAG-split,VDAG-alloc,row,avgActive,runhybrid_success,VPMU-alloc,backend
2,0.0,True,True,,1,False,,False,,,1,,1.37634,0,BankEnable_0,1,5,2020-01-10 18:13:08 -0800,200,,,2,,,,,,,93,0,0:00.47,20,True,True,0.2kHz,3,0:40.44,b65b1a6c,,1,200,1,,15.643968692,1,,40,34.40860215053763,1000000000.0,pirTest,,,1491.466617,1,True,,,,,40,,,,,False,,7f5b887d,,,2,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",4,1,0,0,20,11.059907834101384,False,2,Tst
6,0.0,True,True,,7,False,,False,,,1,,0.888889,1,BankRange_0,1,26,2020-01-10 18:13:08 -0800,200,,,15,,,,,,,144,0,0:00.58,20,True,,0.25kHz,12,2:20.79,b65b1a6c,,1,200,1,,99.838465683,1,,40,11.11111111111111,1000000000.0,pirTest,,,31422.00417,1,True,,,,,40,,,,,False,,7f5b887d,,,5,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",13,1,0,0,20,9.359903381642512,False,6,Tst
,,True,False,,,False,,False,,,1,,,,BlackScholes_0,7,41,2020-01-10 18:13:08 -0800,,,,,,,,,,,,,,20,False,,,,,b65b1a6c,,,,7,,,,,,,1000000000.0,pirTest,,,,,False,,,,,,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",10,1,0,0,20,,False,,Tst
,0.0,True,True,,0,False,,False,,,1,,0.0,0,BreakTest,,1,2020-01-10 18:13:08 -0800,200,,,1,,,,,,,87,0,0:00.43,20,True,True,0.2kHz,1,0:28.91,b65b1a6c,,0,200,,,9.781000646,,,40,13.793103448275861,1000000000.0,pirTest,,,694.47634,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",1,1,0,0,20,5.363984674329502,False,,Tst
,0.0,True,True,,0,False,,False,,,1,,0.0,0,BreakTest2,,2,2020-01-10 18:13:08 -0800,200,,,1,,,,,,,21,0,0:00.46,20,True,True,0.05kHz,1,0:28.72,b65b1a6c,,0,200,,,8.789352305,,,40,47.61904761904762,1000000000.0,pirTest,,,706.522175,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",2,1,0,0,20,26.19047619047619,False,,Tst
2,,True,False,,,False,,False,,,1,,,,BroadcastTest,2,12,2020-01-10 18:13:08 -0800,,,,,,,,,,,,,,20,False,,,,,b65b1a6c,,,,2,,,,,,,1000000000.0,pirTest,,,,,False,,,,,,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",6,1,0,0,20,,False,2,Tst
1,0.438356,True,True,,1,False,,False,,,1,,1.31507,1,CountZero_0,1,5,2020-01-10 18:13:08 -0800,200,,,3,,,,,,,146,0,0:00.43,20,True,True,0.34kHz,2,0:38.08,b65b1a6c,,1,200,1,,15.305648902,1,,40,32.87671232876713,1000000000.0,pirTest,,,1344.713081,1,True,,,,,40,,,,,False,,7f5b887d,,,1,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",4,1,0,0,20,20.672478206724783,False,1,Tst
,1.10108,True,True,,0,False,,False,,,1,,1.10108,3,DRAMDoubleBuffer2_0,2,7,2020-01-10 18:13:08 -0800,200,,,4,,,,,,,930,0,0:00.47,20,True,True,1.98kHz,1,0:37.49,b65b1a6c,,2,200,2,,16.989556697,2,,40,27.526881720430108,1000000000.0,pirTest,,,1296.273624,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",7,1,0,0,20,7.096774193548387,False,,Tst
,1.10108,True,True,,0,False,,False,,,1,,1.10108,0,DRAMDoubleBuffer2_1,2,7,2020-01-10 18:13:08 -0800,200,,,4,,,,,,,930,0,0:00.40,20,True,True,2.33kHz,4,0:36.15,b65b1a6c,,2,200,2,,20.578331366,2,,40,27.526881720430108,1000000000.0,pirTest,,,1677.042361,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",7,1,0,0,20,7.096774193548387,False,,Tst
,2.17872,True,True,,1,False,,False,,,1,,2.17872,2,DRAMDoubleBuffer2_2,4,14,2020-01-10 18:13:08 -0800,200,,,6,,,,,,,470,0,0:00.46,20,True,True,1.02kHz,3,0:45.38,b65b1a6c,,4,200,4,,29.136820086,4,,40,27.23404255319149,1000000000.0,pirTest,,,6583.553149,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",14,1,0,0,20,7.898936170212766,False,,Tst
,2.0898,True,True,,2,False,,False,,,1,,2.0898,3,DRAMDoubleBuffer2_3,6,23,2020-01-10 18:13:08 -0800,200,,,9,,,,,,,490,0,0:00.44,20,True,True,1.11kHz,4,1:03.11,b65b1a6c,,6,200,6,,55.638496407,6,,40,26.122448979591837,1000000000.0,pirTest,,,26806.183746,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",23,1,0,0,20,9.355102040816327,False,,Tst
