runp2p_success,VDAG,run-tst,tungsten,OPS-Flt,nn,DAG,lrange,vc,runp2p_pass,start-id,PMU_Total,vdot,runp2p_rbw,OPS-Other,row,runhybrid_time,runhybrid_rbw,PMU,PCU,flit-width,pattern,vcLimit,runp2p_time,run-proute,debug-tst,codegen,pracc,runhybrid_dram_power,VDAG-alloc,arch,mergeTime_ms,VPCU-split,split,mem-tech,waveform,runp2p_dram_power,stat,merge-forward,pmu-sram-size,routing-cost,run-psim,genpir,fifo-depth,verbose,fast,merge-algo,reserve-pmu,scheduled,net,VAFG,time-out,argin,pcu-stage,bcread,simfreq,retime-buffer-only,prtime,mdone,debug,avgActive,runhybrid_pass,VMC-split,open,runhybrid_success,psim-q,col,genpir_err,gentst_time,pirArgs,save,runhybrid_err,VPCU-alloc,MC,vfifo,split-thread,gentst_err,routing-algo,VBB,retime-exout,link-prop,OPS-All,topo,dag-stage,runp2p_complete,pir_sha,freq,pmu-stage,merge,mapping,retime-local,succeeded,maxActive,reserve-pcu,argout,VPMU-alloc,proute-algo,simulate,VAFG-split,runhybrid_cycle,word,runproute_time,maketst_err,runp2p_deadlock,constprop,trace,runp2p_cycle,dedicated-dag,split-forward,split-algo,runhybrid_deadlock,OPS-Fix,proute-seed,proute-opts,app,notFit,project,igraph,runproute_err,PCU_Total,VBB-alloc,VMC-alloc,runp2p_err,algo,clock,VPMU-split,OPS-FU,dupra,name,VDAG-split,VMC,load,module,psim,MC_Total,spatial_sha,sr,maketst_time,DAG_Total,dag,dot,tokenout,runhybrid_complete,VAFG-alloc,retime-glob,OPS-Prog FU,backend,VPMU,rtelm,VPCU,VBB-split,time,runp2p_wbw,vlink,ag-dce,proute-q,runhybrid_wbw,vec,slink
True,0,False,True,,False,3,True,4,True,0,200,True,0.0,,20,,,2,2,512,checkerboard,4,0:00.69,False,False,True,True,,0,MyDesign,,5,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,0.13kHz,False,,True,False,11.059907834101384,,1,False,False,1,20,,16.874467852,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,4,1,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,34.40860215053763,0,4,2,route_min_directed_valient,False,1,,32,,,False,True,False,93,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,BankEnable_0,,pirTest,False,,200,,1,,route_min_directed_valient,1000000000,2,,False,AccelMain,0,1,False,False,False,40,770be228,True,0:54.13,40,True,False,5,False,1,False,,Tst,2,True,5,,2020-01-16 15:53:24 -0800,1.37634,2,True,4,,16,4
True,0,False,True,,False,10,True,4,,0,200,True,0.0,,20,,,6,16,512,checkerboard,4,0:00.68,False,False,True,True,,0,MyDesign,,26,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,0.22kHz,False,,True,False,9.106933019976498,,1,False,False,1,20,,53.585199483,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,13,1,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,10.81081081081081,0,4,6,route_min_directed_valient,False,1,,32,,,False,True,False,148,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,BankRange_0,,pirTest,False,,200,,1,,route_min_directed_valient,1000000000,6,,False,AccelMain,0,1,False,False,False,40,770be228,True,2:04.75,40,True,False,5,False,1,False,,Tst,6,True,26,,2020-01-16 15:53:24 -0800,0.864865,2,True,4,,16,4
True,0,False,True,,False,8,True,4,True,0,200,True,28.7352,,20,,,1,33,512,checkerboard,4,0:38.77,False,False,True,True,,0,MyDesign,,42,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,2.82kHz,False,,True,False,5.8674907802089855,,7,False,False,1,20,,35.311988882,"--dot=true, --stat=true, --debug=true, --vdot=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,10,7,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,7.483123692600002,0,4,,route_min_directed_valient,False,1,,32,,,False,True,False,109473,False,False,bfs,False,,0,-i100 -p100 -t1 -d100,BlackScholes_0,,pirTest,False,,200,,7,,route_min_directed_valient,1000000000,,,False,AccelMain,0,7,False,False,False,40,770be228,True,3:13.32,40,True,False,5,False,1,False,,Tst,,True,42,,2020-01-16 15:53:24 -0800,4.7892,2,True,4,,16,4
True,0,False,True,,False,0,True,4,True,0,200,True,0.0,,20,,,1,0,512,checkerboard,4,0:00.67,False,False,True,True,,0,MyDesign,,1,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,0.13kHz,False,,True,False,5.363984674329502,,,False,False,1,20,,9.880197504,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,1,0,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,13.793103448275861,0,4,,route_min_directed_valient,False,1,,32,,,False,True,False,87,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,BreakTest,,pirTest,False,,200,,,,route_min_directed_valient,1000000000,,,False,AccelMain,0,,False,False,False,40,770be228,True,0:45.84,40,True,False,5,False,1,False,,Tst,,True,1,,2020-01-16 15:53:24 -0800,0.0,2,True,4,,16,4
True,0,False,True,,False,0,True,4,True,0,200,True,0.0,,20,,,2,0,512,checkerboard,4,0:00.66,False,False,True,True,,0,MyDesign,,2,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,0.03kHz,False,,True,False,23.91304347826087,,,False,False,1,20,,10.337784624,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,2,0,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,43.47826086956522,0,4,,route_min_directed_valient,False,1,,32,,,False,True,False,23,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,BreakTest2,,pirTest,False,,200,,,,route_min_directed_valient,1000000000,,,False,AccelMain,0,,False,False,False,40,770be228,True,0:41.73,40,True,False,5,False,1,False,,Tst,,True,2,,2020-01-16 15:53:24 -0800,0.0,2,True,4,,16,4
True,0,False,True,,False,3,True,4,True,0,200,True,0.460432,,20,,,2,9,512,checkerboard,4,0:00.68,False,False,True,True,,0,MyDesign,,12,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,0.41kHz,False,,True,False,20.12753433616743,,2,False,False,1,20,,27.359568661,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,6,2,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,46.0431654676259,0,4,2,route_min_directed_valient,False,1,,32,,,False,True,False,278,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,BroadcastTest,,pirTest,False,,200,,2,,route_min_directed_valient,1000000000,2,,False,AccelMain,0,2,False,False,False,40,770be228,True,1:11.24,40,True,False,5,False,1,False,,Tst,2,True,12,,2020-01-16 15:53:24 -0800,14.7338,2,True,4,,16,4
True,0,False,True,,False,0,True,4,True,0,200,True,0.438356,,20,,,1,5,512,checkerboard,4,0:00.63,False,False,True,True,,0,MyDesign,,5,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,0.23kHz,False,,True,False,20.672478206724783,,1,False,False,1,20,,14.754786101,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,4,1,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,32.87671232876713,0,4,1,route_min_directed_valient,False,1,,32,,,False,True,False,146,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,CountZero_0,,pirTest,False,,200,,1,,route_min_directed_valient,1000000000,1,,False,AccelMain,0,1,False,False,False,40,770be228,True,0:50.21,40,True,False,5,False,1,False,,Tst,1,True,5,,2020-01-16 15:53:24 -0800,1.31507,2,True,4,,16,4
True,0,False,True,,False,0,True,4,True,0,200,True,1.10108,,20,,,7,0,512,checkerboard,4,0:00.54,False,False,True,True,,0,MyDesign,,7,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,1.72kHz,False,,True,False,7.096774193548387,,2,False,False,1,20,,14.949394046,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,7,2,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,27.526881720430108,0,4,,route_min_directed_valient,False,1,,32,,,False,True,False,930,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,DRAMDoubleBuffer2_0,,pirTest,False,,200,,2,,route_min_directed_valient,1000000000,,,False,AccelMain,0,2,False,False,False,40,770be228,True,0:46.44,40,True,False,5,False,1,False,,Tst,,True,7,,2020-01-16 15:53:24 -0800,1.10108,2,True,4,,16,4
True,0,False,True,,False,0,True,4,True,0,200,True,1.10108,,20,,,7,0,512,checkerboard,4,0:00.67,False,False,True,True,,0,MyDesign,,7,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,1.39kHz,False,,True,False,7.096774193548387,,2,False,False,1,20,,15.173905367,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,7,2,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,27.526881720430108,0,4,,route_min_directed_valient,False,1,,32,,,False,True,False,930,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,DRAMDoubleBuffer2_1,,pirTest,False,,200,,2,,route_min_directed_valient,1000000000,,,False,AccelMain,0,2,False,False,False,40,770be228,True,0:50.62,40,True,False,5,False,1,False,,Tst,,True,7,,2020-01-16 15:53:24 -0800,1.10108,2,True,4,,16,4
True,0,False,True,,False,0,True,4,True,0,200,True,2.17872,,20,,,14,0,512,checkerboard,4,0:00.64,False,False,True,True,,0,MyDesign,,14,True,DDR4,True,,True,False,65536,H-hop,False,True,16,False,False,bfs,0,False,hybrid,1,100,6,6,True,0.73kHz,False,,True,False,7.898936170212766,,4,False,False,1,20,,23.180069356,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",False,,14,4,4,1,,dor,,False,db,,mesh,6,True,dc24f967,1000000000.0,6,False,True,False,True,27.23404255319149,0,4,,route_min_directed_valient,False,1,,32,,,False,True,False,470,False,False,dfs,False,,0,-i100 -p100 -t1 -d100,DRAMDoubleBuffer2_2,,pirTest,False,,200,,4,,route_min_directed_valient,1000000000,,,False,AccelMain,0,4,False,False,False,40,770be228,True,0:56.53,40,True,False,5,False,1,False,,Tst,,True,14,,2020-01-16 15:53:24 -0800,2.17872,2,True,4,,16,4
