runhybrid_wbw,constprop,VBB-alloc,VBB-split,VPMU,runp2p_time,VPCU-split,bcread,dag-stage,time,DAG_Total,algo,runhybrid_time,ag-dce,pcu-stage,runp2p_complete,merge,routing-cost,runhybrid_cycle,load,mergeTime_ms,gentst_time,proute-q,arch,time-out,VAFG-split,freq,gentst_err,link-prop,mdone,avgActive,PMU,maketst_time,reserve-pmu,genpir,OPS-Flt,psim,OPS-Prog FU,VMC,debug-tst,app,MC_Total,project,pattern,vfifo,topo,dedicated-dag,VAFG-alloc,pmu-stage,tungsten,VPMU-alloc,MC,simulate,runp2p_err,vcLimit,runhybrid_success,proute-algo,clock,VMC-split,trace,vc,merge-forward,backend,VPMU-split,split-forward,run-proute,scheduled,runp2p_rbw,vlink,dupra,split,psim-q,mapping,spatial_sha,mem-tech,runhybrid_rbw,tokenout,retime-buffer-only,OPS-Other,module,runproute_time,maketst_err,dag,net,waveform,runp2p_success,maxActive,nn,runhybrid_dram_power,split-algo,row,save,vec,runhybrid_complete,VDAG-split,VDAG-alloc,PMU_Total,succeeded,fast,runhybrid_err,run-tst,OPS-Fix,codegen,VDAG,lrange,pracc,argin,run-psim,merge-algo,flit-width,reserve-pcu,stat,pmu-sram-size,name,dot,debug,split-thread,proute-seed,simfreq,retime-glob,PCU,igraph,rtelm,fifo-depth,sr,argout,vdot,retime-local,DAG,memelm,PCU_Total,VPCU-alloc,retime-exout,pirArgs,prtime,genpir_err,OPS-FU,runp2p_dram_power,proute-opts,VMC-alloc,notFit,word,open,VAFG,start-id,slink,routing-algo,VBB,col,runproute_err,runp2p_deadlock,runp2p_cycle,VPCU,OPS-All,pir_sha,runhybrid_deadlock,verbose,runhybrid_pass,runp2p_wbw,runp2p_pass
,True,,,2,0:00.50,4,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,13.299042412,4,MyDesign,100,1,1000000000.0,,db,True,14.003944773175544,2,0:49.34,0,True,,False,,1,False,BankEnable_0,40,pirTest,checkerboard,4,mesh,False,1,6,True,2,1,False,,4,False,route_min_directed_valient,1000000000,1,False,4,False,Tst,2,False,False,False,0.0,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,41.02564102564103,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,0.16kHz,False,2,False,True,16,True,4,True,False,3,False,200,4,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,1,,32,False,1,0,4,dor,,20,,False,78,4,,2bf187f9,False,False,,1.64103,True
,True,,,6,0:00.55,25,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,41.950370584,4,MyDesign,100,1,1000000000.0,,db,True,10.058403634003893,6,1:50.44,0,True,,False,,1,False,BankRange_0,40,pirTest,checkerboard,4,mesh,False,1,6,True,6,1,False,,4,False,route_min_directed_valient,1000000000,1,False,4,False,Tst,6,False,False,False,0.0,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,11.940298507462687,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,0.24kHz,False,15,False,True,16,True,4,True,False,10,False,200,13,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,1,,32,False,1,0,4,dor,,20,,False,134,25,,2bf187f9,False,False,,0.955224,
,True,,,,0:20.50,42,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,29.247501653,4,MyDesign,100,1,1000000000.0,,db,True,5.272145263527051,1,3:27.15,0,True,,False,,7,False,BlackScholes_0,40,pirTest,checkerboard,4,mesh,False,1,6,True,,7,False,,4,False,route_min_directed_valient,1000000000,7,False,4,False,Tst,,False,False,False,25.8196,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,6.723847826979111,False,,bfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,5.94kHz,False,33,False,True,16,True,4,True,False,8,False,200,10,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,7,,32,False,1,0,4,dor,,20,,False,121835,42,,2bf187f9,False,False,,4.30326,True
,True,,,,0:00.44,1,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,7.977647563,4,MyDesign,100,1,1000000000.0,,db,True,5.363984674329502,1,0:33.94,0,True,,False,,,False,BreakTest,40,pirTest,checkerboard,4,mesh,False,1,6,True,,0,False,,4,False,route_min_directed_valient,1000000000,,False,4,False,Tst,,False,False,False,0.0,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,13.793103448275861,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,0.2kHz,False,0,False,True,16,True,4,True,False,0,False,200,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,,,32,False,1,0,4,dor,,20,,False,87,1,,2bf187f9,False,False,,0.0,True
,True,,,,0:00.52,2,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,8.867454262,4,MyDesign,100,1,1000000000.0,,db,True,23.91304347826087,2,0:37.12,0,True,,False,,,False,BreakTest2,40,pirTest,checkerboard,4,mesh,False,1,6,True,,0,False,,4,False,route_min_directed_valient,1000000000,,False,4,False,Tst,,False,False,False,0.0,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,43.47826086956522,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,0.04kHz,False,0,False,True,16,True,4,True,False,0,False,200,2,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,,,32,False,1,0,4,dor,,20,,False,23,2,,2bf187f9,False,False,,0.0,True
,True,,,2,0:00.52,12,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,20.557102754,4,MyDesign,100,1,1000000000.0,,db,True,20.647433747064742,2,1:00.58,0,True,,False,,2,False,BroadcastTest,40,pirTest,checkerboard,4,mesh,False,1,6,True,2,2,False,,4,False,route_min_directed_valient,1000000000,2,False,4,False,Tst,2,False,False,False,0.472325,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,47.23247232472325,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,0.52kHz,False,9,False,True,16,True,4,True,False,3,False,200,6,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,2,,32,False,1,0,4,dor,,20,,False,271,12,,2bf187f9,False,False,,15.1144,True
,True,,,1,0:00.57,5,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,16.056896368,4,MyDesign,100,1,1000000000.0,,db,True,21.71353826030085,1,0:47.20,0,True,,False,,1,False,CountZero_0,40,pirTest,checkerboard,4,mesh,False,1,6,True,1,1,False,,4,False,route_min_directed_valient,1000000000,1,False,4,False,Tst,1,False,False,False,0.460432,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,34.53237410071942,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,0.24kHz,False,5,False,True,16,True,4,True,False,0,False,200,4,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,1,,32,False,1,0,4,dor,,20,,False,139,5,,2bf187f9,False,False,,1.38129,True
,True,,,,0:00.57,7,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,13.471570671,4,MyDesign,100,1,1000000000.0,,db,True,7.096774193548387,7,0:46.94,0,True,,False,,2,False,DRAMDoubleBuffer2_0,40,pirTest,checkerboard,4,mesh,False,1,6,True,,2,False,,4,False,route_min_directed_valient,1000000000,2,False,4,False,Tst,,False,False,False,1.10108,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,27.526881720430108,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,1.63kHz,False,0,False,True,16,True,4,True,False,0,False,200,7,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,2,,32,False,1,0,4,dor,,20,,False,930,7,,2bf187f9,False,False,,1.10108,True
,True,,,,0:00.53,7,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,14.023030882,4,MyDesign,100,1,1000000000.0,,db,True,7.096774193548387,7,0:45.24,0,True,,False,,2,False,DRAMDoubleBuffer2_1,40,pirTest,checkerboard,4,mesh,False,1,6,True,,2,False,,4,False,route_min_directed_valient,1000000000,2,False,4,False,Tst,,False,False,False,1.10108,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,27.526881720430108,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,1.75kHz,False,0,False,True,16,True,4,True,False,0,False,200,7,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,2,,32,False,1,0,4,dor,,20,,False,930,7,,2bf187f9,False,False,,1.10108,True
,True,,,,0:00.48,14,True,6,2020-01-19 18:17:09 -0800,40,route_min_directed_valient,,True,6,True,False,H-hop,,False,,17.510200279,4,MyDesign,100,1,1000000000.0,,db,True,7.898936170212766,14,0:52.25,0,True,,False,,4,False,DRAMDoubleBuffer2_2,40,pirTest,checkerboard,4,mesh,False,1,6,True,,4,False,,4,False,route_min_directed_valient,1000000000,4,False,4,False,Tst,,False,False,False,2.17872,2,False,True,1,True,93b78c7b,DDR4,,5,False,,False,,,True,hybrid,True,True,27.23404255319149,False,,dfs,20,False,16,False,0,0,200,True,False,,False,,True,0,True,True,6,False,bfs,512,0,True,65536,AccelMain,False,False,1,0,0.98kHz,False,0,False,True,16,True,4,True,False,0,False,200,14,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/fluorine/spatial, --save=false, --dot=false, --debug=false",,,,,-i100 -p100 -t1 -d100,4,,32,False,1,0,4,dor,,20,,False,470,14,,2bf187f9,False,False,,2.17872,True
