run-proute,runhybrid_err,reserve-pmu,argout,vlink,notFit,vfifo,VPCU,mem-tech,VMC-alloc,algo,OPS-Prog FU,VPMU-alloc,merge,merge-algo,load,split-forward,run-tst,ag-dce,runp2p_dram_power,col,runhybrid_dram_power,igraph,psim,split-thread,OPS-Other,reserve-pcu,runp2p_cycle,runproute_time,tungsten,runp2p_err,gentst_time,MC,retime-local,pracc,clock,fast,open,backend,VBB-split,runproute_err,spatial_sha,DAG_Total,fifo-depth,VAFG,VAFG-split,mdone,sr,vdot,verbose,dot,rtelm,pcu-stage,PMU,avgActive,runp2p_deadlock,row,VPCU-alloc,merge-forward,mergeTime_ms,proute-seed,VMC,VBB,OPS-Fix,dag,retime-exout,arch,VAFG-alloc,run-psim,vec,succeeded,split,OPS-Flt,PCU_Total,DAG,module,split-algo,runp2p_wbw,scheduled,pattern,runhybrid_complete,VMC-split,retime-glob,runhybrid_wbw,retime-buffer-only,lrange,VDAG,stat,prtime,OPS-All,pmu-sram-size,nn,VDAG-split,PMU_Total,maketst_time,runhybrid_cycle,simulate,runhybrid_success,runhybrid_rbw,MC_Total,save,VBB-alloc,dupra,runp2p_rbw,time,project,runp2p_complete,dag-stage,debug,runp2p_time,argin,net,maxActive,time-out,vcLimit,constprop,VPMU,flit-width,maketst_err,OPS-FU,vc,routing-algo,routing-cost,freq,slink,dedicated-dag,trace,pirArgs,VDAG-alloc,simfreq,proute-opts,codegen,VPCU-split,VPMU-split,tokenout,PCU,app,psim-q,debug-tst,link-prop,waveform,runp2p_pass,pmu-stage,proute-q,genpir,name,start-id,runhybrid_time,topo,mapping,bcread,proute-algo,pir_sha,runhybrid_deadlock,genpir_err,runp2p_success,runhybrid_pass,gentst_err,word
False,,0,4,2,,4,5,DDR4,1,route_min_directed_valient,,2,False,bfs,False,False,False,True,,20,,False,False,1,,0,93,,True,,15.31942732,1,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,2,11.059907834101384,False,20,4,False,,0,1,,,True,False,MyDesign,1,False,16,True,True,,200,3,False,dfs,1.37634,False,checkerboard,False,1,False,,False,True,0,True,,,65536,False,0,200,0:26.27,,False,False,,40,False,,False,0.0,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.70,6,hybrid,34.40860215053763,100,4,True,2,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,0.13kHz,-i100 -p100 -t1 -d100,True,5,2,5,2,BankEnable_0,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,26,DDR4,1,route_min_directed_valient,,6,False,bfs,False,False,False,True,,20,,False,False,1,,0,148,,True,,54.298942317,1,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,6,9.106933019976498,False,20,13,False,,0,1,,,True,False,MyDesign,1,False,16,True,True,,200,10,False,dfs,0.864865,False,checkerboard,False,1,False,,False,True,0,True,,,65536,False,0,200,1:18.96,,False,False,,40,False,,False,0.0,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.56,6,hybrid,10.81081081081081,100,4,True,6,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,0.26kHz,-i100 -p100 -t1 -d100,True,26,6,5,16,BankRange_0,1,False,db,True,,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,41,DDR4,7,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,105213,,True,,32.360058759,7,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,1,6.065967177546147,False,20,10,False,,0,7,,,True,False,MyDesign,1,False,16,True,True,,200,8,False,bfs,4.98311,False,checkerboard,False,7,False,,False,True,0,True,,,65536,False,0,200,2:03.98,,False,False,,40,False,,False,29.8987,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:34.61,6,hybrid,7.7861100814538124,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,3.04kHz,-i100 -p100 -t1 -d100,True,41,,5,32,BlackScholes_0,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,1,DDR4,,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,87,,True,,12.58724383,0,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,1,5.363984674329502,False,20,1,False,,0,,,,True,False,MyDesign,1,False,16,True,True,,200,0,False,dfs,0.0,False,checkerboard,False,,False,,False,True,0,True,,,65536,False,0,200,0:12.44,,False,False,,40,False,,False,0.0,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.62,6,hybrid,13.793103448275861,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,0.14kHz,-i100 -p100 -t1 -d100,True,1,,5,0,BreakTest,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,2,DDR4,,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,23,,True,,11.050940117,0,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,2,23.91304347826087,False,20,2,False,,0,,,,True,False,MyDesign,1,False,16,True,True,,200,0,False,dfs,0.0,False,checkerboard,False,,False,,False,True,0,True,,,65536,False,0,200,0:12.49,,False,False,,40,False,,False,0.0,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.78,6,hybrid,43.47826086956522,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,0.03kHz,-i100 -p100 -t1 -d100,True,2,,5,0,BreakTest2,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,12,DDR4,2,route_min_directed_valient,,2,False,bfs,False,False,False,True,,20,,False,False,1,,0,278,,True,,29.015350621,2,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,2,20.12753433616743,False,20,6,False,,0,2,,,True,False,MyDesign,1,False,16,True,True,,200,3,False,dfs,14.7338,False,checkerboard,False,2,False,,False,True,0,True,,,65536,False,0,200,0:39.37,,False,False,,40,False,,False,0.460432,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.58,6,hybrid,46.0431654676259,100,4,True,2,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,0.48kHz,-i100 -p100 -t1 -d100,True,12,2,5,9,BroadcastTest,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,5,DDR4,1,route_min_directed_valient,,1,False,bfs,False,False,False,True,,20,,False,False,1,,0,146,,True,,16.763817809,1,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,1,20.672478206724783,False,20,4,False,,0,1,,,True,False,MyDesign,1,False,16,True,True,,200,0,False,dfs,1.31507,False,checkerboard,False,1,False,,False,True,0,True,,,65536,False,0,200,0:24.79,,False,False,,40,False,,False,0.438356,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.66,6,hybrid,32.87671232876713,100,4,True,1,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,0.22kHz,-i100 -p100 -t1 -d100,True,5,1,5,5,CountZero_0,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,7,DDR4,2,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,930,,True,,19.248503115,2,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,7,7.096774193548387,False,20,7,False,,0,2,,,True,False,MyDesign,1,False,16,True,True,,200,0,False,dfs,1.10108,False,checkerboard,False,2,False,,False,True,0,True,,,65536,False,0,200,0:25.49,,False,False,,40,False,,False,1.10108,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.61,6,hybrid,27.526881720430108,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,1.52kHz,-i100 -p100 -t1 -d100,True,7,,5,0,DRAMDoubleBuffer2_0,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,7,DDR4,2,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,930,,True,,14.192193071,2,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,7,7.096774193548387,False,20,7,False,,0,2,,,True,False,MyDesign,1,False,16,True,True,,200,0,False,dfs,1.10108,False,checkerboard,False,2,False,,False,True,0,True,,,65536,False,0,200,0:20.18,,False,False,,40,False,,False,1.10108,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.52,6,hybrid,27.526881720430108,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,1.79kHz,-i100 -p100 -t1 -d100,True,7,,5,0,DRAMDoubleBuffer2_1,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
False,,0,4,2,,4,14,DDR4,4,route_min_directed_valient,,,False,bfs,False,False,False,True,,20,,False,False,1,,0,470,,True,,20.92880497,4,False,True,1000000000,False,False,Tst,,,1e155b96,40,16,1,1,True,True,True,False,False,True,6,14,7.898936170212766,False,20,14,False,,0,4,,,True,False,MyDesign,1,False,16,True,True,,200,0,False,dfs,2.17872,False,checkerboard,False,4,False,,False,True,0,True,,,65536,False,0,200,0:34.94,,False,False,,40,False,,False,2.17872,2020-01-20 17:56:56 -0800,pirTest,True,6,False,0:00.63,6,hybrid,27.23404255319149,100,4,True,,512,,,4,dor,H-hop,1000000000.0,4,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --save=false, --dot=false, --debug=false",0,0.75kHz,-i100 -p100 -t1 -d100,True,14,,5,0,DRAMDoubleBuffer2_2,1,False,db,True,True,6,4,True,AccelMain,0,,mesh,True,True,route_min_directed_valient,e546843f,False,,True,,,32
