codegen,PCU_Total,VBB-split,dupra,freq,pirArgs,dot,net,rtelm,debug-tst,maketst_time,runp2p_success,nn,lrange,debug,topo,runhybrid_wbw,sr,argin,spatial_sha,runp2p_complete,VAFG-split,retime-local,prtime,runhybrid_success,VDAG-alloc,dedicated-dag,runhybrid_dram_power,OPS-Other,tokenout,gentst_time,MC_Total,routing-cost,start-id,routing-algo,VDAG-split,runp2p_cycle,DAG,split,psim,maketst_err,igraph,algo,PMU,PCU,VMC-alloc,mdone,psim-q,retime-exout,pattern,reserve-pcu,save,mergeTime_ms,memelm,runp2p_pass,runhybrid_time,vcLimit,vfifo,VAFG-alloc,VMC-split,word,OPS-Prog FU,VPMU-alloc,tungsten,avgActive,VBB-alloc,runhybrid_complete,runproute_time,VPCU-split,dag-stage,VPCU,mapping,VPMU-split,MC,runhybrid_rbw,pmu-sram-size,VPMU,runhybrid_pass,VBB,split-thread,succeeded,OPS-Fix,OPS-Flt,OPS-FU,split-algo,OPS-All,DAG_Total,app,runhybrid_cycle,runhybrid_deadlock,merge-algo,notFit,runproute_err,fifo-depth,link-prop,VMC,run-proute,proute-algo,backend,argout,gentst_err,genpir,pracc,PMU_Total,merge,runp2p_wbw,merge-forward,proute-opts,time,runp2p_rbw,VDAG,vec,vc,col,verbose,run-psim,row,retime-glob,split-forward,arch,rundot,genpir_err,time-out,runhybrid_err,waveform,load,pcu-stage,runp2p_deadlock,runp2p_err,runp2p_dram_power,simfreq,runp2p_time,clock,constprop,dag,scheduled,reserve-pmu,vlink,ag-dce,fast,pmu-stage,mem-tech,vdot,simulate,slink,maxActive,VAFG,name,pir_sha,module,trace,run-tst,VPCU-alloc,proute-seed,bcread,open,proute-q,project,stat,flit-width,retime-buffer-only
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,0:28.57,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,32.886007977,40,H-hop,0,dor,0,78,3,True,False,,False,route_min_directed_valient,2,2,1,True,1,False,checkerboard,0,False,,False,True,,4,4,1,1,32,,2,True,14.003944773175544,,False,,4,6,4,True,2,1,,65536,2,,,1,True,,,,dfs,,40,BankEnable_0,,False,bfs,,,16,db,1,False,route_min_directed_valient,Tst,4,,True,True,200,False,1.64103,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.0,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,0.1kHz,0:00.80,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,41.02564102564103,1,AccelMain,98195183,False,False,False,4,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,2:00.21,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,162.228319599,40,H-hop,0,dor,0,134,10,True,False,,False,route_min_directed_valient,6,15,1,True,1,False,checkerboard,0,False,,False,,,4,4,1,1,32,,6,True,10.058403634003893,,False,,25,6,25,True,6,1,,65536,6,,,1,True,,,,dfs,,40,BankRange_0,,False,bfs,,,16,db,1,False,route_min_directed_valient,Tst,4,,True,True,200,False,0.955224,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.0,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,0.14kHz,0:00.99,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,11.940298507462687,1,AccelMain,98195183,False,False,False,13,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,3:11.94,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,100.747358351,40,H-hop,0,dor,0,105501,8,True,False,,False,route_min_directed_valient,1,32,7,True,1,False,checkerboard,0,False,,False,True,,4,4,1,7,32,,,True,6.049408106569253,,False,,41,6,41,True,,7,,65536,,,,1,True,,,,bfs,,40,BlackScholes_0,,False,bfs,,,16,db,7,False,route_min_directed_valient,Tst,4,,True,True,200,False,4.96951,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,29.817,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,1.94kHz,0:54.51,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,7.764855309428347,1,AccelMain,98195183,False,False,False,10,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,0:09.33,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,9.592185394,40,H-hop,0,dor,0,87,0,True,False,,False,route_min_directed_valient,1,0,,True,1,False,checkerboard,0,False,,False,True,,4,4,1,,32,,,True,5.363984674329502,,False,,1,6,1,True,,0,,65536,,,,1,True,,,,dfs,,40,BreakTest,,False,bfs,,,16,db,,False,route_min_directed_valient,Tst,4,,True,True,200,False,0.0,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.0,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,0.22kHz,0:00.39,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,13.793103448275861,1,AccelMain,98195183,False,False,False,1,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,0:33.74,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,42.821343331,40,H-hop,0,dor,0,23,0,True,False,,False,route_min_directed_valient,2,0,,True,1,False,checkerboard,0,False,,False,True,,4,4,1,,32,,,True,23.91304347826087,,False,,2,6,2,True,,0,,65536,,,,1,True,,,,dfs,,40,BreakTest2,,False,bfs,,,16,db,,False,route_min_directed_valient,Tst,4,,True,True,200,False,0.0,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.0,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,0.04kHz,0:00.60,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,43.47826086956522,1,AccelMain,98195183,False,False,False,2,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,1:13.12,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,91.408685354,40,H-hop,0,dor,0,271,3,True,False,,False,route_min_directed_valient,2,9,2,True,1,False,checkerboard,0,False,,False,True,,4,4,1,2,32,,2,True,20.647433747064742,,False,,12,6,12,True,2,2,,65536,2,,,1,True,,,,dfs,,40,BroadcastTest,,False,bfs,,,16,db,2,False,route_min_directed_valient,Tst,4,,True,True,200,False,15.1144,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.472325,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,0.25kHz,0:01.07,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,47.23247232472325,1,AccelMain,98195183,False,False,False,6,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,0:40.89,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,33.47066737,40,H-hop,0,dor,0,139,0,True,False,,False,route_min_directed_valient,1,5,1,True,1,False,checkerboard,0,False,,False,True,,4,4,1,1,32,,1,True,21.71353826030085,,False,,5,6,5,True,1,1,,65536,1,,,1,True,,,,dfs,,40,CountZero_0,,False,bfs,,,16,db,1,False,route_min_directed_valient,Tst,4,,True,True,200,False,1.38129,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,0.460432,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,0.12kHz,0:01.13,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,34.53237410071942,1,AccelMain,98195183,False,False,False,4,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,0:45.59,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,46.655561425,40,H-hop,0,dor,0,930,0,True,False,,False,route_min_directed_valient,7,0,2,True,1,False,checkerboard,0,False,,False,True,,4,4,1,2,32,,,True,7.096774193548387,,False,,7,6,7,True,,2,,65536,,,,1,True,,,,dfs,,40,DRAMDoubleBuffer2_0,,False,bfs,,,16,db,2,False,route_min_directed_valient,Tst,4,,True,True,200,False,1.10108,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,1.10108,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,0.62kHz,0:01.49,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,27.526881720430108,1,AccelMain,98195183,False,False,False,7,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,0:23.59,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,38.441019133,40,H-hop,0,dor,0,930,0,True,False,,False,route_min_directed_valient,7,0,2,True,1,False,checkerboard,0,False,,False,True,,4,4,1,2,32,,,True,7.096774193548387,,False,,7,6,7,True,,2,,65536,,,,1,True,,,,dfs,,40,DRAMDoubleBuffer2_1,,False,bfs,,,16,db,2,False,route_min_directed_valient,Tst,4,,True,True,200,False,1.10108,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,1.10108,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,1.5kHz,0:00.62,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,27.526881720430108,1,AccelMain,98195183,False,False,False,7,0,True,False,4,pirTest,True,512,False
True,200,,False,1000000000.0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,hybrid,True,False,1:21.35,True,False,True,True,mesh,,True,6,f502b36e,True,1,False,,False,0,False,,,5,67.649999421,40,H-hop,0,dor,0,470,0,True,False,,False,route_min_directed_valient,14,0,4,True,1,False,checkerboard,0,False,,False,True,,4,4,1,4,32,,,True,7.898936170212766,,False,,14,6,14,True,,4,,65536,,,,1,True,,,,dfs,,40,DRAMDoubleBuffer2_2,,False,bfs,,,16,db,4,False,route_min_directed_valient,Tst,4,,True,True,200,False,2.17872,False,-i100 -p100 -t1 -d100,2020-01-28 20:48:36 -0800,2.17872,0,16,4,20,False,False,20,False,False,MyDesign,True,,100,,True,False,6,False,,,0.42kHz,0:01.13,1000000000,True,True,False,0,2,True,True,6,DDR4,True,False,4,27.23404255319149,1,AccelMain,98195183,False,False,False,14,0,True,False,4,pirTest,True,512,False
