VPCU-alloc,routing-cost,col,tungsten,runp2p_wbw,algo,OPS-All,merge-algo,VMC-split,run-tst,lrange,app,prtime,runp2p_complete,pattern,VDAG-alloc,debug-tst,OPS-Other,DAG,genpir_err,rtelm,proute-q,simulate,OPS-Prog FU,split-algo,mapping,waveform,tokenout,project,mdone,DAG_Total,simfreq,MC_Total,runp2p_time,codegen,reserve-pcu,run-psim,vec,VDAG-split,retime-buffer-only,split-forward,row,scheduled,slink,runp2p_err,argin,freq,PMU_Total,mem-tech,VBB,VMC-alloc,maketst_err,pmu-sram-size,runp2p_rbw,module,VDAG,runproute_time,MC,backend,pmu-stage,PCU,retime-local,OPS-FU,flit-width,vdot,vlink,runp2p_dram_power,open,rundot,routing-algo,runhybrid_time,trace,fast,PCU_Total,vcLimit,runhybrid_dram_power,gentst_time,runhybrid_wbw,constprop,memelm,VPMU-alloc,mergeTime_ms,link-prop,net,clock,avgActive,stat,VPCU-split,runproute_err,succeeded,runp2p_deadlock,time-out,argout,proute-seed,runhybrid_cycle,name,VMC,retime-glob,VBB-split,PMU,VPMU-split,arch,runhybrid_complete,reserve-pmu,dot,maketst_time,vc,spatial_sha,VPMU,bcread,notFit,merge,runp2p_cycle,runhybrid_success,run-proute,fifo-depth,load,runp2p_pass,dedicated-dag,proute-opts,nn,save,OPS-Flt,dag,retime-exout,proute-algo,pcu-stage,debug,pracc,VBB-alloc,split,runhybrid_rbw,runhybrid_err,gentst_err,psim-q,runhybrid_pass,genpir,start-id,dupra,psim,pir_sha,VPCU,ag-dce,OPS-Fix,time,VAFG,dag-stage,igraph,maxActive,merge-forward,runp2p_success,split-thread,word,topo,runhybrid_deadlock,VAFG-alloc,verbose,pirArgs,vfifo,sr,VAFG-split
4,H-hop,20,True,1.64103,route_min_directed_valient,,bfs,1,False,True,BankEnable_0,,True,checkerboard,0,False,,3,,True,4,False,,dfs,True,True,5,pirTest,True,40,0.11kHz,40,0:00.68,True,0,False,16,0,False,False,20,False,4,,6,1000000000.0,200,DDR4,,1,,65536,0.0,False,0,,1,Tst,6,2,False,,512,True,2,,False,True,dor,,False,True,200,4,,32.698246899,,True,False,2,,db,hybrid,1000000000,14.003944773175544,True,4,,True,False,100,4,0,,AccelMain,1,False,,2,2,MyDesign,False,0,True,0:32.19,4,9d801345,2,True,,False,78,False,False,16,False,True,False,-i100 -p100 -t1 -d100,False,False,,True,False,route_min_directed_valient,6,True,True,,True,,,,1,,True,0,False,False,53165bff,4,True,,2020-01-30 17:52:55 -0800,1,6,False,41.02564102564103,False,True,1,32,mesh,False,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,1
13,H-hop,20,True,0.955224,route_min_directed_valient,,bfs,1,False,True,BankRange_0,,True,checkerboard,0,False,,10,,True,4,False,,dfs,True,True,5,pirTest,True,40,0.21kHz,40,0:00.64,True,0,False,16,0,False,False,20,False,4,,6,1000000000.0,200,DDR4,,1,,65536,0.0,False,0,,1,Tst,6,15,False,,512,True,2,,False,True,dor,,False,True,200,4,,78.60051823,,True,False,6,,db,hybrid,1000000000,10.058403634003893,True,25,,True,False,100,4,0,,AccelMain,1,False,,6,6,MyDesign,False,0,True,1:32.72,4,9d801345,6,True,,False,134,False,False,16,False,,False,-i100 -p100 -t1 -d100,False,False,,True,False,route_min_directed_valient,6,True,True,,True,,,,1,,True,0,False,False,53165bff,25,True,,2020-01-30 17:52:55 -0800,1,6,False,11.940298507462687,False,True,1,32,mesh,False,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,1
10,H-hop,20,True,4.96955,route_min_directed_valient,,bfs,7,False,True,BlackScholes_0,,True,checkerboard,0,False,,8,,True,4,False,,bfs,True,True,5,pirTest,True,40,4.02kHz,40,0:26.27,True,0,False,16,0,False,False,20,False,4,,6,1000000000.0,200,DDR4,,7,,65536,29.8173,False,0,,7,Tst,6,33,False,,512,True,2,,False,True,dor,,False,True,200,4,,34.385203217,,True,False,,,db,hybrid,1000000000,6.08845325290823,True,42,,True,False,100,4,0,,AccelMain,7,False,,1,,MyDesign,False,0,True,2:05.14,4,9d801345,,True,,False,105500,False,False,16,False,True,False,-i100 -p100 -t1 -d100,False,False,,True,False,route_min_directed_valient,6,True,True,,True,,,,1,,True,0,False,False,53165bff,42,True,,2020-01-30 17:52:55 -0800,1,6,False,7.764928909952607,False,True,1,32,mesh,False,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,1
1,H-hop,20,True,0.0,route_min_directed_valient,,bfs,,False,True,BreakTest,,True,checkerboard,0,False,,0,,True,4,False,,dfs,True,True,5,pirTest,True,40,0.12kHz,40,0:00.71,True,0,False,16,0,False,False,20,False,4,,6,1000000000.0,200,DDR4,,,,65536,0.0,False,0,,0,Tst,6,0,False,,512,True,2,,False,True,dor,,False,True,200,4,,18.898018906,,True,False,,,db,hybrid,1000000000,5.363984674329502,True,1,,True,False,100,4,0,,AccelMain,,False,,1,,MyDesign,False,0,True,0:15.36,4,9d801345,,True,,False,87,False,False,16,False,True,False,-i100 -p100 -t1 -d100,False,False,,True,False,route_min_directed_valient,6,True,True,,True,,,,1,,True,0,False,False,53165bff,1,True,,2020-01-30 17:52:55 -0800,1,6,False,13.793103448275861,False,True,1,32,mesh,False,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,1
2,H-hop,20,True,0.0,route_min_directed_valient,,bfs,,False,True,BreakTest2,,True,checkerboard,0,False,,0,,True,4,False,,dfs,True,True,5,pirTest,True,40,0.03kHz,40,0:00.83,True,0,False,16,0,False,False,20,False,4,,6,1000000000.0,200,DDR4,,,,65536,0.0,False,0,,0,Tst,6,0,False,,512,True,2,,False,True,dor,,False,True,200,4,,20.554267572,,True,False,,,db,hybrid,1000000000,23.91304347826087,True,2,,True,False,100,4,0,,AccelMain,,False,,2,,MyDesign,False,0,True,0:17.66,4,9d801345,,True,,False,23,False,False,16,False,True,False,-i100 -p100 -t1 -d100,False,False,,True,False,route_min_directed_valient,6,True,True,,True,,,,1,,True,0,False,False,53165bff,2,True,,2020-01-30 17:52:55 -0800,1,6,False,43.47826086956522,False,True,1,32,mesh,False,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,1
6,H-hop,20,True,15.1144,route_min_directed_valient,,bfs,2,False,True,BroadcastTest,,True,checkerboard,0,False,,3,,True,4,False,,dfs,True,True,5,pirTest,True,40,0.44kHz,40,0:00.61,True,0,False,16,0,False,False,20,False,4,,6,1000000000.0,200,DDR4,,2,,65536,0.472325,False,0,,2,Tst,6,9,False,,512,True,2,,False,True,dor,,False,True,200,4,,29.827361938,,True,False,2,,db,hybrid,1000000000,20.647433747064742,True,12,,True,False,100,4,0,,AccelMain,2,False,,2,2,MyDesign,False,0,True,0:44.80,4,9d801345,2,True,,False,271,False,False,16,False,True,False,-i100 -p100 -t1 -d100,False,False,,True,False,route_min_directed_valient,6,True,True,,True,,,,1,,True,0,False,False,53165bff,12,True,,2020-01-30 17:52:55 -0800,1,6,False,47.23247232472325,False,True,1,32,mesh,False,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,1
4,H-hop,20,True,1.38129,route_min_directed_valient,,bfs,1,False,True,CountZero_0,,True,checkerboard,0,False,,0,,True,4,False,,dfs,True,True,5,pirTest,True,40,0.36kHz,40,0:00.39,True,0,False,16,0,False,False,20,False,4,,6,1000000000.0,200,DDR4,,1,,65536,0.460432,False,0,,1,Tst,6,5,False,,512,True,2,,False,True,dor,,False,True,200,4,,26.677337676,,True,False,1,,db,hybrid,1000000000,21.71353826030085,True,5,,True,False,100,4,0,,AccelMain,1,False,,1,1,MyDesign,False,0,True,0:20.88,4,9d801345,1,True,,False,139,False,False,16,False,True,False,-i100 -p100 -t1 -d100,False,False,,True,False,route_min_directed_valient,6,True,True,,True,,,,1,,True,0,False,False,53165bff,5,True,,2020-01-30 17:52:55 -0800,1,6,False,34.53237410071942,False,True,1,32,mesh,False,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,1
7,H-hop,20,True,1.10108,route_min_directed_valient,,bfs,2,False,True,DRAMDoubleBuffer2_0,,True,checkerboard,0,False,,0,,True,4,False,,dfs,True,True,5,pirTest,True,40,1.27kHz,40,0:00.73,True,0,False,16,0,False,False,20,False,4,,6,1000000000.0,200,DDR4,,2,,65536,1.10108,False,0,,2,Tst,6,0,False,,512,True,2,,False,True,dor,,False,True,200,4,,16.315391937,,True,False,,,db,hybrid,1000000000,7.096774193548387,True,7,,True,False,100,4,0,,AccelMain,2,False,,7,,MyDesign,False,0,True,0:17.73,4,9d801345,,True,,False,930,False,False,16,False,True,False,-i100 -p100 -t1 -d100,False,False,,True,False,route_min_directed_valient,6,True,True,,True,,,,1,,True,0,False,False,53165bff,7,True,,2020-01-30 17:52:55 -0800,1,6,False,27.526881720430108,False,True,1,32,mesh,False,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,1
7,H-hop,20,True,1.10108,route_min_directed_valient,,bfs,2,False,True,DRAMDoubleBuffer2_1,,True,checkerboard,0,False,,0,,True,4,False,,dfs,True,True,5,pirTest,True,40,1.94kHz,40,0:00.48,True,0,False,16,0,False,False,20,False,4,,6,1000000000.0,200,DDR4,,2,,65536,1.10108,False,0,,2,Tst,6,0,False,,512,True,2,,False,True,dor,,False,True,200,4,,27.876221456,,True,False,,,db,hybrid,1000000000,7.096774193548387,True,7,,True,False,100,4,0,,AccelMain,2,False,,7,,MyDesign,False,0,True,0:22.32,4,9d801345,,True,,False,930,False,False,16,False,True,False,-i100 -p100 -t1 -d100,False,False,,True,False,route_min_directed_valient,6,True,True,,True,,,,1,,True,0,False,False,53165bff,7,True,,2020-01-30 17:52:55 -0800,1,6,False,27.526881720430108,False,True,1,32,mesh,False,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,1
14,H-hop,20,True,2.17872,route_min_directed_valient,,bfs,4,False,True,DRAMDoubleBuffer2_2,,True,checkerboard,0,False,,0,,True,4,False,,dfs,True,True,5,pirTest,True,40,0.94kHz,40,0:00.50,True,0,False,16,0,False,False,20,False,4,,6,1000000000.0,200,DDR4,,4,,65536,2.17872,False,0,,4,Tst,6,0,False,,512,True,2,,False,True,dor,,False,True,200,4,,35.655049116,,True,False,,,db,hybrid,1000000000,7.898936170212766,True,14,,True,False,100,4,0,,AccelMain,4,False,,14,,MyDesign,False,0,True,0:44.05,4,9d801345,,True,,False,470,False,False,16,False,True,False,-i100 -p100 -t1 -d100,False,False,,True,False,route_min_directed_valient,6,True,True,,True,,,,1,,True,0,False,False,53165bff,14,True,,2020-01-30 17:52:55 -0800,1,6,False,27.23404255319149,False,True,1,32,mesh,False,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,1
23,H-hop,20,True,2.0898,route_min_directed_valient,,bfs,6,False,True,DRAMDoubleBuffer2_3,,True,checkerboard,0,False,,20,,True,4,False,,dfs,True,True,5,pirTest,True,40,0.55kHz,40,0:00.89,True,0,False,16,0,False,False,20,False,4,,6,1000000000.0,200,DDR4,,6,,65536,2.0898,False,0,,6,Tst,6,0,False,,512,True,2,,False,True,dor,,False,True,200,4,,41.154906508,,True,False,,,db,hybrid,1000000000,9.355102040816327,True,23,,True,False,100,4,0,,AccelMain,6,False,,3,,MyDesign,False,0,True,0:45.15,4,9d801345,,True,,False,490,False,False,16,False,True,False,-i100 -p100 -t1 -d100,False,False,,True,False,route_min_directed_valient,6,True,True,,True,,,,1,,True,0,False,False,53165bff,23,True,,2020-01-30 17:52:55 -0800,1,6,False,26.122448979591837,False,True,1,32,mesh,False,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,1
