stat,notFit,mergeTime_ms,debug,OPS-Fix,dot,bcread,lrange,pcu-stage,pir_sha,split-thread,runp2p_dram_power,merge,runp2p_deadlock,split,vec,vcLimit,merge-algo,split-forward,VMC,VMC-alloc,runp2p_pass,scheduled,VPMU,waveform,VAFG-alloc,vlink,flit-width,merge-forward,rtelm,retime-exout,proute-algo,runp2p_success,mdone,slink,constprop,proute-opts,time-out,succeeded,VPCU-split,start-id,runhybrid_dram_power,memelm,retime-glob,proute-seed,arch,MC,vc,prtime,clock,spatial_sha,runhybrid_cycle,argout,VBB,simfreq,runp2p_complete,PMU,algo,row,DAG,runhybrid_success,runp2p_cycle,split-algo,runp2p_wbw,VBB-split,fast,mapping,open,VAFG,genpir_err,app,simulate,dag-stage,VPCU,PCU_Total,runhybrid_pass,argin,ag-dce,runp2p_time,freq,OPS-Prog FU,routing-cost,backend,net,load,MC_Total,runhybrid_wbw,VMC-split,avgActive,dedicated-dag,name,link-prop,runp2p_rbw,PMU_Total,VDAG-split,verbose,pracc,gentst_err,VAFG-split,retime-local,maxActive,VPCU-alloc,maketst_err,DAG_Total,dag,VDAG-alloc,VPMU-split,OPS-FU,sr,VBB-alloc,runhybrid_time,proute-q,runhybrid_rbw,maketst_time,OPS-Other,fifo-depth,run-tst,word,rundot,igraph,VDAG,runhybrid_deadlock,psim,gentst_time,vdot,genpir,OPS-All,pirArgs,nn,pattern,run-proute,debug-print,col,pmu-sram-size,reserve-pmu,runp2p_err,psim-q,reserve-pcu,tokenout,topo,runhybrid_complete,vfifo,codegen,project,runproute_err,pmu-stage,mem-tech,module,runhybrid_err,retime-buffer-only,OPS-Flt,VPMU-alloc,dupra,trace,runproute_time,run-psim,PCU,routing-algo,save,time,tungsten
True,,,True,,True,True,True,6,5930a3c5,1,,False,False,True,16,4,bfs,False,1,1,True,False,2,True,1,2,512,False,True,False,route_min_directed_valient,True,True,4,True,-i100 -p100 -t1 -d100,100,True,4,0,,False,False,0,MyDesign,1,4,,1000000000,b896c3c9,,4,,0.23kHz,True,2,route_min_directed_valient,20,3,False,78,dfs,1.64103,,True,True,False,1,,BankEnable_0,False,6,4,200,,6,True,0:00.34,1000000000.0,,H-hop,Tst,hybrid,False,40,,1,14.003944773175544,False,AccelMain,db,0.0,200,0,False,True,,1,False,41.02564102564103,4,,40,True,0,2,,True,,,4,,0:21.52,,16,False,32,True,False,0,False,False,12.321174134,True,True,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,checkerboard,False,True,20,65536,0,,1,0,5,mesh,False,4,True,pirTest,,6,DDR4,False,,False,,2,False,False,,False,2,dor,True,2020-02-11 22:05:20 -0800,True
True,,,True,,True,True,True,6,5930a3c5,1,,False,False,True,16,4,bfs,False,1,1,,False,6,True,1,2,512,False,True,False,route_min_directed_valient,True,True,4,True,-i100 -p100 -t1 -d100,100,True,25,0,,False,False,0,MyDesign,1,4,,1000000000,b896c3c9,,4,,0.13kHz,True,6,route_min_directed_valient,20,10,False,134,dfs,0.955224,,True,True,False,1,,BankRange_0,False,6,25,200,,6,True,0:01.03,1000000000.0,,H-hop,Tst,hybrid,False,40,,1,10.058403634003893,False,AccelMain,db,0.0,200,0,False,True,,1,False,11.940298507462687,13,,40,True,0,6,,True,,,4,,1:59.05,,16,False,32,True,False,0,False,False,78.341963048,True,True,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,checkerboard,False,True,20,65536,0,,1,0,5,mesh,False,4,True,pirTest,,6,DDR4,False,,False,,6,False,False,,False,15,dor,True,2020-02-11 22:05:20 -0800,True
True,,,True,,True,True,True,6,5930a3c5,1,,False,False,True,16,4,bfs,False,7,7,True,False,,True,1,2,512,False,True,False,route_min_directed_valient,True,True,4,True,-i100 -p100 -t1 -d100,100,True,41,0,,False,False,0,MyDesign,7,4,,1000000000,b896c3c9,,4,,2.33kHz,True,1,route_min_directed_valient,20,8,False,105234,bfs,4.98212,,True,True,False,1,,BlackScholes_0,False,6,41,200,,6,True,0:45.18,1000000000.0,,H-hop,Tst,hybrid,False,40,,7,6.064756681786901,False,AccelMain,db,29.8927,200,0,False,True,,1,False,7.784556322101222,10,,40,True,0,,,True,,,4,,1:34.90,,16,False,32,True,False,0,False,False,29.008586397,True,True,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,checkerboard,False,True,20,65536,0,,1,0,5,mesh,False,4,True,pirTest,,6,DDR4,False,,False,,,False,False,,False,32,dor,True,2020-02-11 22:05:20 -0800,True
True,,,True,,True,True,True,6,5930a3c5,1,,False,False,True,16,4,bfs,False,,,True,False,,True,1,2,512,False,True,False,route_min_directed_valient,True,True,4,True,-i100 -p100 -t1 -d100,100,True,1,0,,False,False,0,MyDesign,0,4,,1000000000,b896c3c9,,4,,0.11kHz,True,1,route_min_directed_valient,20,0,False,87,dfs,0.0,,True,True,False,1,,BreakTest,False,6,1,200,,6,True,0:00.80,1000000000.0,,H-hop,Tst,hybrid,False,40,,,5.363984674329502,False,AccelMain,db,0.0,200,0,False,True,,1,False,13.793103448275861,1,,40,True,0,,,True,,,4,,0:15.64,,16,False,32,True,False,0,False,False,12.287714407,True,True,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,checkerboard,False,True,20,65536,0,,1,0,5,mesh,False,4,True,pirTest,,6,DDR4,False,,False,,,False,False,,False,0,dor,True,2020-02-11 22:05:20 -0800,True
True,,,True,,True,True,True,6,5930a3c5,1,,False,False,True,16,4,bfs,False,,,True,False,,True,1,2,512,False,True,False,route_min_directed_valient,True,True,4,True,-i100 -p100 -t1 -d100,100,True,2,0,,False,False,0,MyDesign,0,4,,1000000000,b896c3c9,,4,,0.07kHz,True,2,route_min_directed_valient,20,0,False,23,dfs,0.0,,True,True,False,1,,BreakTest2,False,6,2,200,,6,True,0:00.33,1000000000.0,,H-hop,Tst,hybrid,False,40,,,23.91304347826087,False,AccelMain,db,0.0,200,0,False,True,,1,False,43.47826086956522,2,,40,True,0,,,True,,,4,,0:07.97,,16,False,32,True,False,0,False,False,12.892293024,True,True,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,checkerboard,False,True,20,65536,0,,1,0,5,mesh,False,4,True,pirTest,,6,DDR4,False,,False,,,False,False,,False,0,dor,True,2020-02-11 22:05:20 -0800,True
True,,,True,,True,True,True,6,5930a3c5,1,,False,False,True,16,4,bfs,False,2,2,True,False,2,True,1,2,512,False,True,False,route_min_directed_valient,True,True,4,True,-i100 -p100 -t1 -d100,100,True,12,0,,False,False,0,MyDesign,2,4,,1000000000,b896c3c9,,4,,0.85kHz,True,2,route_min_directed_valient,20,3,False,271,dfs,15.1144,,True,True,False,1,,BroadcastTest,False,6,12,200,,6,True,0:00.32,1000000000.0,,H-hop,Tst,hybrid,False,40,,2,20.647433747064742,False,AccelMain,db,0.472325,200,0,False,True,,1,False,47.23247232472325,6,,40,True,0,2,,True,,,4,,0:40.04,,16,False,32,True,False,0,False,False,35.237081832,True,True,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,checkerboard,False,True,20,65536,0,,1,0,5,mesh,False,4,True,pirTest,,6,DDR4,False,,False,,2,False,False,,False,9,dor,True,2020-02-11 22:05:20 -0800,True
True,,,True,,True,True,True,6,5930a3c5,1,,False,False,True,16,4,bfs,False,1,1,True,False,1,True,1,2,512,False,True,False,route_min_directed_valient,True,True,4,True,-i100 -p100 -t1 -d100,100,True,5,0,,False,False,0,MyDesign,1,4,,1000000000,b896c3c9,,4,,0.41kHz,True,1,route_min_directed_valient,20,0,False,139,dfs,1.38129,,True,True,False,1,,CountZero_0,False,6,5,200,,6,True,0:00.34,1000000000.0,,H-hop,Tst,hybrid,False,40,,1,21.71353826030085,False,AccelMain,db,0.460432,200,0,False,True,,1,False,34.53237410071942,4,,40,True,0,1,,True,,,4,,0:16.94,,16,False,32,True,False,0,False,False,16.057063928,True,True,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,checkerboard,False,True,20,65536,0,,1,0,5,mesh,False,4,True,pirTest,,6,DDR4,False,,False,,1,False,False,,False,5,dor,True,2020-02-11 22:05:20 -0800,True
True,,,True,,True,True,True,6,5930a3c5,1,,False,False,True,16,4,bfs,False,2,2,True,False,,True,1,2,512,False,True,False,route_min_directed_valient,True,True,4,True,-i100 -p100 -t1 -d100,100,True,7,0,,False,False,0,MyDesign,2,4,,1000000000,b896c3c9,,4,,2.45kHz,True,7,route_min_directed_valient,20,0,False,930,dfs,1.10108,,True,True,False,1,,DRAMDoubleBuffer2_0,False,6,7,200,,6,True,0:00.38,1000000000.0,,H-hop,Tst,hybrid,False,40,,2,7.096774193548387,False,AccelMain,db,1.10108,200,0,False,True,,1,False,27.526881720430108,7,,40,True,0,,,True,,,4,,0:15.23,,16,False,32,True,False,0,False,False,15.113091158,True,True,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,checkerboard,False,True,20,65536,0,,1,0,5,mesh,False,4,True,pirTest,,6,DDR4,False,,False,,,False,False,,False,0,dor,True,2020-02-11 22:05:20 -0800,True
True,,,True,,True,True,True,6,5930a3c5,1,,False,False,True,16,4,bfs,False,2,2,True,False,,True,1,2,512,False,True,False,route_min_directed_valient,True,True,4,True,-i100 -p100 -t1 -d100,100,True,7,0,,False,False,0,MyDesign,2,4,,1000000000,b896c3c9,,4,,0.8kHz,True,7,route_min_directed_valient,20,0,False,930,dfs,1.10108,,True,True,False,1,,DRAMDoubleBuffer2_1,False,6,7,200,,6,True,0:01.16,1000000000.0,,H-hop,Tst,hybrid,False,40,,2,7.096774193548387,False,AccelMain,db,1.10108,200,0,False,True,,1,False,27.526881720430108,7,,40,True,0,,,True,,,4,,0:34.01,,16,False,32,True,False,0,False,False,28.849552055,True,True,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,checkerboard,False,True,20,65536,0,,1,0,5,mesh,False,4,True,pirTest,,6,DDR4,False,,False,,,False,False,,False,0,dor,True,2020-02-11 22:05:20 -0800,True
True,,,True,,True,True,True,6,5930a3c5,1,,False,False,True,16,4,bfs,False,4,4,True,False,,True,1,2,512,False,True,False,route_min_directed_valient,True,True,4,True,-i100 -p100 -t1 -d100,100,True,14,0,,False,False,0,MyDesign,4,4,,1000000000,b896c3c9,,4,,1.47kHz,True,14,route_min_directed_valient,20,0,False,470,dfs,2.17872,,True,True,False,1,,DRAMDoubleBuffer2_2,False,6,14,200,,6,True,0:00.32,1000000000.0,,H-hop,Tst,hybrid,False,40,,4,7.898936170212766,False,AccelMain,db,2.17872,200,0,False,True,,1,False,27.23404255319149,14,,40,True,0,,,True,,,4,,0:20.69,,16,False,32,True,False,0,False,False,22.390156036,True,True,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,checkerboard,False,True,20,65536,0,,1,0,5,mesh,False,4,True,pirTest,,6,DDR4,False,,False,,,False,False,,False,0,dor,True,2020-02-11 22:05:20 -0800,True
True,,,True,,True,True,True,6,5930a3c5,1,,False,False,True,16,4,bfs,False,6,6,True,False,,True,1,2,512,False,True,False,route_min_directed_valient,True,True,4,True,-i100 -p100 -t1 -d100,100,True,23,0,,False,False,0,MyDesign,6,4,,1000000000,b896c3c9,,4,,1.48kHz,True,3,route_min_directed_valient,20,20,False,490,dfs,2.0898,,True,True,False,1,,DRAMDoubleBuffer2_3,False,6,23,200,,6,True,0:00.33,1000000000.0,,H-hop,Tst,hybrid,False,40,,6,9.355102040816327,False,AccelMain,db,2.0898,200,0,False,True,,1,False,26.122448979591837,23,,40,True,0,,,True,,,4,,0:38.30,,16,False,32,True,False,0,False,False,22.766549946,True,True,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,checkerboard,False,True,20,65536,0,,1,0,5,mesh,False,4,True,pirTest,,6,DDR4,False,,False,,,False,False,,False,0,dor,True,2020-02-11 22:05:20 -0800,True
True,,,True,,True,True,True,6,5930a3c5,1,,False,False,True,16,4,bfs,False,6,6,True,False,,True,1,2,512,False,True,False,route_min_directed_valient,True,True,4,True,-i100 -p100 -t1 -d100,100,True,23,0,,False,False,0,MyDesign,6,4,,1000000000,b896c3c9,,4,,0.9kHz,True,11,route_min_directed_valient,20,12,False,370,dfs,2.76757,,True,True,False,1,,DRAMDoubleBuffer2_4,False,6,23,200,,6,True,0:00.41,1000000000.0,,H-hop,Tst,hybrid,False,40,,6,2.0108108108108107,False,AccelMain,db,2.76757,200,0,False,True,,1,False,2.1621621621621623,23,,40,True,0,,,True,,,4,,1:13.04,,16,False,32,True,False,0,False,False,60.237459707,True,True,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,checkerboard,False,True,20,65536,0,,1,0,5,mesh,False,4,True,pirTest,,6,DDR4,False,,False,,,False,False,,False,0,dor,True,2020-02-11 22:05:20 -0800,True
True,,,True,,True,True,True,6,5930a3c5,1,,False,False,True,16,4,bfs,False,4,4,True,False,,True,1,2,512,False,True,False,route_min_directed_valient,True,True,4,True,-i100 -p100 -t1 -d100,100,True,13,0,,False,False,0,MyDesign,4,4,,1000000000,b896c3c9,,4,,1.17kHz,True,13,route_min_directed_valient,20,0,False,456,dfs,2.24561,,True,True,False,1,,DRAMDoubleBuffer_0,False,6,13,200,,6,True,0:00.39,1000000000.0,,H-hop,Tst,hybrid,False,40,,4,15.935672514619883,False,AccelMain,db,2.24561,200,0,False,True,,1,False,56.14035087719298,13,,40,True,0,,,True,,,4,,0:48.53,,16,False,32,True,False,0,False,False,42.794888094,True,True,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,checkerboard,False,True,20,65536,0,,1,0,5,mesh,False,4,True,pirTest,,6,DDR4,False,,False,,,False,False,,False,0,dor,True,2020-02-11 22:05:20 -0800,True
