pcu-stage,VAFG-alloc,sr,clock,lrange,debug,OPS-All,runp2p_rbw,spatial_sha,mdone,dag,runhybrid_cycle,prtime,proute-algo,rtelm,link-prop,scheduled,runhybrid_deadlock,OPS-FU,net,dupra,split-algo,constprop,backend,runhybrid_pass,reserve-pmu,reserve-pcu,proute-q,waveform,row,gentst_err,simulate,succeeded,flit-width,dot,retime-exout,bcread,PMU,word,igraph,run-proute,runp2p_deadlock,pirArgs,dedicated-dag,vfifo,project,VDAG-split,psim-q,nn,VMC,maketst_time,tungsten,maketst_err,notFit,VPCU-alloc,run-psim,pracc,OPS-Other,pmu-stage,argin,maxActive,merge-forward,split-thread,time-out,DAG,stat,simfreq,run-tst,codegen,runp2p_time,rundot,pmu-sram-size,runp2p_wbw,argout,routing-algo,runhybrid_rbw,app,VPMU,algo,genpir_err,start-id,arch,merge-algo,routing-cost,dag-stage,psim,retime-local,runp2p_complete,topo,VMC-split,VAFG-split,runp2p_cycle,module,runhybrid_dram_power,PMU_Total,vec,vc,MC,PCU,VPCU,genpir,mergeTime_ms,VPCU-split,tokenout,load,runhybrid_wbw,mapping,freq,gentst_time,VDAG-alloc,OPS-Prog FU,fast,verbose,avgActive,runp2p_dram_power,name,memelm,retime-buffer-only,VMC-alloc,runhybrid_time,open,save,debug-print,runhybrid_err,vlink,runproute_err,runproute_time,col,VPMU-alloc,DAG_Total,mem-tech,fifo-depth,split,trace,OPS-Fix,vdot,VPMU-split,PCU_Total,time,slink,runp2p_pass,vcLimit,runp2p_err,pattern,ag-dce,split-forward,OPS-Flt,runhybrid_complete,runhybrid_success,proute-opts,VDAG,merge,retime-glob,pir_sha,MC_Total,VAFG,proute-seed,runp2p_success
6,1,True,1000000000,True,True,,0.0,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,2,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,1,0:31.65,True,,,4,False,True,,6,6,41.02564102564103,False,1,100,3,True,0.06kHz,False,True,0:01.35,True,65536,1.64103,4,dor,,BankEnable_0,2,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,1,1,78,False,,200,16,4,1,2,4,True,,4,5,False,,True,1000000000.0,29.354485883,0,,True,False,14.003944773175544,,AccelMain,False,False,1,,False,True,True,,2,,,20,2,40,DDR4,16,True,False,,True,2,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,0.0,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,6,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,1,1:58.09,True,,,13,False,True,,6,6,11.940298507462687,False,1,100,10,True,0.13kHz,False,True,0:01.02,True,65536,0.955224,4,dor,,BankRange_0,6,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,1,1,134,False,,200,16,4,1,15,25,True,,25,5,False,,True,1000000000.0,84.39178973,0,,True,False,10.058403634003893,,AccelMain,False,False,1,,False,True,True,,2,,,20,6,40,DDR4,16,True,False,,True,6,200,2020-02-12 23:25:22 -0800,4,,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,28.7502,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,bfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,1,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,7,3:50.85,True,,,10,False,True,,6,6,7.487022007750237,False,1,100,8,True,1.12kHz,False,True,1:37.51,True,65536,4.79169,4,dor,,BlackScholes_0,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,7,1,109416,False,,200,16,4,7,33,42,True,,42,5,False,,True,1000000000.0,58.147486904,0,,True,False,5.870547435309445,,AccelMain,False,False,7,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,0.0,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,1,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,,0:17.63,True,,,1,False,True,,6,6,13.793103448275861,False,1,100,0,True,0.08kHz,False,True,0:01.13,True,65536,0.0,4,dor,,BreakTest,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,,1,87,False,,200,16,4,0,0,1,True,,1,5,False,,True,1000000000.0,17.1809105,0,,True,False,5.363984674329502,,AccelMain,False,False,,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,0.0,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,2,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,,0:19.95,True,,,2,False,True,,6,6,43.47826086956522,False,1,100,0,True,0.02kHz,False,True,0:01.20,True,65536,0.0,4,dor,,BreakTest2,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,,1,23,False,,200,16,4,0,0,2,True,,2,5,False,,True,1000000000.0,24.366472632,0,,True,False,23.91304347826087,,AccelMain,False,False,,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,0.472325,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,2,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,2,0:43.57,True,,,6,False,True,,6,6,47.23247232472325,False,1,100,3,True,0.35kHz,False,True,0:00.77,True,65536,15.1144,4,dor,,BroadcastTest,2,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,2,1,271,False,,200,16,4,2,9,12,True,,12,5,False,,True,1000000000.0,32.129311187,0,,True,False,20.647433747064742,,AccelMain,False,False,2,,False,True,True,,2,,,20,2,40,DDR4,16,True,False,,True,2,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,0.460432,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,1,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,1,0:38.38,True,,,4,False,True,,6,6,34.53237410071942,False,1,100,0,True,0.22kHz,False,True,0:00.63,True,65536,1.38129,4,dor,,CountZero_0,1,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,1,1,139,False,,200,16,4,1,5,5,True,,5,5,False,,True,1000000000.0,25.738911841,0,,True,False,21.71353826030085,,AccelMain,False,False,1,,False,True,True,,2,,,20,1,40,DDR4,16,True,False,,True,1,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,1.10108,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,7,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,2,0:18.49,True,,,7,False,True,,6,6,27.526881720430108,False,1,100,0,True,1.5kHz,False,True,0:00.62,True,65536,1.10108,4,dor,,DRAMDoubleBuffer2_0,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,2,1,930,False,,200,16,4,2,0,7,True,,7,5,False,,True,1000000000.0,19.874890428,0,,True,False,7.096774193548387,,AccelMain,False,False,2,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,1.10108,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,7,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,2,0:34.30,True,,,7,False,True,,6,6,27.526881720430108,False,1,100,0,True,0.74kHz,False,True,0:01.26,True,65536,1.10108,4,dor,,DRAMDoubleBuffer2_1,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,2,1,930,False,,200,16,4,2,0,7,True,,7,5,False,,True,1000000000.0,27.788784048,0,,True,False,7.096774193548387,,AccelMain,False,False,2,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,2.17872,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,14,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,4,0:56.86,True,,,14,False,True,,6,6,27.23404255319149,False,1,100,0,True,0.38kHz,False,True,0:01.23,True,65536,2.17872,4,dor,,DRAMDoubleBuffer2_2,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,4,1,470,False,,200,16,4,4,0,14,True,,14,5,False,,True,1000000000.0,35.225183275,0,,True,False,7.898936170212766,,AccelMain,False,False,4,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,2.0898,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,3,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,6,0:55.81,True,,,23,False,True,,6,6,26.122448979591837,False,1,100,20,True,0.7kHz,False,True,0:00.70,True,65536,2.0898,4,dor,,DRAMDoubleBuffer2_3,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,6,1,490,False,,200,16,4,6,0,23,True,,23,5,False,,True,1000000000.0,49.872220335,0,,True,False,9.355102040816327,,AccelMain,False,False,6,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,2.76757,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,11,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,6,0:53.47,True,,,23,False,True,,6,6,2.1621621621621623,False,1,100,12,True,0.27kHz,False,True,0:01.36,True,65536,2.76757,4,dor,,DRAMDoubleBuffer2_4,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,6,1,370,False,,200,16,4,6,0,23,True,,23,5,False,,True,1000000000.0,29.557021585,0,,True,False,2.0108108108108107,,AccelMain,False,False,6,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,2.24561,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,13,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,4,0:42.62,True,,,13,False,True,,6,6,56.14035087719298,False,1,100,0,True,0.52kHz,False,True,0:00.87,True,65536,2.24561,4,dor,,DRAMDoubleBuffer_0,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,4,1,456,False,,200,16,4,4,0,13,True,,13,5,False,,True,1000000000.0,33.71461954,0,,True,False,15.935672514619883,,AccelMain,False,False,4,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,3.92337,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,4,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,4,0:28.31,True,,,11,False,True,,6,6,6.130268199233717,False,1,100,7,True,0.35kHz,False,True,0:00.75,True,65536,3.92337,4,dor,,DRAMDoubleBuffer_1,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,4,1,261,False,,200,16,4,4,0,11,True,,11,5,False,,True,1000000000.0,33.581785657,0,,True,False,3.359858532272326,,AccelMain,False,False,4,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,4.33898,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,8,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,8,1:26.06,True,,,22,False,True,,6,6,3.389830508474576,False,1,100,14,True,0.21kHz,False,True,0:01.11,True,65536,4.33898,4,dor,,DRAMDoubleBuffer_2,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,8,1,236,False,,200,16,4,8,0,22,True,,22,5,False,,True,1000000000.0,68.313585489,0,,True,False,2.01271186440678,,AccelMain,False,False,8,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,4.33898,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,28,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,12,1:31.03,True,,,37,False,True,,6,6,3.389830508474576,False,1,100,9,True,0.15kHz,False,True,0:01.53,True,65536,4.33898,4,dor,,DRAMDoubleBuffer_3,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,12,1,236,False,,200,16,4,12,0,37,True,,37,5,False,,True,1000000000.0,63.886767481,0,,True,False,2.0208604954367666,,AccelMain,False,False,12,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,True,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,43.8887,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,2,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,3,1:16.30,True,,,19,False,True,,6,6,68.57613847104884,False,1,100,6,True,2.98kHz,False,True,0:26.07,True,65536,43.8887,4,dor,,DRAMMergeSort_0,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,3,1,77648,False,,200,16,4,3,11,19,True,,19,5,False,,True,1000000000.0,39.135800465,0,,True,False,20.70510508963528,,AccelMain,False,False,3,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,43.5188,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,2,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,3,1:25.88,True,,,19,False,True,,6,6,67.99816110742198,False,1,100,6,True,3.15kHz,False,True,0:24.88,True,65536,43.5188,4,dor,,DRAMMergeSort_1,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,3,1,78308,False,,200,16,4,3,11,19,True,,19,5,False,,True,1000000000.0,39.521996077,0,,True,False,20.530597129284363,,AccelMain,False,False,3,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,50.8069,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,4,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,6,1:41.07,True,,,37,False,True,,6,6,42.74617964964592,False,1,100,11,True,1.72kHz,False,True,0:39.11,True,65536,50.8069,4,dor,,DRAMMergeSort_2,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,6,1,67075,False,,200,16,4,6,22,37,True,,37,5,False,,True,1000000000.0,40.750434245,0,,True,False,13.781708656102992,,AccelMain,False,False,6,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
6,1,True,1000000000,True,True,,55.9989,b896c3c9,True,True,,,route_min_directed_valient,True,db,False,False,,hybrid,False,dfs,True,Tst,,0,0,4,True,20,,False,True,512,True,False,True,6,32,False,False,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,4,pirTest,0,1,False,9,2:25.06,True,,,55,False,True,,6,6,36.64388063625608,False,1,100,16,True,1.43kHz,False,True,0:42.66,True,65536,55.9989,4,dor,,DRAMMergeSort_3,,route_min_directed_valient,,0,MyDesign,bfs,H-hop,6,False,False,True,mesh,9,1,60856,False,,200,16,4,9,33,55,True,,55,5,False,,True,1000000000.0,99.446299618,0,,True,False,11.866902560507135,,AccelMain,False,False,9,,False,True,True,,2,,,20,,40,DDR4,16,True,False,,True,,200,2020-02-12 23:25:22 -0800,4,,4,,checkerboard,True,False,,False,False,-i100 -p100 -t1 -d100,0,False,False,70a4c50c,40,1,0,True
