runhybrid_complete,runp2p_wbw,gentst_err,col,bcread,VMC,reserve-pmu,OPS-FU,row,slink,start-id,fifo-depth,run-psim,open,load,VAFG-alloc,reserve-pcu,fast,flit-width,vec,save,maketst_time,MC_Total,runhybrid_deadlock,VPMU-alloc,trace,igraph,dag,runhybrid_wbw,VAFG,mem-tech,runp2p_complete,runhybrid_cycle,spatial_sha,runp2p_err,DAG_Total,VMC-alloc,net,retime-buffer-only,tungsten,VPMU-split,clock,nn,pracc,verbose,psim,VDAG-alloc,argout,runhybrid_time,VAFG-split,runp2p_cycle,OPS-Flt,simulate,scheduled,lrange,run-tst,gentst_time,routing-cost,VPMU,dedicated-dag,succeeded,pattern,prtime,simfreq,memelm,argin,topo,runp2p_pass,pmu-stage,MC,ag-dce,merge-algo,dag-stage,module,runproute_time,VPCU-split,OPS-All,genpir_err,runhybrid_success,genpir,runp2p_rbw,PCU,sr,split-forward,runhybrid_dram_power,constprop,runp2p_dram_power,VPCU,psim-q,app,name,vcLimit,runhybrid_pass,OPS-Prog FU,rtelm,VDAG-split,mapping,retime-exout,vlink,notFit,mdone,tokenout,runp2p_success,DAG,word,PMU_Total,split,dupra,VPCU-alloc,split-algo,codegen,retime-local,runp2p_deadlock,retime-glob,pmu-sram-size,time-out,run-proute,project,backend,proute-q,OPS-Other,pcu-stage,rundot,link-prop,debug-print,proute-seed,waveform,avgActive,vdot,PMU,VDAG,maketst_err,time,runproute_err,dot,proute-algo,arch,vc,runhybrid_err,merge-forward,pir_sha,runp2p_time,pirArgs,proute-opts,routing-algo,mergeTime_ms,VMC-split,OPS-Fix,PCU_Total,split-thread,debug,vfifo,stat,merge,runhybrid_rbw,maxActive,algo,freq
False,1.64103,,20,True,1,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,0:17.82,40,False,2,False,False,True,,1,DDR4,True,,b896c3c9,,40,1,hybrid,False,True,2,1000000000,False,True,False,False,0,4,,1,78,,False,False,True,False,19.130657996,H-hop,2,False,True,checkerboard,,0.15kHz,False,6,mesh,True,6,1,True,bfs,6,False,,4,,,False,True,0.0,2,True,False,,True,,4,1,BankEnable_0,AccelMain,4,,,True,0,True,False,2,,True,5,True,3,32,200,True,False,4,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,14.003944773175544,True,2,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:00.53,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,1,,200,1,True,4,True,False,,41.02564102564103,route_min_directed_valient,1000000000.0
False,0.955224,,20,True,1,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,1:02.10,40,False,6,False,False,True,,1,DDR4,True,,b896c3c9,,40,1,hybrid,False,True,6,1000000000,False,True,False,False,0,4,,1,134,,False,False,True,False,55.516822484,H-hop,6,False,True,checkerboard,,0.16kHz,False,6,mesh,,6,1,True,bfs,6,False,,25,,,False,True,0.0,15,True,False,,True,,25,1,BankRange_0,AccelMain,4,,,True,0,True,False,2,,True,5,True,10,32,200,True,False,13,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,10.058403634003893,True,6,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:00.83,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,1,,200,1,True,4,True,False,,11.940298507462687,route_min_directed_valient,1000000000.0
False,4.79209,,20,True,7,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,2:21.92,40,False,,False,False,True,,1,DDR4,True,,b896c3c9,,40,7,hybrid,False,True,,1000000000,False,True,False,False,0,4,,1,109407,,False,False,True,False,47.94775456,H-hop,,False,True,checkerboard,,1.7kHz,False,6,mesh,True,6,7,True,bfs,6,False,,41,,,False,True,28.7525,32,True,False,,True,,41,1,BlackScholes_0,AccelMain,4,,,True,0,True,False,2,,True,5,True,8,32,200,True,False,10,bfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,5.8334348318769615,True,1,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,1:04.21,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,7,,200,1,True,4,True,False,,7.487637902510809,route_min_directed_valient,1000000000.0
False,0.0,,20,True,,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,0:18.96,40,False,,False,False,True,,1,DDR4,True,,b896c3c9,,40,,hybrid,False,True,,1000000000,False,True,False,False,0,4,,1,87,,False,False,True,False,23.14562928,H-hop,,False,True,checkerboard,,0.1kHz,False,6,mesh,True,6,0,True,bfs,6,False,,1,,,False,True,0.0,0,True,False,,True,,1,1,BreakTest,AccelMain,4,,,True,0,True,False,2,,True,5,True,0,32,200,True,False,1,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,5.363984674329502,True,1,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:00.90,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,,,200,1,True,4,True,False,,13.793103448275861,route_min_directed_valient,1000000000.0
False,0.0,,20,True,,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,0:20.47,40,False,,False,False,True,,1,DDR4,True,,b896c3c9,,40,,hybrid,False,True,,1000000000,False,True,False,False,0,4,,1,23,,False,False,True,False,23.752271437,H-hop,,False,True,checkerboard,,0.03kHz,False,6,mesh,True,6,0,True,bfs,6,False,,2,,,False,True,0.0,0,True,False,,True,,2,1,BreakTest2,AccelMain,4,,,True,0,True,False,2,,True,5,True,0,32,200,True,False,2,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,23.91304347826087,True,2,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:00.77,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,,,200,1,True,4,True,False,,43.47826086956522,route_min_directed_valient,1000000000.0
False,15.1144,,20,True,2,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,0:55.42,40,False,2,False,False,True,,1,DDR4,True,,b896c3c9,,40,2,hybrid,False,True,2,1000000000,False,True,False,False,0,4,,1,271,,False,False,True,False,60.899324261,H-hop,2,False,True,checkerboard,,0.17kHz,False,6,mesh,True,6,2,True,bfs,6,False,,12,,,False,True,0.472325,9,True,False,,True,,12,1,BroadcastTest,AccelMain,4,,,True,0,True,False,2,,True,5,True,3,32,200,True,False,6,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,20.647433747064742,True,2,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:01.55,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,2,,200,1,True,4,True,False,,47.23247232472325,route_min_directed_valient,1000000000.0
False,1.38129,,20,True,1,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,0:37.59,40,False,1,False,False,True,,1,DDR4,True,,b896c3c9,,40,1,hybrid,False,True,1,1000000000,False,True,False,False,0,4,,1,139,,False,False,True,False,24.814964433,H-hop,1,False,True,checkerboard,,0.12kHz,False,6,mesh,True,6,1,True,bfs,6,False,,5,,,False,True,0.460432,5,True,False,,True,,5,1,CountZero_0,AccelMain,4,,,True,0,True,False,2,,True,5,True,0,32,200,True,False,4,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,21.71353826030085,True,1,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:01.15,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,1,,200,1,True,4,True,False,,34.53237410071942,route_min_directed_valient,1000000000.0
False,1.10108,,20,True,2,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,0:28.91,40,False,,False,False,True,,1,DDR4,True,,b896c3c9,,40,2,hybrid,False,True,,1000000000,False,True,False,False,0,4,,1,930,,False,False,True,False,21.65259032,H-hop,,False,True,checkerboard,,0.82kHz,False,6,mesh,True,6,2,True,bfs,6,False,,7,,,False,True,1.10108,0,True,False,,True,,7,1,DRAMDoubleBuffer2_0,AccelMain,4,,,True,0,True,False,2,,True,5,True,0,32,200,True,False,7,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,7.096774193548387,True,7,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:01.13,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,2,,200,1,True,4,True,False,,27.526881720430108,route_min_directed_valient,1000000000.0
False,1.10108,,20,True,2,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,0:34.87,40,False,,False,False,True,,1,DDR4,True,,b896c3c9,,40,2,hybrid,False,True,,1000000000,False,True,False,False,0,4,,1,930,,False,False,True,False,26.181889271,H-hop,,False,True,checkerboard,,1.72kHz,False,6,mesh,True,6,2,True,bfs,6,False,,7,,,False,True,1.10108,0,True,False,,True,,7,1,DRAMDoubleBuffer2_1,AccelMain,4,,,True,0,True,False,2,,True,5,True,0,32,200,True,False,7,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,7.096774193548387,True,7,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:00.54,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,2,,200,1,True,4,True,False,,27.526881720430108,route_min_directed_valient,1000000000.0
False,2.17872,,20,True,4,0,,20,4,0,16,False,False,False,1,0,True,512,16,True,0:26.14,40,False,,False,False,True,,1,DDR4,True,,b896c3c9,,40,4,hybrid,False,True,,1000000000,False,True,False,False,0,4,,1,470,,False,False,True,False,22.549690205,H-hop,,False,True,checkerboard,,0.59kHz,False,6,mesh,True,6,4,True,bfs,6,False,,14,,,False,True,2.17872,0,True,False,,True,,14,1,DRAMDoubleBuffer2_2,AccelMain,4,,,True,0,True,False,2,,True,5,True,0,32,200,True,False,14,dfs,True,False,False,False,65536,100,False,pirTest,Tst,4,,6,True,db,True,0,True,7.898936170212766,True,14,0,,2020-02-12 23:25:22 -0800,,True,route_min_directed_valient,MyDesign,4,,False,70a4c50c,0:00.80,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",-i100 -p100 -t1 -d100,dor,,4,,200,1,True,4,True,False,,27.23404255319149,route_min_directed_valient,1000000000.0
