retime-local,run-proute,MC,VPCU,pir_sha,simulate,routing-algo,waveform,runp2p_success,reserve-pmu,dot,vdot,OPS-Other,runp2p_err,retime-glob,spatial_sha,run-psim,PCU,VAFG-split,runp2p_dram_power,VPMU,project,runproute_err,name,stat,VPMU-split,merge-forward,VMC-alloc,module,debug-print,tungsten,VDAG-alloc,mem-tech,proute-q,open,runp2p_cycle,ag-dce,VAFG,runhybrid_deadlock,run-tst,link-prop,DAG,OPS-FU,DAG_Total,runhybrid_complete,gentst_err,bcread,load,vec,pirArgs,vc,constprop,runhybrid_dram_power,VMC-split,vfifo,memelm,flit-width,vcLimit,retime-buffer-only,simfreq,OPS-Fix,start-id,pmu-stage,runproute_time,nn,VPCU-split,maketst_err,fast,pracc,scheduled,mergeTime_ms,VAFG-alloc,merge,runp2p_complete,OPS-Flt,VPMU-alloc,runp2p_deadlock,MC_Total,arch,rundot,maxActive,VDAG,app,dag-stage,net,maketst_time,split-thread,vlink,gentst_time,PCU_Total,runhybrid_rbw,mdone,runp2p_time,col,rtelm,runhybrid_pass,runhybrid_success,save,proute-algo,time,debug,avgActive,pcu-stage,routing-cost,runhybrid_time,proute-opts,sr,word,merge-algo,dupra,dag,row,codegen,VMC,dedicated-dag,algo,time-out,pattern,trace,notFit,backend,freq,split-forward,PMU,VDAG-split,OPS-Prog FU,psim-q,succeeded,split,fifo-depth,topo,genpir,genpir_err,OPS-All,runhybrid_cycle,runp2p_pass,runhybrid_err,runp2p_wbw,clock,lrange,argin,mapping,psim,runp2p_rbw,reserve-pcu,slink,pmu-sram-size,prtime,VPCU-alloc,retime-exout,PMU_Total,verbose,igraph,proute-seed,tokenout,runhybrid_wbw,argout,split-algo
False,False,1,4,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,2,1,,2,pirTest,,AccelMain,True,2,False,1,False,True,True,0,DDR4,4,False,78,True,1,False,False,db,3,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,1,4,False,512,4,False,0.12kHz,,0,6,,False,4,,True,True,False,,1,False,True,,2,False,40,MyDesign,True,41.02564102564103,0,BankEnable_0,6,hybrid,0:18.67,1,2,20.577780027,200,,True,0:00.66,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,14.003944773175544,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,1,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,2,0,,1,True,True,16,mesh,True,,,,True,,1.64103,1000000000,True,6,True,False,0.0,0,4,65536,,4,False,200,False,False,0,5,,4,dfs
False,False,1,25,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,15,1,,6,pirTest,,AccelMain,True,6,False,1,False,True,True,0,DDR4,4,False,134,True,1,False,False,db,10,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,1,4,False,512,4,False,0.06kHz,,0,6,,False,25,,True,True,False,,1,False,True,,6,False,40,MyDesign,True,11.940298507462687,0,BankRange_0,6,hybrid,1:11.96,1,2,45.804284723,200,,True,0:02.42,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,10.058403634003893,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,1,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,6,0,,1,True,True,16,mesh,True,,,,,,0.955224,1000000000,True,6,True,False,0.0,0,4,65536,,13,False,200,False,False,0,5,,4,dfs
False,False,7,41,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,32,1,,,pirTest,,AccelMain,True,,False,7,False,True,True,0,DDR4,4,False,113663,True,1,False,False,db,8,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,7,4,False,512,4,False,1.64kHz,,0,6,,False,41,,True,True,False,,1,False,True,,,False,40,MyDesign,True,7.207270615767664,0,BlackScholes_0,6,hybrid,2:09.63,1,2,68.881040649,200,,True,1:09.44,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,5.615007563157428,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,7,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,1,0,,1,True,True,16,mesh,True,,,,True,,4.61265,1000000000,True,6,True,False,27.6759,0,4,65536,,10,False,200,False,False,0,5,,4,bfs
False,False,0,1,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,0,1,,,pirTest,,AccelMain,True,,False,,False,True,True,0,DDR4,4,False,87,True,1,False,False,db,0,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,,4,False,512,4,False,0.08kHz,,0,6,,False,1,,True,True,False,,1,False,True,,,False,40,MyDesign,True,13.793103448275861,0,BreakTest,6,hybrid,0:19.03,1,2,15.881466349,200,,True,0:01.14,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,5.363984674329502,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,1,0,,1,True,True,16,mesh,True,,,,True,,0.0,1000000000,True,6,True,False,0.0,0,4,65536,,1,False,200,False,False,0,5,,4,dfs
False,False,0,2,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,0,1,,,pirTest,,AccelMain,True,,False,,False,True,True,0,DDR4,4,False,23,True,1,False,False,db,0,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,,4,False,512,4,False,0.04kHz,,0,6,,False,2,,True,True,False,,1,False,True,,,False,40,MyDesign,True,43.47826086956522,0,BreakTest2,6,hybrid,0:06.96,1,2,6.238864448,200,,True,0:00.54,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,23.91304347826087,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,2,0,,1,True,True,16,mesh,True,,,,True,,0.0,1000000000,True,6,True,False,0.0,0,4,65536,,2,False,200,False,False,0,5,,4,dfs
False,False,2,12,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,9,1,,2,pirTest,,AccelMain,True,2,False,2,False,True,True,0,DDR4,4,False,271,True,1,False,False,db,3,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,2,4,False,512,4,False,0.24kHz,,0,6,,False,12,,True,True,False,,1,False,True,,2,False,40,MyDesign,True,47.23247232472325,0,BroadcastTest,6,hybrid,0:51.47,1,2,49.061068735,200,,True,0:01.11,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,20.647433747064742,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,2,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,2,0,,1,True,True,16,mesh,True,,,,True,,15.1144,1000000000,True,6,True,False,0.472325,0,4,65536,,6,False,200,False,False,0,5,,4,dfs
False,False,1,5,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,5,1,,1,pirTest,,AccelMain,True,1,False,1,False,True,True,0,DDR4,4,False,139,True,1,False,False,db,0,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,1,4,False,512,4,False,0.17kHz,,0,6,,False,5,,True,True,False,,1,False,True,,1,False,40,MyDesign,True,34.53237410071942,0,CountZero_0,6,hybrid,0:24.04,1,2,24.16344991,200,,True,0:00.81,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,21.71353826030085,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,1,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,1,0,,1,True,True,16,mesh,True,,,,True,,1.38129,1000000000,True,6,True,False,0.460432,0,4,65536,,4,False,200,False,False,0,5,,4,dfs
False,False,2,7,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,0,1,,,pirTest,,AccelMain,True,,False,2,False,True,True,0,DDR4,4,False,930,True,1,False,False,db,0,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,2,4,False,512,4,False,0.86kHz,,0,6,,False,7,,True,True,False,,1,False,True,,,False,40,MyDesign,True,27.526881720430108,0,DRAMDoubleBuffer2_0,6,hybrid,0:21.32,1,2,21.83108264,200,,True,0:01.08,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,7.096774193548387,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,2,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,7,0,,1,True,True,16,mesh,True,,,,True,,1.10108,1000000000,True,6,True,False,1.10108,0,4,65536,,7,False,200,False,False,0,5,,4,dfs
False,False,2,7,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,0,1,,,pirTest,,AccelMain,True,,False,2,False,True,True,0,DDR4,4,False,930,True,1,False,False,db,0,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,2,4,False,512,4,False,1.12kHz,,0,6,,False,7,,True,True,False,,1,False,True,,,False,40,MyDesign,True,27.526881720430108,0,DRAMDoubleBuffer2_1,6,hybrid,0:12.34,1,2,9.09377281,200,,True,0:00.83,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,7.096774193548387,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,2,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,7,0,,1,True,True,16,mesh,True,,,,True,,1.10108,1000000000,True,6,True,False,1.10108,0,4,65536,,7,False,200,False,False,0,5,,4,dfs
False,False,4,14,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,0,1,,,pirTest,,AccelMain,True,,False,4,False,True,True,0,DDR4,4,False,470,True,1,False,False,db,0,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,4,4,False,512,4,False,0.61kHz,,0,6,,False,14,,True,True,False,,1,False,True,,,False,40,MyDesign,True,27.23404255319149,0,DRAMDoubleBuffer2_2,6,hybrid,0:24.40,1,2,29.947637995,200,,True,0:00.77,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,7.898936170212766,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,4,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,14,0,,1,True,True,16,mesh,True,,,,True,,2.17872,1000000000,True,6,True,False,2.17872,0,4,65536,,14,False,200,False,False,0,5,,4,dfs
False,False,6,23,c3832f82,False,dor,True,True,0,True,True,,,False,28cdff47,False,0,1,,,pirTest,,AccelMain,True,,False,6,False,True,True,0,DDR4,4,False,490,True,1,False,False,db,20,,40,False,,True,False,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",4,True,,6,4,False,512,4,False,0.35kHz,,0,6,,False,23,,True,True,False,,1,False,True,,,False,40,MyDesign,True,26.122448979591837,0,DRAMDoubleBuffer2_3,6,hybrid,1:33.26,1,2,39.227401605,200,,True,0:01.41,20,True,,False,True,route_min_directed_valient,2020-02-19 00:19:44 -0800,True,9.355102040816327,6,H-hop,,-i100 -p100 -t1 -d100,True,32,bfs,False,True,20,True,6,False,route_min_directed_valient,100,checkerboard,False,,Tst,1000000000.0,False,3,0,,1,True,True,16,mesh,True,,,,True,,2.0898,1000000000,True,6,True,False,2.0898,0,4,65536,,23,False,200,False,False,0,5,,4,dfs
