runp2p_wbw,proute-algo,save,OPS-Prog FU,pracc,runp2p_success,run-psim,module,spatial_sha,pmu-stage,runhybrid_err,psim-q,slink,VPMU,app,sr,gentst_err,MC,VBB-split,MC_Total,split,verbose,OPS-FU,flit-width,name,run-tst,dag-stage,OPS-Flt,genpir_err,split-algo,VMC,split-forward,open,debug-print,lrange,pcu-stage,time-out,VMC-split,tokenout,igraph,VMC-alloc,col,runp2p_deadlock,runhybrid_pass,VDAG-alloc,merge,pirArgs,succeeded,proute-seed,runp2p_err,simulate,freq,retime-exout,runhybrid_dram_power,time,project,argin,argout,run-proute,bcread,runp2p_dram_power,maketst_err,OPS-Fix,mergeTime_ms,VPCU,DAG_Total,stat,mapping,runhybrid_cycle,proute-opts,notFit,vfifo,mem-tech,runproute_time,VAFG,routing-algo,runhybrid_complete,VDAG-split,retime-glob,genpir,runhybrid_success,algo,retime-buffer-only,dag,runp2p_rbw,debug,mdone,prtime,simfreq,VBB,runhybrid_wbw,vlink,VAFG-alloc,VAFG-split,trace,pmu-sram-size,clock,dedicated-dag,OPS-All,PMU_Total,split-thread,topo,merge-algo,backend,PMU,PCU,vc,rundot,reserve-pcu,runhybrid_deadlock,OPS-Other,runp2p_complete,fast,retime-local,runp2p_time,runproute_err,rtelm,maxActive,codegen,runhybrid_time,link-prop,pir_sha,maketst_time,routing-cost,runhybrid_rbw,VPMU-alloc,ag-dce,merge-forward,proute-q,vcLimit,psim,dot,tungsten,scheduled,load,VPCU-split,fifo-depth,reserve-pmu,constprop,avgActive,runp2p_pass,runp2p_cycle,row,VPMU-split,DAG,pattern,word,start-id,gentst_time,dupra,vec,arch,net,VPCU-alloc,nn,VDAG,VBB-alloc,waveform,vdot,memelm,PCU_Total
1.64103,route_min_directed_valient,True,,True,True,False,False,dee8c159,6,,1,4,2,BankEnable_0,True,,1,,40,True,False,,512,AccelMain,False,6,,,dfs,1,False,False,True,True,6,100,1,5,False,1,20,False,,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,0,,False,1000000000.0,False,,2020-02-20 21:32:53 -0800,pirTest,6,4,False,True,,,,,4,40,True,True,,-i100 -p100 -t1 -d100,,4,DDR4,,1,dor,False,0,False,True,False,route_min_directed_valient,False,True,0.0,True,True,,0.12kHz,,,2,1,1,False,65536,1000000000,False,,200,1,mesh,bfs,Tst,2,2,4,True,0,False,,True,True,False,0:00.66,,True,41.02564102564103,True,,db,e7db7627,0:40.70,H-hop,,2,True,False,4,4,False,True,True,False,False,4,16,0,True,14.003944773175544,True,78,20,2,3,checkerboard,32,0,24.824472235,False,16,MyDesign,hybrid,4,False,0,,True,True,False,200
0.955224,route_min_directed_valient,True,,True,True,False,False,dee8c159,6,,1,4,6,BankRange_0,True,,1,,40,True,False,,512,AccelMain,False,6,,,dfs,1,False,False,True,True,6,100,1,5,False,1,20,False,,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,0,,False,1000000000.0,False,,2020-02-20 21:32:53 -0800,pirTest,6,4,False,True,,,,,25,40,True,True,,-i100 -p100 -t1 -d100,,4,DDR4,,1,dor,False,0,False,True,False,route_min_directed_valient,False,True,0.0,True,True,,0.11kHz,,,2,1,1,False,65536,1000000000,False,,200,1,mesh,bfs,Tst,6,15,4,True,0,False,,True,True,False,0:01.19,,True,11.940298507462687,True,,db,e7db7627,2:06.99,H-hop,,6,True,False,4,4,False,True,True,False,False,25,16,0,True,10.058403634003893,,134,20,6,10,checkerboard,32,0,89.143729313,False,16,MyDesign,hybrid,13,False,0,,True,True,False,200
4.79209,route_min_directed_valient,True,,True,True,False,False,dee8c159,6,,1,4,,BlackScholes_0,True,,7,,40,True,False,,512,AccelMain,False,6,,,bfs,7,False,False,True,True,6,100,7,5,False,7,20,False,,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,0,,False,1000000000.0,False,,2020-02-20 21:32:53 -0800,pirTest,6,4,False,True,,,,,41,40,True,True,,-i100 -p100 -t1 -d100,,4,DDR4,,1,dor,False,0,False,True,False,route_min_directed_valient,False,True,28.7525,True,True,,0.78kHz,,,2,1,1,False,65536,1000000000,False,,200,1,mesh,bfs,Tst,1,32,4,True,0,False,,True,True,False,2:20.38,,True,7.487637902510809,True,,db,e7db7627,3:40.30,H-hop,,,True,False,4,4,False,True,True,False,False,41,16,0,True,5.8334348318769615,True,109407,20,,8,checkerboard,32,0,100.702400495,False,16,MyDesign,hybrid,10,False,0,,True,True,False,200
0.0,route_min_directed_valient,True,,True,True,False,False,dee8c159,6,,1,4,,BreakTest,True,,0,,40,True,False,,512,AccelMain,False,6,,,dfs,,False,False,True,True,6,100,,5,False,,20,False,,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,0,,False,1000000000.0,False,,2020-02-20 21:32:53 -0800,pirTest,6,4,False,True,,,,,1,40,True,True,,-i100 -p100 -t1 -d100,,4,DDR4,,1,dor,False,0,False,True,False,route_min_directed_valient,False,True,0.0,True,True,,0.04kHz,,,2,1,1,False,65536,1000000000,False,,200,1,mesh,bfs,Tst,1,0,4,True,0,False,,True,True,False,0:02.31,,True,13.793103448275861,True,,db,e7db7627,0:39.55,H-hop,,,True,False,4,4,False,True,True,False,False,1,16,0,True,5.363984674329502,True,87,20,,0,checkerboard,32,0,50.332815437,False,16,MyDesign,hybrid,1,False,0,,True,True,False,200
0.0,route_min_directed_valient,True,,True,True,False,False,dee8c159,6,,1,4,,BreakTest2,True,,0,,40,True,False,,512,AccelMain,False,6,,,dfs,,False,False,True,True,6,100,,5,False,,20,False,,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,0,,False,1000000000.0,False,,2020-02-20 21:32:53 -0800,pirTest,6,4,False,True,,,,,2,40,True,True,,-i100 -p100 -t1 -d100,,4,DDR4,,1,dor,False,0,False,True,False,route_min_directed_valient,False,True,0.0,True,True,,0.02kHz,,,2,1,1,False,65536,1000000000,False,,200,1,mesh,bfs,Tst,2,0,4,True,0,False,,True,True,False,0:01.16,,True,43.47826086956522,True,,db,e7db7627,0:19.53,H-hop,,,True,False,4,4,False,True,True,False,False,2,16,0,True,23.91304347826087,True,23,20,,0,checkerboard,32,0,22.276430699,False,16,MyDesign,hybrid,2,False,0,,True,True,False,200
15.1144,route_min_directed_valient,True,,True,True,False,False,dee8c159,6,,1,4,2,BroadcastTest,True,,2,,40,True,False,,512,AccelMain,False,6,,,dfs,2,False,False,True,True,6,100,2,5,False,2,20,False,,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,0,,False,1000000000.0,False,,2020-02-20 21:32:53 -0800,pirTest,6,4,False,True,,,,,12,40,True,True,,-i100 -p100 -t1 -d100,,4,DDR4,,1,dor,False,0,False,True,False,route_min_directed_valient,False,True,0.472325,True,True,,0.12kHz,,,2,1,1,False,65536,1000000000,False,,200,1,mesh,bfs,Tst,2,9,4,True,0,False,,True,True,False,0:02.24,,True,47.23247232472325,True,,db,e7db7627,1:16.21,H-hop,,2,True,False,4,4,False,True,True,False,False,12,16,0,True,20.647433747064742,True,271,20,2,3,checkerboard,32,0,80.209990475,False,16,MyDesign,hybrid,6,False,0,,True,True,False,200
1.38129,route_min_directed_valient,True,,True,True,False,False,dee8c159,6,,1,4,1,CountZero_0,True,,1,,40,True,False,,512,AccelMain,False,6,,,dfs,1,False,False,True,True,6,100,1,5,False,1,20,False,,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,0,,False,1000000000.0,False,,2020-02-20 21:32:53 -0800,pirTest,6,4,False,True,,,,,5,40,True,True,,-i100 -p100 -t1 -d100,,4,DDR4,,1,dor,False,0,False,True,False,route_min_directed_valient,False,True,0.460432,True,True,,0.17kHz,,,2,1,1,False,65536,1000000000,False,,200,1,mesh,bfs,Tst,1,5,4,True,0,False,,True,True,False,0:00.82,,True,34.53237410071942,True,,db,e7db7627,0:35.77,H-hop,,1,True,False,4,4,False,True,True,False,False,5,16,0,True,21.71353826030085,True,139,20,1,0,checkerboard,32,0,32.994724771,False,16,MyDesign,hybrid,4,False,0,,True,True,False,200
1.10108,route_min_directed_valient,True,,True,True,False,False,dee8c159,6,,1,4,,DRAMDoubleBuffer2_0,True,,2,,40,True,False,,512,AccelMain,False,6,,,dfs,2,False,False,True,True,6,100,2,5,False,2,20,False,,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,0,,False,1000000000.0,False,,2020-02-20 21:32:53 -0800,pirTest,6,4,False,True,,,,,7,40,True,True,,-i100 -p100 -t1 -d100,,4,DDR4,,1,dor,False,0,False,True,False,route_min_directed_valient,False,True,1.10108,True,True,,1.22kHz,,,2,1,1,False,65536,1000000000,False,,200,1,mesh,bfs,Tst,7,0,4,True,0,False,,True,True,False,0:00.76,,True,27.526881720430108,True,,db,e7db7627,0:18.28,H-hop,,,True,False,4,4,False,True,True,False,False,7,16,0,True,7.096774193548387,True,930,20,,0,checkerboard,32,0,24.024813189,False,16,MyDesign,hybrid,7,False,0,,True,True,False,200
1.10108,route_min_directed_valient,True,,True,True,False,False,dee8c159,6,,1,4,,DRAMDoubleBuffer2_1,True,,2,,40,True,False,,512,AccelMain,False,6,,,dfs,2,False,False,True,True,6,100,2,5,False,2,20,False,,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,0,,False,1000000000.0,False,,2020-02-20 21:32:53 -0800,pirTest,6,4,False,True,,,,,7,40,True,True,,-i100 -p100 -t1 -d100,,4,DDR4,,1,dor,False,0,False,True,False,route_min_directed_valient,False,True,1.10108,True,True,,0.65kHz,,,2,1,1,False,65536,1000000000,False,,200,1,mesh,bfs,Tst,7,0,4,True,0,False,,True,True,False,0:01.42,,True,27.526881720430108,True,,db,e7db7627,0:42.65,H-hop,,,True,False,4,4,False,True,True,False,False,7,16,0,True,7.096774193548387,True,930,20,,0,checkerboard,32,0,49.112577471,False,16,MyDesign,hybrid,7,False,0,,True,True,False,200
2.17872,route_min_directed_valient,True,,True,True,False,False,dee8c159,6,,1,4,,DRAMDoubleBuffer2_2,True,,4,,40,True,False,,512,AccelMain,False,6,,,dfs,4,False,False,True,True,6,100,4,5,False,4,20,False,,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,0,,False,1000000000.0,False,,2020-02-20 21:32:53 -0800,pirTest,6,4,False,True,,,,,14,40,True,True,,-i100 -p100 -t1 -d100,,4,DDR4,,1,dor,False,0,False,True,False,route_min_directed_valient,False,True,2.17872,True,True,,0.69kHz,,,2,1,1,False,65536,1000000000,False,,200,1,mesh,bfs,Tst,14,0,4,True,0,False,,True,True,False,0:00.68,,True,27.23404255319149,True,,db,e7db7627,0:26.35,H-hop,,,True,False,4,4,False,True,True,False,False,14,16,0,True,7.898936170212766,True,470,20,,0,checkerboard,32,0,16.226451102,False,16,MyDesign,hybrid,14,False,0,,True,True,False,200
