maketst_err,project,VAFG-split,run-psim,OPS-Other,memelm,DAG_Total,PCU,row,load,VBB,OPS-Prog FU,OPS-FU,pcu-stage,run-proute,OPS-All,retime-glob,vfifo,runp2p_complete,vdot,topo,flit-width,succeeded,simfreq,VBB-alloc,argin,igraph,col,psim-q,mapping,VAFG,save,fast,VPMU-alloc,net,word,module,rundot,codegen,retime-buffer-only,tokenout,retime-local,dag,maketst_time,argout,runhybrid_wbw,vc,debug,debug-print,PCU_Total,runp2p_success,algo,dag-stage,VDAG-split,proute-algo,VMC-alloc,open,runhybrid_time,avgActive,time-out,trace,time,VDAG,lrange,VBB-split,runp2p_time,runhybrid_cycle,DAG,tungsten,runhybrid_deadlock,split-forward,runhybrid_pass,OPS-Flt,link-prop,runhybrid_err,runp2p_pass,VPMU,proute-opts,slink,VDAG-alloc,prtime,runp2p_wbw,backend,pmu-sram-size,pmu-stage,stat,runhybrid_dram_power,runhybrid_success,VMC-split,pattern,verbose,dupra,runproute_time,OPS-Fix,split-thread,MC,scheduled,runp2p_deadlock,MC_Total,VPMU-split,mem-tech,run-tst,waveform,routing-algo,clock,merge,merge-algo,reserve-pcu,mdone,app,VAFG-alloc,simulate,spatial_sha,pracc,reserve-pmu,vec,psim,genpir_err,dedicated-dag,arch,constprop,runp2p_err,runp2p_rbw,split-algo,split,proute-q,pirArgs,name,PMU_Total,VPCU-split,start-id,gentst_time,runproute_err,nn,maxActive,VPCU-alloc,VPCU,vlink,bcread,genpir,freq,ag-dce,fifo-depth,VMC,notFit,PMU,sr,dot,rtelm,runp2p_cycle,proute-seed,runp2p_dram_power,mergeTime_ms,runhybrid_complete,routing-cost,vcLimit,pir_sha,merge-forward,gentst_err,retime-exout,runhybrid_rbw
,pirTest,1,False,,False,40,2,20,False,,,,6,False,,False,4,True,True,mesh,512,True,0.06kHz,,6,False,20,1,True,1,True,True,2,hybrid,32,False,True,True,False,5,False,True,0:31.98,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,1,False,,14.003944773175544,100,False,2020-03-10 22:25:22 -0700,0,True,,0:01.27,,3,True,False,False,,,db,,True,2,-i100 -p100 -t1 -d100,4,0,,1.64103,Tst,65536,6,True,,False,1,checkerboard,False,False,,,1,1,False,False,40,2,DDR4,False,True,dor,1000000000,False,bfs,0,True,BankEnable_0,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,0.0,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,4,0,29.304149611,,False,41.02564102564103,4,4,2,True,True,1000000000.0,True,16,1,,2,True,True,True,78,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,,False,,False,,,20,False,,,,6,False,,False,4,False,True,mesh,512,False,,,6,False,20,1,True,,True,True,6,hybrid,32,False,True,True,False,5,False,True,,4,,4,True,True,,False,,6,,route_min_directed_valient,1,False,,,100,False,2020-03-10 22:25:22 -0700,,True,,,,,True,False,False,,,db,,,,-i100 -p100 -t1 -d100,4,0,,,Tst,65536,6,True,,False,,checkerboard,False,False,,,1,,False,False,,,DDR4,False,True,dor,1000000000,False,bfs,0,True,BankRange_0,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,,,0,6.366639422,,False,,13,,2,True,True,1000000000.0,True,16,,,,True,True,True,,0,,,False,H-hop,,d0d7caf8,False,"[[31mbug[0m] 43-ComputePruner throw scala.MatchError: StridedCounter1162 (of class pir.node.StridedCounter)
",False,
"Makefile:65: recipe for target '../plastisim/link.csv' failed
",pirTest,1,False,,False,40,32,20,False,,,,6,False,,False,4,False,True,mesh,512,False,,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,0:00.08,4,,4,True,True,200,False,route_min_directed_valient,6,0,route_min_directed_valient,7,False,,,100,False,2020-03-10 22:25:22 -0700,0,True,,,,8,True,False,False,,,db,,,,-i100 -p100 -t1 -d100,4,0,,,Tst,65536,6,True,,False,7,checkerboard,False,False,,,1,7,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,BlackScholes_0,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,,bfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,41,0,86.505826741,,False,,10,41,2,True,True,1000000000.0,True,16,7,,1,True,True,True,,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,1,False,,False,40,0,20,False,,,,6,False,,False,4,True,True,mesh,512,True,0.13kHz,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,0:10.72,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,,False,,5.363984674329502,100,False,2020-03-10 22:25:22 -0700,0,True,,0:00.67,,0,True,False,False,,,db,,True,,-i100 -p100 -t1 -d100,4,0,,0.0,Tst,65536,6,True,,False,,checkerboard,False,False,,,1,0,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,BreakTest,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,0.0,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,1,0,9.187401633,,False,13.793103448275861,1,1,2,True,True,1000000000.0,True,16,,,1,True,True,True,87,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,1,False,,False,40,0,20,False,,,,6,False,,False,4,True,True,mesh,512,True,0.02kHz,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,0:22.81,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,,False,,23.91304347826087,100,False,2020-03-10 22:25:22 -0700,0,True,,0:01.46,,0,True,False,False,,,db,,True,,-i100 -p100 -t1 -d100,4,0,,0.0,Tst,65536,6,True,,False,,checkerboard,False,False,,,1,0,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,BreakTest2,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,0.0,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,2,0,21.645680289,,False,43.47826086956522,2,2,2,True,True,1000000000.0,True,16,,,2,True,True,True,23,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,1,False,,False,40,9,20,False,,,,6,False,,False,4,True,True,mesh,512,True,0.17kHz,,6,False,20,1,True,1,True,True,2,hybrid,32,False,True,True,False,5,False,True,1:06.20,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,2,False,,20.647433747064742,100,False,2020-03-10 22:25:22 -0700,0,True,,0:01.64,,3,True,False,False,,,db,,True,2,-i100 -p100 -t1 -d100,4,0,,15.1144,Tst,65536,6,True,,False,2,checkerboard,False,False,,,1,2,False,False,40,2,DDR4,False,True,dor,1000000000,False,bfs,0,True,BroadcastTest,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,0.472325,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,12,0,54.53831318,,False,47.23247232472325,6,12,2,True,True,1000000000.0,True,16,2,,2,True,True,True,271,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,1,False,,False,40,5,20,False,,,,6,False,,False,4,True,True,mesh,512,True,0.14kHz,,6,False,20,1,True,1,True,True,1,hybrid,32,False,True,True,False,5,False,True,0:40.53,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,1,False,,21.71353826030085,100,False,2020-03-10 22:25:22 -0700,0,True,,0:00.98,,0,True,False,False,,,db,,True,1,-i100 -p100 -t1 -d100,4,0,,1.38129,Tst,65536,6,True,,False,1,checkerboard,False,False,,,1,1,False,False,40,1,DDR4,False,True,dor,1000000000,False,bfs,0,True,CountZero_0,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,0.460432,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,5,0,37.234905953,,False,34.53237410071942,4,5,2,True,True,1000000000.0,True,16,1,,1,True,True,True,139,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,1,False,,False,40,0,20,False,,,,6,False,,False,4,True,True,mesh,512,True,1.21kHz,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,0:26.38,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,2,False,,7.096774193548387,100,False,2020-03-10 22:25:22 -0700,0,True,,0:00.77,,0,True,False,False,,,db,,True,,-i100 -p100 -t1 -d100,4,0,,1.10108,Tst,65536,6,True,,False,2,checkerboard,False,False,,,1,2,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,DRAMDoubleBuffer2_0,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,1.10108,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,7,0,19.467803147,,False,27.526881720430108,7,7,2,True,True,1000000000.0,True,16,2,,7,True,True,True,930,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,1,False,,False,40,0,20,False,,,,6,False,,False,4,True,True,mesh,512,True,0.55kHz,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,0:41.21,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,2,False,,7.096774193548387,100,False,2020-03-10 22:25:22 -0700,0,True,,0:01.68,,0,True,False,False,,,db,,True,,-i100 -p100 -t1 -d100,4,0,,1.10108,Tst,65536,6,True,,False,2,checkerboard,False,False,,,1,2,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,DRAMDoubleBuffer2_1,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,1.10108,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,7,0,29.426735171,,False,27.526881720430108,7,7,2,True,True,1000000000.0,True,16,2,,7,True,True,True,930,0,,,False,H-hop,4,d0d7caf8,False,,False,
,pirTest,1,False,,False,40,0,20,False,,,,6,False,,False,4,True,True,mesh,512,True,0.63kHz,,6,False,20,1,True,1,True,True,,hybrid,32,False,True,True,False,5,False,True,0:42.08,4,,4,True,True,200,True,route_min_directed_valient,6,0,route_min_directed_valient,4,False,,7.898936170212766,100,False,2020-03-10 22:25:22 -0700,0,True,,0:00.75,,0,True,False,False,,,db,,True,,-i100 -p100 -t1 -d100,4,0,,2.17872,Tst,65536,6,True,,False,4,checkerboard,False,False,,,1,4,False,False,40,,DDR4,False,True,dor,1000000000,False,bfs,0,True,DRAMDoubleBuffer2_2,1,False,d860f9fb,True,0,16,False,,False,MyDesign,True,,2.17872,dfs,True,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",AccelMain,200,14,0,38.79968307,,False,27.23404255319149,14,14,2,True,True,1000000000.0,True,16,4,,14,True,True,True,470,0,,,False,H-hop,4,d0d7caf8,False,,False,
