proute-opts,mem-tech,argout,dupra,merge,lrange,VDAG-split,retime-local,routing-algo,retime-glob,proute-algo,col,split-thread,succeeded,PMU_Total,VPCU-split,module,row,proute-seed,fifo-depth,constprop,waveform,OPS-Prog FU,pmu-sram-size,debug-print,mergeTime_ms,time,VBB,DAG,VMC,MC,proute-q,prtime,runp2p_deadlock,VPCU,pracc,psim-q,runhybrid_err,open,maketst_time,merge-algo,topo,retime-exout,genpir,routing-cost,VBB-alloc,runhybrid_rbw,VAFG,OPS-Fix,spatial_sha,VMC-alloc,debug,notFit,runhybrid_wbw,split-forward,runp2p_time,runp2p_success,tokenout,genpir_err,load,vdot,fast,OPS-FU,VDAG,sr,vcLimit,VAFG-split,dedicated-dag,reserve-pmu,runhybrid_cycle,OPS-Flt,runproute_time,argin,word,simulate,flit-width,VPMU-split,vec,retime-buffer-only,runp2p_dram_power,runhybrid_time,OPS-Other,save,VPMU,PCU,pir_sha,VDAG-alloc,arch,psim,runhybrid_complete,mdone,nn,simfreq,dot,runp2p_complete,OPS-All,PCU_Total,reserve-pcu,igraph,avgActive,run-tst,runhybrid_success,runp2p_rbw,clock,verbose,maketst_err,runproute_err,VAFG-alloc,start-id,algo,share-adctx,VPCU-alloc,gentst_time,PMU,split,runp2p_err,runhybrid_deadlock,ag-dce,VMC-split,link-prop,backend,name,vlink,slink,app,pcu-stage,vc,merge-forward,VPMU-alloc,rtelm,runp2p_pass,dag-stage,runp2p_wbw,runhybrid_pass,memelm,split-algo,runhybrid_dram_power,maxActive,pmu-stage,trace,mapping,bcread,codegen,run-proute,freq,gentst_err,net,runp2p_cycle,VBB-split,run-psim,pattern,tungsten,DAG_Total,pirArgs,rundot,scheduled,MC_Total,vfifo,time-out,stat,dag,project
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,4,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,3,1,1,4,,False,4,True,1,,False,0:44.53,bfs,mesh,False,True,H-hop,,,1,,eb63c002,1,True,,,False,0:00.66,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,2,16,False,,,,True,2,2,7a313b79,0,MyDesign,False,False,True,False,0.12kHz,True,True,,200,0,False,14.003944773175544,False,False,0.0,1000000000,False,,,1,0,route_min_directed_valient,False,4,52.911127185,2,True,,False,True,1,db,Tst,AccelMain,2,4,BankEnable_0,6,4,False,2,True,True,6,1.64103,,False,dfs,,41.02564102564103,6,False,True,True,True,False,1000000000.0,,hybrid,78,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,25,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,10,1,1,4,,False,25,True,1,,False,2:49.08,bfs,mesh,False,True,H-hop,,,1,,eb63c002,1,True,,,False,0:01.88,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,6,16,False,,,,True,6,15,7a313b79,0,MyDesign,False,False,True,False,0.07kHz,True,True,,200,0,False,10.058403634003893,False,False,0.0,1000000000,False,,,1,0,route_min_directed_valient,False,13,184.047222509,6,True,,False,True,1,db,Tst,AccelMain,2,4,BankRange_0,6,4,False,6,True,,6,0.955224,,False,dfs,,11.940298507462687,6,False,True,True,True,False,1000000000.0,,hybrid,134,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,41,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,8,7,7,4,,False,41,True,1,,False,4:54.29,bfs,mesh,False,True,H-hop,,,1,,eb63c002,7,True,,,False,4:22.89,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,,16,False,,,,True,,32,7a313b79,0,MyDesign,False,False,True,False,0.4kHz,True,True,,200,0,False,6.049408106569253,False,False,29.817,1000000000,False,,,1,0,route_min_directed_valient,False,10,76.563532441,1,True,,False,True,7,db,Tst,AccelMain,2,4,BlackScholes_0,6,4,False,,True,True,6,4.96951,,False,bfs,,7.764855309428347,6,False,True,True,True,False,1000000000.0,,hybrid,105501,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,1,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,0,,0,4,,False,1,True,1,,False,0:17.68,bfs,mesh,False,True,H-hop,,,1,,eb63c002,,True,,,False,0:00.99,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,,16,False,,,,True,,0,7a313b79,0,MyDesign,False,False,True,False,0.09kHz,True,True,,200,0,False,5.363984674329502,False,False,0.0,1000000000,False,,,1,0,route_min_directed_valient,False,1,13.82462003,1,True,,False,True,,db,Tst,AccelMain,2,4,BreakTest,6,4,False,,True,True,6,0.0,,False,dfs,,13.793103448275861,6,False,True,True,True,False,1000000000.0,,hybrid,87,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,2,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,0,,0,4,,False,2,True,1,,False,0:26.39,bfs,mesh,False,True,H-hop,,,1,,eb63c002,,True,,,False,0:02.00,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,,16,False,,,,True,,0,7a313b79,0,MyDesign,False,False,True,False,0.01kHz,True,True,,200,0,False,23.91304347826087,False,False,0.0,1000000000,False,,,1,0,route_min_directed_valient,False,2,27.507152564,2,True,,False,True,,db,Tst,AccelMain,2,4,BreakTest2,6,4,False,,True,True,6,0.0,,False,dfs,,43.47826086956522,6,False,True,True,True,False,1000000000.0,,hybrid,23,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,12,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,3,2,2,4,,False,12,True,1,,False,1:31.81,bfs,mesh,False,True,H-hop,,,1,,eb63c002,2,True,,,False,0:01.62,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,2,16,False,,,,True,2,9,7a313b79,0,MyDesign,False,False,True,False,0.17kHz,True,True,,200,0,False,20.647433747064742,False,False,0.472325,1000000000,False,,,1,0,route_min_directed_valient,False,6,68.653292354,2,True,,False,True,2,db,Tst,AccelMain,2,4,BroadcastTest,6,4,False,2,True,True,6,15.1144,,False,dfs,,47.23247232472325,6,False,True,True,True,False,1000000000.0,,hybrid,271,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,5,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,0,1,1,4,,False,5,True,1,,False,0:19.86,bfs,mesh,False,True,H-hop,,,1,,eb63c002,1,True,,,False,0:00.64,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,1,16,False,,,,True,1,5,7a313b79,0,MyDesign,False,False,True,False,0.22kHz,True,True,,200,0,False,21.71353826030085,False,False,0.460432,1000000000,False,,,1,0,route_min_directed_valient,False,4,15.345847782,1,True,,False,True,1,db,Tst,AccelMain,2,4,CountZero_0,6,4,False,1,True,True,6,1.38129,,False,dfs,,34.53237410071942,6,False,True,True,True,False,1000000000.0,,hybrid,139,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,7,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,0,2,2,4,,False,7,True,1,,False,0:30.28,bfs,mesh,False,True,H-hop,,,1,,eb63c002,2,True,,,False,0:01.53,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,,16,False,,,,True,,0,7a313b79,0,MyDesign,False,False,True,False,0.61kHz,True,True,,200,0,False,7.096774193548387,False,False,1.10108,1000000000,False,,,1,0,route_min_directed_valient,False,7,36.865634789,7,True,,False,True,2,db,Tst,AccelMain,2,4,DRAMDoubleBuffer2_0,6,4,False,,True,True,6,1.10108,,False,dfs,,27.526881720430108,6,False,True,True,True,False,1000000000.0,,hybrid,930,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,7,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,0,2,2,4,,False,7,True,1,,False,0:46.62,bfs,mesh,False,True,H-hop,,,1,,eb63c002,2,True,,,False,0:01.43,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,,16,False,,,,True,,0,7a313b79,0,MyDesign,False,False,True,False,0.65kHz,True,True,,200,0,False,7.096774193548387,False,False,1.10108,1000000000,False,,,1,0,route_min_directed_valient,False,7,40.931566534,7,True,,False,True,2,db,Tst,AccelMain,2,4,DRAMDoubleBuffer2_1,6,4,False,,True,True,6,1.10108,,False,dfs,,27.526881720430108,6,False,True,True,True,False,1000000000.0,,hybrid,930,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,14,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,0,4,4,4,,False,14,True,1,,False,1:03.16,bfs,mesh,False,True,H-hop,,,1,,eb63c002,4,True,,,False,0:01.15,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,,16,False,,,,True,,0,7a313b79,0,MyDesign,False,False,True,False,0.41kHz,True,True,,200,0,False,7.898936170212766,False,False,2.17872,1000000000,False,,,1,0,route_min_directed_valient,False,14,66.300521946,14,True,,False,True,4,db,Tst,AccelMain,2,4,DRAMDoubleBuffer2_2,6,4,False,,True,True,6,2.17872,,False,dfs,,27.23404255319149,6,False,True,True,True,False,1000000000.0,,hybrid,470,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,23,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,20,6,6,4,,False,23,True,1,,False,1:56.48,bfs,mesh,False,True,H-hop,,,1,,eb63c002,6,True,,,False,0:02.19,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,,16,False,,,,True,,0,7a313b79,0,MyDesign,False,False,True,False,0.22kHz,True,True,,200,0,False,9.355102040816327,False,False,2.0898,1000000000,False,,,1,0,route_min_directed_valient,False,23,75.332798421,3,True,,False,True,6,db,Tst,AccelMain,2,4,DRAMDoubleBuffer2_3,6,4,False,,True,True,6,2.0898,,False,dfs,,26.122448979591837,6,False,True,True,True,False,1000000000.0,,hybrid,490,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
-i100 -p100 -t1 -d100,DDR4,4,False,False,True,0,False,dor,False,route_min_directed_valient,20,1,True,200,23,False,20,0,16,True,True,,65536,True,,2020-03-11 20:28:05 -0700,,12,6,6,4,,False,23,True,1,,False,1:49.71,bfs,mesh,False,True,H-hop,,,1,,eb63c002,6,True,,,False,0:01.21,True,5,,False,True,True,,0,True,4,1,False,0,,,,6,32,False,512,,16,False,,,,True,,0,7a313b79,0,MyDesign,False,False,True,False,0.31kHz,True,True,,200,0,False,2.0108108108108107,False,False,2.76757,1000000000,False,,,1,0,route_min_directed_valient,False,23,47.615459333,11,True,,False,True,6,db,Tst,AccelMain,2,4,DRAMDoubleBuffer2_4,6,4,False,,True,True,6,2.76757,,False,dfs,,2.1621621621621623,6,False,True,True,True,False,1000000000.0,,hybrid,370,,False,checkerboard,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",True,False,40,4,100,True,True,pirTest
