bcread,prtime,runp2p_err,MC,backend,merge-forward,dag-stage,rundot,mem-tech,runp2p_wbw,maketst_err,runp2p_dram_power,vdot,proute-algo,tungsten,start-id,proute-seed,codegen,VMC,VPMU-alloc,pirArgs,VAFG,routing-cost,retime-buffer-only,debug-print,module,avgActive,runhybrid_cycle,runp2p_complete,dedicated-dag,VBB,vec,clock,pir_sha,simfreq,VBB-split,igraph,runp2p_time,runhybrid_pass,scheduled,freq,runp2p_cycle,topo,proute-q,simulate,lrange,merge,algo,arch,stat,runproute_err,run-tst,slink,vcLimit,runp2p_deadlock,open,memelm,runp2p_success,VPCU,runp2p_rbw,OPS-Prog FU,load,vc,runhybrid_rbw,VPMU-split,OPS-Flt,psim-q,vlink,VPCU-alloc,spatial_sha,col,reserve-pmu,save,app,MC_Total,DAG_Total,genpir,vfifo,debug,PMU,psim,run-proute,VMC-split,dag,nn,argout,VAFG-alloc,OPS-Fix,notFit,VDAG-split,mapping,split-forward,verbose,gentst_time,runhybrid_time,link-prop,OPS-FU,VPMU,word,retime-local,gentst_err,genpir_err,merge-algo,VPCU-split,run-psim,maketst_time,argin,VDAG,VDAG-alloc,PCU_Total,retime-exout,time-out,pcu-stage,split-thread,tokenout,constprop,pracc,runhybrid_success,PCU,project,dot,mdone,OPS-All,runproute_time,runhybrid_err,VBB-alloc,dupra,runhybrid_deadlock,VMC-alloc,pattern,flit-width,waveform,maxActive,runhybrid_complete,split-algo,reserve-pcu,net,retime-glob,runhybrid_wbw,time,mergeTime_ms,rtelm,OPS-Other,routing-algo,split,sr,proute-opts,runp2p_pass,PMU_Total,ag-dce,pmu-sram-size,runhybrid_dram_power,fifo-depth,succeeded,row,fast,name,trace,VAFG-split,share-adctx,pmu-stage,DAG
True,,,1,Tst,False,6,True,DDR4,1.64103,,,True,route_min_directed_valient,True,0,0,True,1,2,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",1,H-hop,False,True,False,14.003944773175544,,True,False,,16,1000000000,afffacee,0.05kHz,,False,0:01.42,,False,1000000000.0,78,mesh,4,False,True,False,route_min_directed_valient,MyDesign,True,,False,4,4,False,False,False,True,4,0.0,,False,4,,2,,1,2,4,eb63c002,20,0,True,BankEnable_0,40,40,True,4,True,2,False,False,1,True,False,4,1,,,0,True,False,False,50.099481826,,db,,2,32,False,,,bfs,4,False,0:53.58,6,0,0,200,False,100,6,1,5,True,True,False,2,pirTest,True,True,,,,,False,False,1,checkerboard,512,True,41.02564102564103,False,dfs,0,hybrid,False,,2020-03-12 14:15:01 -0700,,True,,dor,True,True,-i100 -p100 -t1 -d100,True,200,True,65536,,16,True,20,True,AccelMain,False,1,False,6,3
True,,,1,Tst,False,6,True,DDR4,0.955224,,,True,route_min_directed_valient,True,0,0,True,1,6,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",1,H-hop,False,True,False,10.058403634003893,,True,False,,16,1000000000,afffacee,0.09kHz,,False,0:01.48,,False,1000000000.0,134,mesh,4,False,True,False,route_min_directed_valient,MyDesign,True,,False,4,4,False,False,False,True,25,0.0,,False,4,,6,,1,2,13,eb63c002,20,0,True,BankRange_0,40,40,True,4,True,6,False,False,1,True,False,4,1,,,0,True,False,False,106.465670335,,db,,6,32,False,,,bfs,25,False,3:18.39,6,0,0,200,False,100,6,1,5,True,True,False,15,pirTest,True,True,,,,,False,False,1,checkerboard,512,True,11.940298507462687,False,dfs,0,hybrid,False,,2020-03-12 14:15:01 -0700,,True,,dor,True,True,-i100 -p100 -t1 -d100,,200,True,65536,,16,True,20,True,AccelMain,False,1,False,6,10
True,,,7,Tst,False,6,True,DDR4,4.98098,,,True,route_min_directed_valient,True,0,0,True,7,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",1,H-hop,False,True,False,6.063373849504672,,True,False,,16,1000000000,afffacee,0.45kHz,,False,3:52.82,,False,1000000000.0,105258,mesh,4,False,True,False,route_min_directed_valient,MyDesign,True,,False,4,4,False,False,False,True,41,29.8859,,False,4,,,,1,2,10,eb63c002,20,0,True,BlackScholes_0,40,40,True,4,True,1,False,False,7,True,False,4,1,,,0,True,False,False,94.415537802,,db,,,32,False,,,bfs,41,False,4:55.89,6,0,0,200,False,100,6,1,5,True,True,False,32,pirTest,True,True,,,,,False,False,7,checkerboard,512,True,7.782781356286458,False,bfs,0,hybrid,False,,2020-03-12 14:15:01 -0700,,True,,dor,True,True,-i100 -p100 -t1 -d100,True,200,True,65536,,16,True,20,True,AccelMain,False,1,False,6,8
True,,,0,Tst,False,6,True,DDR4,0.0,,,True,route_min_directed_valient,True,0,0,True,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",1,H-hop,False,True,False,5.363984674329502,,True,False,,16,1000000000,afffacee,0.13kHz,,False,0:00.66,,False,1000000000.0,87,mesh,4,False,True,False,route_min_directed_valient,MyDesign,True,,False,4,4,False,False,False,True,1,0.0,,False,4,,,,1,2,1,eb63c002,20,0,True,BreakTest,40,40,True,4,True,1,False,False,,True,False,4,1,,,0,True,False,False,20.418298844,,db,,,32,False,,,bfs,1,False,0:20.00,6,0,0,200,False,100,6,1,5,True,True,False,0,pirTest,True,True,,,,,False,False,,checkerboard,512,True,13.793103448275861,False,dfs,0,hybrid,False,,2020-03-12 14:15:01 -0700,,True,,dor,True,True,-i100 -p100 -t1 -d100,True,200,True,65536,,16,True,20,True,AccelMain,False,1,False,6,0
True,,,0,Tst,False,6,True,DDR4,0.0,,,True,route_min_directed_valient,True,0,0,True,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",1,H-hop,False,True,False,23.91304347826087,,True,False,,16,1000000000,afffacee,0.03kHz,,False,0:00.69,,False,1000000000.0,23,mesh,4,False,True,False,route_min_directed_valient,MyDesign,True,,False,4,4,False,False,False,True,2,0.0,,False,4,,,,1,2,2,eb63c002,20,0,True,BreakTest2,40,40,True,4,True,2,False,False,,True,False,4,1,,,0,True,False,False,29.243209352,,db,,,32,False,,,bfs,2,False,0:22.25,6,0,0,200,False,100,6,1,5,True,True,False,0,pirTest,True,True,,,,,False,False,,checkerboard,512,True,43.47826086956522,False,dfs,0,hybrid,False,,2020-03-12 14:15:01 -0700,,True,,dor,True,True,-i100 -p100 -t1 -d100,True,200,True,65536,,16,True,20,True,AccelMain,False,1,False,6,0
True,,,2,Tst,False,6,True,DDR4,15.1144,,,True,route_min_directed_valient,True,0,0,True,2,2,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",1,H-hop,False,True,False,20.647433747064742,,True,False,,16,1000000000,afffacee,0.19kHz,,False,0:01.41,,False,1000000000.0,271,mesh,4,False,True,False,route_min_directed_valient,MyDesign,True,,False,4,4,False,False,False,True,12,0.472325,,False,4,,2,,1,2,6,eb63c002,20,0,True,BroadcastTest,40,40,True,4,True,2,False,False,2,True,False,4,1,,,0,True,False,False,91.152899623,,db,,2,32,False,,,bfs,12,False,1:42.49,6,0,0,200,False,100,6,1,5,True,True,False,9,pirTest,True,True,,,,,False,False,2,checkerboard,512,True,47.23247232472325,False,dfs,0,hybrid,False,,2020-03-12 14:15:01 -0700,,True,,dor,True,True,-i100 -p100 -t1 -d100,True,200,True,65536,,16,True,20,True,AccelMain,False,1,False,6,3
True,,,1,Tst,False,6,True,DDR4,1.38129,,,True,route_min_directed_valient,True,0,0,True,1,1,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",1,H-hop,False,True,False,21.71353826030085,,True,False,,16,1000000000,afffacee,0.2kHz,,False,0:00.71,,False,1000000000.0,139,mesh,4,False,True,False,route_min_directed_valient,MyDesign,True,,False,4,4,False,False,False,True,5,0.460432,,False,4,,1,,1,2,4,eb63c002,20,0,True,CountZero_0,40,40,True,4,True,1,False,False,1,True,False,4,1,,,0,True,False,False,52.731831721,,db,,1,32,False,,,bfs,5,False,0:38.62,6,0,0,200,False,100,6,1,5,True,True,False,5,pirTest,True,True,,,,,False,False,1,checkerboard,512,True,34.53237410071942,False,dfs,0,hybrid,False,,2020-03-12 14:15:01 -0700,,True,,dor,True,True,-i100 -p100 -t1 -d100,True,200,True,65536,,16,True,20,True,AccelMain,False,1,False,6,0
True,,,2,Tst,False,6,True,DDR4,1.10108,,,True,route_min_directed_valient,True,0,0,True,2,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",1,H-hop,False,True,False,7.096774193548387,,True,False,,16,1000000000,afffacee,0.92kHz,,False,0:01.01,,False,1000000000.0,930,mesh,4,False,True,False,route_min_directed_valient,MyDesign,True,,False,4,4,False,False,False,True,7,1.10108,,False,4,,,,1,2,7,eb63c002,20,0,True,DRAMDoubleBuffer2_0,40,40,True,4,True,7,False,False,2,True,False,4,1,,,0,True,False,False,29.440524145,,db,,,32,False,,,bfs,7,False,0:30.88,6,0,0,200,False,100,6,1,5,True,True,False,0,pirTest,True,True,,,,,False,False,2,checkerboard,512,True,27.526881720430108,False,dfs,0,hybrid,False,,2020-03-12 14:15:01 -0700,,True,,dor,True,True,-i100 -p100 -t1 -d100,True,200,True,65536,,16,True,20,True,AccelMain,False,1,False,6,0
True,,,2,Tst,False,6,True,DDR4,1.10108,,,True,route_min_directed_valient,True,0,0,True,2,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",1,H-hop,False,True,False,7.096774193548387,,True,False,,16,1000000000,afffacee,0.65kHz,,False,0:01.44,,False,1000000000.0,930,mesh,4,False,True,False,route_min_directed_valient,MyDesign,True,,False,4,4,False,False,False,True,7,1.10108,,False,4,,,,1,2,7,eb63c002,20,0,True,DRAMDoubleBuffer2_1,40,40,True,4,True,7,False,False,2,True,False,4,1,,,0,True,False,False,30.36426302,,db,,,32,False,,,bfs,7,False,0:41.14,6,0,0,200,False,100,6,1,5,True,True,False,0,pirTest,True,True,,,,,False,False,2,checkerboard,512,True,27.526881720430108,False,dfs,0,hybrid,False,,2020-03-12 14:15:01 -0700,,True,,dor,True,True,-i100 -p100 -t1 -d100,True,200,True,65536,,16,True,20,True,AccelMain,False,1,False,6,0
True,,,4,Tst,False,6,True,DDR4,2.17872,,,True,route_min_directed_valient,True,0,0,True,4,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",1,H-hop,False,True,False,7.898936170212766,,True,False,,16,1000000000,afffacee,0.22kHz,,False,0:02.12,,False,1000000000.0,470,mesh,4,False,True,False,route_min_directed_valient,MyDesign,True,,False,4,4,False,False,False,True,14,2.17872,,False,4,,,,1,2,14,eb63c002,20,0,True,DRAMDoubleBuffer2_2,40,40,True,4,True,14,False,False,4,True,False,4,1,,,0,True,False,False,66.86858349,,db,,,32,False,,,bfs,14,False,1:18.36,6,0,0,200,False,100,6,1,5,True,True,False,0,pirTest,True,True,,,,,False,False,4,checkerboard,512,True,27.23404255319149,False,dfs,0,hybrid,False,,2020-03-12 14:15:01 -0700,,True,,dor,True,True,-i100 -p100 -t1 -d100,True,200,True,65536,,16,True,20,True,AccelMain,False,1,False,6,0
