PCU,word,split-forward,gentst_err,app,runhybrid_complete,PCU_Total,vcLimit,sr,MC_Total,spatial_sha,runproute_err,runhybrid_wbw,name,VBB-alloc,dag,gentst_time,runhybrid_err,VAFG-alloc,dot,arch,retime-local,merge,VPMU-split,vdot,VAFG,vlink,runp2p_wbw,routing-cost,PMU_Total,split,OPS-Flt,VDAG-split,trace,slink,OPS-All,load,runhybrid_success,maketst_time,runp2p_cycle,runproute_time,VPMU,merge-forward,argin,OPS-Fix,pir_sha,lrange,dupra,VDAG,maxActive,MC,maketst_err,runhybrid_rbw,fast,retime-buffer-only,algo,ag-dce,OPS-Prog FU,proute-q,VBB-split,reserve-pmu,debug,run-psim,VPCU,net,runp2p_complete,pracc,runp2p_rbw,prtime,proute-seed,freq,scheduled,bcread,proute-algo,time-out,runhybrid_cycle,mergeTime_ms,runp2p_pass,OPS-Other,VPCU-split,runhybrid_dram_power,DAG_Total,backend,runhybrid_pass,pmu-stage,simfreq,fifo-depth,pcu-stage,retime-glob,runp2p_err,rundot,rtelm,psim,pattern,mdone,mapping,vc,VMC-split,succeeded,project,waveform,PMU,memelm,runhybrid_time,share-adctx,runp2p_time,run-tst,module,runhybrid_deadlock,merge-algo,notFit,run-proute,open,pmu-sram-size,VMC,row,vfifo,tungsten,col,pirArgs,runp2p_success,VAFG-split,time,codegen,stat,save,VPMU-alloc,VPCU-alloc,routing-algo,mem-tech,dedicated-dag,nn,avgActive,constprop,link-prop,simulate,genpir,DAG,genpir_err,clock,topo,OPS-FU,split-thread,VBB,tokenout,dag-stage,reserve-pcu,proute-opts,verbose,igraph,argout,runp2p_dram_power,flit-width,debug-print,VDAG-alloc,VMC-alloc,split-algo,vec,retime-exout,start-id,runp2p_deadlock,psim-q
2,32,False,,BankEnable_0,False,200,4,True,40,2313fa6e,,,AccelMain,,True,23.80307659,,1,True,MyDesign,False,False,2,True,1,2,1.64103,H-hop,200,True,,0,False,4,,False,False,0:37.86,78,,2,False,6,,2f6112a0,True,False,0,41.02564102564103,1,,,True,False,route_min_directed_valient,True,,4,,0,True,False,4,hybrid,True,True,0.0,,0,1000000000.0,False,True,route_min_directed_valient,100,,,True,,4,,40,Tst,,6,0.15kHz,16,6,False,,True,True,False,checkerboard,True,True,4,1,True,pirTest,True,2,False,,False,0:00.53,False,False,False,bfs,,False,False,65536,1,20,4,True,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,1,2020-03-26 18:35:55 -0700,True,True,True,2,4,dor,DDR4,False,False,14.003944773175544,True,db,False,True,3,,1000000000,mesh,,1,,5,6,0,-i100 -p100 -t1 -d100,False,False,4,,512,True,0,1,dfs,16,False,0,False,1
15,32,False,,BankRange_0,False,200,4,True,40,2313fa6e,,,AccelMain,,True,80.828886179,,1,True,MyDesign,False,False,6,True,1,2,0.955224,H-hop,200,True,,0,False,4,,False,False,1:36.41,134,,6,False,6,,2f6112a0,True,False,0,11.940298507462687,1,,,True,False,route_min_directed_valient,True,,4,,0,True,False,25,hybrid,True,True,0.0,,0,1000000000.0,False,True,route_min_directed_valient,100,,,,,25,,40,Tst,,6,0.41kHz,16,6,False,,True,True,False,checkerboard,True,True,4,1,True,pirTest,True,6,False,,False,0:00.33,False,False,False,bfs,,False,False,65536,1,20,4,True,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,1,2020-03-26 18:35:55 -0700,True,True,True,6,13,dor,DDR4,False,False,10.058403634003893,True,db,False,True,10,,1000000000,mesh,,1,,5,6,0,-i100 -p100 -t1 -d100,False,False,4,,512,True,0,1,dfs,16,False,0,False,1
33,32,False,,BlackScholes_0,False,200,4,True,40,2313fa6e,,,AccelMain,,True,42.602363684,,1,True,MyDesign,False,False,6,True,1,2,4.69086,H-hop,200,True,,0,False,4,,False,False,2:43.67,111768,,6,False,6,,2f6112a0,True,False,0,7.329468184095627,7,,,True,False,route_min_directed_valient,True,,4,,0,True,False,42,hybrid,True,True,28.1452,,0,1000000000.0,False,True,route_min_directed_valient,100,,,True,,42,,40,Tst,,6,2.47kHz,16,6,False,,True,True,False,checkerboard,True,True,4,7,True,pirTest,True,7,False,,False,0:45.16,False,False,False,bfs,,False,False,65536,7,20,4,True,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,1,2020-03-26 18:35:55 -0700,True,True,True,6,10,dor,DDR4,False,False,5.747010040278239,True,db,False,True,8,,1000000000,mesh,,1,,5,6,0,-i100 -p100 -t1 -d100,False,False,4,,512,True,0,7,bfs,16,False,0,False,1
0,32,False,,BreakTest,False,200,4,True,40,2313fa6e,,,AccelMain,,True,22.784722719,,1,True,MyDesign,False,False,,True,1,2,0.0,H-hop,200,True,,0,False,4,,False,False,0:18.44,87,,,False,6,,2f6112a0,True,False,0,13.793103448275861,0,,,True,False,route_min_directed_valient,True,,4,,0,True,False,1,hybrid,True,True,0.0,,0,1000000000.0,False,True,route_min_directed_valient,100,,,True,,1,,40,Tst,,6,0.17kHz,16,6,False,,True,True,False,checkerboard,True,True,4,,True,pirTest,True,1,False,,False,0:00.51,False,False,False,bfs,,False,False,65536,,20,4,True,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,1,2020-03-26 18:35:55 -0700,True,True,True,,1,dor,DDR4,False,False,5.363984674329502,True,db,False,True,0,,1000000000,mesh,,1,,5,6,0,-i100 -p100 -t1 -d100,False,False,4,,512,True,0,,dfs,16,False,0,False,1
0,32,False,,BreakTest2,False,200,4,True,40,2313fa6e,,,AccelMain,,True,10.751936663,,1,True,MyDesign,False,False,,True,1,2,0.0,H-hop,200,True,,0,False,4,,False,False,0:12.33,23,,,False,6,,2f6112a0,True,False,0,43.47826086956522,0,,,True,False,route_min_directed_valient,True,,4,,0,True,False,2,hybrid,True,True,0.0,,0,1000000000.0,False,True,route_min_directed_valient,100,,,True,,2,,40,Tst,,6,0.05kHz,16,6,False,,True,True,False,checkerboard,True,True,4,,True,pirTest,True,2,False,,False,0:00.47,False,False,False,bfs,,False,False,65536,,20,4,True,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,1,2020-03-26 18:35:55 -0700,True,True,True,,2,dor,DDR4,False,False,23.91304347826087,True,db,False,True,0,,1000000000,mesh,,1,,5,6,0,-i100 -p100 -t1 -d100,False,False,4,,512,True,0,,dfs,16,False,0,False,1
9,32,False,,BroadcastTest,False,200,4,True,40,2313fa6e,,,AccelMain,,True,31.474338222,,1,True,MyDesign,False,False,2,True,1,2,15.1144,H-hop,200,True,,0,False,4,,False,False,0:35.63,271,,2,False,6,,2f6112a0,True,False,0,47.23247232472325,2,,,True,False,route_min_directed_valient,True,,4,,0,True,False,12,hybrid,True,True,0.472325,,0,1000000000.0,False,True,route_min_directed_valient,100,,,True,,12,,40,Tst,,6,0.87kHz,16,6,False,,True,True,False,checkerboard,True,True,4,2,True,pirTest,True,2,False,,False,0:00.31,False,False,False,bfs,,False,False,65536,2,20,4,True,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,1,2020-03-26 18:35:55 -0700,True,True,True,2,6,dor,DDR4,False,False,20.647433747064742,True,db,False,True,3,,1000000000,mesh,,1,,5,6,0,-i100 -p100 -t1 -d100,False,False,4,,512,True,0,2,dfs,16,False,0,False,1
5,32,False,,CountZero_0,False,200,4,True,40,2313fa6e,,,AccelMain,,True,25.022871647,,1,True,MyDesign,False,False,2,True,1,2,1.34266,H-hop,200,True,,0,False,4,,False,False,0:19.82,143,,2,False,6,,2f6112a0,True,False,0,33.56643356643357,1,,,True,False,route_min_directed_valient,True,,4,,0,True,False,5,hybrid,True,True,0.447552,,0,1000000000.0,False,True,route_min_directed_valient,100,,,True,,5,,40,Tst,,6,0.45kHz,16,6,False,,True,True,False,checkerboard,True,True,4,1,True,pirTest,True,2,False,,False,0:00.32,False,False,False,bfs,,False,False,65536,1,20,4,True,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,1,2020-03-26 18:35:55 -0700,True,True,True,2,4,dor,DDR4,False,False,21.10616656071202,True,db,False,True,0,,1000000000,mesh,,1,,5,6,0,-i100 -p100 -t1 -d100,False,False,4,,512,True,0,1,dfs,16,False,0,False,1
1,32,False,,DRAMCompression,False,200,4,True,40,2313fa6e,,,AccelMain,,True,19.840721758,,1,True,MyDesign,False,False,1,True,1,2,,H-hop,200,True,,0,False,4,,False,False,0:12.81,,,1,False,6,,2f6112a0,True,False,0,,1,"src//Top.h:71:3: error: ‘DecompressAG’ does not name a type
",,True,False,route_min_directed_valient,True,,4,,0,True,False,3,hybrid,False,True,,,0,1000000000.0,False,True,route_min_directed_valient,100,,,,,3,,40,Tst,,6,,16,6,False,,True,True,False,checkerboard,True,True,4,1,False,pirTest,True,1,False,,False,,False,False,False,bfs,,False,False,65536,1,20,4,True,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,1,2020-03-26 18:35:55 -0700,True,True,True,1,3,dor,DDR4,False,False,,True,db,False,True,2,,1000000000,mesh,,1,,5,6,0,-i100 -p100 -t1 -d100,False,False,4,,512,True,0,1,dfs,16,False,0,False,1
0,32,False,,DRAMDoubleBuffer2_0,False,200,4,True,40,2313fa6e,,,AccelMain,,True,16.995037722,,1,True,MyDesign,False,False,,True,1,2,1.10108,H-hop,200,True,,0,False,4,,False,False,0:24.12,930,,,False,6,,2f6112a0,True,False,0,27.526881720430108,2,,,True,False,route_min_directed_valient,True,,4,,0,True,False,7,hybrid,True,True,1.10108,,0,1000000000.0,False,True,route_min_directed_valient,100,,,True,,7,,40,Tst,,6,3.0kHz,16,6,False,,True,True,False,checkerboard,True,True,4,2,True,pirTest,True,7,False,,False,0:00.31,False,False,False,bfs,,False,False,65536,2,20,4,True,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,1,2020-03-26 18:35:55 -0700,True,True,True,,7,dor,DDR4,False,False,7.096774193548387,True,db,False,True,0,,1000000000,mesh,,1,,5,6,0,-i100 -p100 -t1 -d100,False,False,4,,512,True,0,2,dfs,16,False,0,False,1
0,32,False,,DRAMDoubleBuffer2_1,False,200,4,True,40,2313fa6e,,,AccelMain,,True,17.428742156,,1,True,MyDesign,False,False,,True,1,2,1.10108,H-hop,200,True,,0,False,4,,False,False,0:27.10,930,,,False,6,,2f6112a0,True,False,0,27.526881720430108,2,,,True,False,route_min_directed_valient,True,,4,,0,True,False,7,hybrid,True,True,1.10108,,0,1000000000.0,False,True,route_min_directed_valient,100,,,True,,7,,40,Tst,,6,1.98kHz,16,6,False,,True,True,False,checkerboard,True,True,4,2,True,pirTest,True,7,False,,False,0:00.47,False,False,False,bfs,,False,False,65536,2,20,4,True,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,1,2020-03-26 18:35:55 -0700,True,True,True,,7,dor,DDR4,False,False,7.096774193548387,True,db,False,True,0,,1000000000,mesh,,1,,5,6,0,-i100 -p100 -t1 -d100,False,False,4,,512,True,0,2,dfs,16,False,0,False,1
