argout,vdot,verbose,gentst_err,VDAG-alloc,pmu-sram-size,project,run-tst,runhybrid_rbw,flit-width,routing-cost,succeeded,VMC-alloc,bcread,retime-exout,time,waveform,clock,psim-q,run-psim,VBB-split,PCU,retime-buffer-only,run-proute,runhybrid_dram_power,memelm,runhybrid_complete,merge,runp2p_wbw,prtime,proute-q,dot,genpir,MC_Total,row,runhybrid_wbw,slink,argin,runp2p_err,runhybrid_time,rundot,split-algo,freq,mem-tech,VBB,runp2p_complete,debug-print,OPS-All,load,VPMU-alloc,arch,vfifo,VPMU-split,dupra,stat,trace,save,word,rtelm-unsafe,VAFG-split,reserve-pcu,runp2p_time,fifo-depth,proute-seed,merge-forward,avgActive,mdone,maketst_err,module,simfreq,runhybrid_err,vec,retime-glob,pcu-stage,runhybrid_cycle,scheduled,igraph,pmu-stage,spatial_sha,time-out,VDAG-split,reserve-dag,runhybrid_success,VAFG,col,dedicated-dag,split-forward,runp2p_pass,OPS-Prog FU,ag-dce,PCU_Total,psim,VPCU-alloc,OPS-Fix,share-adctx,pracc,merge-algo,app,pattern,runp2p_dram_power,runhybrid_deadlock,dag,VDAG,fast,proute-opts,MC,pirArgs,vlink,codegen,simulate,net,retime-local,maxActive,runhybrid_pass,start-id,runp2p_rbw,DAG,nn,rtelm,tungsten,runproute_err,tokenout,vc,open,proute-algo,VBB-alloc,name,OPS-FU,link-prop,mapping,DAG_Total,OPS-Other,runp2p_cycle,gentst_time,PMU,VMC-split,notFit,debug,rtanal,topo,algo,genpir_err,sr,VAFG-alloc,VPCU-split,mergeTime_ms,split-thread,PMU_Total,maketst_time,VPCU,VPMU,reserve-pmu,runp2p_deadlock,OPS-Flt,dag-stage,constprop,split,lrange,pir_sha,vcLimit,routing-algo,runproute_time,VMC,backend,runp2p_success
4,True,False,,0,65536,pirTest,False,,512,H-hop,True,1,True,False,2020-03-30 22:05:30 -0700,True,1000000000,1,False,,2,False,False,,False,False,False,1.64103,,4,True,True,40,20,,4,6,,,True,dfs,1000000000.0,DDR4,,True,True,,False,2,MyDesign,4,2,False,True,False,True,32,False,1,0,0:04.21,16,0,False,14.003944773175544,True,,False,0.02kHz,,16,False,6,,False,False,6,c7547856,100,0,0,False,1,20,False,False,True,,True,200,False,4,,False,True,bfs,BankEnable_0,checkerboard,,False,True,0,True,-i100 -p100 -t1 -d100,1,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",2,True,False,hybrid,False,41.02564102564103,,0,0.0,3,False,True,True,,5,4,False,route_min_directed_valient,,AccelMain,,db,True,40,,78,22.197978033,2,1,,True,True,mesh,route_min_directed_valient,,True,1,4,,1,200,0:31.26,4,2,0,False,,6,True,True,True,a964d975,4,dor,,1,Tst,True
4,True,False,,0,65536,pirTest,False,,512,H-hop,True,1,True,False,2020-03-30 22:05:30 -0700,True,1000000000,1,False,,15,False,False,,False,False,False,0.955224,,4,True,True,40,20,,4,6,,,True,dfs,1000000000.0,DDR4,,True,True,,False,6,MyDesign,4,6,False,True,False,True,32,False,1,0,0:01.83,16,0,False,10.058403634003893,True,,False,0.07kHz,,16,False,6,,False,False,6,c7547856,100,0,0,False,1,20,False,False,,,True,200,False,13,,False,True,bfs,BankRange_0,checkerboard,,False,True,0,True,-i100 -p100 -t1 -d100,1,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",2,True,False,hybrid,False,11.940298507462687,,0,0.0,10,False,True,True,,5,4,False,route_min_directed_valient,,AccelMain,,db,True,40,,134,63.547082597,6,1,,True,True,mesh,route_min_directed_valient,,True,1,25,,1,200,1:38.84,25,6,0,False,,6,True,True,True,a964d975,4,dor,,1,Tst,True
4,True,False,,0,65536,pirTest,False,,512,H-hop,True,7,True,False,2020-03-30 22:05:30 -0700,True,1000000000,1,False,,33,False,False,,False,False,False,4.0827,,4,True,True,40,20,,4,6,,,True,bfs,1000000000.0,DDR4,,True,True,,False,6,MyDesign,4,6,False,True,False,True,32,False,1,0,8:08.09,16,0,False,5.001922005511873,True,,False,0.26kHz,,16,False,6,,False,False,6,c7547856,100,0,0,False,1,20,False,False,True,,True,200,False,10,,False,True,bfs,BlackScholes_0,checkerboard,,False,True,0,True,-i100 -p100 -t1 -d100,7,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",2,True,False,hybrid,False,6.379217704821013,,0,24.4962,8,False,True,True,,5,4,False,route_min_directed_valient,,AccelMain,,db,True,40,,128417,85.111281671,7,7,,True,True,mesh,route_min_directed_valient,,True,1,42,,1,200,2:08.72,42,6,0,False,,6,True,True,True,a964d975,4,dor,,7,Tst,True
4,True,False,,0,65536,pirTest,False,,512,H-hop,True,,True,False,2020-03-30 22:05:30 -0700,True,1000000000,1,False,,0,False,False,,False,False,False,0.0,,4,True,True,40,20,,4,6,,,True,dfs,1000000000.0,DDR4,,True,True,,False,,MyDesign,4,,False,True,False,True,32,False,1,0,0:02.68,16,0,False,5.363984674329502,True,,False,0.03kHz,,16,False,6,,False,False,6,c7547856,100,0,0,False,1,20,False,False,True,,True,200,False,1,,False,True,bfs,BreakTest,checkerboard,,False,True,0,True,-i100 -p100 -t1 -d100,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",2,True,False,hybrid,False,13.793103448275861,,0,0.0,0,False,True,True,,5,4,False,route_min_directed_valient,,AccelMain,,db,True,40,,87,13.866292061,1,,,True,True,mesh,route_min_directed_valient,,True,1,1,,1,200,0:12.22,1,,0,False,,6,True,True,True,a964d975,4,dor,,,Tst,True
4,True,False,,0,65536,pirTest,False,,512,H-hop,True,,True,False,2020-03-30 22:05:30 -0700,True,1000000000,1,False,,0,False,False,,False,False,False,0.0,,4,True,True,40,20,,4,6,,,True,dfs,1000000000.0,DDR4,,True,True,,False,,MyDesign,4,,False,True,False,True,32,False,1,0,0:01.37,16,0,False,23.91304347826087,True,,False,0.02kHz,,16,False,6,,False,False,6,c7547856,100,0,0,False,1,20,False,False,True,,True,200,False,2,,False,True,bfs,BreakTest2,checkerboard,,False,True,0,True,-i100 -p100 -t1 -d100,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",2,True,False,hybrid,False,43.47826086956522,,0,0.0,0,False,True,True,,5,4,False,route_min_directed_valient,,AccelMain,,db,True,40,,23,14.583071385,2,,,True,True,mesh,route_min_directed_valient,,True,1,2,,1,200,0:13.47,2,,0,False,,6,True,True,True,a964d975,4,dor,,,Tst,True
4,True,False,,0,65536,pirTest,False,,512,H-hop,True,2,True,False,2020-03-30 22:05:30 -0700,True,1000000000,1,False,,9,False,False,,False,False,False,15.1144,,4,True,True,40,20,,4,6,,,True,dfs,1000000000.0,DDR4,,True,True,,False,2,MyDesign,4,2,False,True,False,True,32,False,1,0,0:02.81,16,0,False,20.647433747064742,True,,False,0.1kHz,,16,False,6,,False,False,6,c7547856,100,0,0,False,1,20,False,False,True,,True,200,False,6,,False,True,bfs,BroadcastTest,checkerboard,,False,True,0,True,-i100 -p100 -t1 -d100,2,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",2,True,False,hybrid,False,47.23247232472325,,0,0.472325,3,False,True,True,,5,4,False,route_min_directed_valient,,AccelMain,,db,True,40,,271,29.000646831,2,2,,True,True,mesh,route_min_directed_valient,,True,1,12,,1,200,0:30.21,12,2,0,False,,6,True,True,True,a964d975,4,dor,,2,Tst,True
4,True,False,,0,65536,pirTest,False,,512,H-hop,True,1,True,False,2020-03-30 22:05:30 -0700,True,1000000000,1,False,,5,False,False,,False,False,False,1.34266,,4,True,True,40,20,,4,6,,,True,dfs,1000000000.0,DDR4,,True,True,,False,2,MyDesign,4,2,False,True,False,True,32,False,1,0,0:03.41,16,0,False,21.10616656071202,True,,False,0.04kHz,,16,False,6,,False,False,6,c7547856,100,0,0,False,1,20,False,False,True,,True,200,False,4,,False,True,bfs,CountZero_0,checkerboard,,False,True,0,True,-i100 -p100 -t1 -d100,1,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",2,True,False,hybrid,False,33.56643356643357,,0,0.447552,0,False,True,True,,5,4,False,route_min_directed_valient,,AccelMain,,db,True,40,,143,31.015576562,2,1,,True,True,mesh,route_min_directed_valient,,True,1,5,,1,200,0:38.66,5,2,0,False,,6,True,True,True,a964d975,4,dor,,1,Tst,True
4,True,False,,0,65536,pirTest,False,,512,H-hop,False,1,True,False,2020-03-30 22:05:30 -0700,True,1000000000,1,False,,1,False,False,,False,False,False,,,4,True,True,40,20,,4,6,,,True,dfs,1000000000.0,DDR4,,False,True,,False,1,MyDesign,4,1,False,True,False,True,32,False,1,0,,16,0,False,,True,"src//Top.h:71:3: error: ‘DecompressAG’ does not name a type
",False,,,16,False,6,,False,False,6,c7547856,100,0,0,False,1,20,False,False,,,True,200,False,3,,False,True,bfs,DRAMCompression,checkerboard,,False,True,0,True,-i100 -p100 -t1 -d100,1,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",2,True,False,hybrid,False,,,0,,2,False,True,True,,5,4,False,route_min_directed_valient,,AccelMain,,db,True,40,,,18.82830633,1,1,,True,True,mesh,route_min_directed_valient,,True,1,3,,1,200,0:05.76,3,1,0,False,,6,True,True,True,a964d975,4,dor,,1,Tst,False
4,True,False,,0,65536,pirTest,False,,512,H-hop,True,2,True,False,2020-03-30 22:05:30 -0700,True,1000000000,1,False,,0,False,False,,False,False,False,1.10108,,4,True,True,40,20,,4,6,,,True,dfs,1000000000.0,DDR4,,True,True,,False,,MyDesign,4,,False,True,False,True,32,False,1,0,0:02.41,16,0,False,7.096774193548387,True,,False,0.39kHz,,16,False,6,,False,False,6,c7547856,100,0,0,False,1,20,False,False,True,,True,200,False,7,,False,True,bfs,DRAMDoubleBuffer2_0,checkerboard,,False,True,0,True,-i100 -p100 -t1 -d100,2,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",2,True,False,hybrid,False,27.526881720430108,,0,1.10108,0,False,True,True,,5,4,False,route_min_directed_valient,,AccelMain,,db,True,40,,930,20.68268998,7,2,,True,True,mesh,route_min_directed_valient,,True,1,7,,1,200,0:24.90,7,,0,False,,6,True,True,True,a964d975,4,dor,,2,Tst,True
4,True,False,,0,65536,pirTest,False,,512,H-hop,True,2,True,False,2020-03-30 22:05:30 -0700,True,1000000000,1,False,,0,False,False,,False,False,False,1.10108,,4,True,True,40,20,,4,6,,,True,dfs,1000000000.0,DDR4,,True,True,,False,,MyDesign,4,,False,True,False,True,32,False,1,0,0:04.07,16,0,False,7.096774193548387,True,,False,0.23kHz,,16,False,6,,False,False,6,c7547856,100,0,0,False,1,20,False,False,True,,True,200,False,7,,False,True,bfs,DRAMDoubleBuffer2_1,checkerboard,,False,True,0,True,-i100 -p100 -t1 -d100,2,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",2,True,False,hybrid,False,27.526881720430108,,0,1.10108,0,False,True,True,,5,4,False,route_min_directed_valient,,AccelMain,,db,True,40,,930,30.37924518,7,2,,True,True,mesh,route_min_directed_valient,,True,1,7,,1,200,0:39.50,7,,0,False,,6,True,True,True,a964d975,4,dor,,2,Tst,True
