run-psim,spatial_sha,freq,VDAG-alloc,runproute_err,genpir_err,runhybrid_cycle,pmu-sram-size,VPMU-alloc,rtelm-unsafe,debug,split-algo,tungsten,notFit,retime-local,avgActive,proute-q,gentst_time,maketst_time,dag-stage,reserve-dag,MC_Total,VPCU,succeeded,row,runhybrid_complete,runp2p_pass,rundot,load,runhybrid_pass,VMC-split,reserve-pcu,split-thread,runp2p_time,vcLimit,runp2p_rbw,retime-buffer-only,slink,DAG,psim-q,VPMU-split,vdot,col,vfifo,VMC-alloc,mem-tech,dot,codegen,dag,lrange,OPS-All,argout,runhybrid_deadlock,VAFG-split,name,OPS-Fix,runhybrid_err,project,argin,algo,scheduled,proute-algo,link-prop,runp2p_success,vc,runp2p_err,runhybrid_time,split,runhybrid_dram_power,VBB,split-forward,backend,routing-algo,pracc,start-id,constprop,VDAG,dupra,app,runp2p_wbw,PMU,time,simfreq,PCU,mergeTime_ms,VDAG-split,VPCU-split,vlink,igraph,runhybrid_rbw,merge-forward,VAFG,runp2p_deadlock,tokenout,memelm,pirArgs,OPS-FU,merge-algo,VBB-split,proute-opts,save,rtelm,proute-seed,time-out,OPS-Prog FU,retime-exout,word,pattern,dedicated-dag,ag-dce,runhybrid_wbw,psim,fast,VAFG-alloc,runp2p_cycle,run-tst,trace,reserve-pmu,stat,VPCU-alloc,DAG_Total,rtanal,VPMU,share-adctx,net,bcread,runp2p_complete,open,sr,MC,pcu-stage,gentst_err,module,vec,VMC,OPS-Other,runp2p_dram_power,pmu-stage,retime-glob,OPS-Flt,arch,simulate,nn,flit-width,routing-cost,PCU_Total,mdone,merge,PMU_Total,prtime,runproute_time,waveform,mapping,runhybrid_success,run-proute,fifo-depth,verbose,pir_sha,maketst_err,VBB-alloc,debug-print,maxActive,topo,genpir,clock
False,c7547856,1000000000.0,0,,,,65536,2,False,True,dfs,True,,False,14.003944773175544,4,14.995596225,0:22.68,6,0,40,4,True,20,False,True,True,False,,1,0,1,0:03.05,4,0.0,False,4,3,1,2,True,20,4,1,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,BankEnable_0,1.64103,2,2020-03-31 01:13:55 -0700,0.03kHz,2,,0,4,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,78,False,False,0,True,4,40,True,2,False,hybrid,True,True,False,True,1,6,,False,16,1,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,41.02564102564103,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,6,False,True,dfs,True,,False,10.058403634003893,4,95.616535843,2:23.95,6,0,40,25,True,20,False,,True,False,,1,0,1,0:04.50,4,0.0,False,4,10,1,6,True,20,4,1,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,BankRange_0,0.955224,6,2020-03-31 01:13:55 -0700,0.03kHz,15,,0,25,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,134,False,False,0,True,13,40,True,6,False,hybrid,True,True,False,True,1,6,,False,16,1,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,11.940298507462687,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,6,False,True,bfs,True,,False,5.498521800236419,4,39.820066371,1:48.60,6,0,40,42,True,20,False,True,True,False,,7,0,1,11:10.77,4,26.9282,False,4,8,1,6,True,20,4,7,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,BlackScholes_0,4.48804,7,2020-03-31 01:13:55 -0700,0.17kHz,33,,0,42,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,116819,False,False,0,True,10,40,True,6,False,hybrid,True,True,False,True,7,6,,False,16,7,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,7.012557888699612,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,,False,True,dfs,True,,False,5.363984674329502,4,18.596306408,0:19.47,6,0,40,1,True,20,False,True,True,False,,,0,1,0:03.47,4,0.0,False,4,0,1,,True,20,4,,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,BreakTest,0.0,1,2020-03-31 01:13:55 -0700,0.03kHz,0,,0,1,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,87,False,False,0,True,1,40,True,,False,hybrid,True,True,False,True,0,6,,False,16,,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,13.793103448275861,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,,False,True,dfs,True,,False,23.91304347826087,4,15.606404027,0:17.26,6,0,40,2,True,20,False,True,True,False,,,0,1,0:02.79,4,0.0,False,4,0,1,,True,20,4,,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,BreakTest2,0.0,2,2020-03-31 01:13:55 -0700,0.01kHz,0,,0,2,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,23,False,False,0,True,2,40,True,,False,hybrid,True,True,False,True,0,6,,False,16,,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,43.47826086956522,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,2,False,True,dfs,True,,False,20.647433747064742,4,32.122909411,0:24.15,6,0,40,12,True,20,False,True,True,False,,2,0,1,0:02.15,4,0.472325,False,4,3,1,2,True,20,4,2,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,BroadcastTest,15.1144,2,2020-03-31 01:13:55 -0700,0.13kHz,9,,0,12,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,271,False,False,0,True,6,40,True,2,False,hybrid,True,True,False,True,2,6,,False,16,2,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,47.23247232472325,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,2,False,True,dfs,True,,False,21.10616656071202,4,34.507128453,0:28.50,6,0,40,5,True,20,False,True,True,False,,1,0,1,0:03.99,4,0.447552,False,4,0,1,2,True,20,4,1,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,CountZero_0,1.34266,2,2020-03-31 01:13:55 -0700,0.04kHz,5,,0,5,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,143,False,False,0,True,4,40,True,2,False,hybrid,True,True,False,True,1,6,,False,16,1,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,33.56643356643357,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,1,False,True,dfs,True,,False,,4,13.482813245,0:06.86,6,0,40,3,False,20,False,,True,False,,1,0,1,,4,,False,4,2,1,1,True,20,4,1,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,False,4,,,True,,,False,Tst,dor,True,0,True,0,False,DRAMCompression,,1,2020-03-31 01:13:55 -0700,,1,,0,3,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,,False,False,0,True,3,40,True,1,False,hybrid,True,False,False,True,1,6,,False,16,1,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,"src//Top.h:71:3: error: ‘DecompressAG’ does not name a type
",,True,,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,,False,True,dfs,True,,False,7.096774193548387,4,9.793071843,0:14.83,6,0,40,7,True,20,False,True,True,False,,2,0,1,0:01.63,4,1.10108,False,4,0,1,,True,20,4,2,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,DRAMDoubleBuffer2_0,1.10108,7,2020-03-31 01:13:55 -0700,0.57kHz,0,,0,7,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,930,False,False,0,True,7,40,True,,False,hybrid,True,True,False,True,2,6,,False,16,2,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,27.526881720430108,mesh,True,1000000000
False,c7547856,1000000000.0,0,,,,65536,,False,True,dfs,True,,False,7.096774193548387,4,9.061336846,0:13.56,6,0,40,7,True,20,False,True,True,False,,2,0,1,0:01.64,4,1.10108,False,4,0,1,,True,20,4,2,DDR4,True,True,True,True,,4,False,1,AccelMain,,,pirTest,6,route_min_directed_valient,False,route_min_directed_valient,db,True,4,,,True,,,False,Tst,dor,True,0,True,0,False,DRAMDoubleBuffer2_1,1.10108,7,2020-03-31 01:13:55 -0700,0.57kHz,0,,0,7,2,False,,False,1,False,5,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,bfs,,-i100 -p100 -t1 -d100,True,True,0,100,,False,32,checkerboard,False,True,,False,True,1,930,False,False,0,True,7,40,True,,False,hybrid,True,True,False,True,2,6,,False,16,2,,,6,False,,MyDesign,False,False,512,H-hop,200,True,False,200,,,True,True,False,False,16,False,22749748,,,True,27.526881720430108,mesh,True,1000000000
