memelm,VPMU,reserve-pmu,runp2p_cycle,MC_Total,time,rtelm-unsafe,runproute_err,net,VDAG,share-adctx,sr,vfifo,vc,runhybrid_rbw,arch,flit-width,mapping,merge-algo,VDAG-alloc,runp2p_wbw,split-thread,word,VBB-split,pcu-stage,dag,OPS-FU,debug,rtelm,gentst_time,link-prop,col,module,VMC,VMC-split,retime-buffer-only,reserve-pcu,VAFG-split,runp2p_err,VPMU-split,open,vdot,tokenout,routing-algo,mdone,waveform,argin,rtanal,runp2p_pass,maketst_err,constprop,fifo-depth,PCU_Total,prtime,run-tst,VPCU-alloc,vlink,lrange,bcread,runp2p_complete,topo,split,psim-q,vec,dupra,VPMU-alloc,project,simulate,VBB,verbose,row,ag-dce,notFit,genpir_err,dot,DAG_Total,runhybrid_wbw,succeeded,retime-exout,trace,merge-forward,runhybrid_deadlock,VAFG-alloc,OPS-All,codegen,run-proute,OPS-Prog FU,igraph,split-forward,save,PMU,VPCU-split,routing-cost,runhybrid_dram_power,OPS-Fix,nn,pmu-sram-size,pracc,VAFG,runp2p_time,vcLimit,DAG,retime-local,retime-glob,split-algo,pmu-stage,freq,stat,pattern,tungsten,gentst_err,PCU,proute-opts,proute-algo,time-out,debug-print,runhybrid_complete,app,avgActive,name,runproute_time,rundot,argout,runp2p_rbw,genpir,runhybrid_cycle,mem-tech,maxActive,fast,algo,backend,start-id,OPS-Other,runhybrid_pass,runp2p_success,VDAG-split,MC,reserve-dag,VMC-alloc,run-psim,runhybrid_time,slink,mergeTime_ms,spatial_sha,clock,dag-stage,VBB-alloc,VPCU,psim,simfreq,runhybrid_success,maketst_time,pir_sha,PMU_Total,merge,pirArgs,load,OPS-Flt,runp2p_dram_power,runp2p_deadlock,runhybrid_err,proute-q,proute-seed,dedicated-dag,scheduled
False,2,0,78,40,2020-03-31 14:53:51 -0700,False,,hybrid,0,False,True,4,4,,MyDesign,512,True,bfs,0,1.64103,1,32,,6,True,,True,True,31.370319007,db,20,False,1,1,False,0,1,,2,False,True,5,dor,True,True,6,True,True,,True,16,200,,False,4,2,True,True,True,mesh,True,1,16,False,2,pirTest,False,,False,20,True,,,True,40,,True,False,False,False,False,1,,True,False,,False,False,True,2,4,H-hop,,,False,65536,True,1,0:03.36,4,3,False,False,dfs,6,1000000000.0,True,checkerboard,True,,2,-i100 -p100 -t1 -d100,route_min_directed_valient,100,True,False,BankEnable_0,14.003944773175544,AccelMain,,True,4,0.0,True,,DDR4,41.02564102564103,True,route_min_directed_valient,Tst,0,,,True,0,1,0,1,False,,4,,b80fd339,1000000000,6,,4,False,0.02kHz,False,0:33.79,af7a71e5,200,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,,,False,,4,0,False,False
False,6,0,134,40,2020-03-31 14:53:51 -0700,False,,hybrid,0,False,True,4,4,,MyDesign,512,True,bfs,0,0.955224,1,32,,6,True,,True,True,56.403572598,db,20,False,1,1,False,0,1,,6,False,True,5,dor,True,True,6,True,,,True,16,200,,False,13,2,True,True,True,mesh,True,1,16,False,6,pirTest,False,,False,20,True,,,True,40,,True,False,False,False,False,1,,True,False,,False,False,True,6,25,H-hop,,,False,65536,True,1,0:03.77,4,10,False,False,dfs,6,1000000000.0,True,checkerboard,True,,15,-i100 -p100 -t1 -d100,route_min_directed_valient,100,True,False,BankRange_0,10.058403634003893,AccelMain,,True,4,0.0,True,,DDR4,11.940298507462687,True,route_min_directed_valient,Tst,0,,,True,0,1,0,1,False,,4,,b80fd339,1000000000,6,,25,False,0.04kHz,False,1:11.98,af7a71e5,200,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,,,False,,4,0,False,False
False,6,0,112594,40,2020-03-31 14:53:51 -0700,False,,hybrid,0,False,True,4,4,,MyDesign,512,True,bfs,0,4.65645,1,32,,6,True,,True,True,49.059484553,db,20,False,7,7,False,0,1,,6,False,True,5,dor,True,True,6,True,True,,True,16,200,,False,10,2,True,True,True,mesh,True,1,16,False,6,pirTest,False,,False,20,True,,,True,40,,True,False,False,False,False,1,,True,False,,False,False,True,7,42,H-hop,,,False,65536,True,1,7:45.82,4,8,False,False,bfs,6,1000000000.0,True,checkerboard,True,,33,-i100 -p100 -t1 -d100,route_min_directed_valient,100,True,False,BlackScholes_0,5.70484944297048,AccelMain,,True,4,27.9387,True,,DDR4,7.275698527452618,True,route_min_directed_valient,Tst,0,,,True,0,7,0,7,False,,4,,b80fd339,1000000000,6,,42,False,0.24kHz,False,1:32.03,af7a71e5,200,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,,,False,,4,0,False,False
False,,0,87,40,2020-03-31 14:53:51 -0700,False,,hybrid,0,False,True,4,4,,MyDesign,512,True,bfs,0,0.0,1,32,,6,True,,True,True,26.68165721,db,20,False,,,False,0,1,,,False,True,5,dor,True,True,6,True,True,,True,16,200,,False,1,2,True,True,True,mesh,True,1,16,False,,pirTest,False,,False,20,True,,,True,40,,True,False,False,False,False,1,,True,False,,False,False,True,1,1,H-hop,,,False,65536,True,1,0:04.69,4,0,False,False,dfs,6,1000000000.0,True,checkerboard,True,,0,-i100 -p100 -t1 -d100,route_min_directed_valient,100,True,False,BreakTest,5.363984674329502,AccelMain,,True,4,0.0,True,,DDR4,13.793103448275861,True,route_min_directed_valient,Tst,0,,,True,0,0,0,,False,,4,,b80fd339,1000000000,6,,1,False,0.02kHz,False,0:25.81,af7a71e5,200,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,,,False,,4,0,False,False
False,,0,23,40,2020-03-31 14:53:51 -0700,False,,hybrid,0,False,True,4,4,,MyDesign,512,True,bfs,0,0.0,1,32,,6,True,,True,True,20.7616157,db,20,False,,,False,0,1,,,False,True,5,dor,True,True,6,True,True,,True,16,200,,False,2,2,True,True,True,mesh,True,1,16,False,,pirTest,False,,False,20,True,,,True,40,,True,False,False,False,False,1,,True,False,,False,False,True,2,2,H-hop,,,False,65536,True,1,0:02.34,4,0,False,False,dfs,6,1000000000.0,True,checkerboard,True,,0,-i100 -p100 -t1 -d100,route_min_directed_valient,100,True,False,BreakTest2,23.91304347826087,AccelMain,,True,4,0.0,True,,DDR4,43.47826086956522,True,route_min_directed_valient,Tst,0,,,True,0,0,0,,False,,4,,b80fd339,1000000000,6,,2,False,0.01kHz,False,0:24.36,af7a71e5,200,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,,,False,,4,0,False,False
False,2,0,271,40,2020-03-31 14:53:51 -0700,False,,hybrid,0,False,True,4,4,,MyDesign,512,True,bfs,0,15.1144,1,32,,6,True,,True,True,44.253451217,db,20,False,2,2,False,0,1,,2,False,True,5,dor,True,True,6,True,True,,True,16,200,,False,6,2,True,True,True,mesh,True,1,16,False,2,pirTest,False,,False,20,True,,,True,40,,True,False,False,False,False,1,,True,False,,False,False,True,2,12,H-hop,,,False,65536,True,1,0:01.60,4,3,False,False,dfs,6,1000000000.0,True,checkerboard,True,,9,-i100 -p100 -t1 -d100,route_min_directed_valient,100,True,False,BroadcastTest,20.647433747064742,AccelMain,,True,4,0.472325,True,,DDR4,47.23247232472325,True,route_min_directed_valient,Tst,0,,,True,0,2,0,2,False,,4,,b80fd339,1000000000,6,,12,False,0.17kHz,False,0:32.81,af7a71e5,200,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,,,False,,4,0,False,False
False,2,0,143,40,2020-03-31 14:53:51 -0700,False,,hybrid,0,False,True,4,4,,MyDesign,512,True,bfs,0,1.34266,1,32,,6,True,,True,True,24.107391638,db,20,False,1,1,False,0,1,,2,False,True,5,dor,True,True,6,True,True,,True,16,200,,False,4,2,True,True,True,mesh,True,1,16,False,2,pirTest,False,,False,20,True,,,True,40,,True,False,False,False,False,1,,True,False,,False,False,True,2,5,H-hop,,,False,65536,True,1,0:02.88,4,0,False,False,dfs,6,1000000000.0,True,checkerboard,True,,5,-i100 -p100 -t1 -d100,route_min_directed_valient,100,True,False,CountZero_0,21.10616656071202,AccelMain,,True,4,0.447552,True,,DDR4,33.56643356643357,True,route_min_directed_valient,Tst,0,,,True,0,1,0,1,False,,4,,b80fd339,1000000000,6,,5,False,0.05kHz,False,0:32.64,af7a71e5,200,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,,,False,,4,0,False,False
False,1,0,,40,2020-03-31 14:53:51 -0700,False,,hybrid,0,False,True,4,4,,MyDesign,512,True,bfs,0,,1,32,,6,True,,True,True,8.306275844,db,20,False,1,1,False,0,1,,1,False,True,5,dor,True,True,6,True,,"src//Top.h:71:3: error: ‘DecompressAG’ does not name a type
",True,16,200,,False,3,2,True,True,False,mesh,True,1,16,False,1,pirTest,False,,False,20,True,,,True,40,,False,False,False,False,False,1,,True,False,,False,False,True,1,3,H-hop,,,False,65536,True,1,,4,2,False,False,dfs,6,1000000000.0,True,checkerboard,True,,1,-i100 -p100 -t1 -d100,route_min_directed_valient,100,True,False,DRAMCompression,,AccelMain,,True,4,,True,,DDR4,,True,route_min_directed_valient,Tst,0,,,False,0,1,0,1,False,,4,,b80fd339,1000000000,6,,3,False,,False,0:03.52,af7a71e5,200,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,,,False,,4,0,False,False
False,,0,1003,40,2020-03-31 14:53:51 -0700,False,,hybrid,0,False,True,4,4,,MyDesign,512,True,bfs,0,1.02094,1,32,,6,True,,True,True,20.958083797,db,20,False,2,2,False,0,1,,,False,True,5,dor,True,True,6,True,True,,True,16,200,,False,8,2,True,True,True,mesh,True,1,16,False,,pirTest,False,,False,20,True,,,True,40,,True,False,False,False,False,1,,True,False,,False,False,True,8,8,H-hop,,,False,65536,True,1,0:05.60,4,0,False,False,dfs,6,1000000000.0,True,checkerboard,True,,0,-i100 -p100 -t1 -d100,route_min_directed_valient,100,True,False,DRAMDoubleBuffer2_0,8.474576271186441,AccelMain,,True,4,1.02094,True,,DDR4,25.523429710867397,True,route_min_directed_valient,Tst,0,,,True,0,2,0,2,False,,4,,b80fd339,1000000000,6,,8,False,0.18kHz,False,0:40.40,af7a71e5,200,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,,,False,,4,0,False,False
False,,0,930,40,2020-03-31 14:53:51 -0700,False,,hybrid,0,False,True,4,4,,MyDesign,512,True,bfs,0,1.10108,1,32,,6,True,,True,True,29.428192354,db,20,False,2,2,False,0,1,,,False,True,5,dor,True,True,6,True,True,,True,16,200,,False,7,2,True,True,True,mesh,True,1,16,False,,pirTest,False,,False,20,True,,,True,40,,True,False,False,False,False,1,,True,False,,False,False,True,7,7,H-hop,,,False,65536,True,1,0:02.48,4,0,False,False,dfs,6,1000000000.0,True,checkerboard,True,,0,-i100 -p100 -t1 -d100,route_min_directed_valient,100,True,False,DRAMDoubleBuffer2_1,7.096774193548387,AccelMain,,True,4,1.10108,True,,DDR4,27.526881720430108,True,route_min_directed_valient,Tst,0,,,True,0,2,0,2,False,,4,,b80fd339,1000000000,6,,7,False,0.38kHz,False,0:35.67,af7a71e5,200,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,,,False,,4,0,False,False
