merge,routing-cost,succeeded,routing-algo,time-out,constprop,reserve-pmu,run-psim,runp2p_err,vdot,runp2p_cycle,OPS-FU,DAG_Total,share-adctx,name,freq,runhybrid_complete,OPS-Flt,debug,lrange,rtelm,runhybrid_success,bcread,MC,split-forward,row,proute-q,algo,runp2p_deadlock,MC_Total,tokenout,proute-opts,time,VAFG-split,VBB-alloc,rtelm-unsafe,vlink,runp2p_rbw,nn,runproute_time,proute-seed,OPS-All,memelm,proute-algo,notFit,dupra,reserve-dag,PMU,runp2p_pass,clock,VMC-split,runhybrid_time,mem-tech,runhybrid_pass,retime-exout,rundot,reserve-pcu,col,VBB-split,runp2p_success,split-thread,slink,OPS-Fix,runproute_err,simulate,VMC,dot,runhybrid_rbw,igraph,rtanal,gentst_err,OPS-Other,psim-q,codegen,VAFG-alloc,runhybrid_err,module,maketst_time,fifo-depth,start-id,PCU_Total,topo,arch,pir_sha,VPMU-split,stat,app,VAFG,VDAG-split,mergeTime_ms,genpir_err,DAG,vec,debug-print,VBB,fast,OPS-Prog FU,pmu-stage,runp2p_complete,runp2p_wbw,VDAG-alloc,VPMU-alloc,merge-forward,dag,run-tst,PMU_Total,runhybrid_wbw,project,dedicated-dag,verbose,runhybrid_dram_power,pcu-stage,spatial_sha,net,dag-stage,genpir,pattern,link-prop,vc,vcLimit,scheduled,trace,VPCU,run-proute,vfifo,avgActive,pracc,split-algo,VDAG,retime-buffer-only,load,runhybrid_cycle,backend,tungsten,split,maketst_err,ag-dce,VMC-alloc,save,VPCU-split,mapping,VPMU,gentst_time,retime-local,runp2p_time,merge-algo,sr,waveform,pmu-sram-size,runp2p_dram_power,mdone,argout,VPCU-alloc,maxActive,retime-glob,flit-width,PCU,open,argin,simfreq,word,psim,pirArgs,prtime,runhybrid_deadlock
False,H-hop,True,dor,100,True,0,False,,True,78,,40,False,AccelMain,1000000000.0,False,,True,True,True,False,True,1,False,20,4,route_min_directed_valient,False,40,5,-i100 -p100 -t1 -d100,2020-03-31 16:32:18 -0700,1,,False,2,0.0,False,,0,,False,route_min_directed_valient,,False,0,2,True,1000000000,1,,DDR4,,False,True,0,20,,True,1,4,,,False,1,True,,False,True,,,1,True,1,,False,0:15.80,16,0,200,mesh,MyDesign,b6c63f88,2,True,BankEnable_0,1,0,,,3,16,True,,True,,6,True,1.64103,0,2,False,True,False,200,,pirTest,False,False,,6,b80fd339,hybrid,6,True,checkerboard,db,4,4,False,False,4,False,4,14.003944773175544,True,dfs,0,False,False,,Tst,True,True,,True,1,True,4,True,2,22.059580375,False,0:01.32,bfs,True,True,65536,,True,4,4,41.02564102564103,False,512,2,False,6,0.06kHz,32,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,False
False,H-hop,True,dor,100,True,0,False,,True,134,,40,False,AccelMain,1000000000.0,False,,True,True,True,False,True,1,False,20,4,route_min_directed_valient,False,40,5,-i100 -p100 -t1 -d100,2020-03-31 16:32:18 -0700,1,,False,2,0.0,False,,0,,False,route_min_directed_valient,,False,0,6,,1000000000,1,,DDR4,,False,True,0,20,,True,1,4,,,False,1,True,,False,True,,,1,True,1,,False,0:46.70,16,0,200,mesh,MyDesign,b6c63f88,6,True,BankRange_0,1,0,,,10,16,True,,True,,6,True,0.955224,0,6,False,True,False,200,,pirTest,False,False,,6,b80fd339,hybrid,6,True,checkerboard,db,4,4,False,False,25,False,4,10.058403634003893,True,dfs,0,False,False,,Tst,True,True,,True,1,True,25,True,6,47.193145057,False,0:01.41,bfs,True,True,65536,,True,4,13,11.940298507462687,False,512,15,False,6,0.1kHz,32,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,False
False,H-hop,True,dor,100,True,0,False,,True,123223,,40,False,AccelMain,1000000000.0,False,,True,True,True,False,True,7,False,20,4,route_min_directed_valient,False,40,5,-i100 -p100 -t1 -d100,2020-03-31 16:32:18 -0700,1,,False,2,25.5287,False,,0,,False,route_min_directed_valient,,False,0,7,True,1000000000,7,,DDR4,,False,True,0,20,,True,1,4,,,False,7,True,,False,True,,,1,True,1,,False,1:13.30,16,0,200,mesh,MyDesign,b6c63f88,6,True,BlackScholes_0,1,0,,,8,16,True,,True,,6,True,4.25479,0,6,False,True,False,200,,pirTest,False,False,,6,b80fd339,hybrid,6,True,checkerboard,db,4,4,False,False,42,False,4,5.212759129235762,True,bfs,0,False,False,,Tst,True,True,,True,7,True,42,True,6,44.510601397,False,5:35.66,bfs,True,True,65536,,True,4,10,6.648109525007507,False,512,33,False,6,0.37kHz,32,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,False
False,H-hop,True,dor,100,True,0,False,,True,87,,40,False,AccelMain,1000000000.0,False,,True,True,True,False,True,0,False,20,4,route_min_directed_valient,False,40,5,-i100 -p100 -t1 -d100,2020-03-31 16:32:18 -0700,1,,False,2,0.0,False,,0,,False,route_min_directed_valient,,False,0,1,True,1000000000,,,DDR4,,False,True,0,20,,True,1,4,,,False,,True,,False,True,,,1,True,1,,False,0:07.52,16,0,200,mesh,MyDesign,b6c63f88,,True,BreakTest,1,0,,,0,16,True,,True,,6,True,0.0,0,,False,True,False,200,,pirTest,False,False,,6,b80fd339,hybrid,6,True,checkerboard,db,4,4,False,False,1,False,4,5.363984674329502,True,dfs,0,False,False,,Tst,True,True,,True,,True,1,True,,5.664494759,False,0:01.21,bfs,True,True,65536,,True,4,1,13.793103448275861,False,512,0,False,6,0.07kHz,32,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,False
False,H-hop,True,dor,100,True,0,False,,True,23,,40,False,AccelMain,1000000000.0,False,,True,True,True,False,True,0,False,20,4,route_min_directed_valient,False,40,5,-i100 -p100 -t1 -d100,2020-03-31 16:32:18 -0700,1,,False,2,0.0,False,,0,,False,route_min_directed_valient,,False,0,2,True,1000000000,,,DDR4,,False,True,0,20,,True,1,4,,,False,,True,,False,True,,,1,True,1,,False,0:21.04,16,0,200,mesh,MyDesign,b6c63f88,,True,BreakTest2,1,0,,,0,16,True,,True,,6,True,0.0,0,,False,True,False,200,,pirTest,False,False,,6,b80fd339,hybrid,6,True,checkerboard,db,4,4,False,False,2,False,4,23.91304347826087,True,dfs,0,False,False,,Tst,True,True,,True,,True,2,True,,20.109835426,False,0:02.68,bfs,True,True,65536,,True,4,2,43.47826086956522,False,512,0,False,6,0.01kHz,32,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,False
False,H-hop,True,dor,100,True,0,False,,True,271,,40,False,AccelMain,1000000000.0,False,,True,True,True,False,True,2,False,20,4,route_min_directed_valient,False,40,5,-i100 -p100 -t1 -d100,2020-03-31 16:32:18 -0700,1,,False,2,0.472325,False,,0,,False,route_min_directed_valient,,False,0,2,True,1000000000,2,,DDR4,,False,True,0,20,,True,1,4,,,False,2,True,,False,True,,,1,True,1,,False,0:33.08,16,0,200,mesh,MyDesign,b6c63f88,2,True,BroadcastTest,1,0,,,3,16,True,,True,,6,True,15.1144,0,2,False,True,False,200,,pirTest,False,False,,6,b80fd339,hybrid,6,True,checkerboard,db,4,4,False,False,12,False,4,20.647433747064742,True,dfs,0,False,False,,Tst,True,True,,True,2,True,12,True,2,34.143033165,False,0:02.64,bfs,True,True,65536,,True,4,6,47.23247232472325,False,512,9,False,6,0.1kHz,32,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,False
False,H-hop,True,dor,100,True,0,False,,True,143,,40,False,AccelMain,1000000000.0,False,,True,True,True,False,True,1,False,20,4,route_min_directed_valient,False,40,5,-i100 -p100 -t1 -d100,2020-03-31 16:32:18 -0700,1,,False,2,0.447552,False,,0,,False,route_min_directed_valient,,False,0,2,True,1000000000,1,,DDR4,,False,True,0,20,,True,1,4,,,False,1,True,,False,True,,,1,True,1,,False,0:20.42,16,0,200,mesh,MyDesign,b6c63f88,2,True,CountZero_0,1,0,,,0,16,True,,True,,6,True,1.34266,0,2,False,True,False,200,,pirTest,False,False,,6,b80fd339,hybrid,6,True,checkerboard,db,4,4,False,False,5,False,4,21.10616656071202,True,dfs,0,False,False,,Tst,True,True,,True,1,True,5,True,2,25.021971745,False,0:01.74,bfs,True,True,65536,,True,4,4,33.56643356643357,False,512,5,False,6,0.08kHz,32,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,False
False,H-hop,False,dor,100,True,0,False,,True,,,40,False,AccelMain,1000000000.0,False,,True,True,True,False,True,1,False,20,4,route_min_directed_valient,False,40,5,-i100 -p100 -t1 -d100,2020-03-31 16:32:18 -0700,1,,False,2,,False,,0,,False,route_min_directed_valient,,False,0,1,,1000000000,1,,DDR4,,False,True,0,20,,False,1,4,,,False,1,True,,False,True,,,1,True,1,,False,0:05.71,16,0,200,mesh,MyDesign,b6c63f88,1,True,DRAMCompression,1,0,,,2,16,True,,True,,6,False,,0,1,False,True,False,200,,pirTest,False,False,,6,b80fd339,hybrid,6,True,checkerboard,db,4,4,False,False,3,False,4,,True,dfs,0,False,False,,Tst,True,True,"src//Top.h:71:3: error: ‘DecompressAG’ does not name a type
",True,1,True,3,True,1,14.092279052,False,,bfs,True,True,65536,,True,4,3,,False,512,1,False,6,,32,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,False
False,H-hop,True,dor,100,True,0,False,,True,930,,40,False,AccelMain,1000000000.0,False,,True,True,True,False,True,2,False,20,4,route_min_directed_valient,False,40,5,-i100 -p100 -t1 -d100,2020-03-31 16:32:18 -0700,1,,False,2,1.10108,False,,0,,False,route_min_directed_valient,,False,0,7,True,1000000000,2,,DDR4,,False,True,0,20,,True,1,4,,,False,2,True,,False,True,,,1,True,1,,False,0:33.90,16,0,200,mesh,MyDesign,b6c63f88,,True,DRAMDoubleBuffer2_0,1,0,,,0,16,True,,True,,6,True,1.10108,0,,False,True,False,200,,pirTest,False,False,,6,b80fd339,hybrid,6,True,checkerboard,db,4,4,False,False,7,False,4,7.096774193548387,True,dfs,0,False,False,,Tst,True,True,,True,2,True,7,True,,29.253338321,False,0:03.07,bfs,True,True,65536,,True,4,7,27.526881720430108,False,512,0,False,6,0.3kHz,32,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,False
False,H-hop,True,dor,100,True,0,False,,True,930,,40,False,AccelMain,1000000000.0,False,,True,True,True,False,True,2,False,20,4,route_min_directed_valient,False,40,5,-i100 -p100 -t1 -d100,2020-03-31 16:32:18 -0700,1,,False,2,1.10108,False,,0,,False,route_min_directed_valient,,False,0,7,True,1000000000,2,,DDR4,,False,True,0,20,,True,1,4,,,False,2,True,,False,True,,,1,True,1,,False,0:26.21,16,0,200,mesh,MyDesign,b6c63f88,,True,DRAMDoubleBuffer2_1,1,0,,,0,16,True,,True,,6,True,1.10108,0,,False,True,False,200,,pirTest,False,False,,6,b80fd339,hybrid,6,True,checkerboard,db,4,4,False,False,7,False,4,7.096774193548387,True,dfs,0,False,False,,Tst,True,True,,True,2,True,7,True,,24.91806245,False,0:02.29,bfs,True,True,65536,,True,4,7,27.526881720430108,False,512,0,False,6,0.41kHz,32,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,False
False,H-hop,True,dor,100,True,0,False,,True,470,,40,False,AccelMain,1000000000.0,False,,True,True,True,False,True,4,False,20,4,route_min_directed_valient,False,40,5,-i100 -p100 -t1 -d100,2020-03-31 16:32:18 -0700,1,,False,2,2.17872,False,,0,,False,route_min_directed_valient,,False,0,14,True,1000000000,4,,DDR4,,False,True,0,20,,True,1,4,,,False,4,True,,False,True,,,1,True,1,,False,0:18.12,16,0,200,mesh,MyDesign,b6c63f88,,True,DRAMDoubleBuffer2_2,1,0,,,0,16,True,,True,,6,True,2.17872,0,,False,True,False,200,,pirTest,False,False,,6,b80fd339,hybrid,6,True,checkerboard,db,4,4,False,False,14,False,4,7.898936170212766,True,dfs,0,False,False,,Tst,True,True,,True,4,True,14,True,,21.976547079,False,0:02.06,bfs,True,True,65536,,True,4,14,27.23404255319149,False,512,0,False,6,0.23kHz,32,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,False
