net,MC_Total,pmu-stage,genpir_err,runp2p_complete,VDAG,VAFG,runp2p_pass,codegen,topo,VMC-split,module,MC,scheduled,word,dedicated-dag,dag-stage,igraph,proute-opts,proute-q,retime-glob,runp2p_wbw,mdone,retime-buffer-only,runp2p_rbw,start-id,pir_sha,genpir,VPMU,vec,debug,DAG_Total,mapping,rtelm,VMC-alloc,VPCU,PCU_Total,algo,reserve-pmu,OPS-Flt,OPS-FU,runp2p_dram_power,OPS-Fix,VBB,notFit,lrange,OPS-Other,rtanal,runp2p_cycle,bcread,dupra,gentst_err,runproute_time,runp2p_err,VBB-split,stat,argin,VPMU-split,reserve-dag,tokenout,run-proute,rtelm-unsafe,succeeded,VPCU-alloc,run-tst,vlink,runhybrid_wbw,vc,PMU_Total,VAFG-split,PMU,share-adctx,vdot,run-psim,VPMU-alloc,fast,merge-algo,reserve-pcu,runhybrid_complete,dot,split-forward,flit-width,runhybrid_deadlock,fifo-depth,runp2p_time,runproute_err,vfifo,psim-q,sr,runhybrid_success,pcu-stage,argout,proute-algo,VDAG-alloc,row,pirArgs,spatial_sha,avgActive,prtime,maxActive,merge,vcLimit,waveform,simulate,mergeTime_ms,verbose,split,simfreq,runhybrid_rbw,mem-tech,rundot,maketst_err,project,maketst_time,pattern,dag,VAFG-alloc,pracc,time-out,runhybrid_cycle,runhybrid_dram_power,col,debug-print,runhybrid_pass,memelm,VBB-alloc,PCU,runp2p_success,proute-seed,OPS-Prog FU,freq,nn,gentst_time,VMC,time,routing-cost,DAG,retime-local,retime-exout,clock,load,arch,routing-algo,VPCU-split,link-prop,slink,split-thread,trace,OPS-All,open,save,constprop,ag-dce,split-algo,runp2p_deadlock,pmu-sram-size,app,backend,runhybrid_err,merge-forward,VDAG-split,tungsten,name,runhybrid_time,psim
hybrid,40,6,,True,0,1,True,True,mesh,1,False,1,False,32,False,6,False,-i100 -p100 -t1 -d100,4,False,1.64103,True,False,0.0,0,74dcf9be,True,2,16,True,40,True,True,1,4,200,route_min_directed_valient,0,,,,,,,True,,True,78,True,False,,,,,True,6,2,0,5,False,False,True,4,False,2,,4,200,1,2,False,True,False,2,True,bfs,0,False,True,False,512,False,16,0:01.87,,4,1,True,False,6,4,route_min_directed_valient,0,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",839e7418,14.003944773175544,,41.02564102564103,False,4,True,False,,False,True,0.04kHz,,DDR4,True,,pirTest,0:18.41,checkerboard,True,1,True,100,,,20,True,,False,,2,True,0,,1000000000.0,False,15.556367704,1,2020-03-31 22:48:23 -0700,H-hop,3,False,False,1000000000,False,MyDesign,dor,4,db,4,1,False,,False,True,True,True,dfs,False,65536,BankEnable_0,Tst,,False,0,True,AccelMain,,False
hybrid,40,6,,True,0,1,,True,mesh,1,False,1,False,32,False,6,False,-i100 -p100 -t1 -d100,4,False,0.955224,True,False,0.0,0,74dcf9be,True,6,16,True,40,True,True,1,25,200,route_min_directed_valient,0,,,,,,,True,,True,134,True,False,,,,,True,6,6,0,5,False,False,True,13,False,2,,4,200,1,6,False,True,False,6,True,bfs,0,False,True,False,512,False,16,0:01.72,,4,1,True,False,6,4,route_min_directed_valient,0,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",839e7418,10.058403634003893,,11.940298507462687,False,4,True,False,,False,True,0.08kHz,,DDR4,True,,pirTest,1:15.13,checkerboard,True,1,True,100,,,20,True,,False,,15,True,0,,1000000000.0,False,72.583089297,1,2020-03-31 22:48:23 -0700,H-hop,10,False,False,1000000000,False,MyDesign,dor,25,db,4,1,False,,False,True,True,True,dfs,False,65536,BankRange_0,Tst,,False,0,True,AccelMain,,False
hybrid,40,6,,True,0,1,True,True,mesh,7,False,7,False,32,False,6,False,-i100 -p100 -t1 -d100,4,False,4.82122,True,False,28.9273,0,74dcf9be,True,6,16,True,40,True,True,7,41,200,route_min_directed_valient,0,,,,,,,True,,True,108746,True,False,,,,,True,6,6,0,5,False,False,True,10,False,2,,4,200,1,7,False,True,False,6,True,bfs,0,False,True,False,512,False,16,5:09.75,,4,1,True,False,6,4,route_min_directed_valient,0,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",839e7418,5.868892691695904,,7.533150644621411,False,4,True,False,,False,True,0.35kHz,,DDR4,True,,pirTest,1:26.08,checkerboard,True,1,True,100,,,20,True,,False,,32,True,0,,1000000000.0,False,50.514137592,7,2020-03-31 22:48:23 -0700,H-hop,8,False,False,1000000000,False,MyDesign,dor,41,db,4,1,False,,False,True,True,True,bfs,False,65536,BlackScholes_0,Tst,,False,0,True,AccelMain,,False
hybrid,40,6,,True,0,1,True,True,mesh,,False,0,False,32,False,6,False,-i100 -p100 -t1 -d100,4,False,0.0,True,False,0.0,0,74dcf9be,True,,16,True,40,True,True,,1,200,route_min_directed_valient,0,,,,,,,True,,True,87,True,False,,,,,True,6,,0,5,False,False,True,1,False,2,,4,200,1,1,False,True,False,,True,bfs,0,False,True,False,512,False,16,0:05.66,,4,1,True,False,6,4,route_min_directed_valient,0,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",839e7418,5.363984674329502,,13.793103448275861,False,4,True,False,,False,True,0.02kHz,,DDR4,True,,pirTest,0:34.60,checkerboard,True,1,True,100,,,20,True,,False,,0,True,0,,1000000000.0,False,20.622386957,,2020-03-31 22:48:23 -0700,H-hop,0,False,False,1000000000,False,MyDesign,dor,1,db,4,1,False,,False,True,True,True,dfs,False,65536,BreakTest,Tst,,False,0,True,AccelMain,,False
hybrid,40,6,,True,0,1,True,True,mesh,,False,0,False,32,False,6,False,-i100 -p100 -t1 -d100,4,False,0.0,True,False,0.0,0,74dcf9be,True,,16,True,40,True,True,,2,200,route_min_directed_valient,0,,,,,,,True,,True,23,True,False,,,,,True,6,,0,5,False,False,True,2,False,2,,4,200,1,2,False,True,False,,True,bfs,0,False,True,False,512,False,16,0:02.87,,4,1,True,False,6,4,route_min_directed_valient,0,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",839e7418,23.91304347826087,,43.47826086956522,False,4,True,False,,False,True,0.01kHz,,DDR4,True,,pirTest,0:20.40,checkerboard,True,1,True,100,,,20,True,,False,,0,True,0,,1000000000.0,False,14.408153914,,2020-03-31 22:48:23 -0700,H-hop,0,False,False,1000000000,False,MyDesign,dor,2,db,4,1,False,,False,True,True,True,dfs,False,65536,BreakTest2,Tst,,False,0,True,AccelMain,,False
hybrid,40,6,,True,0,1,True,True,mesh,2,False,2,False,32,False,6,False,-i100 -p100 -t1 -d100,4,False,15.1144,True,False,0.472325,0,74dcf9be,True,2,16,True,40,True,True,2,12,200,route_min_directed_valient,0,,,,,,,True,,True,271,True,False,,,,,True,6,2,0,5,False,False,True,6,False,2,,4,200,1,2,False,True,False,2,True,bfs,0,False,True,False,512,False,16,0:01.33,,4,1,True,False,6,4,route_min_directed_valient,0,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",839e7418,20.647433747064742,,47.23247232472325,False,4,True,False,,False,True,0.2kHz,,DDR4,True,,pirTest,0:19.09,checkerboard,True,1,True,100,,,20,True,,False,,9,True,0,,1000000000.0,False,16.637018221,2,2020-03-31 22:48:23 -0700,H-hop,3,False,False,1000000000,False,MyDesign,dor,12,db,4,1,False,,False,True,True,True,dfs,False,65536,BroadcastTest,Tst,,False,0,True,AccelMain,,False
hybrid,40,6,,True,0,1,True,True,mesh,1,False,1,False,32,False,6,False,-i100 -p100 -t1 -d100,4,False,1.34266,True,False,0.447552,0,74dcf9be,True,2,16,True,40,True,True,1,5,200,route_min_directed_valient,0,,,,,,,True,,True,143,True,False,,,,,True,6,2,0,5,False,False,True,4,False,2,,4,200,1,2,False,True,False,2,True,bfs,0,False,True,False,512,False,16,0:03.98,,4,1,True,False,6,4,route_min_directed_valient,0,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",839e7418,21.10616656071202,,33.56643356643357,False,4,True,False,,False,True,0.04kHz,,DDR4,True,,pirTest,0:32.98,checkerboard,True,1,True,100,,,20,True,,False,,5,True,0,,1000000000.0,False,24.28475012,1,2020-03-31 22:48:23 -0700,H-hop,0,False,False,1000000000,False,MyDesign,dor,5,db,4,1,False,,False,True,True,True,dfs,False,65536,CountZero_0,Tst,,False,0,True,AccelMain,,False
hybrid,40,6,,False,0,1,,True,mesh,1,False,1,False,32,False,6,False,-i100 -p100 -t1 -d100,4,False,,True,False,,0,74dcf9be,True,1,16,True,40,True,True,1,3,200,route_min_directed_valient,0,,,,,,,True,,True,,True,False,,,,,True,6,1,0,5,False,False,False,3,False,2,,4,200,1,1,False,True,False,1,True,bfs,0,False,True,False,512,False,16,,,4,1,True,False,6,4,route_min_directed_valient,0,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",839e7418,,,,False,4,True,False,,False,True,,,DDR4,True,"src//Top.h:71:3: error: ‘DecompressAG’ does not name a type
",pirTest,0:08.59,checkerboard,True,1,True,100,,,20,True,,False,,1,False,0,,1000000000.0,False,14.774883738,1,2020-03-31 22:48:23 -0700,H-hop,2,False,False,1000000000,False,MyDesign,dor,3,db,4,1,False,,False,True,True,True,dfs,False,65536,DRAMCompression,Tst,,False,0,True,AccelMain,,False
hybrid,40,6,,True,0,1,True,True,mesh,2,False,2,False,32,False,6,False,-i100 -p100 -t1 -d100,4,False,1.10108,True,False,1.10108,0,74dcf9be,True,,16,True,40,True,True,2,7,200,route_min_directed_valient,0,,,,,,,True,,True,930,True,False,,,,,True,6,,0,5,False,False,True,7,False,2,,4,200,1,7,False,True,False,,True,bfs,0,False,True,False,512,False,16,0:04.00,,4,1,True,False,6,4,route_min_directed_valient,0,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",839e7418,7.096774193548387,,27.526881720430108,False,4,True,False,,False,True,0.23kHz,,DDR4,True,,pirTest,0:37.00,checkerboard,True,1,True,100,,,20,True,,False,,0,True,0,,1000000000.0,False,27.396942301,2,2020-03-31 22:48:23 -0700,H-hop,0,False,False,1000000000,False,MyDesign,dor,7,db,4,1,False,,False,True,True,True,dfs,False,65536,DRAMDoubleBuffer2_0,Tst,,False,0,True,AccelMain,,False
hybrid,40,6,,True,0,1,True,True,mesh,2,False,2,False,32,False,6,False,-i100 -p100 -t1 -d100,4,False,1.10108,True,False,1.10108,0,74dcf9be,True,,16,True,40,True,True,2,7,200,route_min_directed_valient,0,,,,,,,True,,True,930,True,False,,,,,True,6,,0,5,False,False,True,7,False,2,,4,200,1,7,False,True,False,,True,bfs,0,False,True,False,512,False,16,0:04.92,,4,1,True,False,6,4,route_min_directed_valient,0,20,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",839e7418,7.096774193548387,,27.526881720430108,False,4,True,False,,False,True,0.19kHz,,DDR4,True,,pirTest,0:33.23,checkerboard,True,1,True,100,,,20,True,,False,,0,True,0,,1000000000.0,False,19.552162892,2,2020-03-31 22:48:23 -0700,H-hop,0,False,False,1000000000,False,MyDesign,dor,7,db,4,1,False,,False,True,True,True,dfs,False,65536,DRAMDoubleBuffer2_1,Tst,,False,0,True,AccelMain,,False
