argout,waveform,psim-q,runp2p_cycle,lrange,flit-width,retime-exout,DAG,start-id,proute-opts,dedicated-dag,runhybrid_cycle,run-psim,VBB,proute-q,stat,pmu-stage,PCU,simfreq,runhybrid_pass,PMU_Total,vdot,reserve-dag,time-out,rundot,mapping,runhybrid_wbw,merge-forward,mergeTime_ms,MC_Total,rtelm-unsafe,runp2p_err,sr,maketst_time,gentst_err,merge,split,merge-algo,split-algo,psim,VPCU-split,share-adctx,save,maketst_err,runhybrid_err,ag-dce,scheduled,retime-local,topo,runhybrid_rbw,link-prop,VPCU,runp2p_pass,verbose,notFit,codegen,constprop,runhybrid_complete,VPMU,trace,spatial_sha,runp2p_deadlock,nn,retime-glob,net,runhybrid_success,runhybrid_time,OPS-Other,pirArgs,dag-stage,proute-algo,OPS-Prog FU,dupra,routing-cost,runhybrid_deadlock,vc,OPS-FU,vec,row,tungsten,MC,run-tst,load,runp2p_complete,runproute_time,VDAG-alloc,pcu-stage,project,bcread,runp2p_success,open,rtanal,algo,VBB-alloc,VPMU-alloc,runp2p_time,retime-buffer-only,vfifo,word,DAG_Total,tokenout,pattern,runhybrid_dram_power,VAFG-split,genpir,clock,dag,VPMU-split,routing-algo,VDAG,runproute_err,pracc,split-thread,arch,PMU,proute-seed,time,run-proute,VMC-alloc,VMC,dot,succeeded,runp2p_dram_power,simulate,module,backend,runp2p_rbw,fifo-depth,memelm,maxActive,split-forward,freq,pmu-sram-size,VBB-split,mdone,prtime,vcLimit,debug,mem-tech,name,app,rtelm,OPS-Flt,OPS-All,pir_sha,fast,avgActive,VPCU-alloc,runp2p_wbw,col,gentst_time,VMC-split,reserve-pmu,reserve-pcu,PCU_Total,genpir_err,VDAG-split,argin,debug-print,slink,igraph,OPS-Fix,VAFG,VAFG-alloc,vlink
4,True,1,78,True,512,False,3,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,2,0.04kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:14.78,,False,True,bfs,dfs,False,4,False,True,,,True,False,False,mesh,,db,4,True,False,,True,True,False,2,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,1,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,2,0:01.82,False,4,32,40,5,checkerboard,,1,True,1000000000,True,2,dor,0,,True,1,MyDesign,2,0,2020-04-02 17:30:36 -0700,False,1,1,True,True,,False,False,Tst,0.0,16,False,41.02564102564103,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,BankEnable_0,True,,,53954827,True,14.003944773175544,4,1.64103,20,10.332818952,1,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,134,True,512,False,10,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,15,0.03kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:43.98,,False,True,bfs,dfs,False,25,False,True,,,True,False,False,mesh,,db,25,,False,,True,True,False,6,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,1,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,6,0:04.09,False,4,32,40,5,checkerboard,,1,True,1000000000,True,6,dor,0,,True,1,MyDesign,6,0,2020-04-02 17:30:36 -0700,False,1,1,True,True,,False,False,Tst,0.0,16,False,11.940298507462687,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,BankRange_0,True,,,53954827,True,10.058403634003893,13,0.955224,20,79.332934032,1,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,115727,True,512,False,8,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,33,0.29kHz,,200,True,0,100,True,True,,False,,40,False,,True,1:26.50,,False,True,bfs,bfs,False,42,False,True,,,True,False,False,mesh,,db,42,True,False,,True,True,False,6,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,7,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,6,6:33.46,False,4,32,40,5,checkerboard,,1,True,1000000000,True,6,dor,0,,True,1,MyDesign,7,0,2020-04-02 17:30:36 -0700,False,7,7,True,True,,False,False,Tst,27.1823,16,False,7.078728386634062,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,BlackScholes_0,True,,,53954827,True,5.55040585327381,10,4.53039,20,35.986545522,7,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,87,True,512,False,0,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,0,0.04kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:20.02,,False,True,bfs,dfs,False,1,False,True,,,True,False,False,mesh,,db,1,True,False,,True,True,False,,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,0,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,,0:02.16,False,4,32,40,5,checkerboard,,1,True,1000000000,True,,dor,0,,True,1,MyDesign,1,0,2020-04-02 17:30:36 -0700,False,,,True,True,,False,False,Tst,0.0,16,False,13.793103448275861,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,BreakTest,True,,,53954827,True,5.363984674329502,1,0.0,20,12.395545318,,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,23,True,512,False,0,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,0,0.01kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:28.83,,False,True,bfs,dfs,False,2,False,True,,,True,False,False,mesh,,db,2,True,False,,True,True,False,,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,0,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,,0:03.85,False,4,32,40,5,checkerboard,,1,True,1000000000,True,,dor,0,,True,1,MyDesign,2,0,2020-04-02 17:30:36 -0700,False,,,True,True,,False,False,Tst,0.0,16,False,43.47826086956522,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,BreakTest2,True,,,53954827,True,23.91304347826087,2,0.0,20,18.78513815,,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,271,True,512,False,3,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,9,0.1kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:22.57,,False,True,bfs,dfs,False,12,False,True,,,True,False,False,mesh,,db,12,True,False,,True,True,False,2,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,2,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,2,0:02.68,False,4,32,40,5,checkerboard,,1,True,1000000000,True,2,dor,0,,True,1,MyDesign,2,0,2020-04-02 17:30:36 -0700,False,2,2,True,True,,False,False,Tst,0.472325,16,False,47.23247232472325,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,BroadcastTest,True,,,53954827,True,20.647433747064742,6,15.1144,20,29.185311244,2,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,143,True,512,False,0,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,5,0.05kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:27.95,,False,True,bfs,dfs,False,5,False,True,,,True,False,False,mesh,,db,5,True,False,,True,True,False,2,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,1,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,2,0:03.06,False,4,32,40,5,checkerboard,,1,True,1000000000,True,2,dor,0,,True,1,MyDesign,2,0,2020-04-02 17:30:36 -0700,False,1,1,True,True,,False,False,Tst,0.447552,16,False,33.56643356643357,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,CountZero_0,True,,,53954827,True,21.10616656071202,4,1.34266,20,29.024072491,1,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,,True,512,False,2,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,1,,,200,True,0,100,True,True,,False,,40,False,,True,0:04.66,,False,True,bfs,dfs,False,3,False,True,"src//Top.h:71:3: error: ‘DecompressAG’ does not name a type
",,True,False,False,mesh,,db,3,,False,,True,True,False,1,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,1,False,False,False,,0,6,pirTest,True,False,False,True,route_min_directed_valient,,1,,False,4,32,40,5,checkerboard,,1,True,1000000000,True,1,dor,0,,True,1,MyDesign,1,0,2020-04-02 17:30:36 -0700,False,1,1,True,False,,False,False,Tst,,16,False,,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,DRAMCompression,True,,,53954827,True,,3,,20,8.906402654,1,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,930,True,512,False,0,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,0,0.39kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:21.82,,False,True,bfs,dfs,False,7,False,True,,,True,False,False,mesh,,db,7,True,False,,True,True,False,,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,2,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,,0:02.36,False,4,32,40,5,checkerboard,,1,True,1000000000,True,,dor,0,,True,1,MyDesign,7,0,2020-04-02 17:30:36 -0700,False,2,2,True,True,,False,False,Tst,1.10108,16,False,27.526881720430108,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,DRAMDoubleBuffer2_0,True,,,53954827,True,7.096774193548387,7,1.10108,20,23.55220618,2,0,0,200,,0,6,True,4,False,,1,1,2
4,True,1,930,True,512,False,0,0,-i100 -p100 -t1 -d100,False,,False,,4,True,6,0,0.34kHz,,200,True,0,100,True,True,,False,,40,False,,True,0:22.59,,False,True,bfs,dfs,False,7,False,True,,,True,False,False,mesh,,db,7,True,False,,True,True,False,,False,02cc5bc3,False,False,False,hybrid,False,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,route_min_directed_valient,,False,H-hop,False,4,,16,20,True,2,False,False,True,,0,6,pirTest,True,True,False,True,route_min_directed_valient,,,0:02.70,False,4,32,40,5,checkerboard,,1,True,1000000000,True,,dor,0,,True,1,MyDesign,7,0,2020-04-02 17:30:36 -0700,False,2,2,True,True,,False,False,Tst,1.10108,16,False,27.526881720430108,False,1000000000.0,65536,,True,,4,True,DDR4,AccelMain,DRAMDoubleBuffer2_1,True,,,53954827,True,7.096774193548387,7,1.10108,20,23.780437844,2,0,0,200,,0,6,True,4,False,,1,1,2
