runp2p_err,VBB,runhybrid_rbw,retime-buffer-only,run-tst,gentst_err,VPCU,genpir_err,routing-algo,arch,pir_sha,routing-cost,backend,runhybrid_time,DAG_Total,rundot,row,VPMU,reserve-pmu,waveform,codegen,rtelm,split-forward,mdone,split,run-proute,dedicated-dag,prtime,retime-exout,dupra,runproute_err,app,load,MC,MC_Total,fast,trace,freq,constprop,reserve-dag,runhybrid_complete,maketst_err,merge-algo,avgActive,runhybrid_wbw,memelm,simulate,flit-width,split-thread,VAFG,project,spatial_sha,VPMU-split,save,runhybrid_pass,notFit,vlink,OPS-Prog FU,debug,sr,name,PMU,col,mapping,rtelm-unsafe,rtanal,run-psim,clock,module,proute-opts,runp2p_wbw,VPCU-alloc,runhybrid_dram_power,pattern,reserve-pcu,runp2p_time,VDAG-split,fifo-depth,nn,VAFG-alloc,tungsten,ag-dce,slink,maxActive,verbose,runp2p_dram_power,net,stat,VPMU-alloc,start-id,genpir,topo,runp2p_pass,pmu-sram-size,open,time-out,OPS-All,OPS-Fix,runp2p_success,mergeTime_ms,link-prop,psim,runhybrid_err,PCU,retime-glob,VBB-split,runp2p_deadlock,bcread,tokenout,maketst_time,dag,vfifo,share-adctx,scheduled,argout,runp2p_cycle,argin,OPS-Flt,VMC-split,proute-seed,debug-print,runp2p_rbw,runhybrid_deadlock,DAG,OPS-FU,psim-q,vec,succeeded,dag-stage,vdot,pirArgs,pcu-stage,OPS-Other,simfreq,lrange,pmu-stage,vc,VMC,PCU_Total,time,proute-algo,runp2p_complete,retime-local,PMU_Total,VBB-alloc,VAFG-split,runproute_time,runhybrid_success,gentst_time,VDAG-alloc,vcLimit,merge-forward,VDAG,word,mem-tech,igraph,runhybrid_cycle,algo,proute-q,dot,pracc,merge,VMC-alloc,VPCU-split,split-algo
,,,False,False,,4,,dor,MyDesign,82fcc62c,H-hop,Tst,,40,True,20,2,0,True,True,True,False,True,True,False,False,,False,False,,BankEnable_0,False,1,40,True,False,1000000000.0,True,0,False,,bfs,14.003944773175544,,False,False,512,1,1,pirTest,02cc5bc3,2,True,,,2,,True,True,AccelMain,2,20,True,False,True,False,1000000000,False,-i100 -p100 -t1 -d100,1.64103,4,,checkerboard,0,0:01.30,0,16,False,1,True,True,4,41.02564102564103,False,,hybrid,True,2,0,True,mesh,True,65536,False,100,,,True,,db,False,,2,False,,False,True,5,0:23.19,True,4,False,False,4,78,6,,1,0,True,0.0,False,3,,1,16,True,6,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,,0.06kHz,True,6,4,1,200,2020-04-03 15:52:25 -0700,route_min_directed_valient,True,False,200,,1,,False,27.958142594,0,4,False,0,32,DDR4,False,,route_min_directed_valient,4,True,True,False,1,4,dfs
,,,False,False,,25,,dor,MyDesign,82fcc62c,H-hop,Tst,,40,True,20,6,0,True,True,True,False,True,True,False,False,,False,False,,BankRange_0,False,1,40,True,False,1000000000.0,True,0,False,,bfs,10.058403634003893,,False,False,512,1,1,pirTest,02cc5bc3,6,True,,,2,,True,True,AccelMain,6,20,True,False,True,False,1000000000,False,-i100 -p100 -t1 -d100,0.955224,13,,checkerboard,0,0:04.22,0,16,False,1,True,True,4,11.940298507462687,False,,hybrid,True,6,0,True,mesh,,65536,False,100,,,True,,db,False,,15,False,,False,True,5,1:08.24,True,4,False,False,4,134,6,,1,0,True,0.0,False,10,,1,16,True,6,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,,0.03kHz,True,6,4,1,200,2020-04-03 15:52:25 -0700,route_min_directed_valient,True,False,200,,1,,False,40.758359167,0,4,False,0,32,DDR4,False,,route_min_directed_valient,4,True,True,False,1,25,dfs
,,,False,False,,41,,dor,MyDesign,82fcc62c,H-hop,Tst,,40,True,20,6,0,True,True,True,False,True,True,False,False,,False,False,,BlackScholes_0,False,7,40,True,False,1000000000.0,True,0,False,,bfs,5.750131582917352,,False,False,512,1,1,pirTest,02cc5bc3,6,True,,,2,,True,True,AccelMain,7,20,True,False,True,False,1000000000,False,-i100 -p100 -t1 -d100,4.72366,10,,checkerboard,0,4:24.10,0,16,False,1,True,True,4,7.380712123396281,False,,hybrid,True,6,0,True,mesh,True,65536,False,100,,,True,,db,False,,32,False,,False,True,5,2:12.34,True,4,False,False,4,110992,6,,7,0,True,28.3419,False,8,,1,16,True,6,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,,0.42kHz,True,6,4,7,200,2020-04-03 15:52:25 -0700,route_min_directed_valient,True,False,200,,1,,False,68.258994628,0,4,False,0,32,DDR4,False,,route_min_directed_valient,4,True,True,False,7,41,bfs
,,,False,False,,1,,dor,MyDesign,82fcc62c,H-hop,Tst,,40,True,20,,0,True,True,True,False,True,True,False,False,,False,False,,BreakTest,False,0,40,True,False,1000000000.0,True,0,False,,bfs,5.363984674329502,,False,False,512,1,1,pirTest,02cc5bc3,,True,,,2,,True,True,AccelMain,1,20,True,False,True,False,1000000000,False,-i100 -p100 -t1 -d100,0.0,1,,checkerboard,0,0:01.39,0,16,False,1,True,True,4,13.793103448275861,False,,hybrid,True,,0,True,mesh,True,65536,False,100,,,True,,db,False,,0,False,,False,True,5,0:08.39,True,4,False,False,4,87,6,,,0,True,0.0,False,0,,1,16,True,6,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,,0.06kHz,True,6,4,,200,2020-04-03 15:52:25 -0700,route_min_directed_valient,True,False,200,,1,,False,6.937891726,0,4,False,0,32,DDR4,False,,route_min_directed_valient,4,True,True,False,,1,dfs
,,,False,False,,2,,dor,MyDesign,82fcc62c,H-hop,Tst,,40,True,20,,0,True,True,True,False,True,True,False,False,,False,False,,BreakTest2,False,0,40,True,False,1000000000.0,True,0,False,,bfs,23.91304347826087,,False,False,512,1,1,pirTest,02cc5bc3,,True,,,2,,True,True,AccelMain,2,20,True,False,True,False,1000000000,False,-i100 -p100 -t1 -d100,0.0,2,,checkerboard,0,0:02.45,0,16,False,1,True,True,4,43.47826086956522,False,,hybrid,True,,0,True,mesh,True,65536,False,100,,,True,,db,False,,0,False,,False,True,5,0:19.23,True,4,False,False,4,23,6,,,0,True,0.0,False,0,,1,16,True,6,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,,0.01kHz,True,6,4,,200,2020-04-03 15:52:25 -0700,route_min_directed_valient,True,False,200,,1,,False,13.426042121,0,4,False,0,32,DDR4,False,,route_min_directed_valient,4,True,True,False,,2,dfs
,,,False,False,,12,,dor,MyDesign,82fcc62c,H-hop,Tst,,40,True,20,2,0,True,True,True,False,True,True,False,False,,False,False,,BroadcastTest,False,2,40,True,False,1000000000.0,True,0,False,,bfs,20.647433747064742,,False,False,512,1,1,pirTest,02cc5bc3,2,True,,,2,,True,True,AccelMain,2,20,True,False,True,False,1000000000,False,-i100 -p100 -t1 -d100,15.1144,6,,checkerboard,0,0:01.64,0,16,False,1,True,True,4,47.23247232472325,False,,hybrid,True,2,0,True,mesh,True,65536,False,100,,,True,,db,False,,9,False,,False,True,5,0:18.50,True,4,False,False,4,271,6,,2,0,True,0.472325,False,3,,1,16,True,6,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,,0.17kHz,True,6,4,2,200,2020-04-03 15:52:25 -0700,route_min_directed_valient,True,False,200,,1,,False,22.423496582,0,4,False,0,32,DDR4,False,,route_min_directed_valient,4,True,True,False,2,12,dfs
,,,False,False,,5,,dor,MyDesign,82fcc62c,H-hop,Tst,,40,True,20,2,0,True,True,True,False,True,True,False,False,,False,False,,CountZero_0,False,1,40,True,False,1000000000.0,True,0,False,,bfs,21.10616656071202,,False,False,512,1,1,pirTest,02cc5bc3,2,True,,,2,,True,True,AccelMain,2,20,True,False,True,False,1000000000,False,-i100 -p100 -t1 -d100,1.34266,4,,checkerboard,0,0:01.24,0,16,False,1,True,True,4,33.56643356643357,False,,hybrid,True,2,0,True,mesh,True,65536,False,100,,,True,,db,False,,5,False,,False,True,5,0:16.94,True,4,False,False,4,143,6,,1,0,True,0.447552,False,0,,1,16,True,6,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,,0.12kHz,True,6,4,1,200,2020-04-03 15:52:25 -0700,route_min_directed_valient,True,False,200,,1,,False,22.231214323,0,4,False,0,32,DDR4,False,,route_min_directed_valient,4,True,True,False,1,5,dfs
,,,False,False,,3,,dor,MyDesign,82fcc62c,H-hop,Tst,,40,True,20,1,0,True,True,True,False,True,True,False,False,,False,False,,DRAMCompression,False,1,40,True,False,1000000000.0,True,0,False,"src//Top.h:71:3: error: ‘DecompressAG’ does not name a type
",bfs,,,False,False,512,1,1,pirTest,02cc5bc3,1,True,,,2,,True,True,AccelMain,1,20,True,False,True,False,1000000000,False,-i100 -p100 -t1 -d100,,3,,checkerboard,0,,0,16,False,1,True,True,4,,False,,hybrid,True,1,0,True,mesh,,65536,False,100,,,False,,db,False,,1,False,,False,True,5,0:13.45,True,4,False,False,4,,6,,1,0,True,,False,2,,1,16,False,6,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,,,True,6,4,1,200,2020-04-03 15:52:25 -0700,route_min_directed_valient,False,False,200,,1,,False,27.654830004,0,4,False,0,32,DDR4,False,,route_min_directed_valient,4,True,True,False,1,3,dfs
,,,False,False,,7,,dor,MyDesign,82fcc62c,H-hop,Tst,,40,True,20,,0,True,True,True,False,True,True,False,False,,False,False,,DRAMDoubleBuffer2_0,False,2,40,True,False,1000000000.0,True,0,False,,bfs,7.096774193548387,,False,False,512,1,1,pirTest,02cc5bc3,,True,,,2,,True,True,AccelMain,7,20,True,False,True,False,1000000000,False,-i100 -p100 -t1 -d100,1.10108,7,,checkerboard,0,0:02.13,0,16,False,1,True,True,4,27.526881720430108,False,,hybrid,True,,0,True,mesh,True,65536,False,100,,,True,,db,False,,0,False,,False,True,5,0:24.52,True,4,False,False,4,930,6,,2,0,True,1.10108,False,0,,1,16,True,6,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,,0.44kHz,True,6,4,2,200,2020-04-03 15:52:25 -0700,route_min_directed_valient,True,False,200,,1,,False,25.155286867,0,4,False,0,32,DDR4,False,,route_min_directed_valient,4,True,True,False,2,7,dfs
,,,False,False,,7,,dor,MyDesign,82fcc62c,H-hop,Tst,,40,True,20,,0,True,True,True,False,True,True,False,False,,False,False,,DRAMDoubleBuffer2_1,False,2,40,True,False,1000000000.0,True,0,False,,bfs,7.096774193548387,,False,False,512,1,1,pirTest,02cc5bc3,,True,,,2,,True,True,AccelMain,7,20,True,False,True,False,1000000000,False,-i100 -p100 -t1 -d100,1.10108,7,,checkerboard,0,0:02.65,0,16,False,1,True,True,4,27.526881720430108,False,,hybrid,True,,0,True,mesh,True,65536,False,100,,,True,,db,False,,0,False,,False,True,5,0:26.17,True,4,False,False,4,930,6,,2,0,True,1.10108,False,0,,1,16,True,6,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",6,,0.35kHz,True,6,4,2,200,2020-04-03 15:52:25 -0700,route_min_directed_valient,True,False,200,,1,,False,12.695959223,0,4,False,0,32,DDR4,False,,route_min_directed_valient,4,True,True,False,2,7,dfs
