proute-opts,maxActive,project,spatial_sha,rtanal,vdot,routing-cost,runp2p_rbw,merge-algo,runp2p_time,runp2p_deadlock,split-forward,runhybrid_cycle,module,runhybrid_pass,runp2p_pass,algo,open,codegen,time-out,constprop,run-proute,runhybrid_wbw,prtime,save,DAG,share-adctx,pmu-sram-size,VPCU-alloc,merge-forward,nn,OPS-FU,simfreq,mem-tech,notFit,simulate,retime-exout,time,VPMU-split,runhybrid_time,rtelm,mdone,VMC-alloc,VBB,ag-dce,psim-q,retime-glob,VMC-split,VAFG-split,debug,runp2p_cycle,OPS-Flt,reserve-pcu,PMU_Total,rundot,verbose,MC,PCU_Total,reserve-pmu,VBB-alloc,runhybrid_dram_power,mapping,avgActive,debug-print,tokenout,igraph,VDAG-alloc,vlink,runhybrid_rbw,rtelm-unsafe,stat,OPS-All,VPCU,retime-local,reserve-dag,split-algo,pattern,split-thread,VPMU-alloc,tungsten,runhybrid_success,run-psim,pir_sha,dot,pracc,net,retime-buffer-only,memelm,backend,runhybrid_deadlock,pmu-stage,proute-algo,freq,VPMU,split,trace,link-prop,dupra,OPS-Fix,pcu-stage,name,VBB-split,arch,fifo-depth,bcread,OPS-Other,VDAG-split,word,routing-algo,VMC,runp2p_dram_power,MC_Total,gentst_err,load,flit-width,gentst_time,PCU,clock,topo,vfifo,runp2p_err,runhybrid_complete,row,argout,succeeded,col,fast,OPS-Prog FU,proute-q,VAFG-alloc,dag-stage,genpir_err,runp2p_complete,run-tst,pirArgs,slink,PMU,runp2p_wbw,genpir,runproute_time,vec,dedicated-dag,scheduled,vcLimit,start-id,proute-seed,mergeTime_ms,waveform,maketst_err,DAG_Total,VDAG,VAFG,app,vc,dag,lrange,runhybrid_err,psim,merge,runp2p_success,VPCU-split,maketst_time,runproute_err,sr,argin
-i100 -p100 -t1 -d100,41.02564102564103,pirTest,55a8709f,True,True,H-hop,0.0,bfs,0:00.25,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,3,False,65536,4,False,False,,0.31kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,2,,True,True,1,,True,1,False,1,1,True,78,,0,200,True,False,1,200,0,,,True,14.003944773175544,True,5,False,0,2,,False,True,,4,False,0,dfs,checkerboard,1,2,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,2,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,1,,40,,False,512,20.266195276,2,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,2,1.64103,True,,16,False,False,4,0,0,,True,,40,0,1,BankEnable_0,4,True,True,,False,False,True,4,0:14.23,,True,6
-i100 -p100 -t1 -d100,11.940298507462687,pirTest,55a8709f,True,True,H-hop,0.0,bfs,0:00.37,False,False,,False,,,route_min_directed_valient,False,True,100,True,False,,,True,10,False,65536,13,False,False,,0.36kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,6,,True,True,1,,True,1,False,1,1,True,134,,0,200,True,False,1,200,0,,,True,10.058403634003893,True,5,False,0,2,,False,True,,25,False,0,dfs,checkerboard,1,6,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,6,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,1,,40,,False,512,95.567432449,15,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,6,0.955224,True,,16,False,False,4,0,0,,True,,40,0,1,BankRange_0,4,True,True,,False,False,True,25,1:47.86,,True,6
-i100 -p100 -t1 -d100,7.078728386634062,pirTest,55a8709f,True,True,H-hop,27.1823,bfs,1:21.42,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,8,False,65536,10,False,False,,1.42kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,6,,True,True,7,,True,1,False,7,1,True,115727,,0,200,True,False,7,200,0,,,True,5.514863468777059,True,5,False,0,2,,False,True,,41,False,0,bfs,checkerboard,1,6,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,6,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,7,,40,,False,512,63.498403355,32,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,7,4.53039,True,,16,False,False,4,0,0,,True,,40,0,1,BlackScholes_0,4,True,True,,False,False,True,41,2:42.28,,True,6
-i100 -p100 -t1 -d100,13.793103448275861,pirTest,55a8709f,True,True,H-hop,0.0,bfs,0:00.57,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,0,False,65536,1,False,False,,0.15kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,,,True,True,,,True,1,False,,1,True,87,,0,200,True,False,0,200,0,,,True,5.363984674329502,True,5,False,0,2,,False,True,,1,False,0,dfs,checkerboard,1,,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,,,40,,False,512,11.206561156,0,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,1,0.0,True,,16,False,False,4,0,0,,True,,40,0,1,BreakTest,4,True,True,,False,False,True,1,0:20.00,,True,6
-i100 -p100 -t1 -d100,43.47826086956522,pirTest,55a8709f,True,True,H-hop,0.0,bfs,0:00.82,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,0,False,65536,2,False,False,,0.03kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,,,True,True,,,True,1,False,,1,True,23,,0,200,True,False,0,200,0,,,True,23.91304347826087,True,5,False,0,2,,False,True,,2,False,0,dfs,checkerboard,1,,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,,,40,,False,512,17.099840575,0,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,2,0.0,True,,16,False,False,4,0,0,,True,,40,0,1,BreakTest2,4,True,True,,False,False,True,2,0:24.84,,True,6
-i100 -p100 -t1 -d100,47.23247232472325,pirTest,55a8709f,True,True,H-hop,0.472325,bfs,0:00.29,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,3,False,65536,6,False,False,,0.93kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,2,,True,True,2,,True,1,False,2,1,True,271,,0,200,True,False,2,200,0,,,True,20.647433747064742,True,5,False,0,2,,False,True,,12,False,0,dfs,checkerboard,1,2,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,2,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,2,,40,,False,512,18.440065971,9,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,2,15.1144,True,,16,False,False,4,0,0,,True,,40,0,1,BroadcastTest,4,True,True,,False,False,True,12,0:28.60,,True,6
-i100 -p100 -t1 -d100,33.56643356643357,pirTest,55a8709f,True,True,H-hop,0.447552,bfs,0:00.52,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,0,False,65536,4,False,False,,0.28kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,2,,True,True,1,,True,1,False,1,1,True,143,,0,200,True,False,1,200,0,,,True,21.10616656071202,True,5,False,0,2,,False,True,,5,False,0,dfs,checkerboard,1,2,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,2,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,1,,40,,False,512,11.748773703,5,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,2,1.34266,True,,16,False,False,4,0,0,,True,,40,0,1,CountZero_0,4,True,True,,False,False,True,5,0:21.42,,True,6
-i100 -p100 -t1 -d100,16.75392670157068,pirTest,55a8709f,True,True,H-hop,5.36126,bfs,0:00.52,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,2,False,65536,3,False,False,,0.73kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,1,,True,True,1,,True,1,False,1,1,True,382,,0,200,True,False,1,200,0,,,True,12.232270347453595,True,5,False,0,2,,False,True,,3,False,0,dfs,checkerboard,1,1,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,1,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,1,,40,,False,512,30.814357604,1,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,1,0.0,True,,16,False,False,4,0,0,,True,,40,0,1,DRAMCompression,4,True,True,,False,False,True,3,0:25.33,,True,6
-i100 -p100 -t1 -d100,27.526881720430108,pirTest,55a8709f,True,True,H-hop,1.10108,bfs,0:01.23,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,0,False,65536,7,False,False,,0.76kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,,,True,True,2,,True,1,False,2,1,True,930,,0,200,True,False,2,200,0,,,True,7.096774193548387,True,5,False,0,2,,False,True,,7,False,0,dfs,checkerboard,1,,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,2,,40,,False,512,32.756179947,0,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,7,1.10108,True,,16,False,False,4,0,0,,True,,40,0,1,DRAMDoubleBuffer2_0,4,True,True,,False,False,True,7,0:33.60,,True,6
-i100 -p100 -t1 -d100,27.526881720430108,pirTest,55a8709f,True,True,H-hop,1.10108,bfs,0:00.23,False,False,,False,,True,route_min_directed_valient,False,True,100,True,False,,,True,0,False,65536,7,False,False,,4.04kHz,DDR4,,False,False,2020-04-06 12:21:39 -0700,,,True,True,2,,True,1,False,2,1,True,930,,0,200,True,False,2,200,0,,,True,7.096774193548387,True,5,False,0,2,,False,True,,7,False,0,dfs,checkerboard,1,,True,False,False,751fb546,True,True,hybrid,False,False,Tst,False,6,route_min_directed_valient,1000000000.0,,True,False,db,False,,6,AccelMain,,MyDesign,16,True,,0,32,dor,2,,40,,False,512,8.971927163,0,1000000000,mesh,4,,False,20,4,True,20,True,,4,1,6,,True,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",4,7,1.10108,True,,16,False,False,4,0,0,,True,,40,0,1,DRAMDoubleBuffer2_1,4,True,True,,False,False,True,7,0:11.37,,True,6
