rtanal,MC_Total,time,pcu-stage,OPS-Other,verbose,VAFG,lrange,rtelm-unsafe,runhybrid_deadlock,retime-glob,reserve-dag,igraph,vcLimit,ag-dce,vdot,dot,share-adctx,start-id,dupra,runproute_err,debug-print,save,pirArgs,VMC-alloc,proute-algo,retime-buffer-only,slink,run-psim,time-out,module,notFit,succeeded,gentst_time,dot-argin,mergeTime_ms,col,runp2p_rbw,runhybrid_wbw,spatial_sha,load,plastiroute_sha,split,OPS-FU,vfifo,dag-stage,runhybrid_success,VMC-split,run-tst,waveform,trace,runp2p_dram_power,fifo-depth,psim-q,arch,simfreq,run-proute,PMU_Total,runproute_time,VDAG,constprop,VMC,dag,codegen,topo,merge,retime-exout,flit-width,pir_sha,maketst_time,runp2p_wbw,MC,VDAG-alloc,proute-q,runhybrid_pass,psim,runp2p_err,tokenout,vlink,proute-seed,VPMU,word,PCU_Total,mem-tech,argin,runhybrid_cycle,tungsten,VBB-alloc,VBB-split,clock,PMU,runp2p_complete,maketst_err,rtelm,vec,VAFG-alloc,PCU,stat,reserve-pmu,runp2p_cycle,gentst_err,OPS-Flt,runhybrid_time,genpir,sr,avgActive,DAG_Total,simulate,name,backend,algo,runhybrid_rbw,bcread,runp2p_pass,reserve-pcu,tungsten_sha,VBB,VPCU,OPS-All,DAG,pracc,routing-algo,merge-algo,open,pmu-stage,genpir_err,add-row,merge-forward,VPMU-alloc,proute-opts,runhybrid_err,reserve-mc,debug,freq,pattern,split-algo,runhybrid_dram_power,vc,mdone,runp2p_success,routing-cost,runhybrid_complete,fast,app,VPMU-split,retime-local,VPCU-alloc,split-forward,VDAG-split,runp2p_deadlock,net,row,memelm,nn,argout,pmu-sram-size,mapping,VPCU-split,prtime,split-thread,rundot,dedicated-dag,link-prop,scheduled,maxActive,VAFG-split,OPS-Fix,OPS-Prog FU,project,runp2p_time
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",1,route_min_directed_valient,False,4,False,100,False,,True,36.157199165,False,,20,0.0,,266d9c93,False,88a079d,True,,4,6,False,1,False,True,False,,16,1,MyDesign,0.06kHz,False,0,,0,True,1,True,True,mesh,False,False,512,2e0c09eb,1:20.14,1.58025,1,0,4,,False,,5,2,0,2,32,0,DDR4,6,,True,,,1000000000,2,True,,True,16,1,2,True,0,81,,,,True,True,13.485280151946819,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,4,,3,True,dor,bfs,False,6,,0,False,2,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,BankEnable_0,2,False,4,False,0,False,hybrid,20,False,False,4,65536,True,4,,1,True,False,db,False,39.50617283950617,1,,,pirTest,0:01.46
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",1,route_min_directed_valient,False,4,False,100,False,,True,52.351473733,False,,20,0.0,,266d9c93,False,88a079d,True,,4,6,False,1,False,True,False,,16,1,MyDesign,0.12kHz,False,0,,0,True,1,True,True,mesh,False,False,512,2e0c09eb,2:42.16,0.920863,1,0,4,,False,,5,2,0,6,32,0,DDR4,6,,True,,,1000000000,6,True,,True,16,1,15,True,0,139,,,,True,True,9.696590553644041,0,False,AccelMain,Tst,route_min_directed_valient,,True,,0,9aa45a7,,25,,10,True,dor,bfs,False,6,,0,False,6,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,BankRange_0,6,False,13,False,0,False,hybrid,20,False,False,4,65536,True,25,,1,True,False,db,False,11.510791366906474,1,,,pirTest,0:01.16
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",7,route_min_directed_valient,False,4,False,100,False,,True,47.668680665,False,,20,25.805,,266d9c93,False,88a079d,True,,4,6,False,7,False,True,False,,16,1,MyDesign,4.49kHz,False,0,,0,True,7,True,True,mesh,False,False,512,2e0c09eb,2:24.67,4.30083,7,0,4,,False,,5,2,0,6,32,0,DDR4,6,,True,,,1000000000,7,True,,True,16,1,32,True,0,121904,,,,True,True,5.2354197126522735,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,41,,8,True,dor,bfs,False,6,,0,False,6,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,bfs,,4,True,True,H-hop,False,True,BlackScholes_0,6,False,10,False,0,False,hybrid,20,False,False,4,65536,True,41,,1,True,False,db,False,6.720042000262501,1,,,pirTest,0:27.18
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,route_min_directed_valient,False,4,False,100,False,,True,14.044660108,False,,20,0.0,,266d9c93,False,88a079d,True,,4,6,False,,False,True,False,,16,1,MyDesign,0.08kHz,False,0,,0,True,,True,True,mesh,False,False,512,2e0c09eb,0:32.22,0.0,0,0,4,,False,,5,2,0,,32,0,DDR4,6,,True,,,1000000000,1,True,,True,16,1,0,True,0,87,,,,True,True,5.363984674329502,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,1,,0,True,dor,bfs,False,6,,0,False,,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,BreakTest,,False,1,False,0,False,hybrid,20,False,False,4,65536,True,1,,1,True,False,db,False,13.793103448275861,1,,,pirTest,0:01.15
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,route_min_directed_valient,False,4,False,100,False,,True,16.694549302,False,,20,0.0,,266d9c93,False,88a079d,True,,4,6,False,,False,True,False,,16,1,MyDesign,0.01kHz,False,0,,0,True,,True,True,mesh,False,False,512,2e0c09eb,0:57.51,0.0,0,0,4,,False,,5,2,0,,32,0,DDR4,6,,True,,,1000000000,2,True,,True,16,1,0,True,0,23,,,,True,True,23.91304347826087,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,2,,0,True,dor,bfs,False,6,,0,False,,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,BreakTest2,,False,2,False,0,False,hybrid,20,False,False,4,65536,True,2,,1,True,False,db,False,43.47826086956522,1,,,pirTest,0:02.42
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",2,route_min_directed_valient,False,4,False,100,False,,True,43.265616265,False,,20,0.453901,,266d9c93,False,88a079d,True,,4,6,False,2,False,True,False,,16,1,MyDesign,0.15kHz,False,0,,0,True,2,True,True,mesh,False,False,512,2e0c09eb,3:35.27,14.5248,2,0,4,,False,,5,2,0,2,32,0,DDR4,6,,True,,,1000000000,2,True,,True,16,1,9,True,0,282,,,,True,True,19.842037395228882,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,12,,3,True,dor,bfs,False,6,,0,False,2,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,BroadcastTest,2,False,6,False,0,False,hybrid,20,False,False,4,65536,True,12,,1,True,False,db,False,45.39007092198582,1,,,pirTest,0:01.88
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",1,route_min_directed_valient,False,4,False,100,False,,True,33.410700009,False,,20,0.415584,,266d9c93,False,88a079d,True,,4,6,False,1,False,True,False,,16,1,MyDesign,0.09kHz,False,0,,0,True,1,True,True,mesh,False,False,512,2e0c09eb,1:19.28,1.24675,1,0,4,,False,,5,2,0,2,32,0,DDR4,6,,True,,,1000000000,2,True,,True,16,1,5,True,0,154,,,,True,True,19.598583234946872,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,5,,0,True,dor,bfs,False,6,,0,False,2,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,CountZero_0,2,False,4,False,0,False,hybrid,20,False,False,4,65536,True,5,,1,True,False,db,False,31.16883116883117,1,,,pirTest,0:01.76
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",1,route_min_directed_valient,False,4,False,100,False,,False,17.506679242,False,,20,0.0208877,,266d9c93,False,88a079d,True,,4,6,False,1,False,True,False,,16,1,MyDesign,2.64kHz,False,0,,0,True,1,True,True,mesh,False,False,512,2e0c09eb,0:37.84,0.0,1,0,4,,False,"Assertion fail:
",5,2,0,1,32,0,DDR4,6,,True,,,1000000000,1,False,,True,16,1,1,True,0,3064,,,,True,True,0.36197483978162837,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,3,,2,True,dor,bfs,False,6,,0,False,1,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,False,H-hop,False,True,DRAMCompression,1,False,3,False,0,True,hybrid,20,False,False,4,65536,True,3,,1,True,False,db,False,0.9138381201044387,1,,,pirTest,0:01.16
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",2,route_min_directed_valient,False,4,False,100,False,,True,28.289865549,False,,20,0.936015,,266d9c93,False,88a079d,True,,4,6,False,2,False,True,False,,16,1,MyDesign,0.85kHz,False,0,,0,True,2,True,True,mesh,False,False,512,2e0c09eb,0:48.53,0.936015,2,0,4,,False,,5,2,0,,32,0,DDR4,6,,True,,,1000000000,7,True,,True,16,1,0,True,0,1094,,,,True,True,6.03290676416819,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,7,,0,True,dor,bfs,False,6,,0,False,,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,DRAMDoubleBuffer2_0,,False,7,False,0,False,hybrid,20,False,False,4,65536,True,7,,1,True,False,db,False,23.40036563071298,1,,,pirTest,0:01.29
True,0,2020-05-04 21:07:36 -0700,6,,False,1,True,False,False,False,0,False,4,True,True,True,False,0,False,,True,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",2,route_min_directed_valient,False,4,False,100,False,,True,21.299849111,False,,20,0.936015,,266d9c93,False,88a079d,True,,4,6,False,2,False,True,False,,16,1,MyDesign,1.48kHz,False,0,,0,True,2,True,True,mesh,False,False,512,2e0c09eb,0:48.19,0.936015,2,0,4,,False,,5,2,0,,32,0,DDR4,6,,True,,,1000000000,7,True,,True,16,1,0,True,0,1094,,,,True,True,6.03290676416819,0,False,AccelMain,Tst,route_min_directed_valient,,True,True,0,9aa45a7,,7,,0,True,dor,bfs,False,6,,0,False,,-i100 -p100 -t1 -d100,,0,True,1000000000.0,checkerboard,dfs,,4,True,True,H-hop,False,True,DRAMDoubleBuffer2_1,,False,7,False,0,False,hybrid,20,False,False,4,65536,True,7,,1,True,False,db,False,23.40036563071298,1,,,pirTest,0:00.74
