runhybrid_success,split-algo,row,runhybrid_rbw,dag-stage,save,runproute_err,igraph,split-forward,argin,runp2p_rbw,trace,mapping,gentst_err,reserve-mc,vdot,retime-buffer-only,OPS-Flt,clock,constprop,fifo-depth,pirArgs,mem-tech,runp2p_pass,proute-seed,project,OPS-Prog FU,link-prop,VPMU-alloc,routing-algo,dag,VBB-alloc,VMC,freq,waveform,mergeTime_ms,retime-local,reserve-pcu,split,rundot,vc,MC,genpir,plastiroute_sha,OPS-All,prtime,runp2p_time,nn,slink,debug-print,maketst_err,OPS-Other,debug,runhybrid_complete,rtelm-unsafe,runhybrid_dram_power,merge-algo,col,ag-dce,lrange,runhybrid_err,spatial_sha,pattern,notFit,pmu-stage,DAG,VBB-split,VPCU,tungsten_sha,VAFG-split,app,simulate,runhybrid_pass,maxActive,runp2p_err,routing-cost,runp2p_complete,PCU,retime-exout,psim,runhybrid_wbw,load,VPMU,codegen,runproute_time,dedicated-dag,start-id,VDAG-split,dot-argin,pcu-stage,proute-opts,add-row,fast,genpir_err,scheduled,time,backend,PMU,gentst_time,vfifo,succeeded,merge-forward,VDAG-alloc,net,vcLimit,MC_Total,retime-glob,runp2p_deadlock,verbose,tokenout,psim-q,VPMU-split,VDAG,reserve-pmu,rtanal,merge,simfreq,sr,maketst_time,pir_sha,OPS-FU,rtelm,run-proute,VAFG,dot,DAG_Total,name,run-tst,open,vlink,proute-algo,reserve-dag,tungsten,VBB,word,avgActive,stat,topo,runp2p_dram_power,VPCU-split,proute-q,PCU_Total,time-out,runp2p_success,run-psim,vec,pracc,pmu-sram-size,runp2p_wbw,module,memelm,share-adctx,VAFG-alloc,runp2p_cycle,runhybrid_cycle,runhybrid_deadlock,OPS-Fix,dupra,VMC-alloc,split-thread,bcread,mdone,algo,arch,argout,VPCU-alloc,VMC-split,flit-width,PMU_Total,runhybrid_time
False,dfs,20,,6,True,,False,False,6,0.0,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,2,dor,True,,1,1000000000.0,True,,False,0,True,True,4,1,True,88a079d,,,0:00.81,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,3,,4,8f1782e,1,BankEnable_0,False,,42.666666666666664,,H-hop,True,2,False,False,,False,2,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,2,47.950516029,4,True,False,0,hybrid,4,0,False,False,False,5,1,2,0,0,True,False,0.09kHz,True,0:38.38,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,14.564102564102566,True,mesh,,4,4,0,100,True,False,16,True,65536,1.70667,False,False,False,1,75,,False,,False,1,1,True,True,route_min_directed_valient,MyDesign,4,4,1,512,0,
False,dfs,20,,6,True,,False,False,6,0.0,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,,0,pirTest,,db,6,dor,True,,1,1000000000.0,True,,False,0,True,True,4,1,True,88a079d,,,0:00.63,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,10,,25,8f1782e,1,BankRange_0,False,,12.030075187969924,,H-hop,True,15,False,False,,False,6,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,6,113.668279516,4,True,False,0,hybrid,4,0,False,False,False,5,1,6,0,0,True,False,0.21kHz,True,1:00.93,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,10.134030728996404,True,mesh,,25,4,0,100,True,False,16,True,65536,0.962406,False,False,False,1,133,,False,,False,1,1,True,True,route_min_directed_valient,MyDesign,4,13,1,512,0,
False,bfs,20,,6,True,,False,False,6,27.8378,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,6,dor,True,,7,1000000000.0,True,,False,0,True,True,4,7,True,88a079d,,,1:55.61,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,8,,42,8f1782e,1,BlackScholes_0,False,,7.2494292136422365,,H-hop,True,33,False,False,,False,6,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,7,102.249780313,4,True,False,0,hybrid,4,0,False,False,False,5,1,6,0,0,True,False,0.98kHz,True,1:11.28,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,5.6842517670644614,True,mesh,,42,4,0,100,True,False,16,True,65536,4.63963,False,False,False,1,113002,,False,,False,7,1,True,True,route_min_directed_valient,MyDesign,4,10,7,512,0,
False,dfs,20,,6,True,,False,False,6,0.0,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,,dor,True,,,1000000000.0,True,,False,0,True,True,4,0,True,88a079d,,,0:00.57,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,0,,1,8f1782e,1,BreakTest,False,,13.793103448275861,,H-hop,True,0,False,False,,False,,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,1,24.638762005,4,True,False,0,hybrid,4,0,False,False,False,5,1,,0,0,True,False,0.15kHz,True,0:18.03,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,5.363984674329502,True,mesh,,1,4,0,100,True,False,16,True,65536,0.0,False,False,False,1,87,,False,,False,,1,True,True,route_min_directed_valient,MyDesign,4,1,,512,0,
False,dfs,20,,6,True,,False,False,6,0.0,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,,dor,True,,,1000000000.0,True,,False,0,True,True,4,0,True,88a079d,,,0:01.06,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,0,,2,8f1782e,1,BreakTest2,False,,43.47826086956522,,H-hop,True,0,False,False,,False,,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,2,27.49251548,4,True,False,0,hybrid,4,0,False,False,False,5,1,,0,0,True,False,0.02kHz,True,0:26.82,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,23.91304347826087,True,mesh,,2,4,0,100,True,False,16,True,65536,0.0,False,False,False,1,23,,False,,False,,1,True,True,route_min_directed_valient,MyDesign,4,2,,512,0,
False,dfs,20,,6,True,,False,False,6,0.477612,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,2,dor,True,,2,1000000000.0,True,,False,0,True,True,4,2,True,88a079d,,,0:00.98,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,3,,12,8f1782e,1,BroadcastTest,False,,47.76119402985075,,H-hop,True,9,False,False,,False,2,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,2,58.451014853,4,True,False,0,hybrid,4,0,False,False,False,5,1,2,0,0,True,False,0.27kHz,True,0:44.21,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,20.878561736770692,True,mesh,,12,4,0,100,True,False,16,True,65536,15.2836,False,False,False,1,268,,False,,False,2,1,True,True,route_min_directed_valient,MyDesign,4,6,2,512,0,
False,dfs,20,,6,True,,False,False,6,0.457143,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,2,dor,True,,1,1000000000.0,True,,False,0,True,True,4,1,True,88a079d,,,0:00.79,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,0,,5,8f1782e,1,CountZero_0,False,,34.285714285714285,,H-hop,True,5,False,False,,False,2,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,2,34.871073757,4,True,False,0,hybrid,4,0,False,False,False,5,1,2,0,0,True,False,0.18kHz,True,0:19.02,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,21.55844155844156,True,mesh,,5,4,0,100,True,False,16,True,65536,1.37143,False,False,False,1,140,,False,,False,1,1,True,True,route_min_directed_valient,MyDesign,4,4,1,512,0,
False,dfs,20,,6,True,,False,False,6,4.39485,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,1,dor,True,,1,1000000000.0,True,,False,0,True,True,4,1,True,88a079d,,,0:01.03,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,2,,3,8f1782e,1,DRAMCompression,False,,13.733905579399142,,H-hop,True,1,False,False,,False,1,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,1,50.644557773,4,True,False,0,hybrid,4,0,False,False,False,5,1,1,0,0,True,False,0.45kHz,True,0:47.58,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,10.027311744049943,True,mesh,,3,4,0,100,True,False,16,True,65536,0.0,False,False,False,1,466,,False,,False,1,1,True,True,route_min_directed_valient,MyDesign,4,3,1,512,0,
False,dfs,20,,6,True,,False,False,6,1.08705,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,,dor,True,,2,1000000000.0,True,,False,0,True,True,4,2,True,88a079d,,,0:00.79,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,0,,7,8f1782e,1,DRAMDoubleBuffer2_0,False,,27.176220806794056,,H-hop,True,0,False,False,,False,,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,7,58.791544794,4,True,False,0,hybrid,4,0,False,False,False,5,1,,0,0,True,False,1.19kHz,True,0:25.76,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,7.006369426751593,True,mesh,,7,4,0,100,True,False,16,True,65536,1.08705,False,False,False,1,942,,False,,False,2,1,True,True,route_min_directed_valient,MyDesign,4,7,2,512,0,
False,dfs,20,,6,True,,False,False,6,1.08705,False,True,,0,True,False,,1000000000,True,16,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",DDR4,True,0,pirTest,,db,,dor,True,,2,1000000000.0,True,,False,0,True,True,4,2,True,88a079d,,,0:00.75,False,4,True,,,True,False,False,,bfs,20,True,True,,4e343530,checkerboard,,6,0,,7,8f1782e,1,DRAMDoubleBuffer2_1,False,,27.176220806794056,,H-hop,True,0,False,False,,False,,True,,False,0,0,False,6,-i100 -p100 -t1 -d100,0,True,,False,2020-05-05 00:01:13 -0700,Tst,7,51.026342768,4,True,False,0,hybrid,4,0,False,False,False,5,1,,0,0,True,False,1.26kHz,True,0:26.71,d4ea004b,,True,False,1,True,0,AccelMain,False,False,2,route_min_directed_valient,0,True,,32,7.006369426751593,True,mesh,,7,4,0,100,True,False,16,True,65536,1.08705,False,False,False,1,942,,False,,False,2,1,True,True,route_min_directed_valient,MyDesign,4,7,2,512,0,
