sim_scalar,packet_rate,buffer_size,flit_data_width,num_message_classes,num_nodes_per_router,explicit_pipeline_register,synthesis area (um^2),synthesis slack (ns),flit energy (J)
0,100,2,32,1,1,0,5410.5409,0.29,3.347883917775091e-12
1,100,2,32,1,1,0,5410.5409,0.29,3.347883917775091e-12
0,100,4,32,1,1,0,7329.949351,0.26,2.673271950894049e-12
1,100,4,32,1,1,0,7329.949351,0.26,2.673271950894049e-12
0,100,4,32,2,1,0,9163.627383,0.24,3.785249075866925e-12
1,100,4,32,2,1,0,9163.627383,0.24,3.785249075866925e-12
0,100,8,32,2,1,0,12835.569851,0.22,3.3510369801382647e-12
1,100,8,32,2,1,0,12835.569851,0.22,3.3510369801382647e-12
0,100,8,32,4,1,0,16255.789507,0.12,4.125819224467505e-12
1,100,8,32,4,1,0,16255.789507,0.12,4.125819224467505e-12
0,100,16,32,4,1,0,24200.31647,0.16,4.734796765045689e-12
1,100,16,32,4,1,0,24200.31647,0.16,4.734796765045689e-12
0,100,16,32,8,1,0,30611.221763,0.03,5.825811745399133e-12
1,100,16,32,8,1,0,30611.221763,0.03,5.825811745399133e-12
0,100,32,32,8,1,0,46021.173238,0.01,8.09654750992973e-12
1,100,32,32,8,1,0,46021.173238,0.01,8.09654750992973e-12
0,100,2,64,1,1,0,8270.866978,0.29,4.752841596130593e-12
1,100,2,64,1,1,0,8270.866978,0.29,4.367230955259976e-12
0,100,4,64,1,1,0,11667.096263,0.21,3.942620763277289e-12
1,100,4,64,1,1,0,11667.096263,0.21,3.5132105684547646e-12
0,100,4,64,2,1,0,13477.842284,0.18,5.0991022707269845e-12
1,100,4,64,2,1,0,13477.842284,0.18,4.677257525083613e-12
0,100,8,64,2,1,0,19919.441222,0.22,4.694557225940963e-12
1,100,8,64,2,1,0,19919.441222,0.22,4.116481948864261e-12
0,100,8,64,4,1,0,23405.634469,0.11,5.6493036592026225e-12
1,100,8,64,4,1,0,23405.634469,0.11,5.00409612233752e-12
0,100,16,64,4,1,0,37088.277204,0.15,7.052305430101881e-12
1,100,16,64,4,1,0,37088.277204,0.15,5.756748240731017e-12
